"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.86463,2.47,0,148,0.000921
"EGFR inhibitor","NES","Abl kinase inhibitor",0.34647,0.97,0.461,350,0.696
"EGFR inhibitor","NES","acetylcholine receptor agonist",-0.48537,-1.37,0.173,606,0.433
"EGFR inhibitor","NES","adrenergic receptor antagonist",0.47903,1.37,0.166,308,0.377
"EGFR inhibitor","NES","AKT inhibitor",0.36013,1.04,0.411,604,0.629
"EGFR inhibitor","NES","androgen receptor antagonist",-0.54376,-1.52,0.0965,790,0.305
"EGFR inhibitor","NES","antioxidant",-0.17043,-0.481,0.975,830,1
"EGFR inhibitor","NES","AP inhibitor",-0.57894,-1.64,0.0572,779,0.296
"EGFR inhibitor","NES","ATPase inhibitor",-0.48476,-1.34,0.172,908,0.436
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.45167,-1.27,0.211,789,0.426
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.3655,-1.06,0.382,939,0.587
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.25134,-0.698,0.802,235,0.867
"EGFR inhibitor","NES","bromodomain inhibitor",-0.55596,-1.56,0.0812,633,0.343
"EGFR inhibitor","NES","calcium channel blocker",-0.54069,-1.52,0.0914,505,0.305
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.45561,-1.28,0.208,426,0.445
"EGFR inhibitor","NES","CDK inhibitor",0.5022,1.4,0.147,169,0.434
"EGFR inhibitor","NES","cyclooxygenase inhibitor",0.26677,0.753,0.754,476,0.775
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.45956,-1.31,0.179,703,0.439
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.29198,-0.834,0.652,273,0.777
"EGFR inhibitor","NES","estrogen receptor agonist",-0.36241,-1.04,0.392,769,0.586
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.50611,1.39,0.142,173,0.395
"EGFR inhibitor","NES","HCV inhibitor",-0.26588,-0.727,0.803,876,0.863
"EGFR inhibitor","NES","HDAC inhibitor",0.53762,1.52,0.0855,114,0.395
"EGFR inhibitor","NES","histamine receptor antagonist",-0.58444,-1.66,0.0426,751,0.456
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",-0.27858,-0.756,0.737,637,0.857
"EGFR inhibitor","NES","HSP inhibitor",-0.52671,-1.45,0.132,831,0.357
"EGFR inhibitor","NES","JAK inhibitor",-0.32323,-0.917,0.511,757,0.713
"EGFR inhibitor","NES","MDM inhibitor",0.53961,1.5,0.0924,436,0.356
"EGFR inhibitor","NES","MEK inhibitor",0.54568,1.58,0.0637,285,0.374
"EGFR inhibitor","NES","MET inhibitor",0.27646,0.805,0.672,27,0.779
"EGFR inhibitor","NES","mTOR inhibitor",0.2861,0.808,0.689,104,0.818
"EGFR inhibitor","NES","p38 MAPK inhibitor",-0.61132,-1.72,0.0388,644,0.509
"EGFR inhibitor","NES","PARP inhibitor",0.3411,0.956,0.492,62,0.673
"EGFR inhibitor","NES","phosphatase inhibitor",-0.35237,-0.992,0.468,733,0.627
"EGFR inhibitor","NES","PI3K inhibitor",0.32944,0.919,0.537,217,0.691
"EGFR inhibitor","NES","PLK inhibitor",-0.5796,-1.64,0.0507,754,0.296
"EGFR inhibitor","NES","progesterone receptor agonist",-0.42754,-1.21,0.229,738,0.468
"EGFR inhibitor","NES","proteasome inhibitor",-0.64239,-1.8,0.0214,760,0.681
"EGFR inhibitor","NES","protein synthesis inhibitor",0.41416,1.19,0.255,554,0.537
"EGFR inhibitor","NES","protein tyrosine kinase inhibitor",-0.40587,-1.15,0.276,746,0.52
"EGFR inhibitor","NES","RAF inhibitor",0.77302,2.18,0.00442,218,0.0161
"EGFR inhibitor","NES","serotonin receptor agonist",-0.38289,-1.07,0.365,358,0.604
"EGFR inhibitor","NES","sodium channel blocker",0.22332,0.623,0.893,154,0.874
"EGFR inhibitor","NES","SYK inhibitor",0.44674,1.27,0.212,159,0.469
"EGFR inhibitor","NES","TGF beta receptor inhibitor",0.38397,1.09,0.346,376,0.597
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.095639,-0.267,1,630,1
"EGFR inhibitor","NES","tubulin polymerization inhibitor",-0.31143,-0.892,0.568,685,0.719
"EGFR inhibitor","NES","tyrosine kinase inhibitor",0.28523,0.802,0.658,283,0.745
"EGFR inhibitor","NES","VEGFR inhibitor",0.65698,1.9,0.00855,216,0.0909
"EGFR inhibitor","NES","vitamin D receptor agonist",0.42289,1.18,0.276,199,0.506
"Abl kinase inhibitor","NES","EGFR inhibitor",0.30456,0.874,0.586,524,0.702
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.63062,1.86,0.0181,351,0.163
"Abl kinase inhibitor","NES","acetylcholine receptor agonist",-0.5861,-1.8,0.0259,548,0.114
"Abl kinase inhibitor","NES","adrenergic receptor antagonist",0.35292,1.03,0.458,399,0.612
"Abl kinase inhibitor","NES","AKT inhibitor",-0.3462,-1.07,0.375,323,0.511
"Abl kinase inhibitor","NES","androgen receptor antagonist",-0.76506,-2.39,0,829,0.0205
"Abl kinase inhibitor","NES","antioxidant",0.42667,1.26,0.237,442,0.44
"Abl kinase inhibitor","NES","AP inhibitor",-0.26621,-0.835,0.628,800,0.759
"Abl kinase inhibitor","NES","ATPase inhibitor",0.39846,1.19,0.266,470,0.488
"Abl kinase inhibitor","NES","Aurora kinase inhibitor",0.48979,1.42,0.139,344,0.341
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.62995,1.83,0.0283,351,0.148
"Abl kinase inhibitor","NES","benzodiazepine receptor agonist",-0.57219,-1.83,0.0299,535,0.125
"Abl kinase inhibitor","NES","bromodomain inhibitor",0.58899,1.68,0.0336,197,0.158
"Abl kinase inhibitor","NES","calcium channel blocker",0.30311,0.879,0.609,305,0.722
"Abl kinase inhibitor","NES","CC chemokine receptor antagonist",0.32605,0.954,0.509,479,0.669
"Abl kinase inhibitor","NES","CDK inhibitor",0.60416,1.77,0.0182,314,0.16
"Abl kinase inhibitor","NES","cyclooxygenase inhibitor",0.31443,0.942,0.509,358,0.658
"Abl kinase inhibitor","NES","DNA polymerase inhibitor",-0.39517,-1.23,0.247,701,0.351
"Abl kinase inhibitor","NES","dopamine receptor antagonist",-0.52986,-1.69,0.0411,662,0.122
"Abl kinase inhibitor","NES","estrogen receptor agonist",-0.67594,-2.09,0.0105,632,0.0515
"Abl kinase inhibitor","NES","glucocorticoid receptor agonist",0.43039,1.26,0.239,82,0.44
"Abl kinase inhibitor","NES","HCV inhibitor",-0.22995,-0.712,0.764,215,0.877
"Abl kinase inhibitor","NES","HDAC inhibitor",0.487,1.4,0.137,144,0.339
"Abl kinase inhibitor","NES","histamine receptor antagonist",-0.68522,-2.09,0.0128,640,0.0515
"Abl kinase inhibitor","NES","histone lysine methyltransferase inhibitor",0.4281,1.26,0.226,217,0.44
"Abl kinase inhibitor","NES","HSP inhibitor",0.29479,0.858,0.609,497,0.697
"Abl kinase inhibitor","NES","JAK inhibitor",0.54652,1.56,0.085,429,0.227
"Abl kinase inhibitor","NES","MDM inhibitor",0.65739,1.93,0.0102,326,0.16
"Abl kinase inhibitor","NES","MEK inhibitor",0.58613,1.7,0.037,213,0.161
"Abl kinase inhibitor","NES","MET inhibitor",-0.41497,-1.31,0.176,388,0.362
"Abl kinase inhibitor","NES","mTOR inhibitor",0.21111,0.612,0.869,139,0.88
"Abl kinase inhibitor","NES","p38 MAPK inhibitor",-0.27502,-0.86,0.566,722,0.773
"Abl kinase inhibitor","NES","PARP inhibitor",0.74491,2.22,0,245,0.0418
"Abl kinase inhibitor","NES","phosphatase inhibitor",-0.39789,-1.24,0.224,833,0.372
"Abl kinase inhibitor","NES","PI3K inhibitor",-0.17865,-0.549,0.911,777,0.981
"Abl kinase inhibitor","NES","PLK inhibitor",0.39979,1.16,0.302,567,0.502
"Abl kinase inhibitor","NES","progesterone receptor agonist",0.38667,1.12,0.31,72,0.536
"Abl kinase inhibitor","NES","proteasome inhibitor",-0.56429,-1.73,0.0446,822,0.121
"Abl kinase inhibitor","NES","protein synthesis inhibitor",0.54077,1.6,0.0641,436,0.21
"Abl kinase inhibitor","NES","protein tyrosine kinase inhibitor",-0.16702,-0.512,0.973,156,0.948
"Abl kinase inhibitor","NES","RAF inhibitor",0.50416,1.5,0.0866,102,0.268
"Abl kinase inhibitor","NES","serotonin receptor agonist",-0.45661,-1.44,0.125,653,0.269
"Abl kinase inhibitor","NES","sodium channel blocker",-0.4015,-1.27,0.22,375,0.369
"Abl kinase inhibitor","NES","SYK inhibitor",0.24087,0.7,0.791,227,0.847
"Abl kinase inhibitor","NES","TGF beta receptor inhibitor",0.3448,1.01,0.432,370,0.613
"Abl kinase inhibitor","NES","topoisomerase inhibitor",0.4039,1.21,0.254,392,0.485
"Abl kinase inhibitor","NES","tubulin polymerization inhibitor",0.23362,0.687,0.814,726,0.834
