"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.86463,2.47,0,148,0.000921
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.63062,1.86,0.0181,351,0.163
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",0.44754,1.34,0.16,521,0.372
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",0.75803,2.24,0.00149,232,0.0218
"AKT inhibitor","NES","AKT inhibitor",0.75777,2.3,0.00205,233,0.0191
"androgen receptor antagonist","NES","androgen receptor antagonist",0.88972,2.68,0,109,0.000802
"antioxidant","NES","antioxidant",0.65704,1.98,0.00794,223,0.094
"AP inhibitor","NES","AP inhibitor",-0.37038,-1.12,0.319,826,0.598
"ATPase inhibitor","NES","ATPase inhibitor",0.70204,2.04,0.00698,285,0.152
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.72127,1.98,0.00298,197,0.0505
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.57968,1.7,0.0328,398,0.148
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.74973,2.23,0.00157,239,0.0108
"bromodomain inhibitor","NES","bromodomain inhibitor",0.89175,2.59,0,107,0.00121
"calcium channel blocker","NES","calcium channel blocker",0.46588,1.4,0.145,257,0.385
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",0.65775,1.89,0.0134,325,0.139
"CDK inhibitor","NES","CDK inhibitor",0.76642,2.3,0,228,0.0172
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.5914,1.73,0.0211,390,0.247
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",0.60064,1.78,0.0222,379,0.16
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.76704,2.23,0,83,0.0158
"estrogen receptor agonist","NES","estrogen receptor agonist",0.50802,1.52,0.0832,465,0.235
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.91205,2.59,0,100,0
"HDAC inhibitor","NES","HDAC inhibitor",0.80065,2.32,0,201,0.0129
"histamine receptor antagonist","NES","histamine receptor antagonist",0.80728,2.37,0,186,0.00886
"HSP inhibitor","NES","HSP inhibitor",0.80345,2.43,0,142,0.00522
"JAK inhibitor","NES","JAK inhibitor",0.71658,2.11,0.00147,270,0.07
"MDM inhibitor","NES","MDM inhibitor",0.9454,2.75,0,57,0
"MEK inhibitor","NES","MEK inhibitor",0.72757,2.12,0.00328,267,0.0241
"MET inhibitor","NES","MET inhibitor",0.76364,2.29,0,226,0.00771
"mTOR inhibitor","NES","mTOR inhibitor",0.84267,2.51,0,158,0.00219
"p38 MAPK inhibitor","NES","p38 MAPK inhibitor",0.60921,1.81,0.019,371,0.304
"PARP inhibitor","NES","PARP inhibitor",0.58301,1.69,0.0435,296,0.192
"phosphatase inhibitor","NES","phosphatase inhibitor",0.33238,0.962,0.504,433,0.713
"PI3K inhibitor","NES","PI3K inhibitor",0.89259,2.64,0,109,0
"PLK inhibitor","NES","PLK inhibitor",0.78135,2.36,0,211,0.0197
"progesterone receptor agonist","NES","progesterone receptor agonist",0.52677,1.58,0.0455,448,0.273
"proteasome inhibitor","NES","proteasome inhibitor",0.85455,2.64,0,141,0
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.68884,2.03,0.00473,298,0.0929
"protein tyrosine kinase inhibitor","NES","protein tyrosine kinase inhibitor",0.5364,1.57,0.0722,439,0.568
"RAF inhibitor","NES","RAF inhibitor",0.75803,2.22,0.00339,232,0.0504
"sodium channel blocker","NES","sodium channel blocker",0.61585,1.91,0.0196,182,0.0605
"TGF beta receptor inhibitor","NES","TGF beta receptor inhibitor",0.54652,1.69,0.0357,429,0.251
"topoisomerase inhibitor","NES","topoisomerase inhibitor",0.75409,2.15,0,203,0.024
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",0.72856,2.05,0.00753,216,0.0166
"tyrosine kinase inhibitor","NES","tyrosine kinase inhibitor",0.43883,1.28,0.204,364,0.524
"VEGFR inhibitor","NES","VEGFR inhibitor",0.72522,2.09,0.00336,267,0.0266
"vitamin D receptor agonist","NES","vitamin D receptor agonist",0.64385,1.9,0.00576,338,0.304
