"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.86463,2.47,0,0.000921,TRUE,7.49827871341378,0.86463,2.47,0,0.000921,TRUE,7.49827871341378,2,7.49827871341378,0,2.47,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.30456,0.874,0.586,0.702,FALSE,0.13430136399855,0.34647,0.97,0.461,0.696,FALSE,0.152669037577755,0,0.143485200788152,0.0129879065424765,0.922,0.0678822509939085,0.623711119593373,FALSE,1.21951219512195,"TRUE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",-0.421,-1.32,0.182,0.485,FALSE,-0.414820905045012,-0.48537,-1.37,0.173,0.433,FALSE,-0.498011581995889,0,-0.456416243520451,0.0588246918034647,-1.345,0.0353553390593274,0.140371271734406,FALSE,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",0.22582,0.665,0.837,0.978,FALSE,0.00642466156624505,0.47903,1.37,0.166,0.377,FALSE,0.580412350218064,0,0.293418505892154,0.405870586963294,1.0175,0.498510280736516,0.413171644652889,FALSE,0,"TRUE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.52177,1.58,0.087,0.162,FALSE,1.24896627702264,0.36013,1.04,0.411,0.629,FALSE,0.20940332873692,0,0.729184802879782,0.735082010203115,1.31,0.381837661840736,0.154863896851655,FALSE,0,"TRUE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23456790123457,"FALSE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.5105,-1.46,0.106,0.275,FALSE,-0.818574267007817,-0.54376,-1.52,0.0965,0.305,FALSE,-0.783864244192886,0,-0.801219255600351,0.0245436925075775,-1.49,0.0424264068711929,0.0571036835713839,FALSE,0,"TRUE",FALSE
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",-0.17851,-0.531,0.943,0.936,FALSE,-0.0152525243200661,-0.17043,-0.481,0.975,1,FALSE,0,0,-0.00762626216003306,0.0107851633769315,-0.506,0.0353553390593274,0.99666295607384,FALSE,0,"TRUE",FALSE
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",-0.72598,-2.11,0.00373,0.0537,TRUE,-2.67975425717394,-0.57894,-1.64,0.0572,0.296,FALSE,-0.867081593863341,1,-1.77341792551864,1.2817531322984,-1.875,0.332340187157677,0.00201675792196118,FALSE,0,"FALSE",FALSE
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",-0.49513,-1.47,0.0983,0.331,FALSE,-0.705852849149693,-0.48476,-1.34,0.172,0.436,FALSE,-0.483088104380095,0,-0.594470476764894,0.157518461635874,-1.405,0.0919238815542511,0.0858904736521715,FALSE,0,"TRUE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.703,-2.22,0.00294,0.0639,TRUE,-2.65178809488835,-0.45167,-1.27,0.211,0.426,FALSE,-0.470649809139547,1,-1.56121895201395,1.54229767255858,-1.745,0.67175144212722,0.00520170154531199,FALSE,1.0752688172043,"TRUE",FALSE
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"Bcr.Abl kinase inhibitor & EGFR inhibitor","Bcr.Abl kinase inhibitor","EGFR inhibitor",0.32445,0.95,0.496,0.746,FALSE,0.120898113900965,-0.3655,-1.06,0.382,0.587,FALSE,-0.245243612677529,0,-0.062172749388282,0.258901297739003,-0.055,1.42128463018496,0.504661328896277,FALSE,0,"TRUE",FALSE
"benzodiazepine receptor agonist & EGFR inhibitor","benzodiazepine receptor agonist","EGFR inhibitor",-0.2016,-0.643,0.855,0.96,FALSE,-0.0113995971555575,-0.25134,-0.698,0.802,0.867,FALSE,-0.0432626699616052,0,-0.0273311335585814,0.022530594850597,-0.6705,0.0388908729652601,0.944428712936909,FALSE,0,"TRUE",FALSE
"bromodomain inhibitor & EGFR inhibitor","bromodomain inhibitor","EGFR inhibitor",-0.45921,-1.35,0.16,0.418,FALSE,-0.511412019603703,-0.55596,-1.56,0.0812,0.343,FALSE,-0.724941172733278,0,-0.61817659616849,0.150987912158943,-1.455,0.148492424049175,0.0694217320703521,FALSE,0,"TRUE",FALSE
"calcium channel blocker & EGFR inhibitor","calcium channel blocker","EGFR inhibitor",-0.69022,-2.23,0.00536,0.0392,TRUE,-3.13697207054438,-0.54069,-1.52,0.0914,0.305,FALSE,-0.783864244192886,1,-1.96041815736863,1.66389850087628,-1.875,0.502045814642449,0.00422360989626049,FALSE,0,"FALSE",FALSE
"CC chemokine receptor antagonist & EGFR inhibitor","CC chemokine receptor antagonist","EGFR inhibitor",-0.80358,-2.56,0,0.00578,TRUE,-5.72946473364345,-0.45561,-1.28,0.208,0.445,FALSE,-0.450099185944408,1,-3.08978195979393,3.73307517914062,-1.92,0.905096679918781,0.00195377365788286,FALSE,0,"TRUE",FALSE
"CDK inhibitor & EGFR inhibitor","CDK inhibitor","EGFR inhibitor",0.47053,1.39,0.133,0.381,FALSE,0.582514283810889,0.5022,1.4,0.147,0.434,FALSE,0.507514378682485,0,0.545014331246687,0.0530329415046423,1.395,0.00707106781186548,0.096478883608785,FALSE,0,"TRUE",FALSE
"CHK inhibitor & EGFR inhibitor","CHK inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"cyclooxygenase inhibitor & EGFR inhibitor","cyclooxygenase inhibitor","EGFR inhibitor",0.20157,0.601,0.905,0.89,FALSE,0.0304166060064074,0.26677,0.753,0.754,0.775,FALSE,0.0833558180127483,0,0.0568862120095779,0.037433675800356,0.677,0.107480230740355,0.943160381747974,FALSE,0,"TRUE",FALSE
"cytochrome P450 inhibitor & EGFR inhibitor","cytochrome P450 inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"DNA alkylating agent & EGFR inhibitor","DNA alkylating agent","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"DNA inhibitor & EGFR inhibitor","DNA inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"DNA methyltransferase inhibitor & EGFR inhibitor","DNA methyltransferase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
