"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.75155,2.36,0,165,0.011
"EGFR inhibitor","NES","Abl kinase inhibitor",-0.2889,-0.942,0.522,1023,0.785
"EGFR inhibitor","NES","acetylcholine receptor agonist",-0.40842,-1.32,0.184,1264,0.584
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.23098,-0.725,0.771,1130,0.912
"EGFR inhibitor","NES","adenosine receptor antagonist",0.42559,1.33,0.145,469,0.458
"EGFR inhibitor","NES","adrenergic receptor agonist",0.201,0.608,0.874,204,0.91
"EGFR inhibitor","NES","adrenergic receptor antagonist",0.29076,0.903,0.546,276,0.756
"EGFR inhibitor","NES","AKT inhibitor",0.37379,1.18,0.265,430,0.524
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",-0.30722,-0.968,0.466,1208,0.817
"EGFR inhibitor","NES","androgen receptor antagonist",-0.32361,-1.02,0.404,1132,0.744
"EGFR inhibitor","NES","antioxidant",0.45396,1.4,0.127,281,0.394
"EGFR inhibitor","NES","AP inhibitor",-0.63268,-2.01,0.011,1221,0.113
"EGFR inhibitor","NES","ATPase inhibitor",-0.30343,-0.943,0.499,1183,0.809
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.3721,-1.17,0.266,884,0.642
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.49804,-1.55,0.083,1239,0.351
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.35859,-1.13,0.31,1263,0.682
"EGFR inhibitor","NES","BCL inhibitor",0.32879,1.01,0.425,111,0.67
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.2929,-0.941,0.484,1023,0.762
"EGFR inhibitor","NES","benzodiazepine receptor agonist",0.29904,0.911,0.523,506,0.773
"EGFR inhibitor","NES","bromodomain inhibitor",0.57558,1.75,0.0339,576,0.209
"EGFR inhibitor","NES","calcium channel blocker",0.38608,1.23,0.261,279,0.51
"EGFR inhibitor","NES","CC chemokine receptor antagonist",0.35682,1.11,0.34,416,0.599
"EGFR inhibitor","NES","CDK inhibitor",-0.19617,-0.607,0.871,1210,0.945
"EGFR inhibitor","NES","CHK inhibitor",-0.24337,-0.776,0.711,1151,0.859
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.26361,-0.827,0.617,1254,0.799
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.39615,-1.23,0.24,1109,0.634
"EGFR inhibitor","NES","DNA alkylating agent",-0.22513,-0.706,0.788,916,0.894
"EGFR inhibitor","NES","DNA inhibitor",0.26557,0.827,0.644,290,0.82
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",-0.55457,-1.73,0.0331,1290,0.234
"EGFR inhibitor","NES","DNA polymerase inhibitor",0.18643,0.579,0.928,632,0.908
"EGFR inhibitor","NES","DNA synthesis inhibitor",-0.43579,-1.42,0.114,959,0.496
"EGFR inhibitor","NES","dopamine receptor antagonist",0.24273,0.762,0.725,233,0.86
"EGFR inhibitor","NES","estrogen receptor agonist",0.3453,1.05,0.403,183,0.632
"EGFR inhibitor","NES","estrogen receptor antagonist",0.62327,1.93,0.0169,248,0.122
"EGFR inhibitor","NES","FGFR inhibitor",-0.19378,-0.604,0.883,969,0.927
"EGFR inhibitor","NES","FLT3 inhibitor",-0.22222,-0.717,0.784,296,0.901
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.42884,1.32,0.19,472,0.442
"EGFR inhibitor","NES","glutamate receptor antagonist",0.21801,0.668,0.833,278,0.898
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.50936,1.58,0.0615,309,0.333
"EGFR inhibitor","NES","growth factor receptor inhibitor",0.42079,1.31,0.185,274,0.427
"EGFR inhibitor","NES","HCV inhibitor",-0.68887,-2.18,0.00629,1201,0.0652
"EGFR inhibitor","NES","HDAC inhibitor",0.57183,1.77,0.0229,464,0.227
"EGFR inhibitor","NES","histamine receptor antagonist",-0.27713,-0.872,0.567,1240,0.839
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",-0.36834,-1.19,0.261,999,0.671
"EGFR inhibitor","NES","HMGCR inhibitor",-0.73741,-2.36,0.00216,1251,0.0598
"EGFR inhibitor","NES","HSP inhibitor",-0.69179,-2.2,0.00629,1065,0.0816
"EGFR inhibitor","NES","JAK inhibitor",-0.17436,-0.556,0.918,584,0.946
"EGFR inhibitor","NES","KIT inhibitor",-0.25829,-0.829,0.639,969,0.817
"EGFR inhibitor","NES","MDM inhibitor",-0.2626,-0.832,0.616,1305,0.835
"EGFR inhibitor","NES","MEK inhibitor",0.71215,2.19,0,192,0.0311
"EGFR inhibitor","NES","MET inhibitor",-0.36858,-1.17,0.265,495,0.642
