"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.674563","Pearson.est","AKT inhibitor",0.19514,0.476,0.977,399,0.985,TRUE,FALSE,"AKT inhibitor"
"A.803467","Pearson.est","sodium channel blocker",-0.42079,-1.16,0.287,1135,1,TRUE,FALSE,"sodium channel blocker"
"ABT.737","Pearson.est","BCL inhibitor",-0.40053,-1.1,0.318,1184,0.889,TRUE,FALSE,"BCL inhibitor"
"ACDPP","Pearson.est","glutamate receptor antagonist",-0.42613,-1.14,0.289,1122,0.639,TRUE,FALSE,"glutamate receptor antagonist"
"ADL5859","Pearson.est","opioid receptor agonist",-0.37698,-1.05,0.351,1123,0.699,TRUE,FALSE,"opioid receptor agonist"
"AEE788","Pearson.est","VEGFR inhibitor",0.28115,0.711,0.801,205,1,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AG.14361","Pearson.est","PARP inhibitor",-0.44627,-1.29,0.166,598,0.716,TRUE,FALSE,"PARP inhibitor"
"AM.404","Pearson.est","cyclooxygenase inhibitor",0.34191,0.895,0.517,232,0.882,TRUE,FALSE,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"
"AMG.208","Pearson.est","tyrosine kinase inhibitor",0.2978,0.726,0.813,175,1,TRUE,FALSE,"tyrosine kinase inhibitor"
"AMG458","Pearson.est","MET inhibitor",0.40265,0.95,0.539,212,1,TRUE,FALSE,"MET inhibitor"
"AT.7519","Pearson.est","CDK inhibitor",0.35525,0.868,0.637,385,0.823,TRUE,FALSE,"CDK inhibitor"
"AT.9283","Pearson.est","JAK inhibitor",0.38677,0.973,0.507,597,0.872,TRUE,FALSE,"Aurora kinase inhibitor, JAK inhibitor"
"AT7867","Pearson.est","AKT inhibitor",-0.61595,-1.56,0.0729,941,0.69,TRUE,FALSE,"AKT inhibitor"
"AZ.628","Pearson.est","RAF inhibitor",0.40795,0.991,0.495,164,0.989,TRUE,FALSE,"RAF inhibitor"
"AZD1480","Pearson.est","JAK inhibitor",0.3147,0.775,0.721,453,1,TRUE,FALSE,"JAK inhibitor"
"AZD4547","Pearson.est","FGFR inhibitor",0.20626,0.593,0.9,240,0.931,TRUE,FALSE,"FGFR inhibitor"
"AZD5438","Pearson.est","CDK inhibitor",0.33443,0.791,0.749,402,0.996,TRUE,FALSE,"CDK inhibitor"
"BAY.11.7082","Pearson.est","NFkB pathway inhibitor",0.40527,0.991,0.478,296,0.827,TRUE,FALSE,"NFkB pathway inhibitor"
"BAY.11.7085","Pearson.est","NFkB pathway inhibitor",-0.36233,-0.946,0.534,1005,1,TRUE,FALSE,"NFkB pathway inhibitor"
"BF2.649","Pearson.est","histamine receptor antagonist",-0.31278,-0.953,0.45,1260,0.811,TRUE,FALSE,"histamine receptor antagonist"
"BIX.02188","Pearson.est","MEK inhibitor",-0.69711,-2.09,0.0158,1172,0.127,TRUE,FALSE,"MEK inhibitor"
"BMS.265246","Pearson.est","CDK inhibitor",0.25982,0.662,0.866,378,0.952,TRUE,FALSE,"CDK inhibitor"
"BMS.387032","Pearson.est","CDK inhibitor",0.33295,0.856,0.636,300,0.951,TRUE,FALSE,"CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor"
"BMS.690514","Pearson.est","VEGFR inhibitor",0.34995,0.864,0.633,31,0.851,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"BW.180C","Pearson.est","opioid receptor agonist",0.34238,0.841,0.657,331,1,TRUE,FALSE,"opioid receptor agonist"
"CB.10.277","Pearson.est","DNA synthesis inhibitor",0.39717,0.996,0.458,314,0.825,TRUE,FALSE,"DNA synthesis inhibitor"
"CCT129202","Pearson.est","Aurora kinase inhibitor",0.38715,0.985,0.481,567,0.841,TRUE,FALSE,"Aurora kinase inhibitor"
"CD.437","Pearson.est","retinoid receptor agonist",-0.34164,-0.919,0.542,1344,0.875,TRUE,FALSE,"retinoid receptor agonist"
"CEP.32496","Pearson.est","RAF inhibitor",0.34504,0.866,0.628,589,1,TRUE,FALSE,"RAF inhibitor"
"CEP.37440","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.43843,-1.06,0.413,1131,0.856,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"CGP.52411","Pearson.est","EGFR inhibitor",0.37592,0.929,0.549,454,0.926,TRUE,FALSE,"EGFR inhibitor"
"CGS.20625","Pearson.est","benzodiazepine receptor agonist",-0.4583,-1.24,0.207,1100,0.65,TRUE,FALSE,"benzodiazepine receptor agonist, GABA benzodiazepine site receptor partial agonist"
"CMPD.1","Pearson.est","p38 MAPK inhibitor",-0.45007,-1.28,0.188,604,0.517,TRUE,FALSE,"p38 MAPK inhibitor"
"CP.673451","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.24836,0.617,0.893,498,0.924,TRUE,FALSE,"PDGFR tyrosine kinase receptor inhibitor"
"CPP","Pearson.est","glutamate receptor antagonist",0.27247,0.826,0.644,182,0.898,TRUE,FALSE,"glutamate receptor antagonist"
"CUDC.907","Pearson.est","PI3K inhibitor",0.28485,0.672,0.887,566,0.948,TRUE,FALSE,"PI3K inhibitor"
"DMH1","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.19048,0.482,0.977,801,0.982,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"EMD.53998","Pearson.est","phosphodiesterase inhibitor",-0.23204,-0.673,0.875,1191,0.968,TRUE,FALSE,"phosphodiesterase inhibitor"
"ENMD.2076","Pearson.est","FLT3 inhibitor",0.27507,0.69,0.859,716,1,TRUE,FALSE,"Aurora kinase inhibitor, FLT3 inhibitor, VEGFR inhibitor"
"ENMD.2076","Pearson.est","VEGFR inhibitor",0.27288,0.679,0.845,785,1,TRUE,FALSE,"Aurora kinase inhibitor, FLT3 inhibitor, VEGFR inhibitor"
"EVP4593","Pearson.est","NFkB pathway inhibitor",0.29382,0.745,0.768,227,0.929,TRUE,FALSE,"NFkB pathway inhibitor"
"FK.3311","Pearson.est","cyclooxygenase inhibitor",0.30598,0.72,0.806,252,1,TRUE,FALSE,"cyclooxygenase inhibitor"
"FR.122047","Pearson.est","cyclooxygenase inhibitor",0.26248,0.655,0.874,328,0.984,TRUE,FALSE,"cyclooxygenase inhibitor"
"GSK2110183","Pearson.est","AKT inhibitor",0.42106,0.996,0.471,420,0.884,TRUE,FALSE,"AKT inhibitor"
"GSK256066","Pearson.est","phosphodiesterase inhibitor",-0.22746,-0.68,0.842,1017,0.889,TRUE,FALSE,"phosphodiesterase inhibitor"
"GTP.14564","Pearson.est","FLT3 inhibitor",-0.24436,-0.639,0.885,901,0.96,TRUE,FALSE,"FLT3 inhibitor, tyrosine kinase inhibitor"
"GTP.14564","Pearson.est","tyrosine kinase inhibitor",0.26217,0.708,0.793,280,0.989,TRUE,FALSE,"FLT3 inhibitor, tyrosine kinase inhibitor"
"GW.501516","Pearson.est","PPAR receptor agonist",0.29823,0.743,0.794,564,1,TRUE,FALSE,"PPAR receptor agonist"
"HA14.1","Pearson.est","BCL inhibitor",-0.38666,-1.06,0.363,844,0.68,TRUE,FALSE,"BCL inhibitor"
"IEM1754","Pearson.est","glutamate receptor antagonist",-0.27116,-0.861,0.62,1193,0.92,TRUE,FALSE,"glutamate receptor antagonist"
"IKK.2.inhibitor.V","Pearson.est","NFkB pathway inhibitor",0.27598,0.659,0.849,547,1,TRUE,FALSE,"IKK inhibitor, NFkB pathway inhibitor"
"JNJ.7706621","Pearson.est","CDK inhibitor",0.36374,0.882,0.623,193,0.92,TRUE,FALSE,"CDK inhibitor"
"KI.8751","Pearson.est","KIT inhibitor",0.31693,0.77,0.76,450,1,TRUE,FALSE,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"KI.8751","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.27322,0.663,0.875,465,1,TRUE,FALSE,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"KI.8751","Pearson.est","VEGFR inhibitor",0.26025,0.633,0.901,446,1,TRUE,FALSE,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"KW.2449","Pearson.est","Abl kinase inhibitor",-0.30501,-0.891,0.559,1172,0.833,TRUE,FALSE,"Abl kinase inhibitor, Aurora kinase inhibitor, FLT3 inhibitor"
"LY2334737","Pearson.est","ribonucleotide reductase inhibitor",0.31327,0.765,0.784,209,0.981,TRUE,FALSE,"antitumor agent, ribonucleotide reductase inhibitor"
"LY2784544","Pearson.est","JAK inhibitor",0.43017,0.971,0.527,178,0.868,TRUE,FALSE,"JAK inhibitor"
"LY303511","Pearson.est","PI3K inhibitor",0.32972,0.796,0.735,372,0.866,TRUE,FALSE,"casein kinase inhibitor, mTOR inhibitor, PI3K inhibitor"
"LY364947","Pearson.est","p38 MAPK inhibitor",-0.64507,-1.7,0.0487,1137,0.37,TRUE,FALSE,"TGF beta receptor inhibitor, p38 MAPK inhibitor"
"MGCD.265","Pearson.est","VEGFR inhibitor",-0.20465,-0.538,0.966,948,1,TRUE,FALSE,"VEGFR inhibitor"
"MK.2461","Pearson.est","FGFR inhibitor",-0.21653,-0.648,0.84,1264,0.978,TRUE,FALSE,"FGFR inhibitor, VEGFR inhibitor"
"MK.2461","Pearson.est","VEGFR inhibitor",0.30513,0.742,0.823,562,1,TRUE,FALSE,"FGFR inhibitor, VEGFR inhibitor"
"ML133","Pearson.est","potassium channel blocker",0.38101,0.987,0.477,450,0.923,TRUE,FALSE,"potassium channel blocker"
"MNS..3.4.Methylenedioxy.nitrostyrene.","Pearson.est","src inhibitor",-0.56216,-1.44,0.0912,960,0.652,TRUE,FALSE,"src inhibitor, syk inhibitor"
"NMS.873","Pearson.est","ATPase inhibitor",-0.46694,-1.29,0.196,1226,0.541,TRUE,FALSE,"ATPase inhibitor"
"NU6027","Pearson.est","CDK inhibitor",-0.4627,-1.29,0.195,1052,0.986,TRUE,FALSE,"CDK inhibitor"
"NVP.BVU972","Pearson.est","MET inhibitor",-0.69043,-2.06,0.00617,1291,0.108,TRUE,FALSE,"MET inhibitor"
"OSI.930","Pearson.est","KIT inhibitor",0.34373,0.812,0.734,573,0.884,TRUE,FALSE,"KIT inhibitor, VEGFR inhibitor"
"OSI.930","Pearson.est","VEGFR inhibitor",0.39004,0.936,0.563,573,0.783,TRUE,FALSE,"KIT inhibitor, VEGFR inhibitor"
"PD.173074","Pearson.est","FGFR inhibitor",0.28493,0.74,0.775,30,0.937,TRUE,FALSE,"FGFR inhibitor, VEGFR inhibitor"
"PD.173074","Pearson.est","VEGFR inhibitor",0.28651,0.746,0.76,432,0.948,TRUE,FALSE,"FGFR inhibitor, VEGFR inhibitor"
"PD.98059","Pearson.est","MEK inhibitor",-0.19152,-0.527,0.978,1009,0.975,TRUE,FALSE,"MEK inhibitor"
"PF.05212384","Pearson.est","mTOR inhibitor",0.3374,0.816,0.71,563,0.883,TRUE,FALSE,"mTOR inhibitor, PI3K inhibitor"
"PF.05212384","Pearson.est","PI3K inhibitor",0.39164,0.945,0.52,276,0.811,TRUE,FALSE,"mTOR inhibitor, PI3K inhibitor"
"PF.4981517","Pearson.est","cytochrome P450 inhibitor",0.33658,0.805,0.716,525,0.96,TRUE,FALSE,"cytochrome P450 inhibitor"
"PHA.793887","Pearson.est","CDK inhibitor",0.34302,0.815,0.715,559,1,TRUE,FALSE,"CDK inhibitor"
"PHA.848125","Pearson.est","CDK inhibitor",0.35259,0.872,0.64,385,0.847,TRUE,FALSE,"CDK inhibitor, growth factor receptor inhibitor"
"PI.103","Pearson.est","PI3K inhibitor",0.39652,0.945,0.548,597,0.98,TRUE,FALSE,"mTOR inhibitor, PI3K inhibitor"
"PI.828","Pearson.est","PI3K inhibitor",0.33219,0.819,0.675,290,0.897,TRUE,FALSE,"PI3K inhibitor"
"PIK.75","Pearson.est","PI3K inhibitor",0.32783,0.835,0.641,410,0.889,TRUE,FALSE,"DNA protein kinase inhibitor, PI3K inhibitor"
"PJ.34","Pearson.est","PARP inhibitor",0.2217,0.567,0.934,523,1,TRUE,FALSE,"PARP inhibitor"
"PLX.4720","Pearson.est","RAF inhibitor",0.34597,0.799,0.747,353,0.956,TRUE,FALSE,"RAF inhibitor"
"PP.121","Pearson.est","protein tyrosine kinase inhibitor",0.2589,0.594,0.958,250,1,TRUE,FALSE,"protein tyrosine kinase inhibitor"
"PPT","Pearson.est","estrogen receptor agonist",-0.29818,-0.743,0.757,1258,0.953,TRUE,FALSE,"estrogen receptor agonist"
"PSI.7976","Pearson.est","HCV inhibitor",-0.39877,-0.974,0.473,986,1,TRUE,FALSE,"HCV inhibitor"
"R547","Pearson.est","CDK inhibitor",0.31915,0.787,0.746,411,0.966,TRUE,FALSE,"CDK inhibitor"
"RAF265","Pearson.est","VEGFR inhibitor",0.27755,0.651,0.901,736,1,TRUE,FALSE,"RAF inhibitor, VEGFR inhibitor"
"RITA","Pearson.est","MDM inhibitor",0.39781,0.995,0.447,106,0.832,TRUE,FALSE,"MDM inhibitor"
"RS.17053","Pearson.est","adrenergic receptor antagonist",0.26848,0.712,0.819,422,1,TRUE,FALSE,"adrenergic receptor antagonist"
"RS.504393","Pearson.est","CC chemokine receptor antagonist",-0.71904,-1.89,0.00813,1169,0.186,TRUE,FALSE,"CC chemokine receptor antagonist"
"Ro.9187","Pearson.est","HCV inhibitor",0.30128,0.745,0.774,282,0.96,TRUE,FALSE,"HCV inhibitor"
"SAR131675","Pearson.est","VEGFR inhibitor",0.25288,0.603,0.941,486,0.991,TRUE,FALSE,"VEGFR inhibitor"
"SB.216641","Pearson.est","serotonin receptor antagonist",0.31844,0.802,0.701,189,1,TRUE,FALSE,"serotonin receptor antagonist"
"SB.218078","Pearson.est","CHK inhibitor",0.30981,0.76,0.78,78,0.958,TRUE,FALSE,"CHK inhibitor"
"SB.505124","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.28674,0.745,0.752,292,0.889,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"SGI.1027","Pearson.est","DNA methyltransferase inhibitor",-0.45105,-1.32,0.14,1341,0.557,TRUE,FALSE,"DNA methyltransferase inhibitor"
"SIB.1757","Pearson.est","glutamate receptor antagonist",-0.47324,-1.27,0.204,959,0.842,TRUE,FALSE,"glutamate receptor antagonist"
"SU014813","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.2564,0.654,0.894,654,0.93,TRUE,FALSE,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"SU014813","Pearson.est","VEGFR inhibitor",0.33945,0.86,0.648,519,0.996,TRUE,FALSE,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"TG.02","Pearson.est","CDK inhibitor",0.40088,0.965,0.495,200,0.973,TRUE,FALSE,"CDK inhibitor, FLT3 inhibitor, JAK inhibitor"
"TG.100572","Pearson.est","VEGFR inhibitor",0.28644,0.718,0.844,457,0.933,TRUE,FALSE,"src inhibitor, VEGFR inhibitor"
"TG.100713","Pearson.est","PI3K inhibitor",0.39646,0.972,0.499,435,0.915,TRUE,FALSE,"PI3K inhibitor"
"TG.101209","Pearson.est","JAK inhibitor",0.42044,0.997,0.476,391,0.969,TRUE,FALSE,"JAK inhibitor"
"TG.101348","Pearson.est","FLT3 inhibitor",0.37117,0.917,0.574,593,0.979,TRUE,FALSE,"FLT3 inhibitor, JAK inhibitor"
"TG.101348","Pearson.est","JAK inhibitor",0.35842,0.87,0.641,612,0.889,TRUE,FALSE,"FLT3 inhibitor, JAK inhibitor"
"TG100.115","Pearson.est","PI3K inhibitor",-0.26869,-0.676,0.825,839,0.925,TRUE,FALSE,"PI3K inhibitor"
"TH.302","Pearson.est","DNA alkylating agent",0.34785,0.888,0.599,435,0.816,TRUE,FALSE,"DNA alkylating agent"
"TW.37","Pearson.est","BCL inhibitor",-0.39299,-1.17,0.24,527,0.67,TRUE,FALSE,"BCL inhibitor"
"UH.232....","Pearson.est","dopamine receptor antagonist",0.30853,0.76,0.749,536,0.886,TRUE,FALSE,"dopamine receptor antagonist"
"WHI.P154","Pearson.est","JAK inhibitor",0.32554,0.776,0.774,579,1,TRUE,FALSE,"JAK inhibitor"
"XL.647","Pearson.est","VEGFR inhibitor",0.23593,0.6,0.913,192,0.965,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"XL388","Pearson.est","mTOR inhibitor",-0.47585,-1.11,0.351,1090,0.748,TRUE,FALSE,"mTOR inhibitor"
"ZK.93423","Pearson.est","benzodiazepine receptor agonist",-0.43585,-1.24,0.208,1010,0.807,TRUE,FALSE,"benzodiazepine receptor agonist"
"ZK811752","Pearson.est","CC chemokine receptor antagonist",0.3152,0.77,0.743,99,0.939,TRUE,FALSE,"CC chemokine receptor antagonist"
"ZM.306416","Pearson.est","Abl kinase inhibitor",-0.32746,-0.938,0.514,1145,0.925,TRUE,FALSE,"Abl kinase inhibitor, src inhibitor, VEGFR inhibitor"
"ZM.306416","Pearson.est","VEGFR inhibitor",0.34579,0.833,0.687,451,0.875,TRUE,FALSE,"Abl kinase inhibitor, src inhibitor, VEGFR inhibitor"
"acetylsalicylsalicylic.acid","Pearson.est","cyclooxygenase inhibitor",-0.26081,-0.785,0.711,1315,0.925,TRUE,FALSE,"cyclooxygenase inhibitor"
"adaprev","Pearson.est","TGF beta receptor inhibitor",-0.6998,-1.94,0.0214,975,0.142,TRUE,FALSE,"TGF beta receptor inhibitor"
"alpelisib","Pearson.est","PI3K inhibitor",-0.36157,-0.911,0.568,681,0.849,TRUE,FALSE,"PI3K inhibitor"
"altretamine","Pearson.est","DNA synthesis inhibitor",0.3253,0.826,0.659,365,0.838,TRUE,FALSE,"DNA synthesis inhibitor"
"alvocidib","Pearson.est","CDK inhibitor",0.35549,0.832,0.672,173,0.944,TRUE,FALSE,"CDK inhibitor"
"amfenac","Pearson.est","cyclooxygenase inhibitor",-0.29826,-0.731,0.797,1094,0.977,TRUE,FALSE,"cyclooxygenase inhibitor"
"aminopurvalanol.a","Pearson.est","CDK inhibitor",0.30658,0.756,0.772,463,1,TRUE,FALSE,"CDK inhibitor, tyrosine kinase inhibitor"
"aminopurvalanol.a","Pearson.est","tyrosine kinase inhibitor",0.29753,0.724,0.818,147,1,TRUE,FALSE,"CDK inhibitor, tyrosine kinase inhibitor"
"amisulpride","Pearson.est","dopamine receptor antagonist",-0.47768,-1.36,0.154,1273,1,TRUE,FALSE,"dopamine receptor antagonist"
"anisomycin","Pearson.est","DNA synthesis inhibitor",0.37494,0.881,0.647,421,0.936,TRUE,FALSE,"DNA synthesis inhibitor"
"apatinib","Pearson.est","RET tyrosine kinase inhibitor",-0.32753,-0.998,0.376,1317,0.896,TRUE,FALSE,"RET tyrosine kinase inhibitor"
"arctigenin","Pearson.est","MEK inhibitor",0.34455,0.807,0.726,460,0.944,TRUE,FALSE,"MEK inhibitor"
"arcyriaflavin.a","Pearson.est","CDK inhibitor",0.19607,0.486,0.982,52,0.982,TRUE,FALSE,"CDK inhibitor"
"artesunate","Pearson.est","DNA synthesis inhibitor",-0.20428,-0.59,0.922,1211,1,TRUE,FALSE,"DNA synthesis inhibitor"
"aspirin","Pearson.est","cyclooxygenase inhibitor",-0.19828,-0.55,0.951,1174,1,TRUE,FALSE,"cyclooxygenase inhibitor"
"atenolol....","Pearson.est","adrenergic receptor antagonist",-0.32249,-0.863,0.611,1295,1,TRUE,FALSE,"adrenergic receptor antagonist"
"atenolol......","Pearson.est","adrenergic receptor antagonist",0.25709,0.632,0.882,453,0.992,TRUE,FALSE,"adrenergic receptor antagonist"
"atipamezole","Pearson.est","adrenergic receptor antagonist",-0.26937,-0.774,0.709,1258,1,TRUE,FALSE,"adrenergic receptor antagonist"
"atiprimod","Pearson.est","JAK inhibitor",-0.44431,-1.16,0.283,918,0.535,TRUE,FALSE,"JAK inhibitor, STAT inhibitor"
"avanafil","Pearson.est","phosphodiesterase inhibitor",0.33493,0.839,0.655,753,1,TRUE,FALSE,"phosphodiesterase inhibitor"
"axitinib","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.2817,0.703,0.826,306,0.952,TRUE,FALSE,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"axitinib","Pearson.est","VEGFR inhibitor",0.2951,0.729,0.828,396,0.953,TRUE,FALSE,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"azalomycin.b","Pearson.est","bacterial 50S ribosomal subunit inhibitor",-0.4324,-1.11,0.342,1276,0.633,TRUE,FALSE,"bacterial 50S ribosomal subunit inhibitor"
"azithromycin","Pearson.est","bacterial 50S ribosomal subunit inhibitor",-0.48171,-1.25,0.23,1266,0.594,TRUE,FALSE,"bacterial 50S ribosomal subunit inhibitor"
"azodicarbonamide","Pearson.est","DNA synthesis inhibitor",-0.48185,-1.31,0.189,1130,0.62,TRUE,FALSE,"DNA synthesis inhibitor"
"bendamustine","Pearson.est","DNA inhibitor",-0.22598,-0.629,0.922,301,0.903,TRUE,FALSE,"DNA inhibitor"
"bentazepam","Pearson.est","benzodiazepine receptor agonist",-0.42162,-1.13,0.285,1189,0.846,TRUE,FALSE,"benzodiazepine receptor agonist"
"benzethonium","Pearson.est","sodium channel blocker",-0.22996,-0.686,0.874,307,0.904,TRUE,FALSE,"sodium channel blocker"
"benzocaine","Pearson.est","sodium channel blocker",-0.24332,-0.697,0.829,1346,1,TRUE,FALSE,"sodium channel blocker"
"beta.lapachone","Pearson.est","topoisomerase inhibitor",-0.3993,-1.02,0.423,982,0.759,TRUE,FALSE,"topoisomerase inhibitor"
"bicalutamide","Pearson.est","androgen receptor antagonist",0.3638,0.992,0.448,43,0.927,TRUE,FALSE,"androgen receptor antagonist"
"bindarit","Pearson.est","NFkB pathway inhibitor",0.24216,0.594,0.935,570,1,TRUE,FALSE,"NFkB pathway inhibitor"
"blebbistatin....","Pearson.est","ATPase inhibitor",-0.40571,-1.02,0.422,1092,1,TRUE,FALSE,"ATPase inhibitor"
"bortezomib","Pearson.est","NFkB pathway inhibitor",0.2448,0.583,0.943,370,1,TRUE,FALSE,"NFkB pathway inhibitor, proteasome inhibitor"
"bosutinib","Pearson.est","Abl kinase inhibitor",0.29665,0.735,0.811,664,0.945,TRUE,FALSE,"Abl kinase inhibitor, Bcr-Abl kinase inhibitor, src inhibitor"
"brefeldin.a","Pearson.est","protein synthesis inhibitor",-0.26948,-0.661,0.885,890,0.987,TRUE,FALSE,"protein synthesis inhibitor"
"brigatinib","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.40793,0.988,0.461,295,0.948,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor, EGFR inhibitor"
"buphenine","Pearson.est","adrenergic receptor agonist",0.38836,0.958,0.514,368,0.772,TRUE,FALSE,"adrenergic receptor agonist"
"busulfan","Pearson.est","DNA inhibitor",0.23245,0.546,0.966,422,0.976,TRUE,FALSE,"DNA inhibitor"
"butamben","Pearson.est","sodium channel blocker",0.28401,0.745,0.747,222,0.793,TRUE,FALSE,"sodium channel blocker"
"cabozantinib","Pearson.est","VEGFR inhibitor",0.31945,0.79,0.72,323,0.879,TRUE,FALSE,"RET tyrosine kinase inhibitor, VEGFR inhibitor"
"capecitabine","Pearson.est","DNA synthesis inhibitor",-0.25105,-0.657,0.853,971,1,TRUE,FALSE,"DNA synthesis inhibitor, thymidylate synthase inhibitor"
