"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.75155,2.36,0,165,0.011
"Abl kinase inhibitor","NES","Abl kinase inhibitor",-0.3717,-1.32,0.186,1219,0.61
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",-0.87044,-3.27,0,1169,0
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",-0.25406,-0.921,0.491,1172,0.967
"adenosine receptor antagonist","NES","adenosine receptor antagonist",0.69896,2.32,0.00321,297,0.0827
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.49,1.65,0.0501,414,0.507
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",-0.35535,-1.26,0.226,983,0.782
"AKT inhibitor","NES","AKT inhibitor",0.4497,1.55,0.0776,331,0.621
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.41925,1.45,0.13,508,0.473
"androgen receptor antagonist","NES","androgen receptor antagonist",0.24959,0.86,0.597,189,1
"antioxidant","NES","antioxidant",0.34161,1.15,0.297,462,0.634
"AP inhibitor","NES","AP inhibitor",0.49883,1.72,0.045,163,0.734
"ATPase inhibitor","NES","ATPase inhibitor",-0.30099,-1.09,0.341,1094,0.586
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.56055,1.8,0.021,326,0.462
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.4629,-1.62,0.0742,1129,0.301
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",-0.63812,-2.37,0.00478,1315,0.106
"BCL inhibitor","NES","BCL inhibitor",0.36916,1.29,0.21,397,1
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",-0.28848,-1.04,0.405,1265,0.67
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",-0.29125,-0.988,0.455,1088,0.913
"bromodomain inhibitor","NES","bromodomain inhibitor",0.86652,2.84,0,185,0.00094
"calcium channel blocker","NES","calcium channel blocker",0.43854,1.46,0.112,276,0.694
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",0.22081,0.75,0.728,312,0.892
"CDK inhibitor","NES","CDK inhibitor",0.38788,1.3,0.199,564,0.706
"CHK inhibitor","NES","CHK inhibitor",0.76793,2.64,0,68,0.00648
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.15877,0.574,0.888,440,0.897
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",0.36776,1.24,0.224,117,0.634
"DNA alkylating agent","NES","DNA alkylating agent",0.28616,0.964,0.509,747,0.732
"DNA inhibitor","NES","DNA inhibitor",-0.26841,-0.976,0.45,677,0.939
"DNA methyltransferase inhibitor","NES","DNA methyltransferase inhibitor",0.41583,1.43,0.12,214,0.567
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",0.21992,0.749,0.717,493,0.928
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",0.32526,1.09,0.342,683,0.688
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.40455,1.32,0.19,370,0.76
"estrogen receptor agonist","NES","estrogen receptor agonist",-0.41872,-1.46,0.115,1342,0.748
"estrogen receptor antagonist","NES","estrogen receptor antagonist",-0.28887,-0.998,0.43,884,0.868
"FGFR inhibitor","NES","FGFR inhibitor",0.19094,0.654,0.827,243,0.904
"FLT3 inhibitor","NES","FLT3 inhibitor",0.23716,0.803,0.643,275,0.944
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.80255,2.7,0,182,0.00453
"glutamate receptor antagonist","NES","glutamate receptor antagonist",0.27309,0.959,0.512,733,0.687
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.74225,2.49,0,291,0.0248
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",0.40119,1.4,0.154,810,0.823
"HDAC inhibitor","NES","HDAC inhibitor",0.6959,2.22,0.00439,170,0.0832
"histamine receptor antagonist","NES","histamine receptor antagonist",0.37913,1.29,0.199,257,0.662
"HMGCR inhibitor","NES","HMGCR inhibitor",0.84128,2.92,0,219,0.00103
"HSP inhibitor","NES","HSP inhibitor",0.76985,2.53,0,195,0.00985
"JAK inhibitor","NES","JAK inhibitor",0.33772,1.12,0.34,814,0.764
"KIT inhibitor","NES","KIT inhibitor",-0.32015,-1.13,0.325,1233,0.763
"MDM inhibitor","NES","MDM inhibitor",0.47441,1.61,0.0702,39,0.911
"MEK inhibitor","NES","MEK inhibitor",0.74102,2.5,0,127,0.0193
"MET inhibitor","NES","MET inhibitor",-0.2587,-0.871,0.562,1343,0.921
"microtubule inhibitor","NES","microtubule inhibitor",0.5773,1.96,0.00965,576,0.185
"mTOR inhibitor","NES","mTOR inhibitor",0.58715,1.92,0.0181,135,0.447
"NFkB pathway inhibitor","NES","NFkB pathway inhibitor",0.19413,0.633,0.858,835,0.954
"opioid receptor agonist","NES","opioid receptor agonist",-0.17972,-0.643,0.825,241,0.963
"p38 MAPK inhibitor","NES","p38 MAPK inhibitor",0.5448,1.8,0.0374,315,0.555
"PARP inhibitor","NES","PARP inhibitor",0.58514,1.96,0.0173,205,0.281
"PDGFR tyrosine kinase receptor inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.19209,-0.686,0.75,1050,0.94
"phosphatase inhibitor","NES","phosphatase inhibitor",0.19874,0.656,0.813,675,0.904
"phosphodiesterase inhibitor","NES","phosphodiesterase inhibitor",0.33084,1.14,0.299,906,0.629
"PI3K inhibitor","NES","PI3K inhibitor",0.46234,1.53,0.0878,493,0.505
"PLK inhibitor","NES","PLK inhibitor",0.67213,2.26,0.00328,447,0.126
"potassium channel blocker","NES","potassium channel blocker",0.34738,1.18,0.287,488,0.586
"PPAR receptor agonist","NES","PPAR receptor agonist",0.39644,1.29,0.208,544,1
"progesterone receptor agonist","NES","progesterone receptor agonist",0.14455,0.478,0.948,478,1
"proteasome inhibitor","NES","proteasome inhibitor",0.63714,2.15,0.002,255,0.26
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.42519,1.39,0.148,206,0.566
"protein tyrosine kinase inhibitor","NES","protein tyrosine kinase inhibitor",0.35713,1.21,0.266,635,0.795
"RAF inhibitor","NES","RAF inhibitor",0.38597,1.28,0.22,604,0.668
"RET tyrosine kinase inhibitor","NES","RET tyrosine kinase inhibitor",-0.47474,-1.62,0.09,1245,0.373
"retinoid receptor agonist","NES","retinoid receptor agonist",0.72187,2.53,0,279,0.0355
"ribonucleotide reductase inhibitor","NES","ribonucleotide reductase inhibitor",0.24577,0.824,0.637,321,0.949
"serotonin receptor antagonist","NES","serotonin receptor antagonist",0.37998,1.25,0.231,459,0.599
"sodium channel blocker","NES","sodium channel blocker",0.38311,1.28,0.199,447,0.827
"src inhibitor","NES","src inhibitor",0.61393,2,0.0108,410,0.462
"sterol demethylase inhibitor","NES","sterol demethylase inhibitor",-0.28657,-1.04,0.389,384,0.74
"TGF beta receptor inhibitor","NES","TGF beta receptor inhibitor",0.72062,2.41,0,148,0.042
"thymidylate synthase inhibitor","NES","thymidylate synthase inhibitor",-0.39911,-1.44,0.146,536,0.814
"topoisomerase inhibitor","NES","topoisomerase inhibitor",0.66583,2.15,0.00296,221,0.0438
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",0.66185,2.13,0.00158,353,0.0722
"tyrosine kinase inhibitor","NES","tyrosine kinase inhibitor",-0.24962,-0.98,0.427,634,0.779
"VEGFR inhibitor","NES","VEGFR inhibitor",-0.096949,-0.358,0.997,228,0.994
"vitamin D receptor agonist","NES","vitamin D receptor agonist",0.62742,2.06,0.0106,507,0.121
