"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.75155,2.36,0,0.011,TRUE,4.62231326302659,0.75155,2.36,0,0.011,TRUE,4.62231326302659,2,4.62231326302659,0,2.36,0,1.45403825662008e-05,TRUE,100,"TRUE","TRUE"
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",-0.15542,-0.581,0.926,1,FALSE,0,-0.2889,-0.942,0.522,0.785,FALSE,-0.0990327833459721,0,-0.049516391672986,0.0700267526637151,-0.7615,0.255265548008344,0.834768331584907,FALSE,1.21951219512195,"FALSE","FALSE"
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",-0.32396,-1.18,0.293,0.982,FALSE,-0.0093084444113994,-0.40842,-1.32,0.184,0.584,FALSE,-0.308335041811633,0,-0.158821743111516,0.211443734776845,-1.25,0.0989949493661167,0.211356722939426,FALSE,0,"FALSE","FALSE"
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",-0.14805,-0.527,0.918,0.961,FALSE,-0.0091047746986766,-0.23098,-0.725,0.771,0.912,FALSE,-0.0290037422118983,0,-0.0190542584552874,0.0140706948672098,-0.626,0.140007142674936,0.952403625292342,FALSE,0,"FALSE","FALSE"
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",0.32291,1.07,0.374,0.787,FALSE,0.111307036375801,0.42559,1.33,0.145,0.458,FALSE,0.451048914254854,0,0.281177975315327,0.24023378570133,1.2,0.183847763108502,0.212284474813145,FALSE,0,"TRUE","FALSE"
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",0.16755,0.569,0.905,0.982,FALSE,0.00448856344922564,0.201,0.608,0.874,0.91,FALSE,0.0249028334687751,0,0.0146956984590004,0.0144350687637966,0.5885,0.0275771644662754,0.976448698882412,FALSE,0,"FALSE","FALSE"
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",0.33513,1.14,0.346,0.764,FALSE,0.133273571223713,0.29076,0.903,0.546,0.756,FALSE,0.109694818662411,0,0.121484194943062,0.016672695828017,1.0215,0.167584307141212,0.503735598517749,FALSE,0,"FALSE","FALSE"
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.33901,1.16,0.289,0.711,FALSE,0.171831263153471,0.37379,1.18,0.265,0.524,FALSE,0.331189081359202,0,0.251510172256337,0.112682993888366,1.17,0.014142135623731,0.273358979449448,FALSE,0,"FALSE","FALSE"
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",-0.19988,-0.723,0.722,0.831,FALSE,-0.0581284598040878,-0.30722,-0.968,0.466,0.817,FALSE,-0.0849690492766218,0,-0.0715487545403548,0.0189791628270731,-0.8455,0.173241161390704,0.702949091244585,FALSE,1.23456790123457,"FALSE","FALSE"
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.21948,-0.743,0.738,0.966,FALSE,-0.0111619950732885,-0.32361,-1.02,0.404,0.744,FALSE,-0.130995605743204,0,-0.0710788004082461,0.0847351587187657,-0.8815,0.195868578388674,0.658961195992012,FALSE,0,"FALSE","FALSE"
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",0.29609,1.03,0.399,0.674,FALSE,0.176480306568621,0.45396,1.4,0.127,0.394,FALSE,0.566305289444196,0,0.371392798006408,0.275647888867249,1.215,0.261629509039022,0.201798232393547,FALSE,0,"FALSE","FALSE"
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",-0.41135,-1.4,0.136,0.856,FALSE,-0.0945367294519855,-0.63268,-2.01,0.011,0.113,TRUE,-1.90331232859833,1,-0.998924529025156,1.27899749180114,-1.705,0.431335136523794,0.0112274207575471,FALSE,0,"FALSE","FALSE"
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",-0.32983,-1.16,0.298,0.564,FALSE,-0.288516239379323,-0.30343,-0.943,0.499,0.809,FALSE,-0.0868045441196272,0,-0.187660391749475,0.142631707562765,-1.0515,0.153442171517481,0.432099903709634,FALSE,0,"FALSE","FALSE"
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.38761,-1.42,0.126,0.389,FALSE,-0.582271566117495,-0.3721,-1.17,0.266,0.642,FALSE,-0.225184017159442,0,-0.403727791638468,0.252499027345523,-1.295,0.176776695296637,0.147327365182218,FALSE,1.0752688172043,"FALSE","FALSE"
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",-0.30991,-1.13,0.324,0.491,FALSE,-0.349077913901046,-0.49804,-1.55,0.083,0.351,FALSE,-0.704773969477973,0,-0.526925941689509,0.251515092939752,-1.34,0.29698484809835,0.124131493673222,FALSE,0,"FALSE","FALSE"
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",-0.25195,-0.924,0.513,0.994,FALSE,-0.0024149808168825,-0.35859,-1.13,0.31,0.682,FALSE,-0.187823656638179,0,-0.0951193187275306,0.131103731964057,-1.027,0.145663996924429,0.451432483907435,FALSE,0,"FALSE","FALSE"
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",0.32382,1.11,0.334,1,FALSE,0,0.32879,1.01,0.425,0.67,FALSE,0.175664449272165,0,0.0878322246360826,0.124213523293748,1.06,0.0707106781186548,0.419076202221165,FALSE,0,"FALSE","FALSE"
"Bcr.Abl kinase inhibitor & EGFR inhibitor","Bcr.Abl kinase inhibitor","EGFR inhibitor",-0.26001,-0.945,0.476,0.758,FALSE,-0.113712600677709,-0.2929,-0.941,0.484,0.762,FALSE,-0.111080371969436,0,-0.112396486323573,0.00186126676925409,-0.943,0.00282842712474619,0.568589508307785,FALSE,0,"FALSE","FALSE"
"benzodiazepine receptor agonist & EGFR inhibitor","benzodiazepine receptor agonist","EGFR inhibitor",0.29071,0.953,0.477,0.731,FALSE,0.129686739759159,0.29904,0.911,0.523,0.773,FALSE,0.101868481040406,0,0.115777610399782,0.019670479380832,0.932,0.0296984848098349,0.59583968048576,FALSE,0,"FALSE","FALSE"
"bromodomain inhibitor & EGFR inhibitor","bromodomain inhibitor","EGFR inhibitor",0.41249,1.34,0.17,0.611,FALSE,0.286704778274977,0.57558,1.75,0.0339,0.209,TRUE,1.18974399930566,1,0.738224388790316,0.63854515686821,1.545,0.289913780286484,0.0354787402249186,FALSE,0,"TRUE","FALSE"
"calcium channel blocker & EGFR inhibitor","calcium channel blocker","EGFR inhibitor",0.38838,1.28,0.214,0.75,FALSE,0.159921582858624,0.38608,1.23,0.261,0.51,FALSE,0.359688683399538,0,0.259805133129081,0.141256671450455,1.255,0.0353553390593274,0.216993579530904,FALSE,0,"FALSE","FALSE"
"CC chemokine receptor antagonist & EGFR inhibitor","CC chemokine receptor antagonist","EGFR inhibitor",0.23458,0.797,0.671,0.91,FALSE,0.0326440103200884,0.35682,1.11,0.34,0.599,FALSE,0.247056227147864,0,0.139850118733976,0.151612332488161,0.9535,0.221324422511389,0.565284334583657,FALSE,0,"FALSE","FALSE"
"CDK inhibitor & EGFR inhibitor","CDK inhibitor","EGFR inhibitor",-0.27003,-0.985,0.468,0.77,FALSE,-0.111806635705105,-0.19617,-0.607,0.871,0.945,FALSE,-0.0149128922348774,0,-0.0633597639699914,0.0685142230623479,-0.796,0.267286363288515,0.77343348345311,FALSE,0,"FALSE","FALSE"
"CHK inhibitor & EGFR inhibitor","CHK inhibitor","EGFR inhibitor",0.11723,0.397,0.988,1,FALSE,0,-0.24337,-0.776,0.711,0.859,FALSE,-0.051221304866956,0,-0.025610652433478,0.0362189320126481,-0.1895,0.82943625433182,0.950548388891475,FALSE,0,"TRUE","FALSE"
"cyclooxygenase inhibitor & EGFR inhibitor","cyclooxygenase inhibitor","EGFR inhibitor",-0.38239,-1.29,0.204,0.675,FALSE,-0.220198133047978,-0.26361,-0.827,0.617,0.799,FALSE,-0.0805938135073291,0,-0.150395973277653,0.0987151610301264,-1.0585,0.327390439689372,0.38673214122374,FALSE,0,"FALSE","FALSE"
"cytochrome P450 inhibitor & EGFR inhibitor","cytochrome P450 inhibitor","EGFR inhibitor",-0.31292,-1.1,0.339,0.758,FALSE,-0.132363873804741,-0.39615,-1.23,0.24,0.634,FALSE,-0.243430212805469,0,-0.187897043305105,0.0785357614689785,-1.165,0.0919238815542511,0.285481787456396,FALSE,0,"FALSE","FALSE"
"DNA alkylating agent & EGFR inhibitor","DNA alkylating agent","EGFR inhibitor",-0.28142,-1.03,0.399,0.621,FALSE,-0.213115651818122,-0.22513,-0.706,0.788,0.894,FALSE,-0.0343557117300821,0,-0.123735681774102,0.126402365840754,-0.868,0.229102597104441,0.678202735115092,FALSE,0,"FALSE","FALSE"
"DNA inhibitor & EGFR inhibitor","DNA inhibitor","EGFR inhibitor",0.37783,1.31,0.2,0.628,FALSE,0.264672866704273,0.26557,0.827,0.644,0.82,FALSE,0.0712759440786663,0,0.16797440539147,0.136752275449177,1.0685,0.341532575313102,0.392774887132171,FALSE,0,"FALSE","FALSE"
"DNA methyltransferase inhibitor & EGFR inhibitor","DNA methyltransferase inhibitor","EGFR inhibitor",-0.51832,-1.84,0.0337,0.502,FALSE,-0.550705160453164,-0.55457,-1.73,0.0331,0.234,TRUE,-1.09125656668045,1,-0.820980863566809,0.38222756492324,-1.785,0.0777817459305203,0.00869896985895454,FALSE,0,"FALSE","FALSE"
"DNA polymerase inhibitor & EGFR inhibitor","DNA polymerase inhibitor","EGFR inhibitor",0.097397,0.325,0.999,0.997,FALSE,0.000424073548711891,0.18643,0.579,0.928,0.908,FALSE,0.0242682937062917,0,0.0123461836275018,0.0168604097655297,0.452,0.179605122421383,0.997273643264215,FALSE,0,"FALSE","FALSE"
"DNA synthesis inhibitor & EGFR inhibitor","DNA synthesis inhibitor","EGFR inhibitor",-0.55325,-2.02,0.00838,0.263,FALSE,-1.17168938805069,-0.43579,-1.42,0.114,0.496,FALSE,-0.43241601938392,0,-0.802052703717304,0.522745212134895,-1.72,0.424264068711929,0.0075981034148398,FALSE,0,"FALSE","FALSE"
"dopamine receptor antagonist & EGFR inhibitor","dopamine receptor antagonist","EGFR inhibitor",0.32014,1.08,0.381,0.813,FALSE,0.0971022107584064,0.24273,0.762,0.725,0.86,FALSE,0.0499121801524014,0,0.0735071954554039,0.0333683906459069,0.921,0.224859956417322,0.631599381117076,FALSE,0,"FALSE","FALSE"
