"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.79235,2.17,0,185,0.0151
"EGFR inhibitor","NES","Abl kinase inhibitor",-0.59945,-1.69,0.0523,731,0.137
"EGFR inhibitor","NES","adenosine receptor antagonist",0.47464,1.32,0.199,345,0.269
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.20995,-0.598,0.881,802,0.925
"EGFR inhibitor","NES","AKT inhibitor",0.50986,1.43,0.12,321,0.232
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.30844,0.857,0.587,531,0.641
"EGFR inhibitor","NES","AP inhibitor",-0.769,-2.2,0.00232,878,0.0561
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.42568,-1.21,0.268,626,0.402
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.59945,-1.72,0.0342,731,0.133
"EGFR inhibitor","NES","bromodomain inhibitor",0.56335,1.58,0.0561,423,0.194
"EGFR inhibitor","NES","calcium channel blocker",0.34467,0.974,0.468,207,0.56
"EGFR inhibitor","NES","CHK inhibitor",-0.28623,-0.82,0.656,827,0.73
"EGFR inhibitor","NES","DNA alkylating agent",-0.58671,-1.67,0.0469,649,0.136
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.31052,-0.881,0.568,905,0.677
"EGFR inhibitor","NES","DNA synthesis inhibitor",-0.60565,-1.74,0.0349,579,0.137
"EGFR inhibitor","NES","dopamine receptor antagonist",0.48634,1.35,0.176,498,0.262
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.43546,1.21,0.24,324,0.331
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.49576,1.39,0.152,228,0.245
"EGFR inhibitor","NES","growth factor receptor inhibitor",0.5424,1.57,0.0759,346,0.177
"EGFR inhibitor","NES","HDAC inhibitor",0.55891,1.54,0.0851,332,0.181
"EGFR inhibitor","NES","histamine receptor antagonist",-0.31515,-0.907,0.522,889,0.667
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",-0.37339,-1.07,0.382,716,0.471
"EGFR inhibitor","NES","HMGCR inhibitor",-0.74667,-2.11,0.00446,899,0.0412
"EGFR inhibitor","NES","HSP inhibitor",-0.68879,-1.97,0.00662,761,0.0737
"EGFR inhibitor","NES","JAK inhibitor",-0.45236,-1.3,0.192,432,0.404
"EGFR inhibitor","NES","MEK inhibitor",0.81471,2.26,0,145,0.0139
"EGFR inhibitor","NES","microtubule inhibitor",-0.41115,-1.18,0.265,391,0.411
"EGFR inhibitor","NES","mTOR inhibitor",-0.17139,-0.479,0.968,236,0.965
"EGFR inhibitor","NES","p38 MAPK inhibitor",0.62866,1.73,0.0378,360,0.106
"EGFR inhibitor","NES","PARP inhibitor",-0.63442,-1.83,0.0403,698,0.131
"EGFR inhibitor","NES","phosphatase inhibitor",-0.38297,-1.08,0.372,842,0.481
"EGFR inhibitor","NES","PI3K inhibitor",0.44504,1.22,0.264,262,0.342
"EGFR inhibitor","NES","PLK inhibitor",-0.57927,-1.62,0.0662,673,0.156
"EGFR inhibitor","NES","proteasome inhibitor",-0.26806,-0.777,0.712,256,0.759
"EGFR inhibitor","NES","protein synthesis inhibitor",-0.44969,-1.29,0.176,429,0.362
"EGFR inhibitor","NES","protein tyrosine kinase inhibitor",0.72699,2.03,0.0038,266,0.031
"EGFR inhibitor","NES","RAF inhibitor",-0.38316,-1.08,0.355,933,0.481
"EGFR inhibitor","NES","retinoid receptor agonist",0.26001,0.726,0.765,143,0.76
"EGFR inhibitor","NES","serotonin receptor agonist",0.52235,1.46,0.133,84,0.227
"EGFR inhibitor","NES","serotonin receptor antagonist",0.31763,0.878,0.59,264,0.649
"EGFR inhibitor","NES","sodium channel blocker",-0.74212,-2.11,0.0152,790,0.0412
"EGFR inhibitor","NES","SYK inhibitor",-0.43828,-1.25,0.211,419,0.381
"EGFR inhibitor","NES","TGF beta receptor inhibitor",-0.45005,-1.29,0.214,831,0.362
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.63555,-1.82,0.0202,726,0.114
"EGFR inhibitor","NES","tubulin polymerization inhibitor",-0.54457,-1.54,0.0859,637,0.193
"EGFR inhibitor","NES","tyrosine kinase inhibitor",0.66408,1.83,0.0288,266,0.0725
"EGFR inhibitor","NES","vitamin D receptor agonist",0.65742,1.84,0.0156,255,0.0856
"Abl kinase inhibitor","NES","EGFR inhibitor",-0.23713,-0.786,0.664,578,0.905
"Abl kinase inhibitor","NES","Abl kinase inhibitor",-0.21889,-0.74,0.759,939,0.901
"Abl kinase inhibitor","NES","adenosine receptor antagonist",-0.16478,-0.529,0.938,819,0.921
"Abl kinase inhibitor","NES","adrenergic receptor agonist",-0.27496,-0.886,0.576,799,0.89
"Abl kinase inhibitor","NES","AKT inhibitor",0.27174,0.822,0.649,508,0.849
"Abl kinase inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.4392,1.33,0.196,542,0.54
"Abl kinase inhibitor","NES","AP inhibitor",0.54393,1.64,0.0475,441,0.526
"Abl kinase inhibitor","NES","Aurora kinase inhibitor",0.41711,1.25,0.236,249,0.542
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",-0.21889,-0.705,0.783,939,0.884
"Abl kinase inhibitor","NES","bromodomain inhibitor",0.27958,0.851,0.633,694,0.884
