"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.79235,2.17,0,185,0.0151
"Abl kinase inhibitor","NES","Abl kinase inhibitor",-0.21889,-0.74,0.759,939,0.901
"adenosine receptor antagonist","NES","adenosine receptor antagonist",0.77906,2.29,0,217,0.0252
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.77778,2.34,0.0019,219,0.019
"AKT inhibitor","NES","AKT inhibitor",0.76205,2.4,0,234,0.0135
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.64675,1.94,0.0159,344,0.181
"AP inhibitor","NES","AP inhibitor",0.62679,1.93,0.00803,110,0.181
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.60592,1.77,0.0219,229,0.239
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",-0.2636,-0.841,0.633,252,0.963
"bromodomain inhibitor","NES","bromodomain inhibitor",0.85849,2.58,0.0015,141,0.000852
"calcium channel blocker","NES","calcium channel blocker",0.60296,1.84,0.0312,199,0.248
"CHK inhibitor","NES","CHK inhibitor",0.82475,2.49,0,49,0.00577
"DNA alkylating agent","NES","DNA alkylating agent",0.60774,1.81,0.0287,380,0.186
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",0.49506,1.51,0.0953,357,0.381
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",0.67573,2,0.00847,315,0.098
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.73424,2.14,0,262,0.0275
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.83532,2.39,0,128,0.0056
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.79372,2.32,0,203,0.0228
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",0.38429,1.18,0.279,593,0.686
"HDAC inhibitor","NES","HDAC inhibitor",0.74815,2.19,0,129,0.0255
"histamine receptor antagonist","NES","histamine receptor antagonist",0.85519,2.62,0,146,0.00101
"HMGCR inhibitor","NES","HMGCR inhibitor",0.84084,2.5,0,158,0.00327
"HSP inhibitor","NES","HSP inhibitor",0.80425,2.42,0,148,0.00399
"JAK inhibitor","NES","JAK inhibitor",0.78429,2.36,0,212,0.00848
"MEK inhibitor","NES","MEK inhibitor",0.90707,2.72,0,102,0.00246
"microtubule inhibitor","NES","microtubule inhibitor",0.57098,1.68,0.0379,418,0.147
"mTOR inhibitor","NES","mTOR inhibitor",0.67328,1.99,0.00489,98,0.08
"p38 MAPK inhibitor","NES","p38 MAPK inhibitor",0.76883,2.29,0,226,0.016
"PARP inhibitor","NES","PARP inhibitor",0.85983,2.56,0,139,0
"phosphatase inhibitor","NES","phosphatase inhibitor",0.27143,0.826,0.63,474,0.841
"PI3K inhibitor","NES","PI3K inhibitor",0.70914,2.09,0.00448,244,0.029
"PLK inhibitor","NES","PLK inhibitor",0.66143,2,0.0114,330,0.115
"proteasome inhibitor","NES","proteasome inhibitor",0.68446,2.09,0.00544,186,0.148
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.85639,2.51,0,144,0.00222
"protein tyrosine kinase inhibitor","NES","protein tyrosine kinase inhibitor",0.54289,1.64,0.058,442,0.465
"RAF inhibitor","NES","RAF inhibitor",0.57322,1.68,0.0498,413,0.509
"retinoid receptor agonist","NES","retinoid receptor agonist",0.79538,2.4,0.00215,202,0.01
"serotonin receptor antagonist","NES","serotonin receptor antagonist",0.66667,1.95,0.0094,325,0.0512
"sodium channel blocker","NES","sodium channel blocker",0.75269,2.22,0,167,0.0248
"TGF beta receptor inhibitor","NES","TGF beta receptor inhibitor",0.88808,2.58,0,112,0.00102
"topoisomerase inhibitor","NES","topoisomerase inhibitor",0.72649,2.07,0,171,0.0335
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",0.65697,1.92,0.00786,261,0.0593
"tyrosine kinase inhibitor","NES","tyrosine kinase inhibitor",0.17099,0.523,0.918,198,0.927
"vitamin D receptor agonist","NES","vitamin D receptor agonist",0.61845,1.84,0.0205,371,0.093
