"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.79235,2.17,0,0.0151,TRUE,3.95162002437382,0.79235,2.17,0,0.0151,TRUE,3.95162002437382,2,3.95162002437382,0,2.17,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",-0.23713,-0.786,0.664,0.905,FALSE,-0.0340742167447102,-0.59945,-1.69,0.0523,0.137,FALSE,-1.45894224150567,0,-0.746508229125191,1.00753384260436,-1.238,0.639224530192639,0.151418650009786,FALSE,1.21951219512195,"FALSE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",0.34421,1.02,0.44,0.585,FALSE,0.237501016596176,0.47464,1.32,0.199,0.269,FALSE,0.752726990396821,0,0.495114003496499,0.364319779917879,1.17,0.212132034355964,0.300806338914034,FALSE,0,"TRUE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",0.24885,0.751,0.732,0.754,FALSE,0.0920941192517997,-0.20995,-0.598,0.881,0.925,FALSE,-0.0202472438220585,0,0.0359234377148706,0.0794373396372651,0.0765,0.953887047820653,0.927788333031924,FALSE,0,"TRUE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.34244,1.02,0.428,0.739,FALSE,0.133982672837278,0.50986,1.43,0.12,0.232,FALSE,0.907352181606013,0,0.520667427221646,0.546854824013282,1.225,0.289913780286484,0.203842479022678,FALSE,0,"TRUE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",-0.3515,-1.15,0.304,0.642,FALSE,-0.221334717720819,0.30844,0.857,0.587,0.641,FALSE,0.165522668702373,0,-0.0279060245092226,0.273549481291944,-0.1465,1.4191633098414,0.485995639738387,FALSE,1.23456790123457,"TRUE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",-0.48569,-1.45,0.129,0.928,FALSE,-0.04705543448265,-0.769,-2.2,0.00232,0.0561,TRUE,-2.75228170523645,1,-1.39966856985955,1.912883840694,-1.825,0.530330085889911,0.00272767711608041,FALSE,0,"TRUE",FALSE
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.47717,-1.48,0.107,0.294,FALSE,-0.786845950990007,-0.42568,-1.21,0.268,0.402,FALSE,-0.478886475767791,0,-0.632866213378899,0.217760233260279,-1.345,0.190918830920368,0.130524398450025,FALSE,1.0752688172043,"TRUE",FALSE
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
