"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.7783,2.51,0,180,0.00549
"EGFR inhibitor","NES","Abl kinase inhibitor",0.28888,0.91,0.533,79,0.746
"EGFR inhibitor","NES","acetylcholine receptor agonist",-0.48289,-1.48,0.106,1233,0.656
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.34141,-1.05,0.363,1333,0.744
"EGFR inhibitor","NES","adenosine receptor antagonist",0.54743,1.77,0.0397,420,0.323
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.33603,-1.03,0.395,948,0.703
"EGFR inhibitor","NES","adrenergic receptor antagonist",0.17785,0.56,0.913,286,0.98
"EGFR inhibitor","NES","AKT inhibitor",-0.20458,-0.626,0.852,1334,0.943
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.42646,1.34,0.175,376,0.459
"EGFR inhibitor","NES","androgen receptor antagonist",-0.49693,-1.57,0.0792,820,0.629
"EGFR inhibitor","NES","antioxidant",0.24282,0.807,0.661,67,0.886
"EGFR inhibitor","NES","AP inhibitor",-0.23351,-0.722,0.748,645,0.891
"EGFR inhibitor","NES","ATPase inhibitor",0.14682,0.471,0.977,568,0.971
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.16398,-0.511,0.961,492,0.972
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.23703,-0.725,0.758,1307,0.909
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.35704,-1.13,0.308,762,0.656
"EGFR inhibitor","NES","BCL inhibitor",0.33253,1.02,0.422,71,0.761
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.33022,-1.03,0.409,1202,0.703
"EGFR inhibitor","NES","benzodiazepine receptor agonist",0.24034,0.795,0.68,52,0.872
"EGFR inhibitor","NES","bromodomain inhibitor",-0.61859,-1.92,0.011,832,0.354
"EGFR inhibitor","NES","calcium channel blocker",-0.15187,-0.474,0.969,1116,0.971
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.44232,-1.36,0.157,975,0.567
"EGFR inhibitor","NES","CDK inhibitor",0.47242,1.49,0.117,505,0.31
"EGFR inhibitor","NES","CHK inhibitor",0.55302,1.73,0.0485,521,0.308
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.38544,-1.19,0.283,1195,0.744
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.44645,-1.38,0.165,1155,0.617
"EGFR inhibitor","NES","DNA alkylating agent",0.24564,0.778,0.695,605,0.837
"EGFR inhibitor","NES","DNA inhibitor",-0.37449,-1.16,0.274,1103,0.725
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",0.32066,1,0.438,210,0.758
"EGFR inhibitor","NES","DNA polymerase inhibitor",0.29322,0.929,0.536,291,0.744
"EGFR inhibitor","NES","DNA synthesis inhibitor",-0.34147,-1.06,0.386,1289,0.755
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.16781,-0.515,0.946,1149,0.991
"EGFR inhibitor","NES","estrogen receptor agonist",0.3443,1.1,0.327,55,0.693
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.56962,-1.78,0.0281,1168,0.375
"EGFR inhibitor","NES","FGFR inhibitor",-0.25354,-0.782,0.729,340,0.893
"EGFR inhibitor","NES","FLT3 inhibitor",0.18076,0.57,0.925,128,1
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.48637,1.51,0.105,352,0.315
"EGFR inhibitor","NES","glutamate receptor antagonist",-0.22282,-0.686,0.81,1009,0.896
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.35004,1.1,0.352,271,0.693
"EGFR inhibitor","NES","growth factor receptor inhibitor",0.51356,1.65,0.0642,293,0.304
"EGFR inhibitor","NES","HCV inhibitor",-0.27929,-0.879,0.56,825,0.852
"EGFR inhibitor","NES","HDAC inhibitor",-0.185,-0.566,0.898,1335,0.977
"EGFR inhibitor","NES","histamine receptor antagonist",-0.2872,-0.88,0.574,882,0.875
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",-0.22935,-0.702,0.782,850,0.896
"EGFR inhibitor","NES","HMGCR inhibitor",-0.70083,-2.19,0.00185,1158,0.113
"EGFR inhibitor","NES","HSP inhibitor",-0.28204,-0.87,0.579,885,0.843
"EGFR inhibitor","NES","JAK inhibitor",0.30469,0.967,0.471,128,0.746
"EGFR inhibitor","NES","KIT inhibitor",-0.33601,-1.03,0.419,1141,0.703
"EGFR inhibitor","NES","MDM inhibitor",0.21859,0.691,0.791,1057,0.929
"EGFR inhibitor","NES","MEK inhibitor",0.42129,1.29,0.21,437,0.496
"EGFR inhibitor","NES","MET inhibitor",-0.36472,-1.15,0.301,1140,0.708
"EGFR inhibitor","NES","microtubule inhibitor",-0.37808,-1.14,0.313,507,0.695
"EGFR inhibitor","NES","mTOR inhibitor",0.58983,1.9,0.0281,267,0.237
"EGFR inhibitor","NES","NFkB pathway inhibitor",-0.23255,-0.73,0.769,1006,0.924
"EGFR inhibitor","NES","opioid receptor agonist",-0.43643,-1.36,0.155,587,0.567
"EGFR inhibitor","NES","p38 MAPK inhibitor",-0.26181,-0.809,0.671,1318,0.895
"EGFR inhibitor","NES","PARP inhibitor",-0.36642,-1.13,0.337,1193,0.656
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.42052,-1.34,0.158,1097,0.565
"EGFR inhibitor","NES","phosphatase inhibitor",-0.28975,-0.88,0.581,1167,0.875
"EGFR inhibitor","NES","phosphodiesterase inhibitor",0.31004,0.954,0.488,319,0.734
"EGFR inhibitor","NES","PI3K inhibitor",0.48161,1.52,0.095,416,0.334
"EGFR inhibitor","NES","PLK inhibitor",-0.43113,-1.32,0.173,1067,0.566
"EGFR inhibitor","NES","potassium channel blocker",-0.48392,-1.47,0.112,1286,0.606
"EGFR inhibitor","NES","PPAR receptor agonist",-0.44688,-1.38,0.168,1064,0.617
"EGFR inhibitor","NES","progesterone receptor agonist",-0.48199,-1.51,0.0827,987,0.671
"EGFR inhibitor","NES","proteasome inhibitor",-0.25994,-0.795,0.676,1146,0.895
"EGFR inhibitor","NES","protein synthesis inhibitor",0.15992,0.506,0.966,171,0.984
"EGFR inhibitor","NES","protein tyrosine kinase inhibitor",0.52051,1.63,0.0753,196,0.286
"EGFR inhibitor","NES","RAF inhibitor",-0.38598,-1.21,0.25,1157,0.742
"EGFR inhibitor","NES","RET tyrosine kinase inhibitor",-0.59697,-1.81,0.0319,1171,0.423
"EGFR inhibitor","NES","retinoid receptor agonist",0.54194,1.67,0.049,96,0.325
"EGFR inhibitor","NES","ribonucleotide reductase inhibitor",-0.24683,-0.76,0.695,331,0.903
"EGFR inhibitor","NES","serotonin receptor agonist",-0.38542,-1.17,0.245,942,0.744
"EGFR inhibitor","NES","serotonin receptor antagonist",-0.5359,-1.64,0.0547,1066,0.567
