"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.674563","Pearson.est","AKT inhibitor",-0.44343,-1.2,0.248,1219,0.505,TRUE,FALSE,"AKT inhibitor"
"A.803467","Pearson.est","sodium channel blocker",0.26558,0.657,0.887,99,0.927,TRUE,FALSE,"sodium channel blocker"
"A61603","Pearson.est","adrenergic receptor agonist",0.32734,0.769,0.765,258,0.989,TRUE,FALSE,"adrenergic receptor agonist"
"ACDPP","Pearson.est","glutamate receptor antagonist",-0.38467,-1.09,0.361,1268,0.673,TRUE,FALSE,"glutamate receptor antagonist"
"AEE788","Pearson.est","VEGFR inhibitor",0.35784,0.857,0.648,525,0.98,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AM.404","Pearson.est","cyclooxygenase inhibitor",0.35932,0.85,0.652,365,0.911,TRUE,FALSE,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"
"AM.580","Pearson.est","retinoid receptor agonist",0.26103,0.614,0.953,579,0.974,TRUE,FALSE,"retinoid receptor agonist"
"AMG.208","Pearson.est","tyrosine kinase inhibitor",0.20551,0.498,0.983,750,1,TRUE,FALSE,"tyrosine kinase inhibitor"
"AMG458","Pearson.est","MET inhibitor",-0.2753,-0.815,0.655,370,1,TRUE,FALSE,"MET inhibitor"
"AZD1480","Pearson.est","JAK inhibitor",-0.18568,-0.526,0.963,1230,0.974,TRUE,FALSE,"JAK inhibitor"
"AZD6482","Pearson.est","PI3K inhibitor",-0.22122,-0.669,0.844,634,1,TRUE,FALSE,"PI3K inhibitor"
"BAY.11.7082","Pearson.est","NFkB pathway inhibitor",0.39585,0.918,0.595,335,0.907,TRUE,FALSE,"NFkB pathway inhibitor"
"BAY.11.7085","Pearson.est","NFkB pathway inhibitor",-0.35025,-0.887,0.581,1047,0.736,TRUE,FALSE,"NFkB pathway inhibitor"
"BF2.649","Pearson.est","histamine receptor antagonist",0.37654,0.924,0.572,635,0.955,TRUE,FALSE,"histamine receptor antagonist"
"BIBX.1382","Pearson.est","EGFR inhibitor",0.24865,0.585,0.952,527,0.962,TRUE,FALSE,"EGFR inhibitor"
"BIX.02188","Pearson.est","MEK inhibitor",-0.3451,-0.829,0.69,783,0.885,TRUE,FALSE,"MEK inhibitor"
"BMS.690514","Pearson.est","VEGFR inhibitor",0.29592,0.787,0.66,88,0.882,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"CEP.33779","Pearson.est","JAK inhibitor",0.39839,0.948,0.539,228,0.838,TRUE,FALSE,"JAK inhibitor"
"CGP.37849","Pearson.est","glutamate receptor antagonist",-0.61403,-1.72,0.0316,1192,0.67,TRUE,FALSE,"glutamate receptor antagonist"
"CGP.52411","Pearson.est","EGFR inhibitor",0.34316,0.817,0.716,472,1,TRUE,FALSE,"EGFR inhibitor"
"CGS.20625","Pearson.est","benzodiazepine receptor agonist",-0.25723,-0.751,0.8,1268,1,TRUE,FALSE,"benzodiazepine receptor agonist, GABA benzodiazepine site receptor partial agonist"
"CHIR.99021","Pearson.est","glycogen synthase kinase inhibitor",0.31585,0.766,0.803,217,1,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"CL.218872","Pearson.est","benzodiazepine receptor agonist",0.37576,0.91,0.608,221,0.942,TRUE,FALSE,"benzodiazepine receptor agonist"
"CMPD.1","Pearson.est","p38 MAPK inhibitor",-0.38081,-1.03,0.397,1060,0.721,TRUE,FALSE,"p38 MAPK inhibitor"
"CP.673451","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.30242,0.739,0.829,673,0.952,TRUE,FALSE,"PDGFR tyrosine kinase receptor inhibitor"
"CPP","Pearson.est","glutamate receptor antagonist",-0.22147,-0.651,0.889,1345,1,TRUE,FALSE,"glutamate receptor antagonist"
"CR8..R.","Pearson.est","CDK inhibitor",0.34734,0.873,0.612,212,1,TRUE,FALSE,"CDK inhibitor"
"DMH1","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.31485,0.749,0.798,480,1,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"E7449","Pearson.est","PARP inhibitor",0.29063,0.685,0.883,340,1,TRUE,FALSE,"PARP inhibitor"
"EMD.53998","Pearson.est","phosphodiesterase inhibitor",-0.29828,-0.866,0.606,400,0.917,TRUE,FALSE,"phosphodiesterase inhibitor"
"ENMD.2076","Pearson.est","FLT3 inhibitor",0.34272,0.838,0.705,749,1,TRUE,FALSE,"Aurora kinase inhibitor, FLT3 inhibitor, VEGFR inhibitor"
"ENMD.2076","Pearson.est","VEGFR inhibitor",0.22844,0.56,0.967,578,0.98,TRUE,FALSE,"Aurora kinase inhibitor, FLT3 inhibitor, VEGFR inhibitor"
"FERb.033","Pearson.est","EGFR inhibitor",-0.67187,-1.79,0.0276,1100,0.217,TRUE,FALSE,"EGFR inhibitor"
"FK.3311","Pearson.est","cyclooxygenase inhibitor",0.24349,0.587,0.934,573,0.983,TRUE,FALSE,"cyclooxygenase inhibitor"
"FR.122047","Pearson.est","cyclooxygenase inhibitor",0.40499,0.953,0.549,345,0.877,TRUE,FALSE,"cyclooxygenase inhibitor"
"GDC.0879","Pearson.est","RAF inhibitor",0.2248,0.525,0.973,387,0.989,TRUE,FALSE,"RAF inhibitor"
"GSK256066","Pearson.est","phosphodiesterase inhibitor",-0.28931,-0.822,0.662,1113,0.993,TRUE,FALSE,"phosphodiesterase inhibitor"
"GTP.14564","Pearson.est","FLT3 inhibitor",-0.28336,-0.847,0.629,378,1,TRUE,FALSE,"FLT3 inhibitor, tyrosine kinase inhibitor"
"GTP.14564","Pearson.est","tyrosine kinase inhibitor",0.34992,0.809,0.741,669,0.88,TRUE,FALSE,"FLT3 inhibitor, tyrosine kinase inhibitor"
"GW.788388","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.37993,0.904,0.613,573,0.885,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"HA14.1","Pearson.est","BCL inhibitor",-0.31309,-0.89,0.573,1042,1,TRUE,FALSE,"BCL inhibitor"
"IEM1754","Pearson.est","glutamate receptor antagonist",-0.52675,-1.46,0.115,1279,0.386,TRUE,FALSE,"glutamate receptor antagonist"
"IKK.2.inhibitor.V","Pearson.est","NFkB pathway inhibitor",0.40186,0.944,0.545,600,0.96,TRUE,FALSE,"IKK inhibitor, NFkB pathway inhibitor"
"JNJ.16259685","Pearson.est","glutamate receptor antagonist",0.34212,0.848,0.64,509,0.799,TRUE,FALSE,"glutamate receptor antagonist"
"KI.8751","Pearson.est","VEGFR inhibitor",0.34233,0.824,0.709,609,0.904,TRUE,FALSE,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"KW.2449","Pearson.est","Abl kinase inhibitor",0.30656,0.723,0.822,668,1,TRUE,FALSE,"Abl kinase inhibitor, Aurora kinase inhibitor, FLT3 inhibitor"
"KW.2449","Pearson.est","FLT3 inhibitor",0.33324,0.798,0.736,408,1,TRUE,FALSE,"Abl kinase inhibitor, Aurora kinase inhibitor, FLT3 inhibitor"
"LE.135","Pearson.est","retinoid receptor agonist",-0.5803,-1.46,0.0895,1144,0.512,TRUE,FALSE,"retinoid receptor agonist"
"LGX818","Pearson.est","RAF inhibitor",0.41531,0.964,0.515,90,0.998,TRUE,FALSE,"RAF inhibitor"
"LY2784544","Pearson.est","JAK inhibitor",0.38161,0.91,0.595,536,0.863,TRUE,FALSE,"JAK inhibitor"
"LY2801653","Pearson.est","MET inhibitor",-0.46766,-1.22,0.266,629,0.965,TRUE,FALSE,"MET inhibitor"
"LY303511","Pearson.est","mTOR inhibitor",0.16834,0.394,0.998,13,0.998,TRUE,FALSE,"casein kinase inhibitor, mTOR inhibitor, PI3K inhibitor"
"LY303511","Pearson.est","PI3K inhibitor",-0.24892,-0.74,0.793,496,1,TRUE,FALSE,"casein kinase inhibitor, mTOR inhibitor, PI3K inhibitor"
"LY456236","Pearson.est","glutamate receptor antagonist",0.32248,0.72,0.811,146,0.97,TRUE,FALSE,"glutamate receptor antagonist"
"MEK1.2.inhibitor","Pearson.est","MEK inhibitor",-0.30517,-0.871,0.562,1186,0.882,TRUE,FALSE,"MEK inhibitor"
"MGCD.265","Pearson.est","VEGFR inhibitor",0.2032,0.484,0.98,284,0.982,TRUE,FALSE,"VEGFR inhibitor"
"MK.0812","Pearson.est","CC chemokine receptor antagonist",0.3417,0.797,0.749,466,0.922,TRUE,FALSE,"CC chemokine receptor antagonist"
"MK.2461","Pearson.est","FGFR inhibitor",0.31687,0.756,0.806,100,1,TRUE,FALSE,"FGFR inhibitor, VEGFR inhibitor"
"MK.2461","Pearson.est","VEGFR inhibitor",0.30583,0.732,0.845,571,1,TRUE,FALSE,"FGFR inhibitor, VEGFR inhibitor"
"ML133","Pearson.est","potassium channel blocker",-0.5316,-1.65,0.0357,715,0.363,TRUE,FALSE,"potassium channel blocker"
"MNS..3.4.Methylenedioxy.nitrostyrene.","Pearson.est","src inhibitor",-0.34955,-0.917,0.522,1058,0.822,TRUE,FALSE,"src inhibitor, syk inhibitor"
"NMS.E973","Pearson.est","HSP inhibitor",0.35804,0.86,0.658,325,1,TRUE,FALSE,"HSP inhibitor"
"NU6027","Pearson.est","CDK inhibitor",-0.28226,-0.776,0.715,1090,0.81,TRUE,FALSE,"CDK inhibitor"
"NVP.TAE226","Pearson.est","protein tyrosine kinase inhibitor",0.3294,0.771,0.78,348,1,TRUE,FALSE,"protein tyrosine kinase inhibitor"
"OSI.930","Pearson.est","KIT inhibitor",0.18368,0.426,0.997,210,1,TRUE,FALSE,"KIT inhibitor, VEGFR inhibitor"
"OSI.930","Pearson.est","VEGFR inhibitor",0.17844,0.415,0.997,210,0.996,TRUE,FALSE,"KIT inhibitor, VEGFR inhibitor"
"PD.98059","Pearson.est","MEK inhibitor",0.18965,0.466,0.989,882,1,TRUE,FALSE,"MEK inhibitor"
"PF.04136309","Pearson.est","CC chemokine receptor antagonist",0.35178,0.831,0.696,312,0.743,TRUE,FALSE,"CC chemokine receptor antagonist"
"PF.04691502","Pearson.est","mTOR inhibitor",0.39943,0.987,0.486,185,1,TRUE,FALSE,"mTOR inhibitor, PI3K inhibitor"
"PF.4981517","Pearson.est","cytochrome P450 inhibitor",0.28375,0.691,0.864,486,0.938,TRUE,FALSE,"cytochrome P450 inhibitor"
"PIK.75","Pearson.est","PI3K inhibitor",0.31239,0.764,0.77,635,0.874,TRUE,FALSE,"DNA protein kinase inhibitor, PI3K inhibitor"
"PJ.34","Pearson.est","PARP inhibitor",0.35411,0.936,0.526,29,0.761,TRUE,FALSE,"PARP inhibitor"
"PLX.4720","Pearson.est","RAF inhibitor",-0.25616,-0.705,0.873,343,1,TRUE,FALSE,"RAF inhibitor"
"PP.2","Pearson.est","src inhibitor",-0.34255,-0.895,0.561,1266,0.906,TRUE,FALSE,"src inhibitor"
"PPT","Pearson.est","estrogen receptor agonist",0.40681,0.919,0.587,28,0.91,TRUE,FALSE,"estrogen receptor agonist"
"PRT062070","Pearson.est","JAK inhibitor",0.33883,0.821,0.724,287,1,TRUE,FALSE,"JAK inhibitor, syk inhibitor"
"RAF265","Pearson.est","VEGFR inhibitor",0.34665,0.833,0.69,389,0.905,TRUE,FALSE,"RAF inhibitor, VEGFR inhibitor"
"RG108","Pearson.est","DNA methyltransferase inhibitor",-0.46881,-1.37,0.138,1349,0.535,TRUE,FALSE,"DNA methyltransferase inhibitor"
"RS.17053","Pearson.est","adrenergic receptor antagonist",-0.25237,-0.664,0.864,980,0.94,TRUE,FALSE,"adrenergic receptor antagonist"
"SAR131675","Pearson.est","VEGFR inhibitor",0.28632,0.647,0.887,566,0.978,TRUE,FALSE,"VEGFR inhibitor"
"SB.216641","Pearson.est","serotonin receptor antagonist",-0.29314,-0.895,0.614,1349,0.848,TRUE,FALSE,"serotonin receptor antagonist"
"SB.218078","Pearson.est","CHK inhibitor",0.35475,0.857,0.678,419,1,TRUE,FALSE,"CHK inhibitor"
"SB.225002","Pearson.est","CC chemokine receptor antagonist",0.40938,0.966,0.512,42,0.966,TRUE,FALSE,"CC chemokine receptor antagonist"
"SB.228357","Pearson.est","serotonin receptor antagonist",-0.39597,-1.15,0.256,1223,0.519,TRUE,FALSE,"serotonin receptor antagonist"
"SGI.1027","Pearson.est","DNA methyltransferase inhibitor",0.31706,0.736,0.824,745,1,TRUE,FALSE,"DNA methyltransferase inhibitor"
"SIB.1757","Pearson.est","glutamate receptor antagonist",-0.47264,-1.17,0.285,1209,0.632,TRUE,FALSE,"glutamate receptor antagonist"
"SKF.96365","Pearson.est","calcium channel blocker",0.29578,0.81,0.662,311,0.954,TRUE,FALSE,"calcium channel blocker"
"SR.33805","Pearson.est","calcium channel blocker",0.24312,0.581,0.926,421,1,TRUE,FALSE,"calcium channel blocker"
"TG100.115","Pearson.est","PI3K inhibitor",0.35463,0.825,0.704,612,1,TRUE,FALSE,"PI3K inhibitor"
"TW.37","Pearson.est","BCL inhibitor",0.35677,0.847,0.697,607,0.941,TRUE,FALSE,"BCL inhibitor"
"TWS.119","Pearson.est","glycogen synthase kinase inhibitor",0.41436,0.966,0.524,253,0.817,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"U.0126","Pearson.est","MEK inhibitor",0.40512,0.987,0.474,617,0.83,TRUE,FALSE,"MEK inhibitor"
