"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.7783,2.51,0,180,0.00549
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.59103,1.97,0.0175,142,0.076
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",0.34423,1.16,0.283,542,0.929
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",0.75967,2.52,0.00166,329,0.00668
"adenosine receptor antagonist","NES","adenosine receptor antagonist",0.46322,1.58,0.0722,190,0.526
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.40644,1.39,0.163,808,0.385
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",-0.26387,-1.02,0.417,1142,0.786
"AKT inhibitor","NES","AKT inhibitor",0.63544,2.16,0.00502,119,0.117
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.52333,1.71,0.0336,388,0.399
"androgen receptor antagonist","NES","androgen receptor antagonist",0.66599,2.24,0.00641,291,0.0836
"antioxidant","NES","antioxidant",0.70031,2.39,0.00489,260,0.0417
"AP inhibitor","NES","AP inhibitor",0.49345,1.7,0.0618,53,0.387
"ATPase inhibitor","NES","ATPase inhibitor",0.70728,2.37,0.00193,257,0.0541
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.75918,2.48,0,79,0.00407
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.27168,0.905,0.544,605,0.759
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",0.48815,1.62,0.063,558,0.269
"BCL inhibitor","NES","BCL inhibitor",0.26566,0.945,0.495,241,0.791
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.63112,2.16,0,260,0.052
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.22216,0.752,0.711,368,1
"bromodomain inhibitor","NES","bromodomain inhibitor",0.92039,3.14,0,113,0
"calcium channel blocker","NES","calcium channel blocker",-0.27687,-0.985,0.433,371,0.869
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",-0.30685,-1.17,0.27,661,0.54
"CDK inhibitor","NES","CDK inhibitor",0.68838,2.28,0.00322,293,0.0818
"CHK inhibitor","NES","CHK inhibitor",0.9391,3.09,0,7,0
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",-0.2013,-0.765,0.673,1248,0.924
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",0.46707,1.55,0.081,282,0.406
"DNA alkylating agent","NES","DNA alkylating agent",0.50504,1.68,0.0478,252,0.327
"DNA inhibitor","NES","DNA inhibitor",0.28103,0.958,0.496,807,0.965
"DNA methyltransferase inhibitor","NES","DNA methyltransferase inhibitor",0.20168,0.682,0.814,494,0.905
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",0.35097,1.19,0.277,879,0.626
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",0.18496,0.613,0.854,589,0.95
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.22104,0.756,0.739,855,0.795
"estrogen receptor agonist","NES","estrogen receptor agonist",-0.28319,-0.989,0.443,1001,0.845
"estrogen receptor antagonist","NES","estrogen receptor antagonist",0.58577,1.99,0.00911,169,0.222
"FGFR inhibitor","NES","FGFR inhibitor",0.70822,2.4,0,110,0.021
"FLT3 inhibitor","NES","FLT3 inhibitor",0.35017,1.16,0.305,241,0.481
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.89758,2.89,0,37,0
"glutamate receptor antagonist","NES","glutamate receptor antagonist",-0.23861,-0.811,0.65,1029,0.761
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.54837,1.88,0.0181,410,0.355
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",0.76254,2.57,0,210,0.00445
"HCV inhibitor","NES","HCV inhibitor",-0.45942,-1.65,0.0781,1337,0.48
"HDAC inhibitor","NES","HDAC inhibitor",0.79445,2.59,0,101,0.00696
"histamine receptor antagonist","NES","histamine receptor antagonist",0.46295,1.55,0.0804,630,0.238
"HMGCR inhibitor","NES","HMGCR inhibitor",0.89435,2.98,0,148,0
"HSP inhibitor","NES","HSP inhibitor",0.78351,2.61,0,122,0.00568
"JAK inhibitor","NES","JAK inhibitor",0.50925,1.69,0.0376,259,0.807
"KIT inhibitor","NES","KIT inhibitor",0.77761,2.67,0,199,0.00102
"MDM inhibitor","NES","MDM inhibitor",0.80471,2.62,0.00149,10,0.00967
"MEK inhibitor","NES","MEK inhibitor",0.80023,2.53,0,14,0.0124
"MET inhibitor","NES","MET inhibitor",0.3873,1.36,0.16,253,0.557
"microtubule inhibitor","NES","microtubule inhibitor",0.58524,1.94,0.0104,111,0.17
"mTOR inhibitor","NES","mTOR inhibitor",0.8517,2.7,0,101,0
"NFkB pathway inhibitor","NES","NFkB pathway inhibitor",0.30853,1.02,0.434,594,0.863
"opioid receptor agonist","NES","opioid receptor agonist",0.30506,1.02,0.434,940,0.748
"p38 MAPK inhibitor","NES","p38 MAPK inhibitor",0.49513,1.69,0.0401,383,0.62
"PARP inhibitor","NES","PARP inhibitor",0.48757,1.67,0.0494,202,0.515
"PDGFR tyrosine kinase receptor inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.85039,2.86,0,118,0
"phosphatase inhibitor","NES","phosphatase inhibitor",0.31782,1.06,0.36,633,0.842
"phosphodiesterase inhibitor","NES","phosphodiesterase inhibitor",0.31166,1.07,0.37,218,0.652
"PI3K inhibitor","NES","PI3K inhibitor",0.70396,2.21,0.00485,310,0.0451
"PLK inhibitor","NES","PLK inhibitor",0.90692,3.04,0,132,0
"potassium channel blocker","NES","potassium channel blocker",-0.25486,-0.908,0.563,599,1
"PPAR receptor agonist","NES","PPAR receptor agonist",0.37996,1.26,0.223,435,0.522
"progesterone receptor agonist","NES","progesterone receptor agonist",0.64963,2.27,0.0106,171,0.0633
"proteasome inhibitor","NES","proteasome inhibitor",0.99702,3.39,0,12,0
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.21894,0.709,0.787,238,1
"protein tyrosine kinase inhibitor","NES","protein tyrosine kinase inhibitor",0.25865,0.879,0.574,456,0.774
"RAF inhibitor","NES","RAF inhibitor",0.73864,2.51,0,167,0.0158
"RET tyrosine kinase inhibitor","NES","RET tyrosine kinase inhibitor",0.46074,1.54,0.0896,318,0.326
"retinoid receptor agonist","NES","retinoid receptor agonist",0.5739,2.03,0.00815,196,0.233
"ribonucleotide reductase inhibitor","NES","ribonucleotide reductase inhibitor",0.54139,1.77,0.0372,625,0.273
"serotonin receptor antagonist","NES","serotonin receptor antagonist",0.20185,0.689,0.777,36,0.868
"sodium channel blocker","NES","sodium channel blocker",-0.36258,-1.33,0.171,715,0.886
"src inhibitor","NES","src inhibitor",0.6605,2.21,0.00546,369,0.21
"sterol demethylase inhibitor","NES","sterol demethylase inhibitor",0.73289,2.47,0,365,0.02
"TGF beta receptor inhibitor","NES","TGF beta receptor inhibitor",0.91724,3.08,0,24,0
"thymidylate synthase inhibitor","NES","thymidylate synthase inhibitor",0.35836,1.2,0.26,869,0.592
"topoisomerase inhibitor","NES","topoisomerase inhibitor",0.77341,2.45,0,126,0.00651
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",0.88759,2.76,0,101,0
"tyrosine kinase inhibitor","NES","tyrosine kinase inhibitor",0.28945,0.986,0.48,817,0.688
"VEGFR inhibitor","NES","VEGFR inhibitor",0.67701,2.23,0.00196,118,0.0213
"vitamin D receptor agonist","NES","vitamin D receptor agonist",0.87044,2.93,0,181,0
