"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.7783,2.51,0,0.00549,TRUE,5.67367341543027,0.7783,2.51,0,0.00549,TRUE,5.67367341543027,2,5.67367341543027,0,2.51,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.26562,0.896,0.53,0.681,FALSE,0.149500187726144,0.28888,0.91,0.533,0.746,FALSE,0.115807666999871,0,0.132653927363008,0.023824209880816,0.903,0.00989949493661167,0.639589034827491,FALSE,1.21951219512195,"TRUE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",-0.52274,-1.94,0.0168,0.187,TRUE,-1.41262728331919,-0.48289,-1.48,0.106,0.656,FALSE,-0.270982317724023,1,-0.841804800521607,0.807264896879827,-1.71,0.325269119345812,0.0130544973419105,FALSE,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",-0.23944,-0.868,0.549,0.821,FALSE,-0.0743501396203254,-0.34141,-1.05,0.363,0.744,FALSE,-0.134848417676827,0,-0.104599278648576,0.0427787426638618,-0.959,0.128693434175952,0.520738780819777,FALSE,0,"TRUE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",0.52611,1.76,0.0314,0.435,FALSE,0.636258907759838,0.54743,1.77,0.0397,0.323,FALSE,0.868711535473948,0,0.752485221616893,0.164368829361279,1.765,0.00707106781186548,0.00958289860464359,FALSE,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.36912,-1.3,0.193,0.343,FALSE,-0.604117643944398,-0.33603,-1.03,0.395,0.703,FALSE,-0.157636015229581,0,-0.38087682958699,0.315710187339461,-1.165,0.190918830920368,0.272458904548006,FALSE,0,"FALSE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",0.12945,0.442,0.98,0.974,FALSE,0.00505694105965194,0.17785,0.56,0.913,0.98,FALSE,0.00491339761220288,0,0.00498516933592741,0.000101500545086123,0.501,0.0834386001800126,0.994254866858213,FALSE,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.14615,0.479,0.952,0.958,FALSE,0.00892592115137723,-0.20458,-0.626,0.852,0.943,FALSE,-0.0159556803464325,0,-0.00351487959752761,0.0175939491458826,-0.0735,0.781352993211135,0.980915919370274,FALSE,0,"TRUE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",0.45099,1.5,0.0836,0.526,FALSE,0.418521383769391,0.42646,1.34,0.175,0.459,FALSE,0.45317100138007,0,0.435846192574731,0.0245009795780316,1.42,0.113137084989848,0.07643708396559,FALSE,1.23456790123457,"FALSE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.35065,-1.19,0.259,0.503,FALSE,-0.355134097783446,-0.49693,-1.57,0.0792,0.629,FALSE,-0.316118486650928,0,-0.335626292217187,0.0275882032039413,-1.38,0.268700576850888,0.100240026886937,FALSE,0,"TRUE",FALSE
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",0.11504,0.386,0.992,0.99,FALSE,0.00168481488534573,0.24282,0.807,0.661,0.886,FALSE,0.04242098643715,0,0.0220529006612479,0.0288048231438593,0.5965,0.297691954879537,0.932444503023063,FALSE,0,"TRUE",FALSE
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",-0.19922,-0.667,0.819,0.946,FALSE,-0.0160806120200042,-0.23351,-0.722,0.748,0.891,FALSE,-0.0361882976853764,0,-0.0261344548526903,0.0142182808879522,-0.6945,0.0388908729652601,0.912806274015313,FALSE,0,"FALSE",FALSE
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",-0.12319,-0.421,0.985,1,FALSE,0,0.14682,0.471,0.977,0.971,FALSE,0.00601974271332971,0,0.00300987135666486,0.00425660089359375,0.025,0.6307392488184,0.999281980570264,FALSE,0,"TRUE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.12775,-0.464,0.983,0.97,FALSE,-0.00613791530046239,-0.16398,-0.511,0.961,0.972,FALSE,-0.0063025386226737,0,-0.00622022696156805,0.00011640626747707,-0.4875,0.0332340187157677,0.998439857851519,FALSE,1.0752688172043,"TRUE",FALSE
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",-0.24686,-0.912,0.532,0.916,FALSE,-0.0347513280149204,-0.23703,-0.725,0.758,0.909,FALSE,-0.0300411846640736,0,-0.032396256339497,0.00333057430374454,-0.8185,0.132228968081884,0.769486519263887,FALSE,0,"FALSE",FALSE
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",-0.37399,-1.33,0.18,0.459,FALSE,-0.449789128235443,-0.35704,-1.13,0.308,0.656,FALSE,-0.206898661505504,0,-0.328343894870473,0.171749496110305,-1.23,0.14142135623731,0.215797645552131,FALSE,0,"FALSE",FALSE
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",0.20354,0.734,0.745,0.911,FALSE,0.0297135113018193,0.33253,1.02,0.422,0.761,FALSE,0.120987650094016,0,0.0753505806979175,0.0645405624869242,0.877,0.202232539419353,0.678177279222257,FALSE,0,"FALSE",FALSE
"Bcr.Abl kinase inhibitor & EGFR inhibitor","Bcr.Abl kinase inhibitor","EGFR inhibitor",-0.12194,-0.44,0.976,0.977,FALSE,-0.00444639196373985,-0.33022,-1.03,0.409,0.703,FALSE,-0.157636015229581,0,-0.0810412035966606,0.108321421418689,-0.735,0.417193000900063,0.765767766625897,FALSE,0,"TRUE",FALSE
"benzodiazepine receptor agonist & EGFR inhibitor","benzodiazepine receptor agonist","EGFR inhibitor",0.13824,0.472,0.969,1,FALSE,0,0.24034,0.795,0.68,0.872,FALSE,0.0472893944786091,0,0.0236446972393045,0.0334386515140302,0.6335,0.228395490323255,0.933790552216479,FALSE,0,"FALSE",FALSE
"bromodomain inhibitor & EGFR inhibitor","bromodomain inhibitor","EGFR inhibitor",-0.4252,-1.52,0.0958,0.62,FALSE,-0.315564631962654,-0.61859,-1.92,0.011,0.354,FALSE,-0.865913736910487,0,-0.590739184436571,0.38915558412856,-1.72,0.282842712474619,0.00827797057007926,FALSE,0,"TRUE",FALSE
"calcium channel blocker & EGFR inhibitor","calcium channel blocker","EGFR inhibitor",-0.084591,-0.299,0.998,0.999,FALSE,-0.00012991902043129,-0.15187,-0.474,0.969,0.971,FALSE,-0.0060580850236057,0,-0.00309400202201849,0.00419184638084418,-0.3865,0.123743686707646,0.999451488205422,FALSE,0,"FALSE",FALSE
"CC chemokine receptor antagonist & EGFR inhibitor","CC chemokine receptor antagonist","EGFR inhibitor",-0.39159,-1.44,0.116,0.442,FALSE,-0.510591932137308,-0.44232,-1.36,0.157,0.567,FALSE,-0.335127039905647,0,-0.422859486021477,0.124072415157174,-1.4,0.0565685424949237,0.0911633451142129,FALSE,0,"FALSE",FALSE
"CDK inhibitor & EGFR inhibitor","CDK inhibitor","EGFR inhibitor",0.49299,1.62,0.0677,0.258,FALSE,0.953176076339567,0.47242,1.49,0.117,0.31,FALSE,0.757871076186934,0,0.85552357626325,0.138101490007567,1.555,0.0919238815542513,0.0462441979359254,FALSE,0,"TRUE",FALSE
"CHK inhibitor & EGFR inhibitor","CHK inhibitor","EGFR inhibitor",0.34449,1.16,0.295,0.644,FALSE,0.221692393862618,0.55302,1.73,0.0485,0.308,FALSE,0.884807260454231,0,0.553249827158425,0.468893018872543,1.445,0.403050865276332,0.0750710433581661,FALSE,0,"TRUE",FALSE
