"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.89296,2.56,0,139,0
"EGFR inhibitor","NES","Abl kinase inhibitor",-0.41681,-1.18,0.285,923,0.667
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.33954,-0.933,0.517,1024,0.983
"EGFR inhibitor","NES","AKT inhibitor",0.2871,0.835,0.643,744,0.804
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.66038,1.87,0.0214,225,0.0839
"EGFR inhibitor","NES","androgen receptor antagonist",-0.50407,-1.43,0.136,638,0.567
"EGFR inhibitor","NES","antioxidant",0.28664,0.847,0.605,49,0.829
"EGFR inhibitor","NES","ATPase inhibitor",0.18276,0.522,0.959,439,0.942
"EGFR inhibitor","NES","Aurora kinase inhibitor",0.21481,0.608,0.877,715,0.919
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.57035,-1.64,0.0712,734,0.326
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.41681,-1.19,0.272,923,0.695
"EGFR inhibitor","NES","bromodomain inhibitor",-0.62669,-1.74,0.0256,648,0.236
"EGFR inhibitor","NES","CDK inhibitor",0.45803,1.3,0.182,389,0.358
"EGFR inhibitor","NES","CHK inhibitor",0.54001,1.54,0.0935,403,0.26
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.43323,-1.2,0.277,893,0.727
"EGFR inhibitor","NES","DNA alkylating agent",0.38416,1.08,0.383,468,0.617
"EGFR inhibitor","NES","DNA inhibitor",-0.48802,-1.35,0.159,871,0.664
"EGFR inhibitor","NES","DNA polymerase inhibitor",0.50566,1.44,0.1,96,0.272
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.29869,-0.841,0.604,786,0.903
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.64344,-1.85,0.0166,902,0.205
"EGFR inhibitor","NES","FGFR inhibitor",-0.25338,-0.714,0.78,262,0.901
"EGFR inhibitor","NES","FLT3 inhibitor",0.29204,0.83,0.651,229,0.771
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.51889,1.5,0.106,273,0.269
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.32514,0.929,0.514,454,0.839
"EGFR inhibitor","NES","growth factor receptor inhibitor",0.54561,1.57,0.0761,229,0.262
"EGFR inhibitor","NES","HDAC inhibitor",-0.19731,-0.544,0.929,1025,0.985
"EGFR inhibitor","NES","histamine receptor antagonist",-0.54083,-1.54,0.0972,688,0.429
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",-0.23702,-0.661,0.83,662,0.911
"EGFR inhibitor","NES","HMGCR inhibitor",-0.70402,-1.94,0.00759,894,0.176
"EGFR inhibitor","NES","HSP inhibitor",-0.30031,-0.83,0.641,690,0.854
"EGFR inhibitor","NES","JAK inhibitor",0.24384,0.69,0.755,467,0.87
"EGFR inhibitor","NES","KIT inhibitor",-0.3155,-0.887,0.592,904,0.937
"EGFR inhibitor","NES","MDM inhibitor",-0.26274,-0.736,0.76,557,0.902
"EGFR inhibitor","NES","MEK inhibitor",0.51715,1.45,0.114,382,0.29
"EGFR inhibitor","NES","microtubule inhibitor",-0.37754,-1.09,0.355,390,0.8
"EGFR inhibitor","NES","mTOR inhibitor",0.66508,1.95,0.0128,210,0.0626
"EGFR inhibitor","NES","p38 MAPK inhibitor",-0.32596,-0.919,0.54,1011,0.962
"EGFR inhibitor","NES","PARP inhibitor",-0.43334,-1.22,0.243,1031,0.743
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.30085,-0.833,0.644,853,0.882
"EGFR inhibitor","NES","phosphatase inhibitor",-0.29268,-0.828,0.64,901,0.827
"EGFR inhibitor","NES","PI3K inhibitor",0.59083,1.73,0.032,250,0.153
"EGFR inhibitor","NES","PLK inhibitor",-0.43982,-1.25,0.236,830,0.814
"EGFR inhibitor","NES","progesterone receptor agonist",-0.74952,-2.13,0,775,0.0658
"EGFR inhibitor","NES","proteasome inhibitor",-0.29513,-0.812,0.679,884,0.822
"EGFR inhibitor","NES","protein synthesis inhibitor",0.31251,0.916,0.555,310,0.81
"EGFR inhibitor","NES","protein tyrosine kinase inhibitor",0.75169,2.13,0.00418,262,0.0231
"EGFR inhibitor","NES","RAF inhibitor",-0.33603,-0.967,0.473,890,0.962
"EGFR inhibitor","NES","retinoid receptor agonist",0.80451,2.3,0,73,0.00736
"EGFR inhibitor","NES","ribonucleotide reductase inhibitor",-0.2483,-0.713,0.799,256,0.874
"EGFR inhibitor","NES","serotonin receptor agonist",-0.32481,-0.894,0.574,736,0.965
"EGFR inhibitor","NES","serotonin receptor antagonist",-0.62051,-1.75,0.027,846,0.278
"EGFR inhibitor","NES","src inhibitor",0.47748,1.35,0.159,200,0.333
"EGFR inhibitor","NES","sterol demethylase inhibitor",-0.30484,-0.843,0.641,861,0.937
"EGFR inhibitor","NES","TGF beta receptor inhibitor",-0.38052,-1.05,0.357,919,0.835
"EGFR inhibitor","NES","thymidylate synthase inhibitor",0.26647,0.785,0.699,333,0.794
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.44652,-1.24,0.237,455,0.762
"EGFR inhibitor","NES","tubulin polymerization inhibitor",-0.18756,-0.521,0.952,190,0.973
"EGFR inhibitor","NES","tyrosine kinase inhibitor",-0.297,-0.855,0.598,997,0.956
"EGFR inhibitor","NES","VEGFR inhibitor",-0.1513,-0.424,0.981,853,0.984
"EGFR inhibitor","NES","vitamin D receptor agonist",0.31475,0.898,0.553,271,0.791
"Abl kinase inhibitor","NES","EGFR inhibitor",0.27797,0.85,0.606,411,0.751
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.8233,2.5,0,125,0.00324
"Abl kinase inhibitor","NES","acetylcholine receptor antagonist",0.2213,0.677,0.827,63,0.85
"Abl kinase inhibitor","NES","AKT inhibitor",0.45999,1.44,0.11,300,0.287
"Abl kinase inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.4089,1.25,0.224,218,0.394
"Abl kinase inhibitor","NES","androgen receptor antagonist",-0.33462,-1.07,0.36,346,0.601
"Abl kinase inhibitor","NES","antioxidant",0.48055,1.46,0.122,422,0.301
"Abl kinase inhibitor","NES","ATPase inhibitor",-0.43327,-1.38,0.17,862,0.403
"Abl kinase inhibitor","NES","Aurora kinase inhibitor",0.33853,1.03,0.41,404,0.582
"Abl kinase inhibitor","NES","bacterial DNA gyrase inhibitor",-0.68826,-2.26,0,891,0.0352
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.8233,2.48,0.00161,125,0.00216
"Abl kinase inhibitor","NES","bromodomain inhibitor",-0.46035,-1.52,0.106,476,0.282
"Abl kinase inhibitor","NES","CDK inhibitor",0.39259,1.16,0.294,145,0.45
"Abl kinase inhibitor","NES","CHK inhibitor",0.42855,1.29,0.197,483,0.405
"Abl kinase inhibitor","NES","cytochrome P450 inhibitor",0.49372,1.51,0.0924,529,0.285
"Abl kinase inhibitor","NES","DNA alkylating agent",-0.35739,-1.18,0.259,1039,0.488
"Abl kinase inhibitor","NES","DNA inhibitor",0.21733,0.672,0.811,577,0.833
"Abl kinase inhibitor","NES","DNA polymerase inhibitor",-0.48889,-1.55,0.0849,506,0.3
"Abl kinase inhibitor","NES","dopamine receptor antagonist",-0.59807,-1.85,0.037,619,0.192
"Abl kinase inhibitor","NES","estrogen receptor antagonist",0.35055,1.05,0.406,549,0.575
"Abl kinase inhibitor","NES","FGFR inhibitor",0.68762,2.03,0.00343,329,0.03
"Abl kinase inhibitor","NES","FLT3 inhibitor",0.68956,2.14,0.00164,327,0.017
"Abl kinase inhibitor","NES","glucocorticoid receptor agonist",-0.20317,-0.654,0.803,782,0.871
"Abl kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.25049,0.775,0.729,349,0.763
"Abl kinase inhibitor","NES","growth factor receptor inhibitor",0.38932,1.16,0.299,177,0.45
"Abl kinase inhibitor","NES","HDAC inhibitor",-0.12308,-0.394,0.99,918,0.986
"Abl kinase inhibitor","NES","histamine receptor antagonist",-0.39989,-1.26,0.221,823,0.465
"Abl kinase inhibitor","NES","histone lysine methyltransferase inhibitor",-0.37585,-1.2,0.265,389,0.501
"Abl kinase inhibitor","NES","HMGCR inhibitor",-0.32205,-1.04,0.388,333,0.597
"Abl kinase inhibitor","NES","HSP inhibitor",0.25703,0.787,0.69,520,0.791
"Abl kinase inhibitor","NES","JAK inhibitor",0.49736,1.5,0.107,375,0.276
"Abl kinase inhibitor","NES","KIT inhibitor",0.79203,2.38,0.00163,225,0.00367
"Abl kinase inhibitor","NES","MDM inhibitor",0.27463,0.822,0.63,165,0.767
"Abl kinase inhibitor","NES","MEK inhibitor",-0.41358,-1.35,0.166,716,0.393
"Abl kinase inhibitor","NES","microtubule inhibitor",0.43048,1.31,0.218,490,0.4
"Abl kinase inhibitor","NES","mTOR inhibitor",0.47596,1.45,0.0892,98,0.293
"Abl kinase inhibitor","NES","p38 MAPK inhibitor",0.17795,0.531,0.916,856,0.928
"Abl kinase inhibitor","NES","PARP inhibitor",0.30505,0.916,0.538,316,0.703
"Abl kinase inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.81617,2.5,0,53,0.00324
"Abl kinase inhibitor","NES","phosphatase inhibitor",-0.21359,-0.698,0.803,910,0.868
"Abl kinase inhibitor","NES","PI3K inhibitor",0.44019,1.34,0.183,370,0.382
"Abl kinase inhibitor","NES","PLK inhibitor",0.54585,1.66,0.0699,241,0.219
"Abl kinase inhibitor","NES","progesterone receptor agonist",-0.29248,-0.94,0.479,548,0.659
"Abl kinase inhibitor","NES","proteasome inhibitor",-0.22788,-0.753,0.744,947,0.895
"Abl kinase inhibitor","NES","protein synthesis inhibitor",0.50787,1.55,0.0768,258,0.26
"Abl kinase inhibitor","NES","protein tyrosine kinase inhibitor",0.41063,1.28,0.216,441,0.396
"Abl kinase inhibitor","NES","RAF inhibitor",0.25284,0.78,0.681,225,0.778
"Abl kinase inhibitor","NES","retinoid receptor agonist",-0.4931,-1.6,0.0769,792,0.299
"Abl kinase inhibitor","NES","ribonucleotide reductase inhibitor",0.29384,0.907,0.564,545,0.693
"Abl kinase inhibitor","NES","serotonin receptor agonist",-0.31911,-1.03,0.407,1031,0.572
"Abl kinase inhibitor","NES","serotonin receptor antagonist",-0.69315,-2.26,0.00737,952,0.0352
"Abl kinase inhibitor","NES","src inhibitor",0.80582,2.49,0,92,0.00252
"Abl kinase inhibitor","NES","sterol demethylase inhibitor",0.38819,1.18,0.304,536,0.461
"Abl kinase inhibitor","NES","TGF beta receptor inhibitor",-0.51786,-1.67,0.0391,894,0.292
"Abl kinase inhibitor","NES","thymidylate synthase inhibitor",0.40881,1.25,0.24,131,0.394
"Abl kinase inhibitor","NES","topoisomerase inhibitor",0.53293,1.62,0.0555,468,0.234
"Abl kinase inhibitor","NES","tubulin polymerization inhibitor",0.3438,1.02,0.422,638,0.575
"Abl kinase inhibitor","NES","tyrosine kinase inhibitor",0.52782,1.55,0.0694,254,0.26
"Abl kinase inhibitor","NES","VEGFR inhibitor",0.75994,2.28,0,225,0.00774
"Abl kinase inhibitor","NES","vitamin D receptor agonist",-0.22433,-0.732,0.747,898,0.873
"acetylcholine receptor agonist","NES","EGFR inhibitor",-0.62349,-2.04,0.0116,915,0.347
"acetylcholine receptor agonist","NES","Abl kinase inhibitor",-0.37401,-1.23,0.253,1012,0.409
"acetylcholine receptor agonist","NES","acetylcholine receptor antagonist",-0.39555,-1.33,0.164,409,0.431
"acetylcholine receptor agonist","NES","AKT inhibitor",0.28014,0.871,0.585,283,0.879
"acetylcholine receptor agonist","NES","ALK tyrosine kinase receptor inhibitor",-0.49419,-1.65,0.0616,510,0.208
"acetylcholine receptor agonist","NES","androgen receptor antagonist",-0.39265,-1.26,0.203,406,0.453
"acetylcholine receptor agonist","NES","antioxidant",-0.2479,-0.806,0.67,505,0.806
"acetylcholine receptor agonist","NES","ATPase inhibitor",0.59709,1.82,0.0187,425,0.176
