"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.89296,2.56,0,0,TRUE,7.69117390183027,0.89296,2.56,0,0,TRUE,7.69117390183027,2,7.69117390183027,0,2.56,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.27797,0.85,0.606,0.751,FALSE,0.105706053546457,-0.41681,-1.18,0.285,0.667,FALSE,-0.207531515978472,0,-0.0509127312160077,0.22149240953347,-0.165,1.43542676580869,0.47601317974778,FALSE,1.21951219512195,"TRUE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",-0.25334,-0.816,0.64,0.736,FALSE,-0.108627703500601,-0.33954,-0.933,0.517,0.983,FALSE,-0.00694756786261747,0,-0.0577876356816092,0.071898713421586,-0.8745,0.0827314933988261,0.696833116909952,FALSE,0,"TRUE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.17846,0.55,0.9,0.913,FALSE,0.0217410723561356,0.2871,0.835,0.643,0.804,FALSE,0.0791111992950432,0,0.0504261358255894,0.0405668057960346,0.6925,0.201525432638166,0.895232158441837,FALSE,0,"TRUE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",0.54923,1.65,0.0467,0.209,TRUE,1.12175862791676,0.66038,1.87,0.0214,0.0839,TRUE,2.01256513325033,2,1.56716188058355,0.629895320646458,1.76,0.155563491861041,0.00790347227846943,FALSE,1.23456790123457,"TRUE",TRUE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.33041,-0.992,0.451,0.653,FALSE,-0.183606124175127,-0.50407,-1.43,0.136,0.567,FALSE,-0.352376225783144,0,-0.267991174979135,0.119338483308571,-1.211,0.309712770159708,0.232548594776054,FALSE,0,"TRUE",FALSE
