"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.74058,2.35,0,167,0.0217
"EGFR inhibitor","NES","Abl kinase inhibitor",0.42443,1.33,0.17,326,0.377
"EGFR inhibitor","NES","acetylcholine receptor agonist",-0.40327,-1.28,0.198,542,0.44
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.4397,-1.41,0.146,1148,0.384
"EGFR inhibitor","NES","adenosine receptor antagonist",0.49581,1.58,0.087,419,0.507
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.20659,-0.657,0.825,1286,0.963
"EGFR inhibitor","NES","adrenergic receptor antagonist",-0.15429,-0.507,0.962,1084,0.978
"EGFR inhibitor","NES","AKT inhibitor",0.46413,1.47,0.127,182,0.413
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.46396,1.45,0.109,143,0.375
"EGFR inhibitor","NES","androgen receptor antagonist",-0.42215,-1.37,0.158,1208,0.367
"EGFR inhibitor","NES","antioxidant",-0.62213,-2.01,0.00658,1236,0.0729
"EGFR inhibitor","NES","AP inhibitor",-0.48361,-1.54,0.073,1140,0.356
"EGFR inhibitor","NES","ATPase inhibitor",-0.34892,-1.13,0.311,1176,0.584
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.19444,-0.614,0.877,1089,0.987
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.21928,0.697,0.786,25,0.876
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.45419,-1.48,0.116,1021,0.349
"EGFR inhibitor","NES","BCL inhibitor",0.33281,1.03,0.415,329,0.601
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.42554,1.33,0.174,326,0.377
"EGFR inhibitor","NES","benzodiazepine receptor agonist",0.20793,0.655,0.84,1072,0.902
"EGFR inhibitor","NES","bromodomain inhibitor",-0.63061,-2.06,0.00802,1156,0.0792
"EGFR inhibitor","NES","calcium channel blocker",-0.31924,-1.02,0.423,1165,0.661
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.27174,-0.882,0.596,1330,0.799
"EGFR inhibitor","NES","CDK inhibitor",0.2247,0.703,0.779,373,0.894
"EGFR inhibitor","NES","CHK inhibitor",0.48771,1.53,0.0877,695,0.408
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.1752,-0.553,0.925,1059,0.994
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.35289,-1.12,0.322,1102,0.576
"EGFR inhibitor","NES","DNA alkylating agent",-0.43489,-1.4,0.147,968,0.352
"EGFR inhibitor","NES","DNA inhibitor",0.19177,0.601,0.899,428,0.932
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",-0.37946,-1.19,0.269,510,0.545
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.38994,-1.28,0.206,1058,0.44
"EGFR inhibitor","NES","DNA synthesis inhibitor",-0.42006,-1.4,0.121,978,0.352
"EGFR inhibitor","NES","dopamine receptor antagonist",0.46467,1.44,0.116,224,0.359
"EGFR inhibitor","NES","estrogen receptor agonist",0.43015,1.35,0.183,316,0.396
"EGFR inhibitor","NES","estrogen receptor antagonist",0.2881,0.895,0.575,605,0.794
"EGFR inhibitor","NES","FGFR inhibitor",0.38139,1.21,0.271,698,0.444
"EGFR inhibitor","NES","FLT3 inhibitor",-0.17561,-0.563,0.897,962,1
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.50047,1.54,0.0988,506,0.442
"EGFR inhibitor","NES","glutamate receptor antagonist",-0.30619,-0.978,0.477,1209,0.709
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.51748,1.63,0.0693,115,0.502
"EGFR inhibitor","NES","growth factor receptor inhibitor",0.44751,1.43,0.134,749,0.346
"EGFR inhibitor","NES","HCV inhibitor",-0.33259,-1.07,0.366,447,0.626
"EGFR inhibitor","NES","HDAC inhibitor",0.16131,0.523,0.941,534,0.943
"EGFR inhibitor","NES","histamine receptor antagonist",-0.27212,-0.875,0.576,907,0.787
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",-0.63728,-2.04,0.00808,1198,0.075
"EGFR inhibitor","NES","HMGCR inhibitor",-0.46749,-1.51,0.113,1066,0.336
"EGFR inhibitor","NES","HSP inhibitor",-0.2294,-0.75,0.748,674,0.887
