"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.674563","Pearson.est","AKT inhibitor",0.24766,0.632,0.921,992,1,TRUE,FALSE,"AKT inhibitor"
"A.803467","Pearson.est","sodium channel blocker",0.24573,0.596,0.924,164,1,TRUE,FALSE,"sodium channel blocker"
"A61603","Pearson.est","adrenergic receptor agonist",0.18898,0.447,0.994,72,1,TRUE,FALSE,"adrenergic receptor agonist"
"AEE788","Pearson.est","VEGFR inhibitor",0.37001,0.912,0.605,577,0.869,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AM.404","Pearson.est","cyclooxygenase inhibitor",-0.35304,-0.961,0.474,1134,0.764,TRUE,FALSE,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"
"AM.580","Pearson.est","retinoid receptor agonist",-0.28763,-0.791,0.719,386,1,TRUE,FALSE,"retinoid receptor agonist"
"AMG.208","Pearson.est","tyrosine kinase inhibitor",0.25697,0.666,0.885,521,0.991,TRUE,FALSE,"tyrosine kinase inhibitor"
"AMG458","Pearson.est","MET inhibitor",-0.55655,-1.49,0.0922,748,0.616,TRUE,FALSE,"MET inhibitor"
"AP26113","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.38849,0.926,0.571,642,0.832,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"AST.1306","Pearson.est","EGFR inhibitor",-0.48122,-1.33,0.15,1130,0.65,TRUE,FALSE,"EGFR inhibitor"
"AT.7519","Pearson.est","CDK inhibitor",0.41817,0.991,0.481,211,0.967,TRUE,FALSE,"CDK inhibitor"
"AZD1480","Pearson.est","JAK inhibitor",-0.27982,-0.812,0.639,373,1,TRUE,FALSE,"JAK inhibitor"
"AZD2461","Pearson.est","PARP inhibitor",0.30702,0.731,0.829,556,1,TRUE,FALSE,"PARP inhibitor"
"AZD3463","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.33581,0.845,0.683,622,1,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor, insulin growth factor receptor inhibitor"
"BAY.11.7082","Pearson.est","NFkB pathway inhibitor",-0.21773,-0.648,0.843,1305,0.894,TRUE,FALSE,"NFkB pathway inhibitor"
"BAY.11.7085","Pearson.est","NFkB pathway inhibitor",0.26064,0.664,0.865,285,0.944,TRUE,FALSE,"NFkB pathway inhibitor"
"BF2.649","Pearson.est","histamine receptor antagonist",0.37816,0.916,0.547,209,0.833,TRUE,FALSE,"histamine receptor antagonist"
"BIX.02188","Pearson.est","MEK inhibitor",-0.45972,-1.13,0.31,883,0.864,TRUE,FALSE,"MEK inhibitor"
"BMS.690514","Pearson.est","VEGFR inhibitor",0.36479,0.891,0.596,287,0.804,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"CCT129202","Pearson.est","Aurora kinase inhibitor",0.28738,0.681,0.865,670,0.952,TRUE,FALSE,"Aurora kinase inhibitor"
"CD.437","Pearson.est","retinoid receptor agonist",-0.40439,-1.02,0.415,1332,0.705,TRUE,FALSE,"retinoid receptor agonist"
"CEP.33779","Pearson.est","JAK inhibitor",-0.29932,-0.842,0.62,399,0.897,TRUE,FALSE,"JAK inhibitor"
"CGP.37849","Pearson.est","glutamate receptor antagonist",0.28047,0.839,0.638,275,0.79,TRUE,FALSE,"glutamate receptor antagonist"
"CGP.52411","Pearson.est","EGFR inhibitor",-0.27069,-0.766,0.702,1031,0.966,TRUE,FALSE,"EGFR inhibitor"
"CHIR.98014","Pearson.est","glycogen synthase kinase inhibitor",0.37773,0.914,0.569,41,0.861,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"CHIR.99021","Pearson.est","glycogen synthase kinase inhibitor",0.34986,0.835,0.717,452,0.981,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"CL.218872","Pearson.est","benzodiazepine receptor agonist",-0.41591,-1.08,0.352,1028,0.768,TRUE,FALSE,"benzodiazepine receptor agonist"
"CMPD.1","Pearson.est","p38 MAPK inhibitor",-0.68559,-1.9,0.00709,1157,0.16,TRUE,FALSE,"p38 MAPK inhibitor"
"CPP","Pearson.est","glutamate receptor antagonist",-0.38084,-1.06,0.387,1200,0.558,TRUE,FALSE,"glutamate receptor antagonist"
"CR8..R.","Pearson.est","CDK inhibitor",-0.25122,-0.632,0.889,762,0.979,TRUE,FALSE,"CDK inhibitor"
"CUDC.101","Pearson.est","EGFR inhibitor",0.29851,0.78,0.717,482,0.945,TRUE,FALSE,"EGFR inhibitor"
"CUDC.907","Pearson.est","PI3K inhibitor",0.26132,0.634,0.889,483,0.993,TRUE,FALSE,"PI3K inhibitor"
"CYC116","Pearson.est","Aurora kinase inhibitor",0.38939,0.991,0.438,323,0.593,TRUE,FALSE,"Aurora kinase inhibitor"
"DMH1","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.35028,0.888,0.626,555,0.974,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"EMD.53998","Pearson.est","phosphodiesterase inhibitor",0.23844,0.575,0.953,445,1,TRUE,FALSE,"phosphodiesterase inhibitor"
"ENMD.2076","Pearson.est","VEGFR inhibitor",0.38148,0.871,0.673,118,0.997,TRUE,FALSE,"Aurora kinase inhibitor, FLT3 inhibitor, VEGFR inhibitor"
"EVP4593","Pearson.est","NFkB pathway inhibitor",0.26607,0.654,0.898,772,1,TRUE,FALSE,"NFkB pathway inhibitor"
"FERb.033","Pearson.est","EGFR inhibitor",0.37192,0.901,0.593,375,0.956,TRUE,FALSE,"EGFR inhibitor"
"FK.3311","Pearson.est","cyclooxygenase inhibitor",-0.38575,-1.11,0.308,1241,0.698,TRUE,FALSE,"cyclooxygenase inhibitor"
"GSK256066","Pearson.est","phosphodiesterase inhibitor",0.3667,0.895,0.599,379,0.98,TRUE,FALSE,"phosphodiesterase inhibitor"
"GTP.14564","Pearson.est","FLT3 inhibitor",-0.55182,-1.38,0.136,1119,0.424,TRUE,FALSE,"FLT3 inhibitor, tyrosine kinase inhibitor"
"GTP.14564","Pearson.est","tyrosine kinase inhibitor",-0.15682,-0.395,0.997,1060,0.997,TRUE,FALSE,"FLT3 inhibitor, tyrosine kinase inhibitor"
"GW.441756","Pearson.est","growth factor receptor inhibitor",-0.63318,-1.55,0.0455,867,0.306,TRUE,FALSE,"growth factor receptor inhibitor"
"GW.501516","Pearson.est","PPAR receptor agonist",0.28386,0.693,0.84,424,1,TRUE,FALSE,"PPAR receptor agonist"
"GW.788388","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.28321,0.701,0.861,193,0.978,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"ICI.162846","Pearson.est","histamine receptor antagonist",0.38322,0.96,0.52,302,0.903,TRUE,FALSE,"histamine receptor antagonist"
"JNJ.16259685","Pearson.est","glutamate receptor antagonist",0.31462,0.745,0.786,522,1,TRUE,FALSE,"glutamate receptor antagonist"
"JNJ.7706621","Pearson.est","CDK inhibitor",0.28403,0.75,0.771,272,1,TRUE,FALSE,"CDK inhibitor"
"KI.8751","Pearson.est","KIT inhibitor",-0.42118,-1.07,0.354,1116,0.766,TRUE,FALSE,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"KI.8751","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",-0.2998,-0.743,0.748,1054,0.874,TRUE,FALSE,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"KI.8751","Pearson.est","VEGFR inhibitor",-0.24682,-0.628,0.893,1021,0.969,TRUE,FALSE,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"KW.2449","Pearson.est","Abl kinase inhibitor",0.3899,0.917,0.591,192,0.806,TRUE,FALSE,"Abl kinase inhibitor, Aurora kinase inhibitor, FLT3 inhibitor"
"KX2.391","Pearson.est","src inhibitor",-0.16068,-0.471,0.987,1228,0.991,TRUE,FALSE,"src inhibitor, tubulin polymerization inhibitor"
