"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.74058,2.35,0,167,0.0217
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.60458,2,0.0136,226,0.141
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",-0.36796,-1.32,0.201,797,1
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",0.33356,1.15,0.31,371,0.884
"adenosine receptor antagonist","NES","adenosine receptor antagonist",0.67752,2.31,0.00401,227,0.0427
"adrenergic receptor agonist","NES","adrenergic receptor agonist",-0.15581,-0.549,0.906,994,1
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",0.13756,0.484,0.957,425,0.975
"AKT inhibitor","NES","AKT inhibitor",0.56254,1.92,0.0098,50,0.209
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.22928,0.771,0.695,1043,0.767
"androgen receptor antagonist","NES","androgen receptor antagonist",0.55434,1.87,0.0232,466,0.209
"antioxidant","NES","antioxidant",-0.28666,-0.981,0.462,1133,1
"AP inhibitor","NES","AP inhibitor",0.43665,1.57,0.0904,105,0.599
"ATPase inhibitor","NES","ATPase inhibitor",0.55217,1.87,0.0206,401,0.36
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.68709,2.2,0,326,0.0528
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.22582,-0.831,0.633,1114,0.931
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",-0.51588,-1.74,0.0581,1238,0.584
"BCL inhibitor","NES","BCL inhibitor",0.4833,1.6,0.0772,333,0.6
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.67966,2.26,0.00293,209,0.0512
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.25167,0.837,0.609,364,0.882
"bromodomain inhibitor","NES","bromodomain inhibitor",0.98065,3.21,0,32,0
"calcium channel blocker","NES","calcium channel blocker",0.32081,1.1,0.329,97,0.95
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",0.22794,0.77,0.701,885,0.916
"CDK inhibitor","NES","CDK inhibitor",0.48479,1.59,0.0657,187,0.759
"CHK inhibitor","NES","CHK inhibitor",0.88325,3.01,0,36,0
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.26958,0.909,0.538,262,0.877
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",0.50856,1.72,0.0399,100,1
"DNA alkylating agent","NES","DNA alkylating agent",-0.22952,-0.86,0.576,432,1
"DNA inhibitor","NES","DNA inhibitor",-0.11105,-0.419,0.982,1239,0.98
"DNA methyltransferase inhibitor","NES","DNA methyltransferase inhibitor",0.34029,1.16,0.292,684,0.964
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",0.22385,0.748,0.744,452,0.969
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",-0.2861,-1.07,0.393,620,0.821
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.57247,1.86,0.0313,69,1
"estrogen receptor agonist","NES","estrogen receptor agonist",0.51416,1.71,0.0482,660,0.627
"estrogen receptor antagonist","NES","estrogen receptor antagonist",0.21213,0.724,0.758,520,0.908
"FGFR inhibitor","NES","FGFR inhibitor",0.42045,1.37,0.143,474,0.59
"FLT3 inhibitor","NES","FLT3 inhibitor",0.36427,1.23,0.228,295,0.701
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.79297,2.53,0,50,0.00531
"glutamate receptor antagonist","NES","glutamate receptor antagonist",0.35835,1.22,0.261,553,0.71
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.54855,1.86,0.0263,115,0.359
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",0.44963,1.51,0.0954,415,0.749
"HCV inhibitor","NES","HCV inhibitor",0.30242,1.04,0.393,380,0.955
"HDAC inhibitor","NES","HDAC inhibitor",0.79539,2.5,0,162,0.00928
"histamine receptor antagonist","NES","histamine receptor antagonist",0.21864,0.735,0.766,411,0.947
"HMGCR inhibitor","NES","HMGCR inhibitor",0.83557,2.79,0,227,0
"HSP inhibitor","NES","HSP inhibitor",0.6139,2.04,0.00905,309,0.0565
"JAK inhibitor","NES","JAK inhibitor",0.4512,1.5,0.097,331,0.489
"KIT inhibitor","NES","KIT inhibitor",0.36226,1.22,0.257,94,1
"MDM inhibitor","NES","MDM inhibitor",0.71067,2.42,0.00356,38,0.0535
"MEK inhibitor","NES","MEK inhibitor",0.74772,2.38,0,125,0.0256
"MET inhibitor","NES","MET inhibitor",0.71337,2.5,0,89,0.0297
"microtubule inhibitor","NES","microtubule inhibitor",0.576,1.91,0.0229,484,0.186
"mTOR inhibitor","NES","mTOR inhibitor",0.73877,2.3,0.00147,182,0.041
"NFkB pathway inhibitor","NES","NFkB pathway inhibitor",-0.36329,-1.31,0.178,758,0.559
"opioid receptor agonist","NES","opioid receptor agonist",0.71175,2.44,0.0018,278,0.0172
"p38 MAPK inhibitor","NES","p38 MAPK inhibitor",-0.37693,-1.32,0.173,1339,0.475
"PARP inhibitor","NES","PARP inhibitor",0.62445,2.09,0.00903,421,0.0788
"PDGFR tyrosine kinase receptor inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.4479,1.46,0.119,524,0.475
"phosphatase inhibitor","NES","phosphatase inhibitor",0.32965,1.11,0.333,235,0.864
"phosphodiesterase inhibitor","NES","phosphodiesterase inhibitor",-0.4004,-1.4,0.171,1016,0.758
"PI3K inhibitor","NES","PI3K inhibitor",0.65584,2.05,0.00302,207,0.0794
"PLK inhibitor","NES","PLK inhibitor",0.91437,3.04,0,122,0
"potassium channel blocker","NES","potassium channel blocker",0.32104,1.07,0.382,706,0.801
"PPAR receptor agonist","NES","PPAR receptor agonist",0.64663,2.2,0.00853,289,0.0704
"progesterone receptor agonist","NES","progesterone receptor agonist",0.42888,1.46,0.111,667,0.33
"proteasome inhibitor","NES","proteasome inhibitor",0.81204,2.65,0,149,0.00408
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.23628,0.8,0.684,522,0.862
"protein tyrosine kinase inhibitor","NES","protein tyrosine kinase inhibitor",0.53039,1.8,0.0361,389,0.243
"RAF inhibitor","NES","RAF inhibitor",0.66622,2.23,0,284,0.0611
"RET tyrosine kinase inhibitor","NES","RET tyrosine kinase inhibitor",0.68864,2.36,0.00198,87,0.0733
"retinoid receptor agonist","NES","retinoid receptor agonist",0.33159,1.19,0.272,905,0.596
"ribonucleotide reductase inhibitor","NES","ribonucleotide reductase inhibitor",0.31364,1.07,0.371,113,0.818
"serotonin receptor antagonist","NES","serotonin receptor antagonist",-0.26576,-0.976,0.458,796,1
