"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.74058,2.35,0,0.0217,TRUE,3.90931962545596,0.74058,2.35,0,0.0217,TRUE,3.90931962545596,2,3.90931962545596,0,2.35,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.47161,1.54,0.0647,0.366,FALSE,0.672239128492608,0.42443,1.33,0.17,0.377,FALSE,0.563466004226296,0,0.617852566359452,0.0769142137795562,1.435,0.148492424049175,0.0606039501625593,FALSE,1.21951219512195,"TRUE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",-0.32145,-1.17,0.277,1,FALSE,0,-0.40327,-1.28,0.198,0.44,FALSE,-0.45638057409768,0,-0.22819028704884,0.322709798746279,-1.225,0.0777817459305203,0.214076334352285,FALSE,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",-0.42645,-1.56,0.124,0.745,FALSE,-0.199436214512663,-0.4397,-1.41,0.146,0.384,FALSE,-0.586092973641781,0,-0.392764594077222,0.273407616371813,-1.485,0.106066017177982,0.0907304113982639,FALSE,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",0.37138,1.25,0.249,0.58,FALSE,0.295715008046328,0.49581,1.58,0.087,0.507,FALSE,0.466087424253329,0,0.380901216149829,0.120471490827107,1.415,0.233345237791561,0.104678855546651,FALSE,0,"TRUE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.14351,-0.528,0.927,1,FALSE,0,-0.20659,-0.657,0.825,0.963,FALSE,-0.0107575293591808,0,-0.00537876467959042,0.00760672195869014,-0.5925,0.0912167747730646,0.969867469577395,FALSE,0,"FALSE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",-0.20627,-0.758,0.747,0.94,FALSE,-0.0203690869714284,-0.15429,-0.507,0.962,0.978,FALSE,-0.00489820062268607,0,-0.0126336437970573,0.0109395686481621,-0.6325,0.177483802077823,0.956066286701219,FALSE,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.29576,1.01,0.444,0.979,FALSE,0.00930948127883081,0.46413,1.47,0.127,0.413,FALSE,0.564553424065091,0,0.286931452671961,0.39261675715692,1.24,0.325269119345812,0.218531632484834,FALSE,0,"TRUE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",0.55553,1.89,0.0284,0.458,FALSE,0.640964246572687,0.46396,1.45,0.109,0.375,FALSE,0.617654661794808,0,0.629309454183747,0.0164823654630814,1.67,0.311126983722081,0.0209812757412262,FALSE,1.23456790123457,"FALSE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.34329,-1.21,0.254,0.557,FALSE,-0.307515213839788,-0.42215,-1.37,0.158,0.367,FALSE,-0.596407491974638,0,-0.451961352907213,0.204277688901582,-1.29,0.113137084989848,0.169179707042796,FALSE,0,"TRUE",FALSE
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",-0.57898,-1.94,0.0185,0.317,FALSE,-0.967945031297562,-0.62213,-2.01,0.00658,0.0729,TRUE,-2.28591766808087,1,-1.62693134968922,0.931947388887792,-1.975,0.0494974746830582,0.00121896831945447,FALSE,0,"FALSE",FALSE
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",-0.33492,-1.11,0.328,0.888,FALSE,-0.0572616079857529,-0.48361,-1.54,0.073,0.356,FALSE,-0.690767003121772,0,-0.374014305553763,0.447955960818943,-1.325,0.304055915910215,0.11330390610189,FALSE,0,"FALSE",FALSE
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",-0.45098,-1.53,0.109,0.788,FALSE,-0.15831488724098,-0.34892,-1.13,0.311,0.584,FALSE,-0.263953482762989,0,-0.211134185001984,0.0746977672486349,-1.33,0.282842712474619,0.148625750614781,FALSE,0,"FALSE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.25754,-0.938,0.494,0.749,FALSE,-0.1177360549979,-0.19444,-0.614,0.877,0.987,FALSE,-0.00348926826084305,0,-0.0606126616293717,0.0807846776305466,-0.776,0.229102597104441,0.795627744354525,FALSE,1.0752688172043,"TRUE",FALSE
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",0.17698,0.598,0.88,1,FALSE,0,0.21928,0.697,0.786,0.876,FALSE,0.0400746380008477,0,0.0200373190004239,0.0283370482839955,0.6475,0.0700035713374682,0.946655283584888,FALSE,0,"FALSE",FALSE
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",-0.38509,-1.32,0.175,0.823,FALSE,-0.111672217519804,-0.45419,-1.48,0.116,0.349,FALSE,-0.676618368100414,0,-0.394145292810109,0.399477254080786,-1.4,0.113137084989848,0.0994118281765682,FALSE,0,"FALSE",FALSE
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",0.23411,0.774,0.706,1,FALSE,0,0.33281,1.03,0.415,0.601,FALSE,0.227759293837178,0,0.113879646918589,0.161050141150528,0.902,0.181019335983756,0.652669446302415,FALSE,0,"FALSE",FALSE
"Bcr.Abl kinase inhibitor & EGFR inhibitor","Bcr.Abl kinase inhibitor","EGFR inhibitor",0.3914,1.3,0.189,0.635,FALSE,0.256394157120432,0.42554,1.33,0.174,0.377,FALSE,0.563466004226296,0,0.409930080673364,0.217132585400035,1.315,0.0212132034355964,0.145182095301993,FALSE,0,"TRUE",FALSE
"benzodiazepine receptor agonist & EGFR inhibitor","benzodiazepine receptor agonist","EGFR inhibitor",0.098484,0.34,0.998,0.996,FALSE,0.000591824935942432,0.20793,0.655,0.84,0.902,FALSE,0.0293397179100282,0,0.0149657714229853,0.0203278300668011,0.4975,0.222738636073762,0.986162250390089,FALSE,0,"FALSE",FALSE
"bromodomain inhibitor & EGFR inhibitor","bromodomain inhibitor","EGFR inhibitor",-0.48803,-1.7,0.0448,1,FALSE,0,-0.63061,-2.06,0.00802,0.0792,TRUE,-2.26862612592564,1,-1.13431306296282,1.60416091761899,-1.88,0.254558441227157,0.00320900335854572,FALSE,0,"TRUE",FALSE
"calcium channel blocker & EGFR inhibitor","calcium channel blocker","EGFR inhibitor",-0.20146,-0.686,0.827,0.888,FALSE,-0.0353887054758797,-0.31924,-1.02,0.423,0.661,FALSE,-0.183394511324647,0,-0.109391608400263,0.104655908970643,-0.853,0.236173664916307,0.71724977963359,FALSE,0,"FALSE",FALSE
"CC chemokine receptor antagonist & EGFR inhibitor","CC chemokine receptor antagonist","EGFR inhibitor",-0.23223,-0.885,0.555,0.93,FALSE,-0.0278925905297674,-0.27174,-0.882,0.596,0.799,FALSE,-0.0859537406450596,0,-0.0569231655874135,0.0410554329700132,-0.8835,0.00212132034355964,0.696722501846501,FALSE,0,"FALSE",FALSE
"CDK inhibitor & EGFR inhibitor","CDK inhibitor","EGFR inhibitor",0.37717,1.22,0.254,0.644,FALSE,0.233159241821029,0.2247,0.703,0.779,0.894,FALSE,0.0342097242864699,0,0.13368448305375,0.140678552962479,0.9615,0.365574205873445,0.518441616382008,FALSE,0,"FALSE",FALSE
"CHK inhibitor & EGFR inhibitor","CHK inhibitor","EGFR inhibitor",0.26471,0.891,0.565,0.861,FALSE,0.0579121920547936,0.48771,1.53,0.0877,0.408,FALSE,0.595689950472484,0,0.326801071263639,0.38026629974845,1.2105,0.451841233178204,0.198438005436101,FALSE,0,"TRUE",FALSE
"cyclooxygenase inhibitor & EGFR inhibitor","cyclooxygenase inhibitor","EGFR inhibitor",-0.32059,-1.17,0.298,0.758,FALSE,-0.140787029410497,-0.1752,-0.553,0.925,0.994,FALSE,-0.00144532942828574,0,-0.0711161794193915,0.0985294609594833,-0.8615,0.4362848839921,0.630859022002337,FALSE,0,"FALSE",FALSE
"cytochrome P450 inhibitor & EGFR inhibitor","cytochrome P450 inhibitor","EGFR inhibitor",-0.14785,-0.54,0.905,1,FALSE,0,-0.35289,-1.12,0.322,0.576,FALSE,-0.268326818566003,0,-0.134163409283001,0.189735712982233,-0.83,0.410121933088198,0.650725543865678,FALSE,0,"FALSE",FALSE
"DNA alkylating agent & EGFR inhibitor","DNA alkylating agent","EGFR inhibitor",-0.56614,-2.09,0.0084,0.209,TRUE,-1.4208942620279,-0.43489,-1.4,0.147,0.352,FALSE,-0.634840271130617,1,-1.02786726657926,0.555824107342216,-1.745,0.487903679018718,0.00950406576843722,FALSE,0,"FALSE",FALSE
"DNA inhibitor & EGFR inhibitor","DNA inhibitor","EGFR inhibitor",0.058818,0.202,1,1,FALSE,0,0.19177,0.601,0.899,0.932,FALSE,0.0183810366752572,0,0.00919051833762859,0.012997355678313,0.4015,0.282135605693432,0.994718547814955,FALSE,0,"FALSE",FALSE
"DNA methyltransferase inhibitor & EGFR inhibitor","DNA methyltransferase inhibitor","EGFR inhibitor",-0.26977,-0.985,0.442,0.672,FALSE,-0.170041266041982,-0.37946,-1.19,0.269,0.545,FALSE,-0.313688162290795,0,-0.241864714166389,0.101573694433936,-1.0875,0.144956890143242,0.372090018349663,FALSE,0,"FALSE",FALSE
"DNA polymerase inhibitor & EGFR inhibitor","DNA polymerase inhibitor","EGFR inhibitor",-0.43146,-1.54,0.0811,0.675,FALSE,-0.262872189840222,-0.38994,-1.28,0.206,0.44,FALSE,-0.45638057409768,0,-0.359626381968951,0.136831090724901,-1.41,0.183847763108502,0.0850691957279157,FALSE,0,"FALSE",FALSE
"DNA synthesis inhibitor & EGFR inhibitor","DNA synthesis inhibitor","EGFR inhibitor",-0.55376,-2.03,0.0167,0.3,FALSE,-1.06144385291909,-0.42006,-1.4,0.121,0.352,FALSE,-0.634840271130617,0,-0.848142062024851,0.301654285561096,-1.715,0.445477272147525,0.0145577518296536,FALSE,0,"FALSE",FALSE
"dopamine receptor antagonist & EGFR inhibitor","dopamine receptor antagonist","EGFR inhibitor",0.52546,1.77,0.0401,0.396,FALSE,0.712079520911843,0.46467,1.44,0.116,0.359,FALSE,0.64066399404722,0,0.676371757479532,0.0504984033279848,1.605,0.233345237791561,0.0296332226217881,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & estrogen receptor agonist","EGFR inhibitor","estrogen receptor agonist",0.43015,1.35,0.183,0.396,FALSE,0.543111499000558,0.40918,1.35,0.161,0.761,FALSE,0.160130713359727,0,0.351621106180143,0.270808310590784,1.35,0,0.133308880242597,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & estrogen receptor antagonist","EGFR inhibitor","estrogen receptor antagonist",0.2881,0.895,0.575,0.794,FALSE,0.0896606503277488,0.25171,0.864,0.561,0.847,FALSE,0.0623087334742692,0,0.075984691901009,0.019340725885546,0.8795,0.021920310216783,0.687542681226137,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & FGFR inhibitor","EGFR inhibitor","FGFR inhibitor",0.38139,1.21,0.271,0.444,FALSE,0.42666660616131,0.2682,0.901,0.553,0.837,FALSE,0.0696243623480728,0,0.248145484254691,0.252466991770401,1.0555,0.218495995386643,0.434308029712564,FALSE,10.958904109589,"FALSE",FALSE
"EGFR inhibitor & FLT3 inhibitor","EGFR inhibitor","FLT3 inhibitor",-0.17561,-0.563,0.897,1,FALSE,0,-0.22383,-0.827,0.638,1,FALSE,0,0,0,0,-0.695,0.186676190233249,0.891688209278706,FALSE,4.76190476190476,"FALSE",FALSE
"EGFR inhibitor & glucocorticoid receptor agonist","EGFR inhibitor","glucocorticoid receptor agonist",0.50047,1.54,0.0988,0.442,FALSE,0.546049705202398,0.46067,1.47,0.103,0.392,FALSE,0.597869481479928,0,0.571959593341163,0.0366421152054108,1.505,0.0494974746830584,0.0568625071012308,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & glutamate receptor antagonist","EGFR inhibitor","glutamate receptor antagonist",-0.30619,-0.978,0.477,0.709,FALSE,-0.146067981990961,-0.29321,-1.02,0.397,0.796,FALSE,-0.101068670907578,0,-0.123568326449269,0.0318193180157834,-0.999,0.029698484809835,0.50448995895065,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & glycogen synthase kinase inhibitor","EGFR inhibitor","glycogen synthase kinase inhibitor",0.51748,1.63,0.0693,0.502,FALSE,0.487852941053618,0.50069,1.66,0.0418,0.415,FALSE,0.634040159457926,0,0.560946550255772,0.103369973456485,1.645,0.0212132034355964,0.0198257790135315,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & growth factor receptor inhibitor","EGFR inhibitor","growth factor receptor inhibitor",0.44751,1.43,0.134,0.346,FALSE,0.659121178726329,0.38065,1.27,0.21,0.689,FALSE,0.205461588177315,0,0.432291383451822,0.320785772827521,1.35,0.113137084989848,0.128615649216106,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & HCV inhibitor","EGFR inhibitor","HCV inhibitor",-0.33259,-1.07,0.366,0.626,FALSE,-0.21766546346484,0.09795,0.339,0.997,1,FALSE,0,0,-0.10883273173242,0.153912725246101,-0.3655,0.996313454691846,0.73276935953684,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & HDAC inhibitor","EGFR inhibitor","HDAC inhibitor",0.16131,0.523,0.941,0.943,FALSE,0.0133303846983773,0.081147,0.263,1,1,FALSE,0,0,0.00666519234918864,0.00942600541604796,0.393,0.183847763108502,0.998224223172349,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & histamine receptor antagonist","EGFR inhibitor","histamine receptor antagonist",-0.27212,-0.875,0.576,0.787,FALSE,-0.0910221091858185,-0.42048,-1.5,0.082,0.728,FALSE,-0.206802931030444,0,-0.148912520108131,0.0818694042576864,-1.1875,0.441941738241592,0.191416354156995,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & histone lysine methyltransferase inhibitor","EGFR inhibitor","histone lysine methyltransferase inhibitor",-0.63728,-2.04,0.00808,0.075,TRUE,-2.29487502268093,-0.44022,-1.54,0.0836,0.596,FALSE,-0.346120760000036,1,-1.32049789134048,1.37797735400785,-1.79,0.353553390593274,0.0056066011732856,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & HMGCR inhibitor","EGFR inhibitor","HMGCR inhibitor",-0.46749,-1.51,0.113,0.336,FALSE,-0.715227691141335,-0.218,-0.799,0.662,0.89,FALSE,-0.0404373846907147,0,-0.377832537916025,0.477148801570182,-1.1545,0.502752921423635,0.268767274455056,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & HSP inhibitor","EGFR inhibitor","HSP inhibitor",-0.2294,-0.75,0.748,0.887,FALSE,-0.0390572851262052,-0.35759,-1.3,0.175,0.64,FALSE,-0.251966033820947,0,-0.145511659473576,0.150549219975994,-1.025,0.388908729652601,0.397061798234076,FALSE,0,"TRUE",FALSE
