"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.87493,2.46,0,123,0.000979
"EGFR inhibitor","NES","Abl kinase inhibitor",0.40545,1.15,0.336,254,0.484
"EGFR inhibitor","NES","adenosine receptor antagonist",0.65971,1.91,0.00579,260,0.142
"EGFR inhibitor","NES","AKT inhibitor",0.65165,1.87,0.0224,134,0.131
"EGFR inhibitor","NES","androgen receptor antagonist",-0.48483,-1.44,0.127,877,0.233
"EGFR inhibitor","NES","ATPase inhibitor",-0.41675,-1.22,0.251,850,0.349
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.27195,-0.799,0.682,817,0.74
"EGFR inhibitor","NES","BCL inhibitor",0.31454,0.915,0.569,37,0.612
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.40545,1.14,0.317,254,0.441
"EGFR inhibitor","NES","bromodomain inhibitor",-0.62708,-1.88,0.0193,836,0.0649
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.3685,-1.08,0.371,967,0.462
"EGFR inhibitor","NES","CDK inhibitor",0.45876,1.31,0.177,287,0.371
"EGFR inhibitor","NES","CHK inhibitor",0.47125,1.34,0.17,522,0.364
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.5559,-1.7,0.0351,542,0.104
"EGFR inhibitor","NES","dopamine receptor antagonist",0.50273,1.44,0.0965,170,0.339
"EGFR inhibitor","NES","estrogen receptor agonist",0.41662,1.17,0.304,245,0.488
"EGFR inhibitor","NES","FLT3 inhibitor",-0.33303,-0.974,0.483,751,0.566
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.48412,1.4,0.142,386,0.353
"EGFR inhibitor","NES","growth factor receptor inhibitor",0.42725,1.23,0.267,564,0.436
"EGFR inhibitor","NES","HDAC inhibitor",0.20445,0.6,0.88,511,0.884
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",-0.63638,-1.85,0.0195,869,0.0666
"EGFR inhibitor","NES","HMGCR inhibitor",-0.47378,-1.39,0.159,780,0.254
"EGFR inhibitor","NES","HSP inhibitor",-0.28928,-0.858,0.622,507,0.696
"EGFR inhibitor","NES","JAK inhibitor",-0.21959,-0.655,0.819,213,0.838
"EGFR inhibitor","NES","MDM inhibitor",0.36868,1.08,0.356,212,0.441
"EGFR inhibitor","NES","MEK inhibitor",0.40438,1.14,0.321,300,0.441
"EGFR inhibitor","NES","MET inhibitor",0.38471,1.11,0.346,403,0.451
"EGFR inhibitor","NES","microtubule inhibitor",-0.58348,-1.72,0.0312,705,0.105
"EGFR inhibitor","NES","mTOR inhibitor",0.50061,1.45,0.115,342,0.367
"EGFR inhibitor","NES","opioid receptor agonist",-0.63477,-1.88,0.0124,747,0.0649
"EGFR inhibitor","NES","PARP inhibitor",-0.7177,-2.1,0.00216,748,0.0578
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.25975,-0.77,0.737,253,0.743
"EGFR inhibitor","NES","phosphatase inhibitor",0.22531,0.648,0.848,762,0.878
"EGFR inhibitor","NES","PI3K inhibitor",0.55314,1.6,0.0505,345,0.268
"EGFR inhibitor","NES","PLK inhibitor",-0.86037,-2.48,0,838,0.00717
"EGFR inhibitor","NES","proteasome inhibitor",-0.3768,-1.12,0.324,367,0.44
"EGFR inhibitor","NES","protein synthesis inhibitor",-0.51827,-1.53,0.094,871,0.183
"EGFR inhibitor","NES","RAF inhibitor",0.26365,0.744,0.724,725,0.803
"EGFR inhibitor","NES","ribonucleotide reductase inhibitor",-0.4262,-1.26,0.234,702,0.354
"EGFR inhibitor","NES","serotonin receptor agonist",-0.66815,-1.95,0.0216,913,0.0663
"EGFR inhibitor","NES","sterol demethylase inhibitor",0.61436,1.74,0.0358,382,0.207
"EGFR inhibitor","NES","SYK inhibitor",0.46902,1.36,0.163,431,0.371
"EGFR inhibitor","NES","TGF beta receptor inhibitor",0.53196,1.52,0.094,378,0.32
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.65976,-1.98,0.0086,739,0.0681
"EGFR inhibitor","NES","tubulin polymerization inhibitor",-0.67742,-2.02,0.0061,791,0.07
"EGFR inhibitor","NES","tyrosine kinase inhibitor",0.3866,1.1,0.351,77,0.44
"EGFR inhibitor","NES","VEGFR inhibitor",-0.42154,-1.24,0.188,411,0.351
"EGFR inhibitor","NES","vitamin D receptor agonist",0.57687,1.68,0.0389,248,0.22
"Abl kinase inhibitor","NES","EGFR inhibitor",0.49698,1.51,0.0745,385,0.299
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.63701,1.95,0.00754,97,0.0547
"Abl kinase inhibitor","NES","adenosine receptor antagonist",0.31578,0.967,0.501,157,0.847
"Abl kinase inhibitor","NES","AKT inhibitor",0.30089,0.901,0.559,535,0.773
"Abl kinase inhibitor","NES","androgen receptor antagonist",0.62193,1.85,0.0246,374,0.0854
"Abl kinase inhibitor","NES","ATPase inhibitor",-0.56072,-1.83,0.0234,905,0.215
"Abl kinase inhibitor","NES","Aurora kinase inhibitor",0.28254,0.86,0.629,425,0.744
"Abl kinase inhibitor","NES","BCL inhibitor",0.28381,0.866,0.604,704,0.764
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.63701,1.96,0.00563,97,0.0603
"Abl kinase inhibitor","NES","bromodomain inhibitor",0.32176,0.966,0.491,404,0.806
"Abl kinase inhibitor","NES","CC chemokine receptor antagonist",0.3411,1.02,0.443,429,0.792
"Abl kinase inhibitor","NES","CDK inhibitor",0.68524,2.1,0.00292,317,0.0562
"Abl kinase inhibitor","NES","CHK inhibitor",-0.34365,-1.08,0.372,546,0.599
"Abl kinase inhibitor","NES","cyclooxygenase inhibitor",-0.50998,-1.67,0.0578,908,0.272
"Abl kinase inhibitor","NES","dopamine receptor antagonist",-0.29599,-1,0.444,288,0.663
"Abl kinase inhibitor","NES","estrogen receptor agonist",-0.42462,-1.38,0.153,414,0.375
"Abl kinase inhibitor","NES","FLT3 inhibitor",0.46613,1.41,0.138,428,0.402
"Abl kinase inhibitor","NES","glucocorticoid receptor agonist",0.41022,1.25,0.225,399,0.504
"Abl kinase inhibitor","NES","growth factor receptor inhibitor",0.21794,0.687,0.808,475,0.884
"Abl kinase inhibitor","NES","HDAC inhibitor",0.22113,0.674,0.825,680,0.871
"Abl kinase inhibitor","NES","histone lysine methyltransferase inhibitor",0.56177,1.72,0.0269,307,0.146
"Abl kinase inhibitor","NES","HMGCR inhibitor",0.66096,1.97,0.00435,168,0.0685
"Abl kinase inhibitor","NES","HSP inhibitor",-0.24021,-0.757,0.716,233,0.833
"Abl kinase inhibitor","NES","JAK inhibitor",0.42952,1.29,0.192,383,0.509
"Abl kinase inhibitor","NES","MDM inhibitor",0.82377,2.54,0,177,0.00307
"Abl kinase inhibitor","NES","MEK inhibitor",0.27447,0.835,0.642,580,0.753
"Abl kinase inhibitor","NES","MET inhibitor",-0.70936,-2.34,0.00325,852,0.0344
"Abl kinase inhibitor","NES","microtubule inhibitor",-0.27537,-0.93,0.519,937,0.712
"Abl kinase inhibitor","NES","mTOR inhibitor",0.39499,1.21,0.267,370,0.533
"Abl kinase inhibitor","NES","opioid receptor agonist",-0.35348,-1.16,0.301,345,0.543
"Abl kinase inhibitor","NES","PARP inhibitor",0.25524,0.773,0.693,225,0.807
"Abl kinase inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.40746,1.25,0.253,135,0.504
"Abl kinase inhibitor","NES","phosphatase inhibitor",0.18179,0.552,0.929,690,0.919
"Abl kinase inhibitor","NES","PI3K inhibitor",0.20646,0.621,0.858,343,0.893
"Abl kinase inhibitor","NES","PLK inhibitor",-0.47315,-1.59,0.0559,657,0.22
"Abl kinase inhibitor","NES","proteasome inhibitor",-0.2577,-0.854,0.62,251,0.763
"Abl kinase inhibitor","NES","protein synthesis inhibitor",0.28953,0.889,0.576,699,0.759
"Abl kinase inhibitor","NES","RAF inhibitor",0.54555,1.63,0.0402,255,0.192
"Abl kinase inhibitor","NES","ribonucleotide reductase inhibitor",0.35852,1.08,0.369,118,0.727
"Abl kinase inhibitor","NES","serotonin receptor agonist",-0.4959,-1.62,0.0754,484,0.244
"Abl kinase inhibitor","NES","sterol demethylase inhibitor",-0.21641,-0.722,0.772,211,0.816
"Abl kinase inhibitor","NES","SYK inhibitor",0.43146,1.31,0.173,297,0.516
"Abl kinase inhibitor","NES","TGF beta receptor inhibitor",0.30994,0.953,0.489,106,0.789
"Abl kinase inhibitor","NES","topoisomerase inhibitor",-0.18098,-0.577,0.876,234,0.894
"Abl kinase inhibitor","NES","tubulin polymerization inhibitor",-0.35526,-1.18,0.265,392,0.588
"Abl kinase inhibitor","NES","tyrosine kinase inhibitor",0.68524,2.04,0.00439,135,0.0606
"Abl kinase inhibitor","NES","VEGFR inhibitor",0.31478,0.952,0.498,428,0.755
"Abl kinase inhibitor","NES","vitamin D receptor agonist",0.30659,0.934,0.524,471,0.752
"acetylcholine receptor agonist","NES","EGFR inhibitor",-0.42378,-1.37,0.162,751,1
"acetylcholine receptor agonist","NES","Abl kinase inhibitor",0.30816,0.966,0.495,60,0.676
"acetylcholine receptor agonist","NES","adenosine receptor antagonist",-0.40996,-1.3,0.203,819,1
"acetylcholine receptor agonist","NES","AKT inhibitor",0.50529,1.57,0.0884,360,0.383
"acetylcholine receptor agonist","NES","androgen receptor antagonist",0.47439,1.48,0.0973,518,0.393
"acetylcholine receptor agonist","NES","ATPase inhibitor",-0.15391,-0.508,0.959,502,0.938
"acetylcholine receptor agonist","NES","Aurora kinase inhibitor",0.14226,0.439,0.976,311,0.97
"acetylcholine receptor agonist","NES","BCL inhibitor",-0.34529,-1.11,0.315,337,1
"acetylcholine receptor agonist","NES","Bcr.Abl kinase inhibitor",0.30816,0.953,0.506,60,0.659
"acetylcholine receptor agonist","NES","bromodomain inhibitor",-0.31455,-1.07,0.367,521,1
"acetylcholine receptor agonist","NES","CC chemokine receptor antagonist",0.37179,1.16,0.301,495,0.584
"acetylcholine receptor agonist","NES","CDK inhibitor",-0.32288,-1.05,0.395,503,0.998
"acetylcholine receptor agonist","NES","CHK inhibitor",-0.52156,-1.73,0.0418,508,1
"acetylcholine receptor agonist","NES","cyclooxygenase inhibitor",-0.32668,-1.06,0.376,903,1
"acetylcholine receptor agonist","NES","dopamine receptor antagonist",-0.15345,-0.513,0.933,785,0.977
"acetylcholine receptor agonist","NES","estrogen receptor agonist",0.33222,1.03,0.415,537,0.701
"acetylcholine receptor agonist","NES","FLT3 inhibitor",0.31777,0.997,0.439,527,0.709
"acetylcholine receptor agonist","NES","glucocorticoid receptor agonist",0.54528,1.69,0.0553,204,0.556
"acetylcholine receptor agonist","NES","growth factor receptor inhibitor",-0.28586,-0.929,0.528,279,0.851
"acetylcholine receptor agonist","NES","HDAC inhibitor",0.26387,0.816,0.65,477,0.711
"acetylcholine receptor agonist","NES","histone lysine methyltransferase inhibitor",0.50579,1.55,0.0839,44,0.345
"acetylcholine receptor agonist","NES","HMGCR inhibitor",0.33364,1.03,0.415,487,0.701
"acetylcholine receptor agonist","NES","HSP inhibitor",-0.28542,-0.942,0.5,528,0.891
"acetylcholine receptor agonist","NES","JAK inhibitor",-0.21946,-0.733,0.759,794,0.908
"acetylcholine receptor agonist","NES","MDM inhibitor",0.56085,1.74,0.025,272,0.869
"acetylcholine receptor agonist","NES","MEK inhibitor",0.30848,0.946,0.525,650,0.605
"acetylcholine receptor agonist","NES","MET inhibitor",-0.50596,-1.68,0.0533,941,0.598
"acetylcholine receptor agonist","NES","microtubule inhibitor",0.44151,1.36,0.146,447,0.41
"acetylcholine receptor agonist","NES","mTOR inhibitor",0.30336,0.933,0.531,217,0.593
"acetylcholine receptor agonist","NES","opioid receptor agonist",-0.27297,-0.894,0.602,858,0.752
"acetylcholine receptor agonist","NES","PARP inhibitor",0.23502,0.734,0.728,479,0.779
"acetylcholine receptor agonist","NES","PDGFR tyrosine kinase receptor inhibitor",-0.18349,-0.602,0.867,864,0.957
"acetylcholine receptor agonist","NES","phosphatase inhibitor",0.52387,1.63,0.0599,315,0.37
"acetylcholine receptor agonist","NES","PI3K inhibitor",0.31267,0.972,0.466,211,0.707
"acetylcholine receptor agonist","NES","PLK inhibitor",-0.27086,-0.924,0.53,815,0.802
"acetylcholine receptor agonist","NES","proteasome inhibitor",-0.30351,-0.975,0.467,470,0.979
"acetylcholine receptor agonist","NES","protein synthesis inhibitor",0.43331,1.34,0.165,462,0.398
"acetylcholine receptor agonist","NES","RAF inhibitor",-0.26631,-0.873,0.56,777,0.743
"acetylcholine receptor agonist","NES","ribonucleotide reductase inhibitor",0.53846,1.66,0.0575,456,0.433
"acetylcholine receptor agonist","NES","serotonin receptor agonist",-0.30781,-1,0.461,890,1
"acetylcholine receptor agonist","NES","sterol demethylase inhibitor",-0.29128,-0.944,0.503,284,0.961
"acetylcholine receptor agonist","NES","SYK inhibitor",-0.27971,-0.921,0.5,273,0.758
"acetylcholine receptor agonist","NES","TGF beta receptor inhibitor",0.4699,1.43,0.116,29,0.408
"acetylcholine receptor agonist","NES","topoisomerase inhibitor",0.40935,1.28,0.214,472,0.442
"acetylcholine receptor agonist","NES","tubulin polymerization inhibitor",0.30573,0.947,0.49,333,0.634
"acetylcholine receptor agonist","NES","tyrosine kinase inhibitor",-0.19217,-0.624,0.86,804,0.985
"acetylcholine receptor agonist","NES","VEGFR inhibitor",-0.38154,-1.22,0.236,372,1
"acetylcholine receptor agonist","NES","vitamin D receptor agonist",0.44646,1.41,0.159,248,0.388
