"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.87493,2.46,0,123,0.000979
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.63701,1.95,0.00754,97,0.0547
"adenosine receptor antagonist","NES","adenosine receptor antagonist",0.84324,2.58,0,158,0.00102
"AKT inhibitor","NES","AKT inhibitor",0.76719,2.33,0,143,0.0216
"androgen receptor antagonist","NES","androgen receptor antagonist",0.6752,2.03,0.00541,322,0.0725
"ATPase inhibitor","NES","ATPase inhibitor",0.78542,2.46,0,216,0.00546
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.77963,2.32,0,231,0.0202
"BCL inhibitor","NES","BCL inhibitor",0.74385,2.31,0,255,0.0263
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.63339,1.94,0.00609,149,0.056
"bromodomain inhibitor","NES","bromodomain inhibitor",0.98051,3,0,25,0
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",0.4375,1.38,0.144,554,0.573
"CDK inhibitor","NES","CDK inhibitor",0.8225,2.46,0,184,0.0025
"CHK inhibitor","NES","CHK inhibitor",0.883,2.73,0,28,0
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.86051,2.66,0,142,0
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.85133,2.52,0,55,0.00172
"estrogen receptor agonist","NES","estrogen receptor agonist",0.60615,1.84,0.0225,390,0.225
"FLT3 inhibitor","NES","FLT3 inhibitor",0.69846,2.2,0,300,0.0862
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.79544,2.33,0,39,0.00479
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",0.67111,2.13,0.00285,326,0.123
"HDAC inhibitor","NES","HDAC inhibitor",0.84363,2.53,0,114,0
"HMGCR inhibitor","NES","HMGCR inhibitor",0.84103,2.53,0,161,0.000997
"HSP inhibitor","NES","HSP inhibitor",0.68781,2.14,0.00294,239,0.0325
"JAK inhibitor","NES","JAK inhibitor",0.67336,2.08,0.00705,251,0.0912
"MDM inhibitor","NES","MDM inhibitor",0.86057,2.66,0,24,0.00113
"MEK inhibitor","NES","MEK inhibitor",0.82735,2.38,0,96,0.00409
"MET inhibitor","NES","MET inhibitor",0.85146,2.65,0,62,0.001
"microtubule inhibitor","NES","microtubule inhibitor",0.70103,2.12,0.00289,195,0.0437
"mTOR inhibitor","NES","mTOR inhibitor",0.79706,2.34,0,137,0.00382
"opioid receptor agonist","NES","opioid receptor agonist",0.79816,2.47,0,202,0.00688
"PARP inhibitor","NES","PARP inhibitor",0.68275,2.1,0.00194,316,0.0583
"PDGFR tyrosine kinase receptor inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.88912,2.64,0,115,0
"phosphatase inhibitor","NES","phosphatase inhibitor",0.37997,1.19,0.272,165,0.534
"PI3K inhibitor","NES","PI3K inhibitor",0.8249,2.43,0.00149,156,0.00665
"PLK inhibitor","NES","PLK inhibitor",0.91376,2.83,0,91,0
"proteasome inhibitor","NES","proteasome inhibitor",0.79566,2.43,0,112,0.00442
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.6961,2.16,0.00141,303,0.0345
"RAF inhibitor","NES","RAF inhibitor",0.76928,2.39,0,161,0.0153
"ribonucleotide reductase inhibitor","NES","ribonucleotide reductase inhibitor",0.55897,1.72,0.0312,436,0.251
"sterol demethylase inhibitor","NES","sterol demethylase inhibitor",0.60513,1.86,0.0161,391,0.12
"TGF beta receptor inhibitor","NES","TGF beta receptor inhibitor",0.66306,2.03,0.00978,219,0.087
"topoisomerase inhibitor","NES","topoisomerase inhibitor",0.72993,2.08,0.00149,219,0.0401
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",0.77927,2.26,0,144,0.00987
"tyrosine kinase inhibitor","NES","tyrosine kinase inhibitor",0.63555,1.89,0.0218,74,0.163
"VEGFR inhibitor","NES","VEGFR inhibitor",0.88923,2.7,0,114,0.000525
"vitamin D receptor agonist","NES","vitamin D receptor agonist",0.94867,2.96,0,57,0
