"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.87493,2.46,0,0.000979,TRUE,7.40267457816428,0.87493,2.46,0,0.000979,TRUE,7.40267457816428,2,7.40267457816428,0,2.46,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.49698,1.51,0.0745,0.299,FALSE,0.791736505630111,0.40545,1.15,0.336,0.484,FALSE,0.362427834108926,0,0.577082169869518,0.303567072854818,1.33,0.254558441227157,0.117340010024113,FALSE,1.21951219512195,"TRUE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",0.50599,1.57,0.0723,0.392,FALSE,0.638540874777882,0.65971,1.91,0.00579,0.142,TRUE,1.61912926222836,1,1.12883506850312,0.693380698319016,1.74,0.240416305603426,0.00367485199725839,FALSE,0,"TRUE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.26072,0.778,0.698,0.697,FALSE,0.121964898639749,0.65165,1.87,0.0224,0.131,TRUE,1.65070267712372,1,0.886333787881735,1.08098084982207,1.324,0.77216060505571,0.0806499654563893,FALSE,0,"TRUE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23456790123457,"FALSE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.48257,-1.52,0.0931,0.254,FALSE,-0.904652750737694,-0.48483,-1.44,0.127,0.233,FALSE,-0.911007473722533,0,-0.907830112230113,0.00449346771514134,-1.48,0.0565685424949239,0.0642931338773346,FALSE,0,"TRUE",FALSE
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",-0.57666,-1.83,0.0224,0.284,FALSE,-1.00042743771392,-0.41675,-1.22,0.251,0.349,FALSE,-0.557752979109801,0,-0.779090208411861,0.313018111537057,-1.525,0.431335136523794,0.0347520356210238,FALSE,0,"TRUE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.32301,-1.06,0.357,0.516,FALSE,-0.304591316275156,-0.27195,-0.799,0.682,0.74,FALSE,-0.10448385593495,0,-0.204537586105053,0.141497342172578,-0.9295,0.184554869889689,0.587440704942999,FALSE,1.0752688172043,"TRUE",FALSE
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",0.29068,0.904,0.546,0.645,FALSE,0.172158017969718,0.31454,0.915,0.569,0.612,FALSE,0.195122448736812,0,0.183640233353265,0.0162383047215009,0.9095,0.00777817459305203,0.673855369422657,FALSE,0,"TRUE",FALSE
