"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.68271,2.26,0.00209,127,0.0867
"EGFR inhibitor","NES","Abl kinase inhibitor",0.44468,1.4,0.139,489,0.556
"EGFR inhibitor","NES","acetylcholine receptor agonist",0.54094,1.71,0.0495,368,0.296
"EGFR inhibitor","NES","acetylcholine receptor antagonist",0.28945,0.925,0.529,199,0.682
"EGFR inhibitor","NES","adenosine receptor antagonist",0.52021,1.69,0.0524,139,0.283
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.30048,-0.969,0.471,1103,0.701
"EGFR inhibitor","NES","adrenergic receptor antagonist",0.13366,0.437,0.982,81,0.981
"EGFR inhibitor","NES","AKT inhibitor",-0.35362,-1.15,0.304,1189,0.61
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.525,1.71,0.0529,264,0.296
"EGFR inhibitor","NES","androgen receptor antagonist",-0.45456,-1.45,0.109,945,0.472
"EGFR inhibitor","NES","antioxidant",-0.37975,-1.21,0.245,510,0.658
"EGFR inhibitor","NES","AP inhibitor",0.3742,1.19,0.293,320,0.62
"EGFR inhibitor","NES","ATPase inhibitor",-0.34859,-1.11,0.331,1151,0.614
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.16529,-0.531,0.955,400,0.963
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.3155,1.03,0.415,395,0.645
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.60072,-1.87,0.0218,1100,0.283
"EGFR inhibitor","NES","BCL inhibitor",0.36993,1.15,0.304,322,0.599
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.42299,1.36,0.184,138,0.583
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.27884,-0.903,0.546,1158,0.785
"EGFR inhibitor","NES","bromodomain inhibitor",-0.20849,-0.673,0.812,280,0.965
"EGFR inhibitor","NES","calcium channel blocker",-0.30838,-0.991,0.441,1091,0.691
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.22618,-0.71,0.803,618,1
"EGFR inhibitor","NES","CDK inhibitor",0.33542,1.07,0.361,161,0.65
"EGFR inhibitor","NES","CHK inhibitor",-0.39383,-1.25,0.24,1027,0.629
"EGFR inhibitor","NES","cyclooxygenase inhibitor",0.29525,0.931,0.502,177,0.694
"EGFR inhibitor","NES","cytochrome P450 inhibitor",0.31506,1.01,0.435,486,0.654
"EGFR inhibitor","NES","DNA alkylating agent",-0.62747,-2.01,0.00753,1191,0.213
"EGFR inhibitor","NES","DNA inhibitor",-0.37223,-1.18,0.282,884,0.593
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",-0.34866,-1.1,0.342,694,0.602
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.41691,-1.34,0.162,969,0.562
"EGFR inhibitor","NES","DNA synthesis inhibitor",-0.4758,-1.52,0.0822,957,0.461
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.13762,-0.436,0.973,982,0.981
"EGFR inhibitor","NES","estrogen receptor agonist",0.31776,1.04,0.389,71,0.651
"EGFR inhibitor","NES","estrogen receptor antagonist",0.55986,1.77,0.0229,193,0.397
"EGFR inhibitor","NES","FGFR inhibitor",-0.24396,-0.779,0.719,567,0.936
"EGFR inhibitor","NES","FLT3 inhibitor",0.40008,1.28,0.193,448,0.568
"EGFR inhibitor","NES","glucocorticoid receptor agonist",-0.20482,-0.65,0.838,333,0.963
"EGFR inhibitor","NES","glutamate receptor antagonist",-0.34247,-1.08,0.353,1209,0.604
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.29656,0.991,0.445,61,0.662
"EGFR inhibitor","NES","growth factor receptor inhibitor",0.51327,1.62,0.0679,264,0.3
"EGFR inhibitor","NES","HCV inhibitor",0.34216,1.07,0.385,414,0.65
"EGFR inhibitor","NES","HDAC inhibitor",-0.18034,-0.574,0.927,632,0.984
"EGFR inhibitor","NES","histamine receptor antagonist",-0.17898,-0.57,0.922,914,0.961
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",0.34943,1.16,0.29,330,0.64
"EGFR inhibitor","NES","HMGCR inhibitor",-0.41715,-1.3,0.189,1224,0.582
"EGFR inhibitor","NES","HSP inhibitor",0.25169,0.795,0.642,475,0.813
"EGFR inhibitor","NES","JAK inhibitor",0.23098,0.739,0.735,562,0.847
"EGFR inhibitor","NES","KIT inhibitor",0.26114,0.835,0.637,480,0.776
"EGFR inhibitor","NES","MDM inhibitor",-0.57976,-1.85,0.0141,1040,0.233
"EGFR inhibitor","NES","MEK inhibitor",0.50032,1.58,0.085,555,0.317
"EGFR inhibitor","NES","MET inhibitor",0.42569,1.34,0.179,175,0.578
"EGFR inhibitor","NES","microtubule inhibitor",0.19716,0.649,0.837,1085,0.876
"EGFR inhibitor","NES","mTOR inhibitor",0.36062,1.15,0.29,477,0.599
"EGFR inhibitor","NES","NFkB pathway inhibitor",-0.17803,-0.579,0.913,1016,1
"EGFR inhibitor","NES","opioid receptor agonist",0.27625,0.886,0.577,978,0.72
"EGFR inhibitor","NES","p38 MAPK inhibitor",0.40009,1.28,0.22,338,0.568
"EGFR inhibitor","NES","PARP inhibitor",-0.55664,-1.78,0.035,1128,0.262
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.21179,-0.683,0.805,1065,0.982
"EGFR inhibitor","NES","phosphatase inhibitor",0.29864,0.959,0.469,287,0.672
"EGFR inhibitor","NES","phosphodiesterase inhibitor",-0.36676,-1.2,0.257,1212,0.633
"EGFR inhibitor","NES","PI3K inhibitor",0.51675,1.66,0.0599,228,0.283
"EGFR inhibitor","NES","PLK inhibitor",-0.69766,-2.23,0.00203,1001,0.105
"EGFR inhibitor","NES","potassium channel blocker",-0.3218,-1.01,0.419,1004,0.688
"EGFR inhibitor","NES","PPAR receptor agonist",-0.43049,-1.4,0.128,1004,0.503
"EGFR inhibitor","NES","progesterone receptor agonist",0.38661,1.23,0.246,300,0.586
"EGFR inhibitor","NES","proteasome inhibitor",0.2088,0.675,0.804,1069,0.887
"EGFR inhibitor","NES","protein synthesis inhibitor",-0.24604,-0.788,0.67,1083,0.955
"EGFR inhibitor","NES","protein tyrosine kinase inhibitor",0.67684,2.14,0,211,0.108
"EGFR inhibitor","NES","RAF inhibitor",0.19241,0.605,0.887,304,0.901
"EGFR inhibitor","NES","RET tyrosine kinase inhibitor",-0.48794,-1.54,0.083,999,0.49
"EGFR inhibitor","NES","retinoid receptor agonist",0.23914,0.766,0.705,265,0.832
"EGFR inhibitor","NES","ribonucleotide reductase inhibitor",-0.46071,-1.45,0.124,1089,0.472
"EGFR inhibitor","NES","serotonin receptor agonist",0.38724,1.23,0.231,417,0.586
"EGFR inhibitor","NES","serotonin receptor antagonist",0.20635,0.653,0.826,685,0.892
"EGFR inhibitor","NES","sodium channel blocker",-0.48342,-1.56,0.0804,905,0.532
"EGFR inhibitor","NES","src inhibitor",0.55535,1.71,0.0542,148,0.296
"EGFR inhibitor","NES","sterol demethylase inhibitor",0.58079,1.85,0.0196,569,0.367
"EGFR inhibitor","NES","SYK inhibitor",0.3222,1.04,0.398,625,0.651
"EGFR inhibitor","NES","TGF beta receptor inhibitor",0.22574,0.703,0.76,235,0.874
"EGFR inhibitor","NES","thymidylate synthase inhibitor",-0.37057,-1.19,0.245,1137,0.611
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.34842,-1.11,0.319,676,0.614
"EGFR inhibitor","NES","tubulin polymerization inhibitor",-0.22068,-0.702,0.781,611,0.987
"EGFR inhibitor","NES","tyrosine kinase inhibitor",0.34389,1.1,0.331,211,0.651
"EGFR inhibitor","NES","VEGFR inhibitor",0.30751,0.98,0.458,237,0.659
"EGFR inhibitor","NES","vitamin D receptor agonist",0.40499,1.28,0.21,257,0.568
"Abl kinase inhibitor","NES","EGFR inhibitor",0.43244,1.44,0.123,381,0.457
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.29223,0.983,0.462,729,0.712
"Abl kinase inhibitor","NES","acetylcholine receptor agonist",0.38794,1.29,0.221,828,0.495
"Abl kinase inhibitor","NES","acetylcholine receptor antagonist",0.34364,1.17,0.307,533,0.589
"Abl kinase inhibitor","NES","adenosine receptor antagonist",0.49299,1.65,0.05,420,0.438
"Abl kinase inhibitor","NES","adrenergic receptor agonist",0.14699,0.489,0.951,447,0.973
"Abl kinase inhibitor","NES","adrenergic receptor antagonist",-0.27354,-0.995,0.452,681,0.722
"Abl kinase inhibitor","NES","AKT inhibitor",0.2532,0.864,0.594,323,0.772
"Abl kinase inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.46672,1.56,0.0674,288,0.472
"Abl kinase inhibitor","NES","androgen receptor antagonist",-0.21668,-0.814,0.642,291,0.729
"Abl kinase inhibitor","NES","antioxidant",-0.47587,-1.78,0.0323,1243,0.476
"Abl kinase inhibitor","NES","AP inhibitor",-0.34908,-1.29,0.204,1022,0.596
"Abl kinase inhibitor","NES","ATPase inhibitor",-0.35202,-1.4,0.141,471,0.568
"Abl kinase inhibitor","NES","Aurora kinase inhibitor",0.3408,1.14,0.32,867,0.593
"Abl kinase inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.30973,1.04,0.399,831,0.644
"Abl kinase inhibitor","NES","bacterial DNA gyrase inhibitor",-0.49739,-1.87,0.0303,1193,0.524
"Abl kinase inhibitor","NES","BCL inhibitor",0.27756,0.932,0.542,331,0.729
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.32109,1.07,0.388,404,0.661
"Abl kinase inhibitor","NES","benzodiazepine receptor agonist",0.28122,0.935,0.508,630,0.746
"Abl kinase inhibitor","NES","bromodomain inhibitor",-0.38737,-1.44,0.122,804,0.646
"Abl kinase inhibitor","NES","calcium channel blocker",-0.23034,-0.859,0.594,1317,0.712
"Abl kinase inhibitor","NES","CC chemokine receptor antagonist",-0.17293,-0.618,0.837,1224,0.858
"Abl kinase inhibitor","NES","CDK inhibitor",0.31729,1.04,0.417,786,0.644
"Abl kinase inhibitor","NES","CHK inhibitor",-0.59567,-2.18,0.00327,1142,0.311
"Abl kinase inhibitor","NES","cyclooxygenase inhibitor",0.12713,0.429,0.979,595,0.978
"Abl kinase inhibitor","NES","cytochrome P450 inhibitor",0.42826,1.45,0.124,529,0.479
"Abl kinase inhibitor","NES","DNA alkylating agent",-0.25888,-0.927,0.528,714,0.71
"Abl kinase inhibitor","NES","DNA inhibitor",0.2048,0.679,0.796,337,0.921
"Abl kinase inhibitor","NES","DNA methyltransferase inhibitor",0.35145,1.19,0.266,877,0.579
"Abl kinase inhibitor","NES","DNA polymerase inhibitor",-0.23856,-0.884,0.558,544,0.753
"Abl kinase inhibitor","NES","DNA synthesis inhibitor",-0.2893,-1.06,0.39,1326,0.751
"Abl kinase inhibitor","NES","dopamine receptor antagonist",0.1988,0.673,0.813,339,0.907
"Abl kinase inhibitor","NES","estrogen receptor agonist",0.20218,0.672,0.804,993,0.888
"Abl kinase inhibitor","NES","estrogen receptor antagonist",-0.34692,-1.3,0.181,1308,0.633
"Abl kinase inhibitor","NES","FGFR inhibitor",-0.22859,-0.814,0.62,809,0.729
"Abl kinase inhibitor","NES","FLT3 inhibitor",0.45214,1.49,0.101,410,0.496
"Abl kinase inhibitor","NES","glucocorticoid receptor agonist",0.19586,0.666,0.828,959,0.874
"Abl kinase inhibitor","NES","glutamate receptor antagonist",0.19174,0.625,0.861,697,0.895
"Abl kinase inhibitor","NES","glycogen synthase kinase inhibitor",-0.38611,-1.4,0.151,721,0.568
"Abl kinase inhibitor","NES","growth factor receptor inhibitor",0.4862,1.64,0.0522,583,0.39
"Abl kinase inhibitor","NES","HCV inhibitor",-0.28593,-1.04,0.397,384,0.712
"Abl kinase inhibitor","NES","HDAC inhibitor",0.39208,1.34,0.175,637,0.443
"Abl kinase inhibitor","NES","histamine receptor antagonist",0.21244,0.715,0.792,681,0.92
"Abl kinase inhibitor","NES","histone lysine methyltransferase inhibitor",-0.2433,-0.88,0.571,327,0.731
"Abl kinase inhibitor","NES","HMGCR inhibitor",-0.42815,-1.6,0.0569,575,0.523
"Abl kinase inhibitor","NES","HSP inhibitor",0.67886,2.28,0.00139,312,0.0844
"Abl kinase inhibitor","NES","JAK inhibitor",0.31555,1.07,0.374,806,0.661
"Abl kinase inhibitor","NES","KIT inhibitor",0.31434,1.05,0.378,386,0.672
"Abl kinase inhibitor","NES","MDM inhibitor",-0.49342,-1.76,0.0382,895,0.381
"Abl kinase inhibitor","NES","MEK inhibitor",-0.33008,-1.21,0.25,439,0.567
"Abl kinase inhibitor","NES","MET inhibitor",0.42992,1.43,0.134,105,0.439
"Abl kinase inhibitor","NES","microtubule inhibitor",0.61127,2.05,0.00567,449,0.198
"Abl kinase inhibitor","NES","mTOR inhibitor",0.54861,1.83,0.0282,354,0.239
"Abl kinase inhibitor","NES","NFkB pathway inhibitor",-0.28243,-1.03,0.435,903,0.695
"Abl kinase inhibitor","NES","opioid receptor agonist",-0.34922,-1.3,0.179,469,0.633
"Abl kinase inhibitor","NES","p38 MAPK inhibitor",0.38637,1.27,0.22,569,0.501
"Abl kinase inhibitor","NES","PARP inhibitor",-0.2696,-0.952,0.49,1206,0.729
"Abl kinase inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.22854,0.757,0.71,250,0.885
"Abl kinase inhibitor","NES","phosphatase inhibitor",-0.26582,-0.942,0.495,912,0.715
"Abl kinase inhibitor","NES","phosphodiesterase inhibitor",-0.30172,-1.14,0.277,404,0.644
"Abl kinase inhibitor","NES","PI3K inhibitor",0.44895,1.51,0.0906,391,0.512
"Abl kinase inhibitor","NES","PLK inhibitor",-0.34417,-1.28,0.175,1198,0.569
"Abl kinase inhibitor","NES","potassium channel blocker",0.25481,0.858,0.599,25,0.76
"Abl kinase inhibitor","NES","PPAR receptor agonist",-0.38561,-1.45,0.132,1125,0.724
"Abl kinase inhibitor","NES","progesterone receptor agonist",0.36433,1.22,0.244,413,0.555
"Abl kinase inhibitor","NES","proteasome inhibitor",-0.19796,-0.73,0.783,698,0.785
"Abl kinase inhibitor","NES","protein synthesis inhibitor",-0.2166,-0.8,0.666,416,0.724
"Abl kinase inhibitor","NES","protein tyrosine kinase inhibitor",0.44299,1.47,0.0978,262,0.484
"Abl kinase inhibitor","NES","RAF inhibitor",0.34222,1.15,0.303,400,0.599
"Abl kinase inhibitor","NES","RET tyrosine kinase inhibitor",-0.28667,-1.04,0.394,385,0.712
"Abl kinase inhibitor","NES","retinoid receptor agonist",-0.23849,-0.877,0.547,540,0.71
"Abl kinase inhibitor","NES","ribonucleotide reductase inhibitor",-0.32051,-1.21,0.263,932,0.567
"Abl kinase inhibitor","NES","serotonin receptor agonist",-0.3311,-1.22,0.25,445,0.633
"Abl kinase inhibitor","NES","serotonin receptor antagonist",0.41905,1.39,0.146,339,0.474
"Abl kinase inhibitor","NES","sodium channel blocker",-0.1892,-0.702,0.771,887,0.794
"Abl kinase inhibitor","NES","src inhibitor",0.40809,1.35,0.158,705,0.453
"Abl kinase inhibitor","NES","sterol demethylase inhibitor",0.56206,1.87,0.0183,475,0.334
"Abl kinase inhibitor","NES","SYK inhibitor",0.27679,0.93,0.524,977,0.712
"Abl kinase inhibitor","NES","TGF beta receptor inhibitor",0.40989,1.36,0.158,427,0.493
"Abl kinase inhibitor","NES","thymidylate synthase inhibitor",-0.2671,-0.971,0.485,1347,0.728
"Abl kinase inhibitor","NES","topoisomerase inhibitor",0.26789,0.881,0.574,798,0.767
"Abl kinase inhibitor","NES","tubulin polymerization inhibitor",0.39855,1.35,0.161,658,0.453
"Abl kinase inhibitor","NES","tyrosine kinase inhibitor",0.20958,0.703,0.777,612,0.914
"Abl kinase inhibitor","NES","VEGFR inhibitor",0.28009,0.944,0.521,491,0.752
"Abl kinase inhibitor","NES","vitamin D receptor agonist",0.54533,1.83,0.0348,390,0.239
"acetylcholine receptor agonist","NES","EGFR inhibitor",0.19892,0.665,0.815,673,0.993
"acetylcholine receptor agonist","NES","Abl kinase inhibitor",0.29889,1.01,0.424,894,1
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",0.62146,2.08,0.0092,141,0.204
"acetylcholine receptor agonist","NES","acetylcholine receptor antagonist",0.36863,1.25,0.234,100,0.862
"acetylcholine receptor agonist","NES","adenosine receptor antagonist",0.35488,1.19,0.3,606,0.901
"acetylcholine receptor agonist","NES","adrenergic receptor agonist",0.2015,0.672,0.803,32,1
"acetylcholine receptor agonist","NES","adrenergic receptor antagonist",0.15362,0.515,0.936,933,0.954
"acetylcholine receptor agonist","NES","AKT inhibitor",0.48945,1.65,0.0537,222,0.651
"acetylcholine receptor agonist","NES","ALK tyrosine kinase receptor inhibitor",0.25706,0.871,0.595,47,0.964
"acetylcholine receptor agonist","NES","androgen receptor antagonist",-0.31869,-1.17,0.276,428,1
"acetylcholine receptor agonist","NES","antioxidant",-0.13885,-0.529,0.918,752,0.96
"acetylcholine receptor agonist","NES","AP inhibitor",-0.24504,-0.905,0.554,1234,0.97
"acetylcholine receptor agonist","NES","ATPase inhibitor",0.17668,0.594,0.891,857,0.966
"acetylcholine receptor agonist","NES","Aurora kinase inhibitor",0.28237,0.934,0.542,254,0.929
"acetylcholine receptor agonist","NES","bacterial 50S ribosomal subunit inhibitor",-0.27591,-1.01,0.411,370,0.95
"acetylcholine receptor agonist","NES","bacterial DNA gyrase inhibitor",-0.27945,-1.01,0.435,1039,0.95
"acetylcholine receptor agonist","NES","BCL inhibitor",-0.30574,-1.14,0.307,410,0.892
"acetylcholine receptor agonist","NES","Bcr.Abl kinase inhibitor",0.28774,0.979,0.475,894,0.965
"acetylcholine receptor agonist","NES","benzodiazepine receptor agonist",-0.29795,-1.08,0.352,1144,0.944
"acetylcholine receptor agonist","NES","bromodomain inhibitor",0.36062,1.21,0.26,509,0.905
"acetylcholine receptor agonist","NES","calcium channel blocker",-0.20731,-0.754,0.707,1289,0.98
"acetylcholine receptor agonist","NES","CC chemokine receptor antagonist",0.19681,0.659,0.83,421,0.959
"acetylcholine receptor agonist","NES","CDK inhibitor",0.18814,0.639,0.854,446,0.961
"acetylcholine receptor agonist","NES","CHK inhibitor",-0.41071,-1.52,0.092,1112,0.576
"acetylcholine receptor agonist","NES","cyclooxygenase inhibitor",0.26304,0.876,0.547,175,0.983
"acetylcholine receptor agonist","NES","cytochrome P450 inhibitor",0.3227,1.09,0.37,626,0.907
"acetylcholine receptor agonist","NES","DNA alkylating agent",-0.25941,-0.951,0.467,573,1
