"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"ADL5859","Pearson.est","opioid receptor agonist",0.33336,0.845,0.644,57,0.808,TRUE,FALSE,"opioid receptor agonist"
"AEE788","Pearson.est","EGFR inhibitor",0.19174,0.487,0.988,385,1,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AEE788","Pearson.est","VEGFR inhibitor",-0.23135,-0.668,0.86,304,0.869,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AG.14361","Pearson.est","PARP inhibitor",0.2967,0.76,0.765,537,0.868,TRUE,FALSE,"PARP inhibitor"
"AM.404","Pearson.est","cyclooxygenase inhibitor",-0.28946,-0.76,0.756,1236,1,TRUE,FALSE,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"
"AM.580","Pearson.est","retinoid receptor agonist",-0.36092,-1.09,0.329,484,0.796,TRUE,FALSE,"retinoid receptor agonist"
"AMG.208","Pearson.est","tyrosine kinase inhibitor",-0.34615,-1.04,0.35,459,0.68,TRUE,FALSE,"tyrosine kinase inhibitor"
"AP26113","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.31538,0.744,0.819,656,0.929,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"AST.1306","Pearson.est","EGFR inhibitor",0.36313,0.902,0.608,648,0.943,TRUE,FALSE,"EGFR inhibitor"
"AV.412","Pearson.est","protein tyrosine kinase inhibitor",0.29599,0.71,0.818,600,0.97,TRUE,FALSE,"protein tyrosine kinase inhibitor"
"AZ960","Pearson.est","JAK inhibitor",0.35747,0.907,0.596,286,0.983,TRUE,FALSE,"JAK inhibitor"
"AZD2858","Pearson.est","glycogen synthase kinase inhibitor",0.33782,0.835,0.677,619,0.925,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"AZD3463","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.27245,0.698,0.874,570,0.965,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor, insulin growth factor receptor inhibitor"
"AZD6482","Pearson.est","PI3K inhibitor",0.15899,0.389,0.998,776,0.998,TRUE,FALSE,"PI3K inhibitor"
"BAY.11.7085","Pearson.est","NFkB pathway inhibitor",-0.36994,-1.09,0.346,1117,0.685,TRUE,FALSE,"NFkB pathway inhibitor"
"BGT226","Pearson.est","PI3K inhibitor",0.24227,0.625,0.922,663,1,TRUE,FALSE,"PI3K inhibitor"
"BIBX.1382","Pearson.est","EGFR inhibitor",0.24868,0.619,0.933,537,1,TRUE,FALSE,"EGFR inhibitor"
"BIX.02188","Pearson.est","MEK inhibitor",-0.26113,-0.764,0.746,1212,0.808,TRUE,FALSE,"MEK inhibitor"
"BMS.265246","Pearson.est","CDK inhibitor",0.30955,0.786,0.784,228,1,TRUE,FALSE,"CDK inhibitor"
"BMS.690514","Pearson.est","VEGFR inhibitor",0.35082,0.861,0.631,209,0.846,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"CGP.52411","Pearson.est","EGFR inhibitor",0.30748,0.762,0.805,662,0.983,TRUE,FALSE,"EGFR inhibitor"
"CGS.20625","Pearson.est","benzodiazepine receptor agonist",0.31139,0.797,0.689,200,1,TRUE,FALSE,"benzodiazepine receptor agonist, GABA benzodiazepine site receptor partial agonist"
"CHIR.98014","Pearson.est","glycogen synthase kinase inhibitor",-0.45017,-1.16,0.278,1005,0.61,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"CHIR.99021","Pearson.est","glycogen synthase kinase inhibitor",-0.49776,-1.63,0.0312,667,0.151,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"CMPD.1","Pearson.est","p38 MAPK inhibitor",0.36988,0.935,0.552,823,0.962,TRUE,FALSE,"p38 MAPK inhibitor"
"CP.673451","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.31868,0.832,0.649,358,0.907,TRUE,FALSE,"PDGFR tyrosine kinase receptor inhibitor"
"CPP","Pearson.est","glutamate receptor antagonist",0.29804,0.72,0.801,506,1,TRUE,FALSE,"glutamate receptor antagonist"
"CUDC.101","Pearson.est","EGFR inhibitor",0.2688,0.689,0.843,415,1,TRUE,FALSE,"EGFR inhibitor"
