"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.68271,2.26,0.00209,127,0.0867
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.29223,0.983,0.462,729,0.712
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",0.62146,2.08,0.0092,141,0.204
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",-0.24721,-0.919,0.541,332,0.801
"adenosine receptor antagonist","NES","adenosine receptor antagonist",0.36693,1.24,0.245,197,0.724
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.21826,0.743,0.732,697,0.944
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",0.28133,0.975,0.47,352,0.79
"AKT inhibitor","NES","AKT inhibitor",0.47537,1.62,0.0533,524,0.603
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",-0.2218,-0.768,0.695,1101,0.895
"androgen receptor antagonist","NES","androgen receptor antagonist",0.4478,1.53,0.0865,474,0.629
"antioxidant","NES","antioxidant",-0.36485,-1.28,0.197,490,0.721
"AP inhibitor","NES","AP inhibitor",0.45622,1.58,0.0702,104,1
"ATPase inhibitor","NES","ATPase inhibitor",0.40012,1.34,0.175,250,0.698
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.67733,2.27,0.00136,314,0.112
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.49415,1.69,0.0557,496,1
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",0.39357,1.34,0.195,417,0.627
"BCL inhibitor","NES","BCL inhibitor",0.31564,1.06,0.361,213,0.732
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.30636,1.03,0.404,414,0.617
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.29346,0.994,0.445,238,1
"bromodomain inhibitor","NES","bromodomain inhibitor",0.89203,3.06,0,151,0
"calcium channel blocker","NES","calcium channel blocker",0.34161,1.19,0.26,328,0.749
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",-0.37026,-1.37,0.16,789,0.665
"CDK inhibitor","NES","CDK inhibitor",0.59608,1.92,0.0202,130,0.248
"CHK inhibitor","NES","CHK inhibitor",0.90337,3.16,0,12,0
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.17668,0.604,0.861,124,0.937
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",-0.28539,-1.06,0.391,383,0.823
