"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.68271,2.26,0.00209,0.0867,TRUE,2.40007683970376,0.68271,2.26,0.00209,0.0867,TRUE,2.40007683970376,2,2.40007683970376,0,2.26,0,5.82756189550579e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.43244,1.44,0.123,0.457,FALSE,0.489720671899416,0.44468,1.4,0.139,0.556,FALSE,0.356895291785119,0,0.423307981842268,0.0939217269924997,1.42,0.0282842712474619,0.0866621672509775,FALSE,1.21951219512195,"FALSE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",0.19892,0.665,0.815,0.993,FALSE,0.00202874975057152,0.54094,1.71,0.0495,0.296,FALSE,0.904091174089215,0,0.453059961919893,0.637854457303432,1.1875,0.738926586339942,0.169856035803939,FALSE,0,"TRUE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",0.15736,0.539,0.925,0.981,FALSE,0.00449040502220776,0.28945,0.925,0.529,0.682,FALSE,0.153749453442757,0,0.0791199292324824,0.105542085291622,0.732,0.272943217538007,0.839059468748539,FALSE,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",0.46924,1.6,0.0708,0.917,FALSE,0.0602090629279662,0.52021,1.69,0.0524,0.283,FALSE,0.92648092396395,0,0.493344993445958,0.612546707289634,1.645,0.0636396103067892,0.0244733960840312,FALSE,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.30013,-1.13,0.292,0.922,FALSE,-0.0398540592093988,-0.30048,-0.969,0.471,0.701,FALSE,-0.149499240590308,0,-0.0946766498998533,0.0775308512788697,-1.0495,0.113844191771034,0.410381550738115,FALSE,0,"FALSE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",-0.11449,-0.436,0.985,1,FALSE,0,0.13366,0.437,0.982,0.981,FALSE,0.0036406437749625,0,0.00182032188748125,0.00257432390116058,5e-04,0.617304219975856,0.999458432313553,FALSE,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",-0.39503,-1.47,0.103,0.648,FALSE,-0.276984741370228,-0.35362,-1.15,0.304,0.61,FALSE,-0.246870689737618,0,-0.261927715553923,0.0212938501184203,-1.31,0.226274169979695,0.139769061125099,FALSE,0,"FALSE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",0.53808,1.81,0.0275,0.582,FALSE,0.425489397783702,0.525,1.71,0.0529,0.296,FALSE,0.904091174089215,0,0.664790285936459,0.338422561513555,1.76,0.0707106781186548,0.0109585171366884,FALSE,1.23456790123457,"FALSE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.32235,-1.19,0.28,0.902,FALSE,-0.0533042203250893,-0.45456,-1.45,0.109,0.472,FALSE,-0.472784101980573,0,-0.263044161152831,0.296617068889923,-1.32,0.183847763108502,0.137015666174711,FALSE,0,"FALSE",FALSE
