"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.89851,2.6,0,93,0.000925
"EGFR inhibitor","NES","Abl kinase inhibitor",0.5107,1.46,0.136,368,0.282
"EGFR inhibitor","NES","acetylcholine receptor agonist",0.59969,1.68,0.0529,273,0.149
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.25504,-0.734,0.79,253,0.919
"EGFR inhibitor","NES","adrenergic receptor antagonist",-0.30828,-0.877,0.576,438,0.771
"EGFR inhibitor","NES","AKT inhibitor",-0.58314,-1.72,0.0247,879,0.222
"EGFR inhibitor","NES","androgen receptor antagonist",-0.5028,-1.44,0.12,785,0.35
"EGFR inhibitor","NES","AP inhibitor",0.25959,0.759,0.72,234,0.787
"EGFR inhibitor","NES","ATPase inhibitor",-0.56899,-1.61,0.0678,850,0.231
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.23452,-0.67,0.855,304,0.962
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.34934,0.968,0.463,294,0.636
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.5107,1.42,0.132,368,0.296
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.26183,-0.734,0.77,260,0.919
"EGFR inhibitor","NES","bromodomain inhibitor",-0.21258,-0.61,0.886,593,0.918
"EGFR inhibitor","NES","calcium channel blocker",0.33771,0.944,0.516,303,0.637
"EGFR inhibitor","NES","CDK inhibitor",0.52574,1.49,0.0965,255,0.277
"EGFR inhibitor","NES","CHK inhibitor",-0.43415,-1.23,0.26,763,0.522
"EGFR inhibitor","NES","DNA alkylating agent",-0.89023,-2.53,0,884,0.00215
"EGFR inhibitor","NES","DNA inhibitor",-0.55636,-1.63,0.0625,885,0.242
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",-0.34117,-0.974,0.453,673,0.755
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.4809,-1.37,0.158,721,0.4
"EGFR inhibitor","NES","DNA synthesis inhibitor",-0.62489,-1.78,0.0325,716,0.204
"EGFR inhibitor","NES","glucocorticoid receptor agonist",-0.20252,-0.577,0.924,245,0.913
"EGFR inhibitor","NES","glutamate receptor antagonist",0.30678,0.879,0.579,269,0.663
"EGFR inhibitor","NES","HCV inhibitor",0.47415,1.36,0.164,308,0.308
"EGFR inhibitor","NES","HDAC inhibitor",-0.23506,-0.665,0.827,467,0.931
"EGFR inhibitor","NES","histamine receptor antagonist",-0.40644,-1.15,0.317,404,0.538
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",0.35229,0.995,0.456,242,0.632
"EGFR inhibitor","NES","HMGCR inhibitor",-0.4181,-1.21,0.228,907,0.515
"EGFR inhibitor","NES","HSP inhibitor",0.39128,1.13,0.313,356,0.504
"EGFR inhibitor","NES","JAK inhibitor",0.31685,0.916,0.542,248,0.643
"EGFR inhibitor","NES","MDM inhibitor",-0.5833,-1.67,0.0449,773,0.239
"EGFR inhibitor","NES","MEK inhibitor",0.62638,1.76,0.0224,299,0.136
"EGFR inhibitor","NES","MET inhibitor",0.43063,1.22,0.269,125,0.445
"EGFR inhibitor","NES","microtubule inhibitor",0.19495,0.548,0.914,806,0.929
"EGFR inhibitor","NES","mTOR inhibitor",0.53583,1.49,0.1,358,0.277
"EGFR inhibitor","NES","NFkB pathway inhibitor",-0.33844,-0.968,0.446,902,0.723
"EGFR inhibitor","NES","opioid receptor agonist",-0.31791,-0.917,0.537,316,0.738
"EGFR inhibitor","NES","phosphatase inhibitor",0.25689,0.741,0.751,211,0.777
"EGFR inhibitor","NES","PI3K inhibitor",0.70102,1.95,0.0124,165,0.0541
"EGFR inhibitor","NES","PLK inhibitor",-0.70251,-2.06,0.00611,745,0.0807
"EGFR inhibitor","NES","proteasome inhibitor",-0.4336,-1.2,0.28,431,0.495
"EGFR inhibitor","NES","protein synthesis inhibitor",-0.34846,-0.974,0.451,667,0.755
"EGFR inhibitor","NES","protein tyrosine kinase inhibitor",0.74018,2.12,0.00392,154,0.021
"EGFR inhibitor","NES","RAF inhibitor",0.50627,1.41,0.14,223,0.281
"EGFR inhibitor","NES","ribonucleotide reductase inhibitor",-0.53774,-1.49,0.0975,810,0.326
"EGFR inhibitor","NES","serotonin receptor agonist",0.38642,1.08,0.351,310,0.544
"EGFR inhibitor","NES","sodium channel blocker",-0.68044,-2,0.0145,675,0.0785
"EGFR inhibitor","NES","thymidylate synthase inhibitor",-0.45748,-1.27,0.212,839,0.499
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.33628,-0.937,0.533,501,0.738
"EGFR inhibitor","NES","tubulin polymerization inhibitor",-0.21861,-0.62,0.859,416,0.942
"EGFR inhibitor","NES","tyrosine kinase inhibitor",0.61257,1.73,0.0284,196,0.131
"EGFR inhibitor","NES","VEGFR inhibitor",0.87223,2.43,0,132,0.000925
"EGFR inhibitor","NES","vitamin D receptor agonist",0.40904,1.15,0.29,187,0.506
"Abl kinase inhibitor","NES","EGFR inhibitor",0.63197,1.84,0.0176,291,0.101
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.49944,1.49,0.0931,211,0.291
"Abl kinase inhibitor","NES","acetylcholine receptor agonist",0.38833,1.15,0.286,613,0.482
"Abl kinase inhibitor","NES","adrenergic receptor agonist",-0.34173,-1.13,0.28,339,0.441
"Abl kinase inhibitor","NES","adrenergic receptor antagonist",-0.35822,-1.17,0.265,355,0.445
"Abl kinase inhibitor","NES","AKT inhibitor",0.29567,0.871,0.611,247,0.754
"Abl kinase inhibitor","NES","androgen receptor antagonist",0.23306,0.689,0.819,454,0.865
"Abl kinase inhibitor","NES","AP inhibitor",-0.53363,-1.72,0.0455,764,0.523
"Abl kinase inhibitor","NES","ATPase inhibitor",-0.47686,-1.58,0.0875,474,0.299
"Abl kinase inhibitor","NES","Aurora kinase inhibitor",0.33561,1.01,0.422,644,0.598
"Abl kinase inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.29464,0.867,0.61,615,0.729
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.49944,1.49,0.0924,211,0.291
"Abl kinase inhibitor","NES","benzodiazepine receptor agonist",0.55338,1.61,0.0545,316,0.237
"Abl kinase inhibitor","NES","bromodomain inhibitor",-0.39239,-1.22,0.231,758,0.482
"Abl kinase inhibitor","NES","calcium channel blocker",0.49256,1.45,0.114,262,0.31
"Abl kinase inhibitor","NES","CDK inhibitor",0.40385,1.18,0.278,478,0.467
"Abl kinase inhibitor","NES","CHK inhibitor",-0.7172,-2.31,0.00621,851,0.0653
