"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.89851,2.6,0,93,0.000925
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.49944,1.49,0.0931,211,0.291
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",0.74248,2.24,0.00316,111,0.049
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.64113,1.96,0.0122,363,0.15
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",0.74168,2.29,0,264,0.0239
"AKT inhibitor","NES","AKT inhibitor",0.61492,1.85,0.0108,389,0.155
"androgen receptor antagonist","NES","androgen receptor antagonist",0.65091,1.94,0.0109,352,0.13
"AP inhibitor","NES","AP inhibitor",0.56698,1.75,0.0436,69,0.81
"ATPase inhibitor","NES","ATPase inhibitor",0.80684,2.41,0.00162,197,0.00649
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.65893,2.05,0.00718,236,0.0877
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.62903,1.83,0.0327,375,0.183
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.32596,0.978,0.479,675,0.739
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.70796,2.14,0.00294,296,0.062
"bromodomain inhibitor","NES","bromodomain inhibitor",0.8852,2.69,0,120,0
"calcium channel blocker","NES","calcium channel blocker",0.65394,1.94,0.013,226,0.423
"CDK inhibitor","NES","CDK inhibitor",0.92206,2.68,0,88,0.00113
"CHK inhibitor","NES","CHK inhibitor",0.99496,2.96,0,11,0
"DNA alkylating agent","NES","DNA alkylating agent",0.80564,2.38,0,199,0.00189
"DNA inhibitor","NES","DNA inhibitor",0.58853,1.75,0.0383,294,0.299
"DNA methyltransferase inhibitor","NES","DNA methyltransferase inhibitor",0.50216,1.54,0.0769,337,0.577
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",0.73822,2.23,0.00517,162,0.0377
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",0.6448,1.94,0.00155,360,0.0798
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.82295,2.36,0,103,0.00614
"glutamate receptor antagonist","NES","glutamate receptor antagonist",0.80827,2.39,0.00155,198,0.0125
"HCV inhibitor","NES","HCV inhibitor",0.41549,1.25,0.23,586,1
"HDAC inhibitor","NES","HDAC inhibitor",0.76349,2.15,0,220,0.0533
"histamine receptor antagonist","NES","histamine receptor antagonist",0.8008,2.36,0,203,0.0104
"HMGCR inhibitor","NES","HMGCR inhibitor",0.79053,2.34,0.00345,214,0.0133
"HSP inhibitor","NES","HSP inhibitor",0.85739,2.44,0,77,0.00208
"JAK inhibitor","NES","JAK inhibitor",0.62601,1.88,0.0132,378,0.582
"MDM inhibitor","NES","MDM inhibitor",0.81192,2.45,0,75,0.0048
"MEK inhibitor","NES","MEK inhibitor",0.97462,2.72,0,39,0
"MET inhibitor","NES","MET inhibitor",0.43534,1.31,0.203,433,0.447
"microtubule inhibitor","NES","microtubule inhibitor",0.73189,2.15,0.00278,184,0.0336
"mTOR inhibitor","NES","mTOR inhibitor",0.95097,2.64,0,68,0
"NFkB pathway inhibitor","NES","NFkB pathway inhibitor",0.7752,2.24,0,230,0.0354
"opioid receptor agonist","NES","opioid receptor agonist",0.56163,1.67,0.0409,124,0.339
"phosphatase inhibitor","NES","phosphatase inhibitor",0.23079,0.689,0.78,237,0.989
"PI3K inhibitor","NES","PI3K inhibitor",0.94201,2.72,0,73,0
"PLK inhibitor","NES","PLK inhibitor",0.84577,2.56,0,160,0.00112
"proteasome inhibitor","NES","proteasome inhibitor",0.95976,2.93,0,45,0
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.67778,2,0.00992,328,0.055
"protein tyrosine kinase inhibitor","NES","protein tyrosine kinase inhibitor",0.69975,2.03,0.00505,153,0.0374
"RAF inhibitor","NES","RAF inhibitor",0.71472,2.13,0.00294,290,0.0768
"ribonucleotide reductase inhibitor","NES","ribonucleotide reductase inhibitor",0.58325,1.77,0.0249,421,0.16
"sodium channel blocker","NES","sodium channel blocker",0.72811,2.17,0.00146,207,0.0727
"thymidylate synthase inhibitor","NES","thymidylate synthase inhibitor",0.74639,2.22,0.00375,113,0.0448
"topoisomerase inhibitor","NES","topoisomerase inhibitor",0.68725,1.99,0.0111,198,0.0728
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",0.71805,2.05,0,102,0.0563
"tyrosine kinase inhibitor","NES","tyrosine kinase inhibitor",0.63161,1.91,0.0152,35,0.0594
"VEGFR inhibitor","NES","VEGFR inhibitor",0.95573,2.74,0,49,0
"vitamin D receptor agonist","NES","vitamin D receptor agonist",0.83569,2.47,0,170,0.00175
