"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.89851,2.6,0,0.000925,TRUE,7.88803149487852,0.89851,2.6,0,0.000925,TRUE,7.88803149487852,2,7.88803149487852,0,2.6,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.63197,1.84,0.0176,0.101,TRUE,1.83204867223994,0.5107,1.46,0.136,0.282,FALSE,0.802636301853733,1,1.31734248704684,0.727904467737403,1.65,0.268700576850888,0.0168388725251127,FALSE,1.21951219512195,"FALSE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",0.20059,0.599,0.904,0.996,FALSE,0.00104265628420446,0.59969,1.68,0.0529,0.149,FALSE,1.38904706906738,0,0.695044862675792,0.981467332595835,1.1395,0.764382430462658,0.193212551647983,FALSE,0,"TRUE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.53899,-1.74,0.0379,0.106,TRUE,-1.6959677944393,-0.25504,-0.734,0.79,0.919,FALSE,-0.0269264146425943,1,-0.861447104540947,1.1801904777352,-1.237,0.711349421873667,0.13498979194892,FALSE,0,"TRUE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",-0.33342,-1.09,0.328,0.588,FALSE,-0.251378714577009,-0.30828,-0.877,0.576,0.771,FALSE,-0.0990533104493107,0,-0.17521601251316,0.107710326205677,-0.9835,0.150613744392735,0.503755595570321,FALSE,0,"TRUE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",-0.62365,-1.95,0.0123,0.133,TRUE,-1.70848930011418,-0.58314,-1.72,0.0247,0.222,TRUE,-1.1242728839449,2,-1.41638109202954,0.413103389553801,-1.835,0.162634559672906,0.00276440001726353,FALSE,0,"TRUE",TRUE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23456790123457,"FALSE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.52449,-1.64,0.0853,0.223,FALSE,-1.06878002460102,-0.5028,-1.44,0.12,0.35,FALSE,-0.656542016135603,0,-0.86266102036831,0.291496291248731,-1.54,0.141421356237309,0.0571357588759675,FALSE,0,"TRUE",FALSE
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",0.47975,1.46,0.121,0.888,FALSE,0.0753170699632425,0.25959,0.759,0.72,0.787,FALSE,0.07895517813947,0,0.0771361240513562,0.00257253096210067,1.1095,0.49568185361177,0.29973364188714,FALSE,0,"FALSE",FALSE
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",-0.27109,-0.865,0.594,0.72,FALSE,-0.123407390586953,-0.56899,-1.61,0.0678,0.231,FALSE,-1.02458471237365,0,-0.5739960514803,0.637228595286903,-1.2375,0.526794551983978,0.169633499008938,FALSE,0,"TRUE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.1875,-0.598,0.921,0.894,FALSE,-0.0291001637600412,-0.23452,-0.67,0.855,0.962,FALSE,-0.0112727017346653,0,-0.0201864327473533,0.012605919289489,-0.634,0.0509116882454315,0.975616626350738,FALSE,1.0752688172043,"TRUE",FALSE
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",0.39461,1.17,0.314,0.659,FALSE,0.211904064925008,0.34934,0.968,0.463,0.636,FALSE,0.190253512052335,0,0.201078788488672,0.015309252752705,1.069,0.142835569799683,0.425735270283484,FALSE,0,"TRUE",FALSE
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
