"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.21749,0.726,0.73,490,0.973
"EGFR inhibitor","NES","Abl kinase inhibitor",-0.20704,-0.69,0.75,1106,0.974
"EGFR inhibitor","NES","acetylcholine receptor agonist",-0.42045,-1.42,0.144,1079,0.708
"EGFR inhibitor","NES","acetylcholine receptor antagonist",0.4621,1.58,0.0778,428,0.635
"EGFR inhibitor","NES","adenosine receptor antagonist",-0.34237,-1.17,0.275,1223,0.768
"EGFR inhibitor","NES","adrenergic receptor agonist",0.23614,0.782,0.667,532,0.954
"EGFR inhibitor","NES","adrenergic receptor antagonist",0.27597,0.921,0.53,327,0.895
"EGFR inhibitor","NES","AKT inhibitor",-0.20785,-0.702,0.761,1229,0.984
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.3007,1.02,0.426,353,0.928
"EGFR inhibitor","NES","androgen receptor antagonist",-0.67297,-2.28,0.00191,1253,0.0839
"EGFR inhibitor","NES","antioxidant",0.20609,0.693,0.755,1023,0.956
"EGFR inhibitor","NES","AP inhibitor",0.43195,1.46,0.138,79,0.786
"EGFR inhibitor","NES","ATPase inhibitor",-0.2692,-0.899,0.558,1052,0.925
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.12674,-0.43,0.988,785,1
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.30102,1.01,0.426,902,0.898
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",0.28022,0.95,0.474,739,0.926
"EGFR inhibitor","NES","BCL inhibitor",0.46614,1.58,0.0825,89,0.635
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.13822,-0.464,0.966,1106,1
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.20928,-0.711,0.746,411,1
"EGFR inhibitor","NES","bromodomain inhibitor",-0.25579,-0.888,0.546,1097,0.849
"EGFR inhibitor","NES","calcium channel blocker",0.34634,1.2,0.269,129,0.77
"EGFR inhibitor","NES","CC chemokine receptor antagonist",0.22629,0.764,0.678,179,0.948
"EGFR inhibitor","NES","CDK inhibitor",0.20739,0.678,0.786,140,0.945
"EGFR inhibitor","NES","CHK inhibitor",-0.37031,-1.28,0.209,474,0.746
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.35801,-1.25,0.228,1001,0.701
"EGFR inhibitor","NES","cytochrome P450 inhibitor",0.1809,0.622,0.852,588,0.954
"EGFR inhibitor","NES","DNA alkylating agent",-0.12616,-0.431,0.972,521,1
"EGFR inhibitor","NES","DNA inhibitor",0.12551,0.418,0.981,814,0.982
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",-0.25864,-0.889,0.568,1268,0.877
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.40072,-1.37,0.164,1000,0.749
"EGFR inhibitor","NES","DNA synthesis inhibitor",-0.25702,-0.872,0.579,1116,0.822
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.33659,-1.11,0.298,1008,0.807
"EGFR inhibitor","NES","estrogen receptor agonist",0.38108,1.31,0.194,408,0.735
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.48852,-1.64,0.0649,1057,0.438
"EGFR inhibitor","NES","FGFR inhibitor",-0.40838,-1.36,0.164,1239,0.701
"EGFR inhibitor","NES","FLT3 inhibitor",-0.26727,-0.903,0.543,863,0.952
"EGFR inhibitor","NES","glucocorticoid receptor agonist",-0.24969,-0.856,0.595,977,0.822
"EGFR inhibitor","NES","glutamate receptor antagonist",0.34022,1.18,0.271,261,0.754
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.63055,2.16,0.0115,243,0.256
"EGFR inhibitor","NES","growth factor receptor inhibitor",0.23138,0.788,0.653,465,0.98
"EGFR inhibitor","NES","HCV inhibitor",-0.30889,-1.05,0.388,396,0.81
"EGFR inhibitor","NES","HDAC inhibitor",-0.19083,-0.634,0.835,1053,0.969
"EGFR inhibitor","NES","histamine receptor antagonist",-0.35545,-1.23,0.231,527,0.696
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",-0.37741,-1.26,0.237,1070,0.73
"EGFR inhibitor","NES","HMGCR inhibitor",-0.30814,-1.03,0.401,1231,0.812
"EGFR inhibitor","NES","HSP inhibitor",-0.1452,-0.49,0.945,1086,1
"EGFR inhibitor","NES","JAK inhibitor",0.21871,0.717,0.767,309,0.955
"EGFR inhibitor","NES","KIT inhibitor",0.26794,0.886,0.573,223,0.919
"EGFR inhibitor","NES","MDM inhibitor",0.50664,1.73,0.042,638,0.6
"EGFR inhibitor","NES","MEK inhibitor",-0.53306,-1.79,0.0352,881,0.341
"EGFR inhibitor","NES","MET inhibitor",-0.26029,-0.873,0.533,667,0.847
"EGFR inhibitor","NES","microtubule inhibitor",-0.43954,-1.49,0.115,682,0.637
"EGFR inhibitor","NES","mTOR inhibitor",0.14652,0.497,0.958,861,0.976
"EGFR inhibitor","NES","NFkB pathway inhibitor",0.17099,0.579,0.883,543,0.942
"EGFR inhibitor","NES","opioid receptor agonist",0.37854,1.29,0.214,254,0.707
"EGFR inhibitor","NES","p38 MAPK inhibitor",0.52968,1.81,0.0323,330,0.669
"EGFR inhibitor","NES","PARP inhibitor",0.32542,1.11,0.327,652,0.841
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.27595,-0.96,0.477,1106,0.914
"EGFR inhibitor","NES","phosphatase inhibitor",0.40523,1.37,0.158,51,0.685
"EGFR inhibitor","NES","phosphodiesterase inhibitor",-0.22356,-0.756,0.701,904,0.958
"EGFR inhibitor","NES","PI3K inhibitor",-0.27963,-0.934,0.514,959,0.929
"EGFR inhibitor","NES","PLK inhibitor",-0.72004,-2.48,0.00189,1056,0.0428
