"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.674563","Pearson.est","AKT inhibitor",0.35136,0.932,0.558,290,0.952,TRUE,FALSE,"AKT inhibitor"
"A61603","Pearson.est","adrenergic receptor agonist",0.37594,0.941,0.547,459,1,TRUE,FALSE,"adrenergic receptor agonist"
"ABT.751","Pearson.est","tubulin polymerization inhibitor",0.22218,0.558,0.945,527,0.998,TRUE,FALSE,"tubulin polymerization inhibitor"
"ACDPP","Pearson.est","glutamate receptor antagonist",-0.21552,-0.698,0.836,420,0.962,TRUE,FALSE,"glutamate receptor antagonist"
"ACY.1215","Pearson.est","HDAC inhibitor",0.24527,0.612,0.906,136,1,TRUE,FALSE,"HDAC inhibitor"
"ADL5859","Pearson.est","opioid receptor agonist",-0.48445,-1.28,0.204,1033,1,TRUE,FALSE,"opioid receptor agonist"
"AEE788","Pearson.est","EGFR inhibitor",0.32101,0.801,0.735,491,0.919,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AEE788","Pearson.est","VEGFR inhibitor",-0.20039,-0.585,0.934,1257,0.985,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AG.14361","Pearson.est","PARP inhibitor",-0.38228,-1.24,0.197,492,0.957,TRUE,FALSE,"PARP inhibitor"
"AM.404","Pearson.est","cyclooxygenase inhibitor",0.2813,0.787,0.711,393,0.886,TRUE,FALSE,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"
"AM.580","Pearson.est","retinoid receptor agonist",-0.45463,-1.41,0.138,471,0.435,TRUE,FALSE,"retinoid receptor agonist"
"AMG.208","Pearson.est","tyrosine kinase inhibitor",0.2277,0.649,0.88,225,0.955,TRUE,FALSE,"tyrosine kinase inhibitor"
"AR.42","Pearson.est","HDAC inhibitor",0.32432,0.825,0.697,451,0.936,TRUE,FALSE,"HDAC inhibitor"
"ARRY.334543","Pearson.est","EGFR inhibitor",-0.27493,-0.67,0.845,1138,0.967,TRUE,FALSE,"EGFR inhibitor"
"AST.1306","Pearson.est","EGFR inhibitor",0.30464,0.801,0.727,284,0.981,TRUE,FALSE,"EGFR inhibitor"
"AT.7519","Pearson.est","CDK inhibitor",0.2536,0.712,0.824,523,0.939,TRUE,FALSE,"CDK inhibitor"
"AT.9283","Pearson.est","JAK inhibitor",0.22518,0.569,0.951,625,0.994,TRUE,FALSE,"Aurora kinase inhibitor, JAK inhibitor"
"AZ.628","Pearson.est","RAF inhibitor",0.33437,0.916,0.538,865,0.975,TRUE,FALSE,"RAF inhibitor"
"AZ960","Pearson.est","JAK inhibitor",0.29365,0.756,0.774,688,1,TRUE,FALSE,"JAK inhibitor"
"AZD1480","Pearson.est","JAK inhibitor",0.22955,0.652,0.884,754,0.973,TRUE,FALSE,"JAK inhibitor"
"AZD2461","Pearson.est","PARP inhibitor",0.30834,0.756,0.78,469,0.954,TRUE,FALSE,"PARP inhibitor"
"AZD4547","Pearson.est","FGFR inhibitor",-0.28062,-0.766,0.761,764,1,TRUE,FALSE,"FGFR inhibitor"
"AZD5363","Pearson.est","AKT inhibitor",0.30091,0.768,0.753,279,0.876,TRUE,FALSE,"AKT inhibitor"
"AZD5438","Pearson.est","CDK inhibitor",0.32023,0.882,0.6,395,0.862,TRUE,FALSE,"CDK inhibitor"
