"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.21749,0.726,0.73,490,0.973
"Abl kinase inhibitor","NES","Abl kinase inhibitor",-0.23995,-0.86,0.605,859,1
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",0.45034,1.49,0.124,197,1
"adenosine receptor antagonist","NES","adenosine receptor antagonist",-0.42607,-1.52,0.0851,536,0.482
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.17771,0.595,0.898,193,0.996
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",0.36752,1.22,0.244,316,1
"AKT inhibitor","NES","AKT inhibitor",0.31097,1.03,0.424,802,0.92
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.25998,0.863,0.573,327,0.95
"antioxidant","NES","antioxidant",-0.42779,-1.6,0.0881,548,0.594
"ATPase inhibitor","NES","ATPase inhibitor",-0.30884,-1.05,0.39,395,1
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.53073,1.71,0.0424,390,0.545
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.49871,1.58,0.0609,146,1
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",0.35272,1.17,0.291,586,1
"BCL inhibitor","NES","BCL inhibitor",0.5696,1.95,0.0251,327,0.233
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.2527,0.87,0.615,76,0.954
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.20115,0.672,0.815,360,0.944
"calcium channel blocker","NES","calcium channel blocker",0.20566,0.702,0.809,590,1
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",0.33566,1.1,0.341,254,1
"CDK inhibitor","NES","CDK inhibitor",0.1967,0.659,0.838,658,1
"CHK inhibitor","NES","CHK inhibitor",0.81806,3,0,52,0.00121
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.29245,0.964,0.489,846,0.88
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",0.42277,1.37,0.158,185,1
"DNA alkylating agent","NES","DNA alkylating agent",0.42534,1.36,0.144,544,0.889
"DNA inhibitor","NES","DNA inhibitor",-0.20378,-0.743,0.726,560,0.866
"DNA methyltransferase inhibitor","NES","DNA methyltransferase inhibitor",-0.46181,-1.51,0.0962,775,1
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",-0.5209,-1.88,0.0404,958,0.51
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",0.13166,0.449,0.97,317,0.988
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.28393,0.931,0.523,645,0.823
"estrogen receptor agonist","NES","estrogen receptor agonist",0.27034,0.886,0.579,505,1
"FGFR inhibitor","NES","FGFR inhibitor",-0.36449,-1.17,0.294,1098,1
"FLT3 inhibitor","NES","FLT3 inhibitor",0.20218,0.676,0.814,162,1
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.17177,0.576,0.888,806,0.971
"glutamate receptor antagonist","NES","glutamate receptor antagonist",0.31048,1.06,0.405,287,0.91
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.57983,1.91,0.0201,537,0.43
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",-0.37344,-1.36,0.16,478,1
"HDAC inhibitor","NES","HDAC inhibitor",0.16118,0.552,0.922,806,0.949
"histamine receptor antagonist","NES","histamine receptor antagonist",0.33826,1.09,0.365,421,0.756
"HSP inhibitor","NES","HSP inhibitor",-0.20497,-0.739,0.762,1206,1
"JAK inhibitor","NES","JAK inhibitor",-0.14202,-0.526,0.92,655,0.968
"KIT inhibitor","NES","KIT inhibitor",-0.13987,-0.489,0.937,946,0.979
"MEK inhibitor","NES","MEK inhibitor",0.69881,2.34,0,183,0.105
"microtubule inhibitor","NES","microtubule inhibitor",0.28647,0.922,0.539,838,0.995
"mTOR inhibitor","NES","mTOR inhibitor",0.45724,1.51,0.0734,267,0.752
"NFkB pathway inhibitor","NES","NFkB pathway inhibitor",0.16811,0.556,0.918,532,1
"opioid receptor agonist","NES","opioid receptor agonist",-0.28962,-1.04,0.391,950,0.813
"p38 MAPK inhibitor","NES","p38 MAPK inhibitor",0.27381,0.913,0.529,662,0.87
"PARP inhibitor","NES","PARP inhibitor",-0.253,-0.934,0.512,521,0.869
"PDGFR tyrosine kinase receptor inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.16259,0.573,0.909,452,0.944
"phosphatase inhibitor","NES","phosphatase inhibitor",0.2449,0.826,0.609,397,0.944
"phosphodiesterase inhibitor","NES","phosphodiesterase inhibitor",0.26155,0.849,0.622,953,0.914
"PI3K inhibitor","NES","PI3K inhibitor",0.29392,0.975,0.484,589,0.845
"PLK inhibitor","NES","PLK inhibitor",0.66717,2.32,0.00254,316,0.149
"potassium channel blocker","NES","potassium channel blocker",0.34385,1.12,0.326,473,0.895
"PPAR receptor agonist","NES","PPAR receptor agonist",-0.27516,-0.952,0.472,615,0.727
"progesterone receptor agonist","NES","progesterone receptor agonist",-0.40881,-1.45,0.138,1072,0.653
"proteasome inhibitor","NES","proteasome inhibitor",0.27304,0.918,0.536,564,0.855
"protein synthesis inhibitor","NES","protein synthesis inhibitor",-0.20482,-0.764,0.723,388,0.92
"protein tyrosine kinase inhibitor","NES","protein tyrosine kinase inhibitor",-0.24292,-0.874,0.589,507,0.905
"RAF inhibitor","NES","RAF inhibitor",0.57782,1.89,0.0193,103,0.475
"retinoid receptor agonist","NES","retinoid receptor agonist",-0.36379,-1.31,0.195,1031,0.637
"ribonucleotide reductase inhibitor","NES","ribonucleotide reductase inhibitor",0.48625,1.59,0.0684,430,0.513
"serotonin receptor antagonist","NES","serotonin receptor antagonist",0.38622,1.24,0.231,208,0.986
"sodium channel blocker","NES","sodium channel blocker",0.37647,1.24,0.232,807,1
"src inhibitor","NES","src inhibitor",-0.52481,-1.81,0.0444,1051,0.761
