pair,moa_i,moa_j,ES_ij,NES_ij,p_ij,FDR_ij,sig_ij,score_ij,ES_ji,NES_ji,p_ji,FDR_ji,sig_ji,score_ji,N_sig,score_avg,score_sd,NES_avg,NES_sd,Fisher_p,self,percent_overlap,qc1_pass,qc_pass
EGFR inhibitor & EGFR inhibitor,EGFR inhibitor,EGFR inhibitor,0.21749,0.726,0.73,0.973,FALSE,0.008630078,0.21749,0.726,0.73,0.973,FALSE,0.008630078,0,0.008630078,0,0.726,0,0.868318712,TRUE,100,FALSE,FALSE
Abl kinase inhibitor & EGFR inhibitor,Abl kinase inhibitor,EGFR inhibitor,-0.204,-0.733,0.739,0.915,FALSE,-0.028278338,-0.20704,-0.69,0.75,0.974,FALSE,-0.00789432,0,-0.018086329,0.014413678,-0.7115,0.030405592,0.881334779,FALSE,1.219512195,FALSE,FALSE
acetylcholine receptor agonist & EGFR inhibitor,acetylcholine receptor agonist,EGFR inhibitor,-0.11877,-0.429,0.979,1,FALSE,0,-0.42045,-1.42,0.144,0.708,FALSE,-0.212952774,0,-0.106476387,0.150580351,-0.9245,0.70074282,0.417171332,FALSE,0,FALSE,FALSE
acetylcholine receptor antagonist & EGFR inhibitor,acetylcholine receptor antagonist,EGFR inhibitor,0.22046,0.736,0.748,1,FALSE,0,0.4621,1.58,0.0778,0.635,FALSE,0.311617514,0,0.155808757,0.220346857,1.158,0.596798123,0.223697304,FALSE,0,FALSE,FALSE
adenosine receptor antagonist & EGFR inhibitor,adenosine receptor antagonist,EGFR inhibitor,-0.21583,-0.766,0.694,1,FALSE,0,-0.34237,-1.17,0.275,0.768,FALSE,-0.134127373,0,-0.067063686,0.094842375,-0.968,0.28567114,0.506948652,FALSE,0,FALSE,FALSE
adrenergic receptor agonist & EGFR inhibitor,adrenergic receptor agonist,EGFR inhibitor,0.22509,0.75,0.748,0.99,FALSE,0.003273604,0.23614,0.782,0.667,0.954,FALSE,0.015993171,0,0.009633388,0.008994092,0.766,0.022627417,0.845821043,FALSE,0,FALSE,FALSE
adrenergic receptor antagonist & EGFR inhibitor,adrenergic receptor antagonist,EGFR inhibitor,0.27273,0.901,0.536,0.993,FALSE,0.002748727,0.27597,0.921,0.53,0.895,FALSE,0.044370984,0,0.023559856,0.02943138,0.911,0.014142136,0.641594507,FALSE,0,FALSE,FALSE
AKT inhibitor & EGFR inhibitor,AKT inhibitor,EGFR inhibitor,0.15958,0.519,0.937,0.999,FALSE,0.000225512,-0.20785,-0.702,0.761,0.984,FALSE,-0.004917441,0,-0.002345965,0.003636617,-0.0915,0.86337738,0.95420854,FALSE,0,FALSE,FALSE
ALK tyrosine kinase receptor inhibitor & EGFR inhibitor,ALK tyrosine kinase receptor inhibitor,EGFR inhibitor,0.17523,0.574,0.917,1,FALSE,0,0.3007,1.02,0.426,0.928,FALSE,0.033101064,0,0.016550532,0.023405987,0.797,0.315369624,0.757831315,FALSE,1.234567901,FALSE,FALSE
androgen receptor antagonist & EGFR inhibitor,androgen receptor antagonist,EGFR inhibitor,-0.31552,-1.07,0.358,0.808,FALSE,-0.099069844,-0.67297,-2.28,0.00191,0.0839,TRUE,-2.453822729,1,-1.276446287,1.665061733,-1.675,0.855599205,0.005667083,FALSE,0,FALSE,FALSE
antioxidant & EGFR inhibitor,antioxidant,EGFR inhibitor,0.15514,0.516,0.942,0.97,FALSE,0.006825785,0.20609,0.693,0.755,0.956,FALSE,0.013542681,0,0.010184233,0.004749562,0.6045,0.1251579,0.953581502,FALSE,0,FALSE,FALSE
AP inhibitor & EGFR inhibitor,AP inhibitor,EGFR inhibitor,0.26178,0.843,0.629,0.907,FALSE,0.035737057,0.43195,1.46,0.138,0.786,FALSE,0.152683083,0,0.09421007,0.082693328,1.1515,0.436284884,0.298956992,FALSE,0,FALSE,FALSE
ATPase inhibitor & EGFR inhibitor,ATPase inhibitor,EGFR inhibitor,-0.14363,-0.503,0.961,1,FALSE,0,-0.2692,-0.899,0.558,0.925,FALSE,-0.030438582,0,-0.015219291,0.021523328,-0.701,0.280014285,0.870409288,FALSE,0,FALSE,FALSE
Aurora kinase inhibitor & EGFR inhibitor,Aurora kinase inhibitor,EGFR inhibitor,0.118,0.38,0.994,0.992,FALSE,0.001325565,-0.12674,-0.43,0.988,1,FALSE,0,0,0.000662782,0.000937316,-0.025,0.572756493,0.999838324,FALSE,1.075268817,FALSE,FALSE
bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor,bacterial 50S ribosomal subunit inhibitor,EGFR inhibitor,-0.14206,-0.486,0.961,0.956,FALSE,-0.009497464,0.30102,1.01,0.426,0.898,FALSE,0.0471909,0,0.018846718,0.040084727,0.262,1.057831745,0.775007328,FALSE,0,FALSE,FALSE
bacterial DNA gyrase inhibitor & EGFR inhibitor,bacterial DNA gyrase inhibitor,EGFR inhibitor,0.18825,0.614,0.862,1,FALSE,0,0.28022,0.95,0.474,0.926,FALSE,0.031719563,0,0.015859781,0.022429118,0.782,0.237587878,0.774293858,FALSE,0,FALSE,FALSE
BCL inhibitor & EGFR inhibitor,BCL inhibitor,EGFR inhibitor,0.17591,0.635,0.889,0.974,FALSE,0.007265062,0.46614,1.58,0.0825,0.635,FALSE,0.311617514,0,0.159441288,0.215209682,1.1075,0.668215908,0.264958218,FALSE,0,FALSE,FALSE
Bcr.Abl kinase inhibitor & EGFR inhibitor,Bcr.Abl kinase inhibitor,EGFR inhibitor,-0.097751,-0.35,1,0.995,FALSE,-0.000761922,-0.13822,-0.464,0.966,1,FALSE,0,0,-0.000380961,0.00053876,-0.407,0.080610173,0.999415336,FALSE,0,FALSE,FALSE
benzodiazepine receptor agonist & EGFR inhibitor,benzodiazepine receptor agonist,EGFR inhibitor,0.099253,0.323,0.997,0.998,FALSE,0.000280835,-0.20928,-0.711,0.746,1,FALSE,0,0,0.000140418,0.00019858,-0.194,0.731148412,0.96394098,FALSE,0,FALSE,FALSE
bromodomain inhibitor & EGFR inhibitor,bromodomain inhibitor,EGFR inhibitor,-0.20519,-0.724,0.78,0.93,FALSE,-0.022818345,-0.25579,-0.888,0.546,0.849,FALSE,-0.063129971,0,-0.042974158,0.028504624,-0.806,0.115965512,0.789410173,FALSE,0,FALSE,FALSE
calcium channel blocker & EGFR inhibitor,calcium channel blocker,EGFR inhibitor,0.14237,0.479,0.951,0.978,FALSE,0.004627689,0.34634,1.2,0.269,0.77,FALSE,0.13621113,0,0.070419409,0.093043544,0.8395,0.509823989,0.604573235,FALSE,0,FALSE,FALSE
CC chemokine receptor antagonist & EGFR inhibitor,CC chemokine receptor antagonist,EGFR inhibitor,0.19703,0.646,0.837,1,FALSE,0,0.22629,0.764,0.678,0.948,FALSE,0.01771843,0,0.008859215,0.012528822,0.705,0.0834386,0.888989064,FALSE,0,FALSE,FALSE
CDK inhibitor & EGFR inhibitor,CDK inhibitor,EGFR inhibitor,0.16536,0.543,0.919,1,FALSE,0,0.20739,0.678,0.786,0.945,FALSE,0.016657234,0,0.008328617,0.011778443,0.6105,0.095459415,0.957285878,FALSE,0,FALSE,FALSE
CHK inhibitor & EGFR inhibitor,CHK inhibitor,EGFR inhibitor,-0.1788,-0.552,0.935,0.946,FALSE,-0.013308093,-0.37031,-1.28,0.209,0.746,FALSE,-0.162894301,0,-0.088101197,0.105773422,-0.916,0.514773737,0.514455348,FALSE,0,FALSE,FALSE
cyclooxygenase inhibitor & EGFR inhibitor,cyclooxygenase inhibitor,EGFR inhibitor,-0.22309,-0.84,0.654,0.784,FALSE,-0.088774507,-0.35801,-1.25,0.228,0.701,FALSE,-0.192852478,0,-0.140813492,0.073594238,-1.045,0.28991378,0.432880722,FALSE,0,FALSE,FALSE
cytochrome P450 inhibitor & EGFR inhibitor,cytochrome P450 inhibitor,EGFR inhibitor,0.18497,0.6,0.892,1,FALSE,0,0.1809,0.622,0.852,0.954,FALSE,0.012720911,0,0.006360455,0.008995042,0.611,0.015556349,0.968567612,FALSE,0,FALSE,FALSE
DNA alkylating agent & EGFR inhibitor,DNA alkylating agent,EGFR inhibitor,-0.18307,-0.647,0.832,0.913,FALSE,-0.025575407,-0.12616,-0.431,0.972,1,FALSE,0,0,-0.012787703,0.018084544,-0.539,0.152735065,0.980409904,FALSE,0,FALSE,FALSE
DNA inhibitor & EGFR inhibitor,DNA inhibitor,EGFR inhibitor,0.18556,0.633,0.872,0.995,FALSE,0.00137799,0.12551,0.418,0.981,0.982,FALSE,0.003297398,0,0.002337694,0.001357227,0.5255,0.152027958,0.989006573,FALSE,0,FALSE,FALSE
DNA methyltransferase inhibitor & EGFR inhibitor,DNA methyltransferase inhibitor,EGFR inhibitor,-0.13345,-0.44,0.969,1,FALSE,0,-0.25864,-0.889,0.568,0.877,FALSE,-0.050673361,0,-0.025336681,0.035831478,-0.6645,0.317490945,0.879044563,FALSE,0,FALSE,FALSE
DNA polymerase inhibitor & EGFR inhibitor,DNA polymerase inhibitor,EGFR inhibitor,-0.24001,-0.849,0.614,0.94,FALSE,-0.022814452,-0.40072,-1.37,0.164,0.749,FALSE,-0.17195991,0,-0.097387181,0.105461764,-1.1095,0.368402633,0.331858692,FALSE,0,FALSE,FALSE
DNA synthesis inhibitor & EGFR inhibitor,DNA synthesis inhibitor,EGFR inhibitor,-0.20663,-0.74,0.7,0.961,FALSE,-0.012784693,-0.25702,-0.872,0.579,0.822,FALSE,-0.074231775,0,-0.043508234,0.043449648,-0.806,0.093338095,0.771337675,FALSE,0,FALSE,FALSE
dopamine receptor antagonist & EGFR inhibitor,dopamine receptor antagonist,EGFR inhibitor,-0.23886,-0.844,0.589,0.772,FALSE,-0.094850999,-0.33659,-1.11,0.298,0.807,FALSE,-0.103370376,0,-0.099110687,0.00602411,-0.977,0.188090404,0.480928681,FALSE,0,FALSE,FALSE
EGFR inhibitor & estrogen receptor agonist,EGFR inhibitor,estrogen receptor agonist,0.38108,1.31,0.194,0.735,FALSE,0.175163586,0.29569,0.949,0.488,0.96,FALSE,0.0168246,0,0.095994093,0.111962571,1.1295,0.255265548,0.317845808,FALSE,0,FALSE,FALSE
EGFR inhibitor & estrogen receptor antagonist,EGFR inhibitor,estrogen receptor antagonist,-0.48852,-1.64,0.0649,0.438,FALSE,-0.587982459,-0.26557,-0.872,0.585,0.94,FALSE,-0.023432512,0,-0.305707485,0.399197096,-1.256,0.543058008,0.162156861,FALSE,0,FALSE,FALSE
EGFR inhibitor & FGFR inhibitor,EGFR inhibitor,FGFR inhibitor,-0.40838,-1.36,0.164,0.701,FALSE,-0.209823496,-0.34193,-1.11,0.337,0.996,FALSE,-0.001932134,0,-0.105877815,0.147001391,-1.235,0.176776695,0.215299876,FALSE,10.95890411,FALSE,FALSE
EGFR inhibitor & FLT3 inhibitor,EGFR inhibitor,FLT3 inhibitor,-0.26727,-0.903,0.543,0.952,FALSE,-0.019290836,-0.27343,-0.995,0.472,0.785,FALSE,-0.104604692,0,-0.061947764,0.060326006,-0.949,0.065053824,0.605223078,FALSE,4.761904762,FALSE,FALSE
EGFR inhibitor & glucocorticoid receptor agonist,EGFR inhibitor,glucocorticoid receptor agonist,-0.24969,-0.856,0.595,0.822,FALSE,-0.072869724,-0.23595,-0.839,0.598,0.923,FALSE,-0.029195773,0,-0.051032749,0.030882147,-0.8475,0.012020815,0.723489252,FALSE,0,FALSE,FALSE
