"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","adrenergic receptor antagonist",0.6575,1.84,0.0105,182,0.115
"EGFR inhibitor","NES","androgen receptor antagonist",-0.73079,-2.05,0.0081,789,0.0302
"EGFR inhibitor","NES","AP inhibitor",0.43191,1.2,0.273,50,0.375
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.23914,-0.69,0.846,292,0.905
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.3797,-1.06,0.373,303,0.518
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",0.22817,0.641,0.894,377,0.937
"EGFR inhibitor","NES","BCL inhibitor",0.60978,1.71,0.0252,54,0.1
"EGFR inhibitor","NES","benzodiazepine receptor agonist",0.51629,1.45,0.104,392,0.276
"EGFR inhibitor","NES","CHK inhibitor",-0.37218,-1.06,0.373,297,0.518
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.39672,-1.12,0.328,640,0.538
"EGFR inhibitor","NES","DNA alkylating agent",-0.44675,-1.25,0.228,481,0.433
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.4869,-1.4,0.124,634,0.319
"EGFR inhibitor","NES","estrogen receptor agonist",0.48551,1.37,0.135,262,0.285
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.50163,-1.4,0.133,670,0.319
"EGFR inhibitor","NES","glutamate receptor antagonist",0.68747,1.94,0.00778,149,0.114
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.61606,1.76,0.0354,313,0.129
"EGFR inhibitor","NES","HCV inhibitor",-0.3204,-0.91,0.553,256,0.661
"EGFR inhibitor","NES","histamine receptor antagonist",-0.5995,-1.68,0.0381,479,0.153
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",-0.38992,-1.13,0.28,678,0.567
"EGFR inhibitor","NES","HMGCR inhibitor",-0.3185,-0.93,0.524,777,0.669
"EGFR inhibitor","NES","HSP inhibitor",-0.23797,-0.685,0.822,754,0.868
"EGFR inhibitor","NES","MDM inhibitor",0.49875,1.39,0.115,406,0.302
"EGFR inhibitor","NES","MEK inhibitor",-0.62392,-1.78,0.0207,559,0.141
"EGFR inhibitor","NES","MET inhibitor",-0.2702,-0.771,0.719,424,0.837
"EGFR inhibitor","NES","microtubule inhibitor",-0.59445,-1.69,0.0533,569,0.177
"EGFR inhibitor","NES","mTOR inhibitor",0.32491,0.911,0.538,547,0.725
"EGFR inhibitor","NES","p38 MAPK inhibitor",0.61577,1.73,0.0192,312,0.114
"EGFR inhibitor","NES","phosphatase inhibitor",0.46426,1.31,0.167,33,0.286
"EGFR inhibitor","NES","PI3K inhibitor",-0.44792,-1.28,0.197,517,0.434
"EGFR inhibitor","NES","PLK inhibitor",-0.83835,-2.42,0,669,0.000589
"EGFR inhibitor","NES","RAF inhibitor",-0.39678,-1.11,0.342,602,0.514
"EGFR inhibitor","NES","ribonucleotide reductase inhibitor",0.46082,1.31,0.178,325,0.286
"EGFR inhibitor","NES","serotonin receptor agonist",0.30241,0.86,0.606,250,0.75
"EGFR inhibitor","NES","serotonin receptor antagonist",-0.89987,-2.48,0,719,0.00118
"EGFR inhibitor","NES","sodium channel blocker",0.20257,0.591,0.929,122,0.92
"EGFR inhibitor","NES","topoisomerase inhibitor",0.27261,0.755,0.736,587,0.854
"EGFR inhibitor","NES","tubulin polymerization inhibitor",-0.19294,-0.56,0.946,153,0.939
"EGFR inhibitor","NES","tyrosine kinase inhibitor",-0.4806,-1.4,0.126,384,0.319
"Abl kinase inhibitor","NES","adrenergic receptor antagonist",-0.39968,-1.22,0.241,670,0.506
"Abl kinase inhibitor","NES","androgen receptor antagonist",0.4102,1.2,0.246,288,0.705
