"values.to.vary1","values.to.vary2","varied_value_name","NES_avg","score_avg","percent_qc_pass"
-0.2,-0.2,"values_added_-0.2_-0.2",2.0216,4.25921344912,100
-0.2,-0.15,"values_added_-0.2_-0.15",2.051,4.83323446284,100
-0.2,-0.1,"values_added_-0.2_-0.1",2.3238,6.8849114842,100
-0.2,-0.05,"values_added_-0.2_-0.05",2.4584,7.37866924048,100
-0.2,0,"values_added_-0.2_0",-0.3669,-0.42438754964,0
-0.2,0.05,"values_added_-0.2_0.05",-2.6218,-7.86141705572,100
-0.2,0.1,"values_added_-0.2_0.1",-2.4786,-7.42068055888,100
-0.2,0.15,"values_added_-0.2_0.15",-2.3822,-6.60563054404,100
-0.2,0.2,"values_added_-0.2_0.2",-2.3374,-6.66885528088,100
-0.15,-0.2,"values_added_-0.15_-0.2",2.109,5.1755596714,92
-0.15,-0.15,"values_added_-0.15_-0.15",2.1184,5.45907165956,100
-0.15,-0.1,"values_added_-0.15_-0.1",2.2516,6.66593572712,100
-0.15,-0.05,"values_added_-0.15_-0.05",2.3476,6.98267543812,100
-0.15,0,"values_added_-0.15_0",-1.0038,-0.41226479372,0
-0.15,0.05,"values_added_-0.15_0.05",-2.5922,-7.78791444852,100
-0.15,0.1,"values_added_-0.15_0.1",-2.5218,-7.5519129304,100
-0.15,0.15,"values_added_-0.15_0.15",-2.4148,-7.16600958428,100
-0.15,0.2,"values_added_-0.15_0.2",-2.3966,-7.10423537664,100
-0.1,-0.2,"values_added_-0.1_-0.2",2.2574,6.63614882592,100
-0.1,-0.15,"values_added_-0.1_-0.15",2.28,6.78805559956,100
-0.1,-0.1,"values_added_-0.1_-0.1",2.2508,6.71125026244,100
-0.1,-0.05,"values_added_-0.1_-0.05",2.3058,7.02419695176,96
-0.1,0,"values_added_-0.1_0",-0.51908,-1.34251272512,0
-0.1,0.05,"values_added_-0.1_0.05",-2.5854,-7.76748476788,100
-0.1,0.1,"values_added_-0.1_0.1",-2.559,-7.6881046228,100
-0.1,0.15,"values_added_-0.1_0.15",-2.5596,-7.68997215608,100
-0.1,0.2,"values_added_-0.1_0.2",-2.533,-7.56306565576,100
-0.05,-0.2,"values_added_-0.05_-0.2",2.404,7.2245605386,100
-0.05,-0.15,"values_added_-0.05_-0.15",2.457,7.43019385816,100
-0.05,-0.1,"values_added_-0.05_-0.1",2.2896,6.79185373348,80
-0.05,-0.05,"values_added_-0.05_-0.05",2.2308,6.432793407,100
-0.05,0,"values_added_-0.05_0",-0.82016,-0.26253086116,0
-0.05,0.05,"values_added_-0.05_0.05",-2.5586,-7.68696779108,100
-0.05,0.1,"values_added_-0.05_0.1",-2.6078,-7.83478253952,100
-0.05,0.15,"values_added_-0.05_0.15",-2.6076,-7.83418166668,100
-0.05,0.2,"values_added_-0.05_0.2",-2.54,-7.6310866058,100
0,-0.2,"values_added_0_-0.2",-0.89592,-0.41424329772,0
0,-0.15,"values_added_0_-0.15",-0.77916,-0.2584792674,0
0,-0.1,"values_added_0_-0.1",-0.8732,-0.22760944072,0
0,-0.05,"values_added_0_-0.05",-0.02222,-0.0256771496,0
0,0,"values_added_0_0",0.24698,0.079071466,0
0,0.05,"values_added_0_0.05",0.12556,0.03578997248,0
0,0.1,"values_added_0_0.1",-0.31734,-0.24030671624,0
0,0.15,"values_added_0_0.15",-0.3485,-0.22078703988,0
0,0.2,"values_added_0_0.2",-0.24072,-0.3657376452,0
0.05,-0.2,"values_added_0.05_-0.2",-2.5766,-7.75419137624,100
0.05,-0.15,"values_added_0.05_-0.15",-2.5342,-7.58504006288,100
0.05,-0.1,"values_added_0.05_-0.1",-2.5712,-7.72482278772,100
0.05,-0.05,"values_added_0.05_-0.05",-2.4266,-7.27515679428,100
0.05,0,"values_added_0.05_0",-0.86902,-0.406674986,0
0.05,0.05,"values_added_0.05_0.05",2.1774,6.35878916928,100
0.05,0.1,"values_added_0.05_0.1",2.364,7.16786274492,68
0.05,0.15,"values_added_0.05_0.15",2.436,7.283441641,96
0.05,0.2,"values_added_0.05_0.2",2.4002,7.293192267,100
0.1,-0.2,"values_added_0.1_-0.2",-2.4614,-7.3324533558,100
0.1,-0.15,"values_added_0.1_-0.15",-2.5528,-7.67015989036,100
0.1,-0.1,"values_added_0.1_-0.1",-2.6478,-7.95231474232,100
0.1,-0.05,"values_added_0.1_-0.05",-2.6064,-7.83057642868,100
0.1,0,"values_added_0.1_0",-0.89298,-0.42842377888,0
0.1,0.05,"values_added_0.1_0.05",2.3496,7.04173567368,100
0.1,0.1,"values_added_0.1_0.1",2.1806,6.1095206836,100
0.1,0.15,"values_added_0.1_0.15",2.1916,6.19100193964,100
0.1,0.2,"values_added_0.1_0.2",2.1176,5.5008101814,100
0.15,-0.2,"values_added_0.15_-0.2",-2.3984,-6.9872218878,100
0.15,-0.15,"values_added_0.15_-0.15",-2.4598,-7.33564025212,100
0.15,-0.1,"values_added_0.15_-0.1",-2.5334,-7.6018124382,100
0.15,-0.05,"values_added_0.15_-0.05",-2.6,-7.81284086324,100
0.15,0,"values_added_0.15_0",-0.40082,-0.06932714828,0
0.15,0.05,"values_added_0.15_0.05",2.3264,6.95469193952,100
0.15,0.1,"values_added_0.15_0.1",2.2514,6.7936109288,100
0.15,0.15,"values_added_0.15_0.15",2.1338,5.65931867368,100
0.15,0.2,"values_added_0.15_0.2",2.0404,4.71026493296,100
0.2,-0.2,"values_added_0.2_-0.2",-2.424,-7.08398978388,100
0.2,-0.15,"values_added_0.2_-0.15",-2.3842,-6.9639658568,100
0.2,-0.1,"values_added_0.2_-0.1",-2.4204,-7.26617430564,100
0.2,-0.05,"values_added_0.2_-0.05",-2.5826,-7.7586451864,100
0.2,0,"values_added_0.2_0",-1.26128,-1.48956459116,0
0.2,0.05,"values_added_0.2_0.05",2.4286,7.31745910428,88
0.2,0.1,"values_added_0.2_0.1",2.259,6.59644669408,100
0.2,0.15,"values_added_0.2_0.15",2.0822,5.1328371718,100
0.2,0.2,"values_added_0.2_0.2",2.074,4.7082818242,100
