Replicate,varied_value_name,pair,moa_i,moa_j,ES_ij,NES_ij,p_ij,FDR_ij,sig_ij,score_ij,ES_ji,NES_ji,p_ji,FDR_ji,sig_ji,score_ji,N_sig,score_avg,score_sd,NES_avg,NES_sd,Fisher_p,self,percent_overlap,qc1_pass,qc_pass,varied_value1,varied_value2
1,values_added_-0.2_-0.2,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,0.77778,2.12,0,0.00295,TRUE,5.363977326,0.72222,1.96,0.00548,0.0125,TRUE,3.730056375,2,4.54701685,1.155356585,2.04,0.113137085,7.12E-05,FALSE,0,TRUE,TRUE,-0.2,-0.2
1,values_added_-0.2_-0.15,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,0.81481,2.17,0.00178,0.00155,TRUE,6.096980215,0.81481,2.23,0.00186,0.00144,TRUE,6.336851643,2,6.216915929,0.169614713,2.2,0.042426407,4.51E-05,FALSE,0,TRUE,TRUE,-0.2,-0.15
1,values_added_-0.2_-0.1,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,0.85185,2.31,0,0,TRUE,6.9400827,0.7963,2.05,0.00177,0.00106,TRUE,6.098122976,2,6.519102838,0.595355431,2.18,0.183847763,2.50E-05,FALSE,0,TRUE,TRUE,-0.2,-0.1
1,values_added_-0.2_-0.05,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,1,2.6,0,0,TRUE,7.811348494,0.85185,2.23,0,0.000547,TRUE,7.274288262,2,7.542818378,0.379758932,2.415,0.261629509,1.45E-05,FALSE,0,TRUE,TRUE,-0.2,-0.05
1,values_added_-0.2_0,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,0.26402,0.715,0.798,1,FALSE,0,0.48148,1.34,0.167,0.249,FALSE,0.809092875,0,0.404546437,0.572115058,1.0275,0.441941738,0.401851382,FALSE,0,FALSE,FALSE,-0.2,0
1,values_added_-0.2_0.05,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,-0.96296,-2.56,0,0,TRUE,-7.691173902,-0.98148,-2.6,0,0,TRUE,-7.811348494,2,-7.751261198,0.084976269,-2.58,0.028284271,1.45E-05,FALSE,0,TRUE,TRUE,-0.2,0.05
1,values_added_-0.2_0.1,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,-0.90741,-2.5,0,0,TRUE,-7.510912014,-0.96296,-2.62,0,0,TRUE,-7.87143579,2,-7.691173902,0.254928807,-2.56,0.084852814,1.45E-05,FALSE,0,TRUE,TRUE,-0.2,0.1
1,values_added_-0.2_0.15,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,-0.88889,-2.4,0,0,TRUE,-7.210475533,-0.88889,-2.41,0,0,TRUE,-7.240519181,2,-7.225497357,0.021244067,-2.405,0.007071068,1.45E-05,FALSE,0,TRUE,TRUE,-0.2,0.15
1,values_added_-0.2_0.2,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,-0.85185,-2.3,0,0,TRUE,-6.910039052,-0.85185,-2.41,0,0,TRUE,-7.240519181,2,-7.075279117,0.23368474,-2.355,0.077781746,1.45E-05,FALSE,0,TRUE,TRUE,-0.2,0.2
1,values_added_-0.15_-0.2,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,0.74074,1.97,0.00749,0.0101,TRUE,3.931486894,0.81481,2.12,0,0.0024,TRUE,5.553952168,2,4.742719531,1.147256197,2.045,0.106066017,9.50E-05,FALSE,0,TRUE,TRUE,-0.15,-0.2
1,values_added_-0.15_-0.15,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,0.88889,2.38,0,0,TRUE,7.150388237,0.77778,2.07,0.00357,0.00223,TRUE,5.489008933,2,6.319698585,1.174772572,2.225,0.219203102,4.79E-05,FALSE,0,TRUE,TRUE,-0.15,-0.15
1,values_added_-0.15_-0.1,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,0.81481,2.09,0,0.00452,TRUE,4.900760671,0.7963,2.04,0,0.00268,TRUE,5.24660502,2,5.073682846,0.244548884,2.065,0.035355339,1.45E-05,FALSE,0,TRUE,TRUE,-0.15,-0.1
1,values_added_-0.15_-0.05,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,0.96296,2.42,0,0,TRUE,7.270562829,0.7963,2.03,0,0.00583,TRUE,4.535692834,2,5.903127831,1.933845119,2.225,0.275771645,1.45E-05,FALSE,0,TRUE,TRUE,-0.15,-0.05
1,values_added_-0.15_0,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,-0.34071,-0.932,0.535,0.526,FALSE,-0.260041286,-0.66667,-1.77,0.0138,0.0867,TRUE,-1.879706197,1,-1.069873742,1.145276042,-1.351,0.592555483,0.043623011,FALSE,0,FALSE,FALSE,-0.15,0
1,values_added_-0.15_0.05,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,-0.94444,-2.5,0,0,TRUE,-7.510912014,-0.98148,-2.54,0,0,TRUE,-7.631086606,2,-7.57099931,0.084976269,-2.52,0.028284271,1.45E-05,FALSE,0,TRUE,TRUE,-0.15,0.05
1,values_added_-0.15_0.1,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,-0.94444,-2.54,0,0,TRUE,-7.631086606,-0.96296,-2.58,0,0,TRUE,-7.751261198,2,-7.691173902,0.084976269,-2.56,0.028284271,1.45E-05,FALSE,0,TRUE,TRUE,-0.15,0.1
1,values_added_-0.15_0.15,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,-0.87037,-2.34,0,0,TRUE,-7.030213645,-0.96296,-2.65,0,0,TRUE,-7.961566734,2,-7.495890189,0.658566085,-2.495,0.219203102,1.45E-05,FALSE,0,TRUE,TRUE,-0.15,0.15
1,values_added_-0.15_0.2,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,-0.81481,-2.2,0,0.00223,TRUE,-5.833729301,-0.85185,-2.4,0.00202,0.00102,TRUE,-7.179359588,2,-6.506544445,0.951504301,-2.3,0.141421356,2.82E-05,FALSE,0,TRUE,TRUE,-0.15,0.2
1,values_added_-0.1_-0.2,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,0.74074,1.94,0.00368,0.0083,TRUE,4.036988501,0.98148,2.65,0,0,TRUE,7.961566734,2,5.999277618,2.775095882,2.295,0.502045815,4.93E-05,FALSE,0,TRUE,TRUE,-0.1,-0.2
1,values_added_-0.1_-0.15,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,0.83333,2.17,0,0.000447,TRUE,7.268832675,0.83333,2.15,0,0.000851,TRUE,6.600651446,2,6.93474206,0.472475478,2.16,0.014142136,1.45E-05,FALSE,0,TRUE,TRUE,-0.1,-0.15
1,values_added_-0.1_-0.1,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,0.87037,2.35,0,0,TRUE,7.060257293,0.7963,2.06,0,0.00193,TRUE,5.591751943,2,6.326004618,1.038390091,2.205,0.205060967,1.45E-05,FALSE,0,TRUE,TRUE,-0.1,-0.1
1,values_added_-0.1_-0.05,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,0.87037,2.22,0,0,TRUE,6.669689868,0.81481,2.15,0,0.000723,TRUE,6.752852661,2,6.711271264,0.058804975,2.185,0.049497475,1.45E-05,FALSE,0,TRUE,TRUE,-0.1,-0.05
1,values_added_-0.1_0,Synthetic drug set 1 & Synthetic drug set 2,Synthetic drug set 1,Synthetic drug set 2,-0.41002,-1.2,0.216,0.58,FALSE,-0.283886408,-0.75104,-2.01,0.0019,0.0139,TRUE,-3.732540251,1,-2.00821333,2.438566519,-1.605,0.572756493,0.003610854,FALSE,0,FALSE,FALSE,-0.1,0
