"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.52044,1.78,0.0361,389,0.181
"EGFR inhibitor","NES","Abl kinase inhibitor",0.34249,1.16,0.273,166,0.541
"EGFR inhibitor","NES","acetylcholine receptor agonist",-0.33869,-1.1,0.347,638,0.676
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.4893,-1.57,0.0773,945,0.52
"EGFR inhibitor","NES","adenosine receptor antagonist",0.31104,1.07,0.353,72,0.626
"EGFR inhibitor","NES","adrenergic receptor agonist",0.10991,0.383,0.995,802,1
"EGFR inhibitor","NES","adrenergic receptor antagonist",-0.17155,-0.552,0.904,912,0.939
"EGFR inhibitor","NES","AKT inhibitor",-0.19514,-0.637,0.849,824,0.951
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.56412,1.95,0.0124,81,0.148
"EGFR inhibitor","NES","androgen receptor antagonist",-0.47509,-1.48,0.107,639,0.462
"EGFR inhibitor","NES","antioxidant",-0.47563,-1.53,0.0778,775,0.427
"EGFR inhibitor","NES","AP inhibitor",-0.65936,-2.18,0.00337,1043,0.15
"EGFR inhibitor","NES","ATPase inhibitor",-0.23525,-0.753,0.708,315,0.973
"EGFR inhibitor","NES","Aurora kinase inhibitor",0.15283,0.525,0.939,335,1
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.31124,1.06,0.359,933,0.615
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.37298,-1.24,0.237,1135,0.557
"EGFR inhibitor","NES","BCL inhibitor",0.2899,1.01,0.441,253,0.667
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.3954,1.4,0.146,166,0.341
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.61648,-1.99,0.00672,940,0.167
"EGFR inhibitor","NES","bromodomain inhibitor",-0.42293,-1.34,0.192,717,0.551
"EGFR inhibitor","NES","calcium channel blocker",-0.38158,-1.27,0.223,721,0.537
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.35124,-1.11,0.316,862,0.689
"EGFR inhibitor","NES","CDK inhibitor",0.34478,1.17,0.277,185,0.554
"EGFR inhibitor","NES","CHK inhibitor",0.35281,1.22,0.246,58,0.537
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.41468,-1.33,0.166,1242,0.502
"EGFR inhibitor","NES","cytochrome P450 inhibitor",0.24643,0.856,0.599,158,0.812
"EGFR inhibitor","NES","DNA alkylating agent",-0.17203,-0.564,0.921,230,0.972
"EGFR inhibitor","NES","DNA inhibitor",-0.32929,-1.05,0.374,1028,0.71
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",-0.22946,-0.735,0.753,938,0.947
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.52067,-1.7,0.0363,1062,0.352
"EGFR inhibitor","NES","DNA synthesis inhibitor",-0.32476,-1.03,0.408,928,0.716
