"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.674563","Pearson.est","AKT inhibitor",0.34444,0.848,0.624,264,0.765,TRUE,FALSE,"AKT inhibitor"
"ABT.737","Pearson.est","BCL inhibitor",-0.26921,-0.702,0.818,1260,1,TRUE,FALSE,"BCL inhibitor"
"ACDPP","Pearson.est","glutamate receptor antagonist",0.4098,0.988,0.492,456,0.909,TRUE,FALSE,"glutamate receptor antagonist"
"ACY.1215","Pearson.est","HDAC inhibitor",0.37592,0.917,0.593,674,0.96,TRUE,FALSE,"HDAC inhibitor"
"AEE788","Pearson.est","EGFR inhibitor",0.22256,0.588,0.907,156,1,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AEE788","Pearson.est","VEGFR inhibitor",0.2752,0.727,0.774,219,0.906,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AM.404","Pearson.est","cyclooxygenase inhibitor",-0.28394,-0.794,0.675,1226,1,TRUE,FALSE,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"
"AM.580","Pearson.est","retinoid receptor agonist",-0.35986,-1.07,0.354,1349,0.874,TRUE,FALSE,"retinoid receptor agonist"
"AMG.208","Pearson.est","tyrosine kinase inhibitor",0.28884,0.694,0.854,588,1,TRUE,FALSE,"tyrosine kinase inhibitor"
"AMG458","Pearson.est","MET inhibitor",0.38465,0.946,0.518,161,0.751,TRUE,FALSE,"MET inhibitor"
"ARRY.334543","Pearson.est","EGFR inhibitor",0.19845,0.54,0.979,220,0.994,TRUE,FALSE,"EGFR inhibitor"
"AST.1306","Pearson.est","EGFR inhibitor",-0.18349,-0.536,0.958,1193,0.971,TRUE,FALSE,"EGFR inhibitor"
"AT7867","Pearson.est","AKT inhibitor",0.36931,0.887,0.621,455,1,TRUE,FALSE,"AKT inhibitor"
"AZD2858","Pearson.est","glycogen synthase kinase inhibitor",-0.31054,-0.841,0.638,1343,0.813,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"AZD4547","Pearson.est","FGFR inhibitor",-0.52351,-1.48,0.0944,1083,0.656,TRUE,FALSE,"FGFR inhibitor"
"AZD5438","Pearson.est","CDK inhibitor",0.31782,0.759,0.814,153,0.997,TRUE,FALSE,"CDK inhibitor"
"AZD8931","Pearson.est","EGFR inhibitor",0.29547,0.853,0.596,155,0.864,TRUE,FALSE,"EGFR inhibitor"
"BAY.11.7082","Pearson.est","NFkB pathway inhibitor",0.38431,0.973,0.457,89,0.742,TRUE,FALSE,"NFkB pathway inhibitor"
"BAY.11.7085","Pearson.est","NFkB pathway inhibitor",0.37706,0.895,0.604,231,0.858,TRUE,FALSE,"NFkB pathway inhibitor"
"BF2.649","Pearson.est","histamine receptor antagonist",0.27583,0.654,0.897,566,1,TRUE,FALSE,"histamine receptor antagonist"
