"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.52044,1.78,0.0361,389,0.181
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.53822,1.75,0.0399,440,0.309
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",-0.2803,-1.07,0.374,377,0.635
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",0.29107,0.976,0.463,204,0.708
"adenosine receptor antagonist","NES","adenosine receptor antagonist",0.46273,1.59,0.0624,219,0.584
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.40134,1.32,0.171,403,0.566
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",0.26348,0.901,0.564,259,0.743
"AKT inhibitor","NES","AKT inhibitor",0.5438,1.77,0.0277,221,0.456
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.59478,1.97,0.0173,554,0.251
"androgen receptor antagonist","NES","androgen receptor antagonist",0.69476,2.36,0,154,0.108
"antioxidant","NES","antioxidant",0.35619,1.22,0.238,360,0.664
"AP inhibitor","NES","AP inhibitor",0.67783,2.35,0.00538,158,0.0229
"ATPase inhibitor","NES","ATPase inhibitor",0.38087,1.27,0.197,408,0.505
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.69994,2.3,0,337,0.0208
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.39867,1.34,0.17,422,0.818
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",0.26852,0.912,0.555,489,0.942
"BCL inhibitor","NES","BCL inhibitor",0.46545,1.53,0.105,399,0.489
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.47603,1.57,0.0734,359,0.406
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.53577,1.77,0.0524,374,0.147
"bromodomain inhibitor","NES","bromodomain inhibitor",0.87128,3.05,0,35,0
"calcium channel blocker","NES","calcium channel blocker",0.26733,0.911,0.557,503,0.809
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",-0.60262,-2.31,0,1056,0.144
"CDK inhibitor","NES","CDK inhibitor",0.58148,1.92,0.0125,305,0.811
"CHK inhibitor","NES","CHK inhibitor",0.85032,2.89,0,68,0
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.15081,0.51,0.925,775,0.982
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",0.39725,1.32,0.2,222,0.834
"DNA alkylating agent","NES","DNA alkylating agent",0.26248,0.883,0.596,459,0.863
"DNA inhibitor","NES","DNA inhibitor",-0.28507,-1.05,0.421,770,0.881
"DNA methyltransferase inhibitor","NES","DNA methyltransferase inhibitor",-0.58114,-2.1,0.0113,1150,0.105
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",0.28109,0.952,0.488,456,0.887
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",0.27281,0.928,0.513,859,0.681
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.48188,1.61,0.0682,410,0.524
"estrogen receptor agonist","NES","estrogen receptor agonist",-0.34193,-1.24,0.239,672,0.616
"estrogen receptor antagonist","NES","estrogen receptor antagonist",0.25451,0.858,0.598,652,0.766
"FGFR inhibitor","NES","FGFR inhibitor",0.45961,1.58,0.0706,545,0.312
"FLT3 inhibitor","NES","FLT3 inhibitor",0.5078,1.68,0.0398,335,0.196
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.71902,2.27,0,173,0.0516
"glutamate receptor antagonist","NES","glutamate receptor antagonist",-0.15664,-0.566,0.922,337,1
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.22948,0.774,0.691,108,1
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",-0.48083,-1.7,0.0638,1323,0.418
"HCV inhibitor","NES","HCV inhibitor",-0.41943,-1.58,0.0662,1019,0.473
"HDAC inhibitor","NES","HDAC inhibitor",0.67222,2.16,0.0034,147,0.0556
"histamine receptor antagonist","NES","histamine receptor antagonist",0.26406,0.875,0.593,389,0.859
"HMGCR inhibitor","NES","HMGCR inhibitor",0.971,3.29,0,45,0
"HSP inhibitor","NES","HSP inhibitor",0.77962,2.59,0,156,0.00537
"JAK inhibitor","NES","JAK inhibitor",0.60567,1.96,0.00609,493,0.112
"KIT inhibitor","NES","KIT inhibitor",0.35865,1.23,0.241,246,0.767
"MDM inhibitor","NES","MDM inhibitor",0.76066,2.64,0,12,0.0122
"MEK inhibitor","NES","MEK inhibitor",0.80211,2.61,0,64,0.00782
"MET inhibitor","NES","MET inhibitor",0.47705,1.76,0.0534,253,0.289
