pair,moa_i,moa_j,ES_ij,NES_ij,p_ij,FDR_ij,sig_ij,score_ij,ES_ji,NES_ji,p_ji,FDR_ji,sig_ji,score_ji,N_sig,score_avg,score_sd,NES_avg,NES_sd,Fisher_p,self,percent_overlap,qc1_pass,qc_pass
EGFR inhibitor & EGFR inhibitor,EGFR inhibitor,EGFR inhibitor,0.52044,1.78,0.0361,0.181,TRUE,1.321332137,0.52044,1.78,0.0361,0.181,TRUE,1.321332137,2,1.321332137,0,1.78,0,0.009960336,TRUE,100,TRUE,TRUE
Abl kinase inhibitor & EGFR inhibitor,Abl kinase inhibitor,EGFR inhibitor,0.38342,1.28,0.217,0.585,FALSE,0.298040491,0.34249,1.16,0.273,0.541,FALSE,0.309491172,0,0.303765832,0.008096854,1.22,0.084852814,0.226664443,FALSE,1.219512195,FALSE,FALSE
acetylcholine receptor agonist & EGFR inhibitor,acetylcholine receptor agonist,EGFR inhibitor,-0.36836,-1.35,0.147,0.422,FALSE,-0.505828191,-0.33869,-1.1,0.347,0.676,FALSE,-0.187058634,0,-0.346443413,0.225404115,-1.225,0.176776695,0.202799195,FALSE,0,FALSE,FALSE
acetylcholine receptor antagonist & EGFR inhibitor,acetylcholine receptor antagonist,EGFR inhibitor,-0.28619,-1.05,0.401,0.693,FALSE,-0.167230104,-0.4893,-1.57,0.0773,0.52,FALSE,-0.44587475,0,-0.306552427,0.197031519,-1.31,0.367695526,0.138677431,FALSE,0,FALSE,FALSE
adenosine receptor antagonist & EGFR inhibitor,adenosine receptor antagonist,EGFR inhibitor,-0.20116,-0.757,0.705,0.825,FALSE,-0.063244361,0.31104,1.07,0.353,0.626,FALSE,0.217665463,0,0.077210551,0.198633242,0.1565,1.291884089,0.594997566,FALSE,0,FALSE,FALSE
adrenergic receptor agonist & EGFR inhibitor,adrenergic receptor agonist,EGFR inhibitor,-0.15799,-0.571,0.904,1,FALSE,0,0.10991,0.383,0.995,1,FALSE,0,0,0,0,-0.094,0.674579869,0.994769526,FALSE,0,FALSE,FALSE
adrenergic receptor antagonist & EGFR inhibitor,adrenergic receptor antagonist,EGFR inhibitor,-0.18004,-0.651,0.787,1,FALSE,0,-0.17155,-0.552,0.904,0.939,FALSE,-0.015088593,0,-0.007544297,0.010669246,-0.6015,0.070003571,0.95366257,FALSE,0,FALSE,FALSE
AKT inhibitor & EGFR inhibitor,AKT inhibitor,EGFR inhibitor,-0.16419,-0.606,0.852,0.942,FALSE,-0.015725153,-0.19514,-0.637,0.849,0.951,FALSE,-0.013899011,0,-0.014812082,0.001291278,-0.6215,0.02192031,0.957614988,FALSE,0,FALSE,FALSE
ALK tyrosine kinase receptor inhibitor & EGFR inhibitor,ALK tyrosine kinase receptor inhibitor,EGFR inhibitor,0.43812,1.48,0.126,0.416,FALSE,0.563741871,0.56412,1.95,0.0124,0.148,TRUE,1.617989655,1,1.090865763,0.745465757,1.715,0.332340187,0.011657898,FALSE,1.234567901,FALSE,FALSE
androgen receptor antagonist & EGFR inhibitor,androgen receptor antagonist,EGFR inhibitor,-0.26116,-0.869,0.603,0.875,FALSE,-0.050395002,-0.47509,-1.48,0.107,0.462,FALSE,-0.496329876,0,-0.273362439,0.315323574,-1.1745,0.432042243,0.241357868,FALSE,0,TRUE,FALSE
