"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.96,2.81,0,51,0
"EGFR inhibitor","NES","Abl kinase inhibitor",-0.38168,-1.06,0.388,670,0.622
"EGFR inhibitor","NES","adrenergic receptor agonist",0.23107,0.692,0.792,585,1
"EGFR inhibitor","NES","adrenergic receptor antagonist",-0.24475,-0.69,0.83,676,0.868
"EGFR inhibitor","NES","AKT inhibitor",0.36155,1.07,0.358,244,0.787
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.87595,2.53,0,30,0.00126
"EGFR inhibitor","NES","androgen receptor antagonist",-0.48834,-1.34,0.174,594,0.513
"EGFR inhibitor","NES","AP inhibitor",-0.64942,-1.82,0.0211,772,0.245
"EGFR inhibitor","NES","ATPase inhibitor",-0.25,-0.714,0.778,245,0.875
"EGFR inhibitor","NES","Aurora kinase inhibitor",0.11461,0.335,0.992,234,0.996
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.31365,0.902,0.544,679,0.922
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.45748,-1.31,0.198,846,0.512
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.46549,-1.29,0.211,670,0.456
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.71876,-2.07,0.00517,962,0.0822
"EGFR inhibitor","NES","bromodomain inhibitor",-0.42474,-1.17,0.292,525,0.559
"EGFR inhibitor","NES","calcium channel blocker",-0.38702,-1.11,0.331,528,0.578
"EGFR inhibitor","NES","CDK inhibitor",0.49632,1.47,0.108,132,0.404
"EGFR inhibitor","NES","CHK inhibitor",0.34651,1,0.417,49,0.877
"EGFR inhibitor","NES","DNA alkylating agent",0.30268,0.902,0.528,478,0.922
"EGFR inhibitor","NES","DNA inhibitor",-0.50704,-1.43,0.144,888,0.56
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.49509,-1.38,0.156,776,0.573
"EGFR inhibitor","NES","DNA synthesis inhibitor",-0.34012,-0.959,0.497,334,0.747
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.30903,-0.889,0.572,806,0.82
"EGFR inhibitor","NES","FLT3 inhibitor",0.73037,2.12,0.0115,200,0.0212
"EGFR inhibitor","NES","glucocorticoid receptor agonist",-0.23964,-0.687,0.814,827,0.839
"EGFR inhibitor","NES","growth factor receptor inhibitor",0.76508,2.21,0,129,0.0154
"EGFR inhibitor","NES","HDAC inhibitor",-0.26903,-0.76,0.729,692,0.89
"EGFR inhibitor","NES","histamine receptor antagonist",0.36563,1.1,0.319,188,0.849
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",-0.60868,-1.73,0.0255,859,0.208
"EGFR inhibitor","NES","HMGCR inhibitor",-0.48253,-1.36,0.161,567,0.539
"EGFR inhibitor","NES","HSP inhibitor",-0.45972,-1.3,0.18,793,0.48
"EGFR inhibitor","NES","JAK inhibitor",0.47598,1.36,0.161,332,0.478
"EGFR inhibitor","NES","MDM inhibitor",-0.64016,-1.79,0.0275,628,0.198
"EGFR inhibitor","NES","MEK inhibitor",-0.5151,-1.45,0.117,705,0.621
"EGFR inhibitor","NES","MET inhibitor",0.61707,1.8,0.0255,281,0.115
"EGFR inhibitor","NES","microtubule inhibitor",0.21224,0.628,0.855,779,0.962
"EGFR inhibitor","NES","mTOR inhibitor",0.14802,0.442,0.979,670,1
"EGFR inhibitor","NES","NFkB pathway inhibitor",-0.18355,-0.52,0.952,565,0.94
"EGFR inhibitor","NES","opioid receptor agonist",0.26987,0.818,0.65,112,0.94
"EGFR inhibitor","NES","p38 MAPK inhibitor",0.21939,0.654,0.847,772,1
"EGFR inhibitor","NES","PARP inhibitor",0.37779,1.09,0.378,293,0.806
"EGFR inhibitor","NES","phosphatase inhibitor",-0.4172,-1.19,0.253,783,0.572
"EGFR inhibitor","NES","phosphodiesterase inhibitor",0.23549,0.682,0.806,217,1
"EGFR inhibitor","NES","PI3K inhibitor",0.1792,0.523,0.931,261,1
"EGFR inhibitor","NES","PLK inhibitor",0.32959,0.964,0.481,664,0.894
"EGFR inhibitor","NES","proteasome inhibitor",-0.25352,-0.72,0.758,403,0.905
"EGFR inhibitor","NES","protein synthesis inhibitor",0.48748,1.45,0.101,75,0.387
"EGFR inhibitor","NES","RAF inhibitor",-0.40798,-1.15,0.313,399,0.552
"EGFR inhibitor","NES","retinoid receptor agonist",0.24236,0.698,0.793,749,1
"EGFR inhibitor","NES","serotonin receptor antagonist",0.29179,0.896,0.584,296,0.886
"EGFR inhibitor","NES","sodium channel blocker",-0.27523,-0.772,0.706,270,0.917
"EGFR inhibitor","NES","SYK inhibitor",0.75866,2.18,0.00232,242,0.0161
"EGFR inhibitor","NES","TGF beta receptor inhibitor",0.21012,0.632,0.852,230,0.995
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.28159,-0.795,0.698,609,0.928
"EGFR inhibitor","NES","tubulin polymerization inhibitor",0.2809,0.833,0.632,611,0.961
"EGFR inhibitor","NES","VEGFR inhibitor",0.84082,2.44,0,163,0.00252
"EGFR inhibitor","NES","vitamin D receptor agonist",0.46665,1.35,0.185,253,0.448
"Abl kinase inhibitor","NES","EGFR inhibitor",0.67682,1.94,0.0091,221,0.1
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.5067,1.45,0.114,316,0.309
"Abl kinase inhibitor","NES","adrenergic receptor agonist",-0.31971,-0.993,0.429,313,0.55
"Abl kinase inhibitor","NES","adrenergic receptor antagonist",0.31995,0.901,0.559,483,0.702
"Abl kinase inhibitor","NES","AKT inhibitor",0.53491,1.56,0.0618,366,0.229
"Abl kinase inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.75302,2.15,0,109,0.0573
"Abl kinase inhibitor","NES","androgen receptor antagonist",0.41086,1.19,0.274,153,0.471
"Abl kinase inhibitor","NES","AP inhibitor",-0.79837,-2.46,0,784,0.00715
"Abl kinase inhibitor","NES","ATPase inhibitor",0.41647,1.18,0.27,255,0.463
"Abl kinase inhibitor","NES","Aurora kinase inhibitor",0.14374,0.414,0.98,848,0.982
"Abl kinase inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.3391,-1.07,0.357,333,0.59
"Abl kinase inhibitor","NES","bacterial DNA gyrase inhibitor",0.32122,0.917,0.524,179,0.73
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.46467,1.3,0.187,316,0.385
"Abl kinase inhibitor","NES","benzodiazepine receptor agonist",-0.71429,-2.2,0.00286,879,0.0342
"Abl kinase inhibitor","NES","bromodomain inhibitor",-0.47401,-1.46,0.122,465,0.473
"Abl kinase inhibitor","NES","calcium channel blocker",0.33803,0.962,0.494,418,0.685
"Abl kinase inhibitor","NES","CDK inhibitor",0.5567,1.6,0.0528,167,0.235
"Abl kinase inhibitor","NES","CHK inhibitor",0.35396,1.04,0.425,192,0.592
"Abl kinase inhibitor","NES","DNA alkylating agent",-0.29525,-0.932,0.514,779,0.573
"Abl kinase inhibitor","NES","DNA inhibitor",-0.3279,-1.02,0.424,322,0.582
"Abl kinase inhibitor","NES","DNA polymerase inhibitor",0.3147,0.91,0.557,333,0.715
"Abl kinase inhibitor","NES","DNA synthesis inhibitor",-0.25355,-0.797,0.694,550,0.72
"Abl kinase inhibitor","NES","dopamine receptor antagonist",0.46829,1.36,0.156,181,0.35
"Abl kinase inhibitor","NES","FLT3 inhibitor",0.66327,1.88,0.0151,337,0.108
"Abl kinase inhibitor","NES","glucocorticoid receptor agonist",0.3917,1.11,0.338,239,0.537
"Abl kinase inhibitor","NES","growth factor receptor inhibitor",0.6236,1.8,0.0174,246,0.12
"Abl kinase inhibitor","NES","HDAC inhibitor",-0.51435,-1.6,0.0546,693,0.465
"Abl kinase inhibitor","NES","histamine receptor antagonist",-0.37377,-1.17,0.273,699,0.533
"Abl kinase inhibitor","NES","histone lysine methyltransferase inhibitor",0.27848,0.804,0.681,17,0.767
"Abl kinase inhibitor","NES","HMGCR inhibitor",-0.40879,-1.25,0.224,583,0.58
"Abl kinase inhibitor","NES","HSP inhibitor",0.30443,0.865,0.601,542,0.731
"Abl kinase inhibitor","NES","JAK inhibitor",0.24627,0.713,0.786,259,0.83
"Abl kinase inhibitor","NES","MDM inhibitor",0.6318,1.84,0.00765,54,0.113
"Abl kinase inhibitor","NES","MEK inhibitor",0.57185,1.63,0.0539,306,0.226
"Abl kinase inhibitor","NES","MET inhibitor",-0.4567,-1.37,0.161,850,0.454
"Abl kinase inhibitor","NES","microtubule inhibitor",-0.38933,-1.18,0.261,568,0.57
"Abl kinase inhibitor","NES","mTOR inhibitor",0.60696,1.79,0.0253,351,0.11
"Abl kinase inhibitor","NES","NFkB pathway inhibitor",0.42668,1.24,0.245,568,0.447
"Abl kinase inhibitor","NES","opioid receptor agonist",-0.32212,-1.01,0.432,316,0.559
"Abl kinase inhibitor","NES","p38 MAPK inhibitor",-0.30711,-0.943,0.511,926,0.59
"Abl kinase inhibitor","NES","PARP inhibitor",-0.33538,-1.04,0.385,620,0.591
"Abl kinase inhibitor","NES","phosphatase inhibitor",0.19506,0.566,0.898,79,0.94
"Abl kinase inhibitor","NES","phosphodiesterase inhibitor",0.38556,1.09,0.356,108,0.541
"Abl kinase inhibitor","NES","PI3K inhibitor",0.48901,1.42,0.136,271,0.302
"Abl kinase inhibitor","NES","PLK inhibitor",-0.48329,-1.46,0.101,746,0.473
"Abl kinase inhibitor","NES","proteasome inhibitor",-0.22169,-0.712,0.784,906,0.783
"Abl kinase inhibitor","NES","protein synthesis inhibitor",-0.45034,-1.42,0.128,949,0.446
"Abl kinase inhibitor","NES","RAF inhibitor",0.53579,1.55,0.0666,463,0.22
"Abl kinase inhibitor","NES","retinoid receptor agonist",0.41255,1.19,0.265,147,0.471
"Abl kinase inhibitor","NES","serotonin receptor antagonist",0.46268,1.33,0.187,416,0.368
"Abl kinase inhibitor","NES","sodium channel blocker",0.28326,0.816,0.654,474,0.776
"Abl kinase inhibitor","NES","SYK inhibitor",0.48981,1.42,0.116,377,0.302
"Abl kinase inhibitor","NES","TGF beta receptor inhibitor",0.26782,0.771,0.728,724,0.786
"Abl kinase inhibitor","NES","topoisomerase inhibitor",-0.37081,-1.15,0.328,527,0.517
"Abl kinase inhibitor","NES","tubulin polymerization inhibitor",-0.38814,-1.19,0.26,373,0.616
"Abl kinase inhibitor","NES","VEGFR inhibitor",0.53702,1.56,0.0498,165,0.229
"Abl kinase inhibitor","NES","vitamin D receptor agonist",0.72347,2.11,0.00467,278,0.04
"acetylcholine receptor agonist","NES","EGFR inhibitor",-0.79385,-2.56,0,774,0.00424
"acetylcholine receptor agonist","NES","Abl kinase inhibitor",-0.35716,-1.14,0.307,883,0.452
"acetylcholine receptor agonist","NES","adrenergic receptor agonist",0.56456,1.74,0.0285,331,0.31
"acetylcholine receptor agonist","NES","adrenergic receptor antagonist",-0.19694,-0.616,0.875,193,0.938
"acetylcholine receptor agonist","NES","AKT inhibitor",-0.41837,-1.29,0.197,410,0.371
"acetylcholine receptor agonist","NES","ALK tyrosine kinase receptor inhibitor",-0.79735,-2.57,0,783,0.00707
"acetylcholine receptor agonist","NES","androgen receptor antagonist",-0.61106,-1.89,0.0256,837,0.0888
"acetylcholine receptor agonist","NES","AP inhibitor",0.38304,1.14,0.316,120,0.704
"acetylcholine receptor agonist","NES","ATPase inhibitor",-0.45082,-1.4,0.14,758,0.296
"acetylcholine receptor agonist","NES","Aurora kinase inhibitor",-0.14668,-0.465,0.96,336,0.962
"acetylcholine receptor agonist","NES","bacterial 50S ribosomal subunit inhibitor",0.31057,0.953,0.521,160,0.77
"acetylcholine receptor agonist","NES","bacterial DNA gyrase inhibitor",0.52444,1.56,0.0803,472,0.418
"acetylcholine receptor agonist","NES","Bcr.Abl kinase inhibitor",0.27497,0.815,0.658,381,0.799
"acetylcholine receptor agonist","NES","benzodiazepine receptor agonist",-0.4501,-1.4,0.134,442,0.296
"acetylcholine receptor agonist","NES","bromodomain inhibitor",-0.37615,-1.18,0.278,369,0.428
"acetylcholine receptor agonist","NES","calcium channel blocker",-0.32008,-1.02,0.414,314,0.534
"acetylcholine receptor agonist","NES","CDK inhibitor",0.26394,0.784,0.712,41,0.809
"acetylcholine receptor agonist","NES","CHK inhibitor",-0.17777,-0.574,0.911,829,0.937
"acetylcholine receptor agonist","NES","DNA alkylating agent",0.47525,1.4,0.131,296,0.5
