"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.96,2.81,0,51,0
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.5067,1.45,0.114,316,0.309
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.74157,2.15,0.00158,261,0.0523
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",0.80918,2.44,0,194,0.000852
"AKT inhibitor","NES","AKT inhibitor",0.83776,2.41,0,166,0.00382
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.84827,2.51,0,154,0.00102
"androgen receptor antagonist","NES","androgen receptor antagonist",0.89919,2.76,0,104,0
"AP inhibitor","NES","AP inhibitor",0.77255,2.36,0,110,0.0261
"ATPase inhibitor","NES","ATPase inhibitor",0.6949,2,0.00155,306,0.0782
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.68503,1.99,0.00541,253,0.0623
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.70876,2.1,0.00308,291,0.0958
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",0.63035,1.87,0.0122,368,0.222
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.3722,1.09,0.357,253,0.606
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.81568,2.31,0,186,0.0091
"bromodomain inhibitor","NES","bromodomain inhibitor",0.8732,2.65,0,25,0
"calcium channel blocker","NES","calcium channel blocker",0.46891,1.37,0.162,276,0.667
"CDK inhibitor","NES","CDK inhibitor",0.77698,2.28,0,231,0.027
"CHK inhibitor","NES","CHK inhibitor",0.84237,2.49,0,59,0.00569
"DNA alkylating agent","NES","DNA alkylating agent",0.57143,1.7,0.0351,427,0.205
"DNA inhibitor","NES","DNA inhibitor",0.2654,0.799,0.69,414,1
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",0.40224,1.18,0.291,592,0.749
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",0.71996,2.15,0.00458,280,0.0697
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.82125,2.4,0.00148,183,0.00429
"FLT3 inhibitor","NES","FLT3 inhibitor",0.78878,2.24,0,214,0.00581
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.8084,2.24,0,136,0.0127
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",0.54037,1.57,0.0583,98,0.226
"HDAC inhibitor","NES","HDAC inhibitor",0.90731,2.57,0,106,0.000893
"histamine receptor antagonist","NES","histamine receptor antagonist",0.85642,2.49,0,146,0.00167
"HMGCR inhibitor","NES","HMGCR inhibitor",0.9684,2.81,0,37,0
"HSP inhibitor","NES","HSP inhibitor",0.82242,2.35,0,121,0.00742
"JAK inhibitor","NES","JAK inhibitor",0.67454,1.93,0.00149,330,0.12
"MDM inhibitor","NES","MDM inhibitor",0.75947,2.24,0.00198,11,0.0433
"MEK inhibitor","NES","MEK inhibitor",0.91923,2.62,0,53,0
"MET inhibitor","NES","MET inhibitor",0.52846,1.59,0.0673,90,0.35
"microtubule inhibitor","NES","microtubule inhibitor",0.74256,2.12,0,149,0.0233
"mTOR inhibitor","NES","mTOR inhibitor",0.8914,2.48,0,105,0.00187
"NFkB pathway inhibitor","NES","NFkB pathway inhibitor",0.61405,1.82,0.0119,384,0.707
"opioid receptor agonist","NES","opioid receptor agonist",0.65652,1.92,0.00775,210,0.32
"p38 MAPK inhibitor","NES","p38 MAPK inhibitor",0.57276,1.68,0.0475,310,0.326
"PARP inhibitor","NES","PARP inhibitor",0.66844,2.02,0.0107,23,0.198
"phosphatase inhibitor","NES","phosphatase inhibitor",0.32336,0.953,0.494,10,0.999
"phosphodiesterase inhibitor","NES","phosphodiesterase inhibitor",0.77699,2.31,0,224,0.0274
"PI3K inhibitor","NES","PI3K inhibitor",0.77474,2.21,0,208,0.0151
"PLK inhibitor","NES","PLK inhibitor",0.82194,2.38,0,69,0.00397
"proteasome inhibitor","NES","proteasome inhibitor",0.86656,2.59,0,45,0
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.88289,2.59,0,120,0
"RAF inhibitor","NES","RAF inhibitor",0.8998,2.59,0,107,0
"retinoid receptor agonist","NES","retinoid receptor agonist",0.71996,2.14,0.00371,280,0.0776
"serotonin receptor antagonist","NES","serotonin receptor antagonist",0.69756,2.08,0.00158,302,0.0601
"sodium channel blocker","NES","sodium channel blocker",0.71967,2.09,0.0029,281,0.0785
"TGF beta receptor inhibitor","NES","TGF beta receptor inhibitor",0.6202,1.85,0.0239,216,0.5
"topoisomerase inhibitor","NES","topoisomerase inhibitor",0.81346,2.3,0,137,0.00994
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",0.87624,2.51,0,114,0
"VEGFR inhibitor","NES","VEGFR inhibitor",0.97245,2.83,0,34,0
"vitamin D receptor agonist","NES","vitamin D receptor agonist",0.90918,2.65,0,96,0
