"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.96,2.81,0,0,TRUE,8.44226510318089,0.96,2.81,0,0,TRUE,8.44226510318089,2,8.44226510318089,0,2.81,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.67682,1.94,0.0091,0.1,TRUE,1.94,-0.38168,-1.06,0.388,0.622,FALSE,-0.218582192227732,1,0.860708903886134,1.52634810587275,0.44,2.12132034355964,0.0234665117256521,FALSE,1.21951219512195,"FALSE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.53955,-1.7,0.0571,0.189,FALSE,-1.23001493290548,0.23107,0.692,0.792,1,FALSE,0,0,-0.615007466452742,0.869751900018185,-0.504,1.69139942059822,0.185240786802,FALSE,0,"TRUE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",-0.5989,-1.88,0.0209,0.129,TRUE,-1.67209134463741,-0.24475,-0.69,0.83,0.868,FALSE,-0.0424213896282206,1,-0.857256367132816,1.15235067628297,-1.285,0.841457069611992,0.0876775613567251,FALSE,0,"TRUE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",-0.21235,-0.694,0.789,0.843,FALSE,-0.0514756632104288,0.36155,1.07,0.358,0.787,FALSE,0.111307036375801,0,0.029915686582686,0.115104750737276,0.188,1.24733636201307,0.639553638300223,FALSE,0,"TRUE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",0.79625,2.31,0,0.00815,TRUE,4.82522592381065,0.87595,2.53,0,0.00126,TRUE,7.33606252085257,2,6.08064422233161,1.77542958421969,2.42,0.15556349186104,1.45403825662008e-05,FALSE,1.23456790123457,"TRUE",TRUE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.41066,-1.17,0.289,0.504,FALSE,-0.348156272358735,-0.48834,-1.34,0.174,0.513,FALSE,-0.388442730750166,0,-0.368299501554451,0.0284868279185704,-1.255,0.120208152801713,0.200642576703068,FALSE,0,"TRUE",FALSE
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",-0.66431,-1.86,0.015,0.0868,TRUE,-1.97435331117173,-0.64942,-1.82,0.0211,0.245,TRUE,-1.11171772645655,2,-1.54303551881414,0.609975471644922,-1.84,0.0282842712474619,0.00286691628563429,FALSE,0,"TRUE",TRUE
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",-0.64226,-1.99,0.0117,0.0902,TRUE,-2.07913899029154,-0.25,-0.714,0.778,0.875,FALSE,-0.0414062501420683,1,-1.0602726202168,1.44089463880553,-1.352,0.902268252794035,0.0518774941545369,FALSE,0,"TRUE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.34537,-1.06,0.366,0.63,FALSE,-0.212699017579203,0.11461,0.335,0.992,0.996,FALSE,0.000583121628060925,0,-0.106057947975571,0.15081324693943,-0.3625,0.986413959755234,0.730919891668371,FALSE,1.0752688172043,"TRUE",FALSE
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",0.27189,0.816,0.68,0.919,FALSE,0.0299345427089332,0.31365,0.902,0.544,0.922,FALSE,0.0318127092096263,0,0.0308736259592798,0.00132806426883752,0.859,0.0608111831820431,0.737793792306091,FALSE,0,"TRUE",FALSE
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",-0.58589,-1.9,0.0192,0.253,FALSE,-1.13407100976595,-0.45748,-1.31,0.198,0.512,FALSE,-0.380856351121662,0,-0.757463680443804,0.532603192816484,-1.605,0.417193000900063,0.024985382076494,FALSE,0,"TRUE",FALSE
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"Bcr.Abl kinase inhibitor & EGFR inhibitor","Bcr.Abl kinase inhibitor","EGFR inhibitor",0.53697,1.56,0.0696,0.238,FALSE,0.972539946991841,-0.46549,-1.29,0.211,0.456,FALSE,-0.439935352962879,0,0.266302297014481,0.998770862856485,0.135,2.01525432638166,0.0766718707149302,FALSE,0,"FALSE",FALSE
"benzodiazepine receptor agonist & EGFR inhibitor","benzodiazepine receptor agonist","EGFR inhibitor",-0.80675,-2.34,0,0.0169,TRUE,-4.146745111204,-0.71876,-2.07,0.00517,0.0822,TRUE,-2.2462153376921,2,-3.19648022444805,1.3438774906972,-2.205,0.190918830920368,6.74729530411738e-05,FALSE,0,"TRUE",TRUE
"bromodomain inhibitor & EGFR inhibitor","bromodomain inhibitor","EGFR inhibitor",-0.51145,-1.49,0.0993,0.646,FALSE,-0.282753548187325,-0.42474,-1.17,0.292,0.559,FALSE,-0.295528184772885,0,-0.289140866480105,0.00903303215684324,-1.33,0.226274169979695,0.131657745665489,FALSE,0,"TRUE",FALSE
"calcium channel blocker & EGFR inhibitor","calcium channel blocker","EGFR inhibitor",-0.48581,-1.54,0.0833,0.757,FALSE,-0.186192345569888,-0.38702,-1.11,0.331,0.578,FALSE,-0.264260099353213,0,-0.22522622246155,0.0552022380921908,-1.325,0.304055915910215,0.126582875143592,FALSE,0,"FALSE",FALSE
"CC chemokine receptor antagonist & EGFR inhibitor","CC chemokine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"CDK inhibitor & EGFR inhibitor","CDK inhibitor","EGFR inhibitor",0.70453,2.07,0.003,0.0424,TRUE,2.84135267685304,0.49632,1.47,0.108,0.404,FALSE,0.578619393287411,1,1.70998603507023,1.59999404882576,1.77,0.424264068711928,0.00292726452166371,FALSE,0,"TRUE",FALSE
"CHK inhibitor & EGFR inhibitor","CHK inhibitor","EGFR inhibitor",0.45411,1.34,0.186,0.456,FALSE,0.456987110829657,0.34651,1,0.417,0.877,FALSE,0.0570004066339595,0,0.256993758731808,0.282833310921235,1.17,0.240416305603426,0.275863032855123,FALSE,0,"TRUE",FALSE
"cyclooxygenase inhibitor & EGFR inhibitor","cyclooxygenase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"cytochrome P450 inhibitor & EGFR inhibitor","cytochrome P450 inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"DNA alkylating agent & EGFR inhibitor","DNA alkylating agent","EGFR inhibitor",-0.67409,-2.14,0.0129,0.0331,TRUE,-3.16756809331996,0.30268,0.902,0.528,0.922,FALSE,0.0318127092096263,1,-1.56787769205517,2.26230386106673,-0.619,2.15101882836948,0.040793550241639,FALSE,0,"TRUE",FALSE
"DNA inhibitor & EGFR inhibitor","DNA inhibitor","EGFR inhibitor",-0.83282,-2.64,0,0.00497,TRUE,-6.081619133744,-0.50704,-1.43,0.144,0.56,FALSE,-0.360091121381133,1,-3.22085512756257,4.04573125629057,-2.035,0.855599205235723,0.00140503537703511,FALSE,0,"FALSE",FALSE
"DNA methyltransferase inhibitor & EGFR inhibitor","DNA methyltransferase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
