"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.34203,1.15,0.292,250,0.91
"EGFR inhibitor","NES","Abl kinase inhibitor",-0.40413,-1.36,0.171,1196,0.994
"EGFR inhibitor","NES","acetylcholine receptor agonist",-0.34601,-1.16,0.282,971,0.825
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.56852,-1.88,0.0259,755,0.475
"EGFR inhibitor","NES","adenosine receptor antagonist",-0.26997,-0.893,0.53,1180,0.973
"EGFR inhibitor","NES","adrenergic receptor agonist",0.14412,0.484,0.969,372,0.959
"EGFR inhibitor","NES","adrenergic receptor antagonist",-0.38213,-1.26,0.247,915,0.856
"EGFR inhibitor","NES","AKT inhibitor",0.42482,1.42,0.153,446,0.835
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.55991,1.89,0.0243,195,1
"EGFR inhibitor","NES","androgen receptor antagonist",0.32294,1.09,0.351,402,0.744
"EGFR inhibitor","NES","antioxidant",0.24737,0.844,0.585,35,0.769
"EGFR inhibitor","NES","AP inhibitor",0.34619,1.2,0.265,295,0.853
"EGFR inhibitor","NES","ATPase inhibitor",-0.29027,-0.949,0.496,857,0.9
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.28562,-0.962,0.445,1087,0.913
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.2865,0.973,0.468,345,0.735
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.38099,-1.24,0.203,898,0.832
"EGFR inhibitor","NES","BCL inhibitor",-0.32655,-1.04,0.397,433,0.93
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.37463,-1.23,0.251,1196,0.791
"EGFR inhibitor","NES","benzodiazepine receptor agonist",0.32475,1.05,0.393,905,0.784
"EGFR inhibitor","NES","bromodomain inhibitor",0.31551,1.09,0.332,915,0.744
"EGFR inhibitor","NES","calcium channel blocker",-0.16692,-0.541,0.925,221,0.949
"EGFR inhibitor","NES","CC chemokine receptor antagonist",0.20361,0.685,0.786,444,0.925
"EGFR inhibitor","NES","CDK inhibitor",-0.1881,-0.619,0.844,928,0.929
"EGFR inhibitor","NES","CHK inhibitor",0.42745,1.45,0.115,405,0.886
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.22687,-0.74,0.718,1236,1
"EGFR inhibitor","NES","cytochrome P450 inhibitor",0.21542,0.739,0.734,198,0.904
"EGFR inhibitor","NES","DNA alkylating agent",-0.21513,-0.696,0.784,1202,0.996
"EGFR inhibitor","NES","DNA inhibitor",-0.21597,-0.708,0.788,779,1
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",0.50825,1.7,0.0588,248,1
"EGFR inhibitor","NES","DNA polymerase inhibitor",0.19759,0.661,0.808,1072,0.906
"EGFR inhibitor","NES","DNA synthesis inhibitor",0.3866,1.32,0.197,590,0.789
"EGFR inhibitor","NES","dopamine receptor antagonist",0.2037,0.684,0.786,254,0.902
"EGFR inhibitor","NES","estrogen receptor agonist",0.37666,1.27,0.224,176,0.761
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.29421,-0.969,0.472,391,0.94
"EGFR inhibitor","NES","FGFR inhibitor",0.31208,1.04,0.389,152,0.767
"EGFR inhibitor","NES","FLT3 inhibitor",-0.44069,-1.4,0.151,1012,1
"EGFR inhibitor","NES","glucocorticoid receptor agonist",-0.19758,-0.65,0.821,923,0.944
"EGFR inhibitor","NES","glutamate receptor antagonist",0.34066,1.14,0.291,256,0.817
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.27485,0.942,0.491,60,0.734
"EGFR inhibitor","NES","growth factor receptor inhibitor",0.25602,0.853,0.574,151,0.803
"EGFR inhibitor","NES","HCV inhibitor",-0.30926,-0.993,0.446,411,0.932
"EGFR inhibitor","NES","HDAC inhibitor",-0.25588,-0.83,0.639,1249,0.94
"EGFR inhibitor","NES","histamine receptor antagonist",-0.2026,-0.668,0.821,978,0.949
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",0.33649,1.14,0.294,175,0.817
"EGFR inhibitor","NES","HMGCR inhibitor",-0.39684,-1.31,0.187,527,1
"EGFR inhibitor","NES","HSP inhibitor",0.28917,0.977,0.456,952,0.756
"EGFR inhibitor","NES","JAK inhibitor",0.26026,0.875,0.557,409,0.792
"EGFR inhibitor","NES","KIT inhibitor",-0.35205,-1.13,0.329,464,0.834
"EGFR inhibitor","NES","MDM inhibitor",-0.45944,-1.49,0.106,1292,1
"EGFR inhibitor","NES","MEK inhibitor",-0.2136,-0.691,0.76,653,0.973
"EGFR inhibitor","NES","MET inhibitor",0.28981,0.947,0.506,3,0.752
"EGFR inhibitor","NES","microtubule inhibitor",-0.21073,-0.687,0.795,744,0.951
"EGFR inhibitor","NES","mTOR inhibitor",0.18694,0.633,0.875,630,0.914
"EGFR inhibitor","NES","NFkB pathway inhibitor",-0.26954,-0.872,0.583,1102,0.937
"EGFR inhibitor","NES","opioid receptor agonist",-0.38771,-1.26,0.228,666,0.856
"EGFR inhibitor","NES","p38 MAPK inhibitor",0.24643,0.845,0.604,530,0.791
"EGFR inhibitor","NES","PARP inhibitor",0.26003,0.876,0.565,382,0.817
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.15584,0.534,0.922,93,0.952
"EGFR inhibitor","NES","phosphatase inhibitor",0.2121,0.714,0.739,311,0.913
