"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.674563","Pearson.est","AKT inhibitor",0.3403,0.874,0.625,702,0.818,TRUE,FALSE,"AKT inhibitor"
"ABT.737","Pearson.est","BCL inhibitor",0.32169,0.83,0.663,601,0.806,TRUE,FALSE,"BCL inhibitor"
"ACDPP","Pearson.est","glutamate receptor antagonist",-0.34746,-1.06,0.37,459,0.605,TRUE,FALSE,"glutamate receptor antagonist"
"ACY.1215","Pearson.est","HDAC inhibitor",0.36244,0.922,0.559,480,0.938,TRUE,FALSE,"HDAC inhibitor"
"ADL5859","Pearson.est","opioid receptor agonist",0.29154,0.786,0.686,503,1,TRUE,FALSE,"opioid receptor agonist"
"AEE788","Pearson.est","EGFR inhibitor",0.20302,0.539,0.959,521,0.976,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AEE788","Pearson.est","VEGFR inhibitor",0.24599,0.634,0.904,215,0.957,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AG.14361","Pearson.est","PARP inhibitor",0.25113,0.638,0.866,415,0.933,TRUE,FALSE,"PARP inhibitor"
"AM.404","Pearson.est","cyclooxygenase inhibitor",-0.29621,-0.899,0.536,848,0.874,TRUE,FALSE,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"
"AM.580","Pearson.est","retinoid receptor agonist",0.26239,0.672,0.882,449,0.926,TRUE,FALSE,"retinoid receptor agonist"
"AMG.208","Pearson.est","tyrosine kinase inhibitor",0.36777,0.957,0.519,604,0.856,TRUE,FALSE,"tyrosine kinase inhibitor"
"AMG.232","Pearson.est","MDM inhibitor",0.39857,0.974,0.504,174,0.947,TRUE,FALSE,"MDM inhibitor"
"AMG458","Pearson.est","MET inhibitor",0.32463,0.836,0.654,261,0.94,TRUE,FALSE,"MET inhibitor"
"ARRY.334543","Pearson.est","EGFR inhibitor",0.2844,0.725,0.796,596,0.904,TRUE,FALSE,"EGFR inhibitor"
"AST.1306","Pearson.est","EGFR inhibitor",-0.12007,-0.346,1,985,0.999,TRUE,FALSE,"EGFR inhibitor"
