"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.34203,1.15,0.292,250,0.91
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.52914,1.74,0.038,140,0.222
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",0.2297,0.767,0.699,402,1
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",-0.26409,-0.918,0.515,674,0.854
"adenosine receptor antagonist","NES","adenosine receptor antagonist",-0.39879,-1.33,0.183,990,1
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.25381,0.882,0.568,791,0.813
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",-0.1622,-0.572,0.9,412,0.928
"AKT inhibitor","NES","AKT inhibitor",-0.28529,-1.03,0.404,1139,0.753
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.44218,1.55,0.0814,420,0.534
"AP inhibitor","NES","AP inhibitor",0.39727,1.34,0.176,470,0.853
"ATPase inhibitor","NES","ATPase inhibitor",0.23642,0.801,0.641,373,0.87
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.43804,1.4,0.142,624,0.562
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.4806,1.66,0.0561,276,0.504
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",0.32691,1.11,0.334,212,0.706
"BCL inhibitor","NES","BCL inhibitor",0.26932,0.903,0.552,506,0.865
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.59299,1.95,0.015,160,0.168
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.46138,1.58,0.0689,237,0.999
"bromodomain inhibitor","NES","bromodomain inhibitor",0.85942,2.87,0,55,0
"calcium channel blocker","NES","calcium channel blocker",-0.31381,-1.19,0.291,745,0.611
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",-0.67976,-2.55,0,900,0.035
"CDK inhibitor","NES","CDK inhibitor",0.4652,1.5,0.0862,293,0.744
"CHK inhibitor","NES","CHK inhibitor",0.7016,2.36,0.00142,252,0.0656
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",-0.23492,-0.836,0.625,1080,0.868
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",0.64831,2.11,0.00409,193,0.342
"DNA alkylating agent","NES","DNA alkylating agent",-0.17424,-0.638,0.849,230,1
"DNA inhibitor","NES","DNA inhibitor",0.31375,1.04,0.404,451,0.795
"DNA methyltransferase inhibitor","NES","DNA methyltransferase inhibitor",-0.31699,-1.11,0.326,1212,1
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",0.37401,1.24,0.239,310,0.668
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",0.3005,1.01,0.451,343,0.789
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.13608,0.462,0.969,375,0.963
"estrogen receptor agonist","NES","estrogen receptor agonist",-0.44222,-1.56,0.105,1111,1
"FGFR inhibitor","NES","FGFR inhibitor",0.41986,1.37,0.153,224,0.557
"FLT3 inhibitor","NES","FLT3 inhibitor",0.43364,1.41,0.14,301,0.893
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.49651,1.61,0.0644,284,0.414
"glutamate receptor antagonist","NES","glutamate receptor antagonist",0.25674,0.841,0.633,507,1
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.28569,0.958,0.494,711,0.854
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",0.51965,1.78,0.0424,345,0.567
"HDAC inhibitor","NES","HDAC inhibitor",0.45054,1.52,0.09,388,0.415
"histamine receptor antagonist","NES","histamine receptor antagonist",0.40399,1.37,0.172,331,0.664
"HMGCR inhibitor","NES","HMGCR inhibitor",0.5126,1.72,0.0408,328,0.576
"HSP inhibitor","NES","HSP inhibitor",0.33172,1.09,0.346,653,0.764
"JAK inhibitor","NES","JAK inhibitor",0.30686,1.04,0.377,311,0.764
"KIT inhibitor","NES","KIT inhibitor",0.5973,1.92,0.00739,434,0.174
"MDM inhibitor","NES","MDM inhibitor",-0.40532,-1.44,0.127,1299,0.89
"MEK inhibitor","NES","MEK inhibitor",0.73602,2.48,0,129,0.0324
"MET inhibitor","NES","MET inhibitor",-0.7189,-2.55,0,1218,0.00966
"microtubule inhibitor","NES","microtubule inhibitor",0.57573,1.87,0.0201,212,0.317
"mTOR inhibitor","NES","mTOR inhibitor",0.62598,2.01,0.00692,320,0.224
"NFkB pathway inhibitor","NES","NFkB pathway inhibitor",-0.26457,-0.978,0.442,491,0.821
"opioid receptor agonist","NES","opioid receptor agonist",0.54722,1.86,0.0156,323,0.32
"p38 MAPK inhibitor","NES","p38 MAPK inhibitor",0.43864,1.47,0.111,256,0.678
"PARP inhibitor","NES","PARP inhibitor",0.24779,0.836,0.645,292,0.871
"PDGFR tyrosine kinase receptor inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.70164,2.19,0.00144,362,0.0657
"phosphatase inhibitor","NES","phosphatase inhibitor",0.28123,0.944,0.515,688,0.929
"phosphodiesterase inhibitor","NES","phosphodiesterase inhibitor",-0.25939,-0.876,0.561,857,0.822
"PI3K inhibitor","NES","PI3K inhibitor",0.49159,1.59,0.0648,484,1
"PLK inhibitor","NES","PLK inhibitor",0.42325,1.46,0.12,311,1
"potassium channel blocker","NES","potassium channel blocker",0.75851,2.54,0,240,0.0139
"PPAR receptor agonist","NES","PPAR receptor agonist",-0.36008,-1.25,0.221,1291,0.573
"progesterone receptor agonist","NES","progesterone receptor agonist",-0.23881,-0.803,0.672,1083,0.856
"proteasome inhibitor","NES","proteasome inhibitor",0.44422,1.52,0.0841,530,0.591
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.28506,0.964,0.492,505,1
"protein tyrosine kinase inhibitor","NES","protein tyrosine kinase inhibitor",0.31194,1.02,0.411,593,0.788
"RAF inhibitor","NES","RAF inhibitor",0.5907,2,0.00759,301,0.31
"RET tyrosine kinase inhibitor","NES","RET tyrosine kinase inhibitor",0.67849,2.27,0.00187,423,0.121
"retinoid receptor agonist","NES","retinoid receptor agonist",0.4021,1.31,0.224,356,1
"ribonucleotide reductase inhibitor","NES","ribonucleotide reductase inhibitor",-0.29936,-1.08,0.356,1259,0.879
"serotonin receptor antagonist","NES","serotonin receptor antagonist",0.54041,1.76,0.0329,266,0.36
