pair,moa_i,moa_j,ES_ij,NES_ij,p_ij,FDR_ij,sig_ij,score_ij,ES_ji,NES_ji,p_ji,FDR_ji,sig_ji,score_ji,N_sig,score_avg,score_sd,NES_avg,NES_sd,Fisher_p,self,percent_overlap,qc1_pass,qc_pass
EGFR inhibitor & EGFR inhibitor,EGFR inhibitor,EGFR inhibitor,0.34203,1.15,0.292,0.91,FALSE,0.047102399,0.34203,1.15,0.292,0.91,FALSE,0.047102399,0,0.047102399,0,1.15,0,0.29518422,TRUE,100,FALSE,FALSE
Abl kinase inhibitor & EGFR inhibitor,Abl kinase inhibitor,EGFR inhibitor,-0.22234,-0.811,0.63,0.926,FALSE,-0.02707849,-0.40413,-1.36,0.171,0.994,FALSE,-0.003554517,0,-0.015316504,0.016633961,-1.0855,0.388201623,0.347766141,FALSE,1.219512195,FALSE,FALSE
acetylcholine receptor agonist & EGFR inhibitor,acetylcholine receptor agonist,EGFR inhibitor,-0.27357,-0.953,0.474,0.775,FALSE,-0.105495478,-0.34601,-1.16,0.282,0.825,FALSE,-0.09691342,0,-0.101204449,0.006068431,-1.0565,0.146371104,0.402660971,FALSE,0,FALSE,FALSE
acetylcholine receptor antagonist & EGFR inhibitor,acetylcholine receptor antagonist,EGFR inhibitor,-0.35564,-1.22,0.25,0.726,FALSE,-0.169657323,-0.56852,-1.88,0.0259,0.475,FALSE,-0.607816014,0,-0.388736668,0.309824982,-1.55,0.466690476,0.039107748,FALSE,0,FALSE,FALSE
adenosine receptor antagonist & EGFR inhibitor,adenosine receptor antagonist,EGFR inhibitor,0.20858,0.73,0.732,0.972,FALSE,0.009003627,-0.26997,-0.893,0.53,0.973,FALSE,-0.010615234,0,-0.000805804,0.013872629,-0.0815,1.147634306,0.755301104,FALSE,0,FALSE,FALSE
adrenergic receptor agonist & EGFR inhibitor,adrenergic receptor agonist,EGFR inhibitor,-0.10935,-0.402,0.98,0.986,FALSE,-0.00246148,0.14412,0.484,0.969,0.959,FALSE,0.008799794,0,0.003169157,0.007962923,0.041,0.626496608,0.998709062,FALSE,0,FALSE,FALSE
adrenergic receptor antagonist & EGFR inhibitor,adrenergic receptor antagonist,EGFR inhibitor,-0.39691,-1.47,0.112,0.64,FALSE,-0.284915438,-0.38213,-1.26,0.247,0.856,FALSE,-0.085083057,0,-0.184999247,0.141302832,-1.365,0.148492424,0.126912012,FALSE,0,FALSE,FALSE
AKT inhibitor & EGFR inhibitor,AKT inhibitor,EGFR inhibitor,0.24056,0.819,0.653,0.821,FALSE,0.070152954,0.42482,1.42,0.153,0.835,FALSE,0.111205205,0,0.09067908,0.029028325,1.1195,0.424971175,0.330048933,FALSE,0,FALSE,FALSE
ALK tyrosine kinase receptor inhibitor & EGFR inhibitor,ALK tyrosine kinase receptor inhibitor,EGFR inhibitor,0.3407,1.19,0.283,0.803,FALSE,0.113388501,0.55991,1.89,0.0243,1,FALSE,0,0,0.056694251,0.080177778,1.54,0.494974747,0.041121024,FALSE,1.234567901,FALSE,FALSE
androgen receptor antagonist & EGFR inhibitor,androgen receptor antagonist,EGFR inhibitor,0.14562,0.506,0.944,0.985,FALSE,0.003321267,0.32294,1.09,0.351,0.744,FALSE,0.1399855,0,0.071653384,0.096636206,0.798,0.41295036,0.697345975,FALSE,0,FALSE,FALSE
antioxidant & EGFR inhibitor,antioxidant,EGFR inhibitor,-0.17911,-0.648,0.812,1,FALSE,0,0.24737,0.844,0.585,0.769,FALSE,0.096278169,0,0.048139085,0.068078946,0.098,1.055003318,0.828624114,FALSE,0,FALSE,FALSE
AP inhibitor & EGFR inhibitor,AP inhibitor,EGFR inhibitor,0.28944,1,0.445,0.784,FALSE,0.105683937,0.34619,1.2,0.265,0.853,FALSE,0.082861163,0,0.09427255,0.016138139,1.1,0.141421356,0.370014033,FALSE,0,FALSE,FALSE
ATPase inhibitor & EGFR inhibitor,ATPase inhibitor,EGFR inhibitor,-0.25818,-0.98,0.421,0.821,FALSE,-0.083943706,-0.29027,-0.949,0.496,0.9,FALSE,-0.043423859,0,-0.063683782,0.028651859,-0.9645,0.02192031,0.535884876,FALSE,0,FALSE,FALSE
Aurora kinase inhibitor & EGFR inhibitor,Aurora kinase inhibitor,EGFR inhibitor,-0.22659,-0.826,0.634,1,FALSE,0,-0.28562,-0.962,0.445,0.913,FALSE,-0.038027112,0,-0.019013556,0.026889229,-0.894,0.096166522,0.639133725,FALSE,1.075268817,FALSE,FALSE
bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor,bacterial 50S ribosomal subunit inhibitor,EGFR inhibitor,0.29286,0.993,0.459,0.939,FALSE,0.027143067,0.2865,0.973,0.468,0.735,FALSE,0.130102419,0,0.078622743,0.072803256,0.983,0.014142136,0.545191149,FALSE,0,FALSE,FALSE
bacterial DNA gyrase inhibitor & EGFR inhibitor,bacterial DNA gyrase inhibitor,EGFR inhibitor,-0.28509,-0.998,0.391,0.944,FALSE,-0.02497795,-0.38099,-1.24,0.203,0.832,FALSE,-0.099047075,0,-0.062012513,0.052374781,-1.119,0.171119841,0.280472196,FALSE,0,FALSE,FALSE
BCL inhibitor & EGFR inhibitor,BCL inhibitor,EGFR inhibitor,-0.23355,-0.777,0.676,1,FALSE,0,-0.32655,-1.04,0.397,0.93,FALSE,-0.032777734,0,-0.016388867,0.023177358,-0.9085,0.185969083,0.621383484,FALSE,0,FALSE,FALSE
Bcr.Abl kinase inhibitor & EGFR inhibitor,Bcr.Abl kinase inhibitor,EGFR inhibitor,-0.26895,-0.932,0.477,0.768,FALSE,-0.106843343,-0.37463,-1.23,0.251,0.791,FALSE,-0.125242925,0,-0.116043134,0.013010469,-1.081,0.210717821,0.373852482,FALSE,0,FALSE,FALSE
benzodiazepine receptor agonist & EGFR inhibitor,benzodiazepine receptor agonist,EGFR inhibitor,0.27669,0.91,0.525,0.891,FALSE,0.045611289,0.32475,1.05,0.393,0.784,FALSE,0.110968134,0,0.078289712,0.046214268,0.98,0.098994949,0.531968301,FALSE,0,FALSE,FALSE
bromodomain inhibitor & EGFR inhibitor,bromodomain inhibitor,EGFR inhibitor,-0.099923,-0.351,0.997,0.995,FALSE,-0.000764099,0.31551,1.09,0.332,0.744,FALSE,0.1399855,0,0.069610701,0.099524996,0.3695,1.018940872,0.696970238,FALSE,0,FALSE,FALSE
calcium channel blocker & EGFR inhibitor,calcium channel blocker,EGFR inhibitor,0.20014,0.696,0.785,1,FALSE,0,-0.16692,-0.541,0.925,0.949,FALSE,-0.012298979,0,-0.00614949,0.008696692,0.0775,0.874691088,0.958509037,FALSE,0,FALSE,FALSE
CC chemokine receptor antagonist & EGFR inhibitor,CC chemokine receptor antagonist,EGFR inhibitor,0.11067,0.374,0.994,0.991,FALSE,0.001468453,0.20361,0.685,0.786,0.925,FALSE,0.023192913,0,0.012330683,0.015361513,0.5295,0.219910209,0.974117828,FALSE,0,FALSE,FALSE
CDK inhibitor & EGFR inhibitor,CDK inhibitor,EGFR inhibitor,-0.2144,-0.781,0.662,0.982,FALSE,-0.006160928,-0.1881,-0.619,0.844,0.929,FALSE,-0.019798273,0,-0.012979601,0.009643059,-0.7,0.114551299,0.883959382,FALSE,0,FALSE,FALSE
CHK inhibitor & EGFR inhibitor,CHK inhibitor,EGFR inhibitor,0.21259,0.694,0.808,0.941,FALSE,0.018328801,0.42745,1.45,0.115,0.886,FALSE,0.076221103,0,0.047274952,0.040936039,1.072,0.534572727,0.313699441,FALSE,0,FALSE,FALSE
cyclooxygenase inhibitor & EGFR inhibitor,cyclooxygenase inhibitor,EGFR inhibitor,-0.2116,-0.73,0.747,0.888,FALSE,-0.037658535,-0.22687,-0.74,0.718,1,FALSE,0,0,-0.018829267,0.026628605,-0.735,0.007071068,0.87047658,FALSE,0,FALSE,FALSE
cytochrome P450 inhibitor & EGFR inhibitor,cytochrome P450 inhibitor,EGFR inhibitor,-0.13453,-0.455,0.969,0.972,FALSE,-0.005611849,0.21542,0.739,0.734,0.904,FALSE,0.03239153,0,0.01338984,0.026872447,0.142,0.844285497,0.95359377,FALSE,0,FALSE,FALSE
DNA alkylating agent & EGFR inhibitor,DNA alkylating agent,EGFR inhibitor,-0.13363,-0.499,0.934,0.944,FALSE,-0.012488975,-0.21513,-0.696,0.784,0.996,FALSE,-0.0012115,0,-0.006850238,0.007974379,-0.5975,0.139300036,0.960445349,FALSE,0,FALSE,FALSE
DNA inhibitor & EGFR inhibitor,DNA inhibitor,EGFR inhibitor,-0.24748,-0.897,0.557,0.933,FALSE,-0.027016166,-0.21597,-0.708,0.788,1,FALSE,0,0,-0.013508083,0.019103314,-0.8025,0.133643182,0.800340164,FALSE,0,FALSE,FALSE
DNA methyltransferase inhibitor & EGFR inhibitor,DNA methyltransferase inhibitor,EGFR inhibitor,0.36068,1.29,0.206,0.575,FALSE,0.31002848,0.50825,1.7,0.0588,1,FALSE,0,0,0.15501424,0.219223241,1.495,0.28991378,0.065572552,FALSE,0,FALSE,FALSE
DNA polymerase inhibitor & EGFR inhibitor,DNA polymerase inhibitor,EGFR inhibitor,0.091544,0.301,0.998,0.999,FALSE,0.000130788,0.19759,0.661,0.808,0.906,FALSE,0.028338261,0,0.014234525,0.019945696,0.481,0.254558441,0.979913985,FALSE,0,FALSE,FALSE
DNA synthesis inhibitor & EGFR inhibitor,DNA synthesis inhibitor,EGFR inhibitor,0.26933,0.912,0.554,0.854,FALSE,0.062510422,0.3866,1.32,0.197,0.789,FALSE,0.135858356,0,0.099184389,0.051864821,1.116,0.288499567,0.350894183,FALSE,0,FALSE,FALSE
dopamine receptor antagonist & EGFR inhibitor,dopamine receptor antagonist,EGFR inhibitor,-0.1492,-0.544,0.919,0.951,FALSE,-0.011869799,0.2037,0.684,0.786,0.902,FALSE,0.030638728,0,0.009384465,0.030058068,0.07,0.868327127,0.957285878,FALSE,0,FALSE,FALSE
EGFR inhibitor & estrogen receptor agonist,EGFR inhibitor,estrogen receptor agonist,0.37666,1.27,0.224,0.761,FALSE,0.150641486,0.31756,1.1,0.365,0.958,FALSE,0.02049794,0,0.085569713,0.092025384,1.185,0.120208153,0.286484354,FALSE,0,FALSE,FALSE
EGFR inhibitor & estrogen receptor antagonist,EGFR inhibitor,estrogen receptor antagonist,-0.29421,-0.969,0.472,0.94,FALSE,-0.02603911,-0.10045,-0.346,0.993,1,FALSE,0,0,-0.013019555,0.018412431,-0.6575,0.440527525,0.823874255,FALSE,0,FALSE,FALSE
EGFR inhibitor & FGFR inhibitor,EGFR inhibitor,FGFR inhibitor,0.31208,1.04,0.389,0.767,FALSE,0.119812821,0.27893,0.931,0.513,0.781,FALSE,0.099941887,0,0.109877354,0.014050872,0.9855,0.077074639,0.521174111,FALSE,10.95890411,FALSE,FALSE
EGFR inhibitor & FLT3 inhibitor,EGFR inhibitor,FLT3 inhibitor,-0.44069,-1.4,0.151,1,FALSE,0,-0.4185,-1.52,0.087,0.623,FALSE,-0.312378169,0,-0.156189085,0.220884722,-1.46,0.084852814,0.070050722,FALSE,4.761904762,FALSE,FALSE
EGFR inhibitor & glucocorticoid receptor agonist,EGFR inhibitor,glucocorticoid receptor agonist,-0.19758,-0.65,0.821,0.944,FALSE,-0.016268204,-0.12414,-0.431,0.974,0.982,FALSE,-0.003399949,0,-0.009834076,0.00909923,-0.5405,0.154856385,0.978437559,FALSE,0,FALSE,FALSE
