"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.87687,2.59,0,119,0
"EGFR inhibitor","NES","Abl kinase inhibitor",-0.45146,-1.3,0.2,859,0.855
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.39836,-1.17,0.29,615,0.699
"EGFR inhibitor","NES","AP inhibitor",0.34379,1.02,0.431,302,0.972
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.28709,-0.834,0.625,560,0.826
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.51262,1.53,0.0842,229,0.37
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.45146,-1.29,0.198,859,0.732
"EGFR inhibitor","NES","benzodiazepine receptor agonist",0.5471,1.6,0.0649,78,0.356
"EGFR inhibitor","NES","bromodomain inhibitor",0.31735,0.936,0.486,603,0.976
"EGFR inhibitor","NES","calcium channel blocker",-0.28293,-0.821,0.646,835,0.798
"EGFR inhibitor","NES","CDK inhibitor",-0.26042,-0.759,0.731,318,0.8
"EGFR inhibitor","NES","CHK inhibitor",0.60575,1.8,0.0284,267,0.283
"EGFR inhibitor","NES","cytochrome P450 inhibitor",0.28687,0.836,0.611,135,0.946
"EGFR inhibitor","NES","DNA inhibitor",0.30857,0.92,0.539,611,0.928
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.22653,-0.642,0.854,377,0.856
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.2968,-0.883,0.584,260,0.796
"EGFR inhibitor","NES","FGFR inhibitor",0.56522,1.63,0.074,301,0.409
"EGFR inhibitor","NES","glucocorticoid receptor agonist",-0.27781,-0.794,0.682,622,0.794
"EGFR inhibitor","NES","growth factor receptor inhibitor",0.38432,1.13,0.323,107,0.82
"EGFR inhibitor","NES","HCV inhibitor",-0.30936,-0.896,0.578,271,0.825
"EGFR inhibitor","NES","HDAC inhibitor",0.31042,0.917,0.507,610,0.861
"EGFR inhibitor","NES","histamine receptor antagonist",-0.40226,-1.2,0.259,658,0.83
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",0.33082,0.968,0.472,121,0.994
"EGFR inhibitor","NES","HMGCR inhibitor",-0.40068,-1.16,0.302,351,0.647
"EGFR inhibitor","NES","HSP inhibitor",0.27523,0.811,0.674,641,0.927
"EGFR inhibitor","NES","KIT inhibitor",-0.39657,-1.17,0.269,347,0.699
"EGFR inhibitor","NES","MEK inhibitor",0.22186,0.645,0.865,597,0.945
"EGFR inhibitor","NES","microtubule inhibitor",-0.36589,-1.04,0.437,502,0.686
"EGFR inhibitor","NES","mTOR inhibitor",0.23273,0.686,0.797,426,0.945
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.20877,0.618,0.867,70,0.925
"EGFR inhibitor","NES","phosphatase inhibitor",0.20516,0.6,0.913,212,0.895
"EGFR inhibitor","NES","PI3K inhibitor",0.41925,1.24,0.224,413,0.689
"EGFR inhibitor","NES","potassium channel blocker",-0.63983,-1.86,0.016,659,0.336
"EGFR inhibitor","NES","proteasome inhibitor",-0.5879,-1.69,0.0377,515,0.206
"EGFR inhibitor","NES","RAF inhibitor",-0.38699,-1.13,0.308,339,0.638
"EGFR inhibitor","NES","serotonin receptor agonist",-0.58226,-1.7,0.0338,679,0.264
"EGFR inhibitor","NES","serotonin receptor antagonist",0.26743,0.804,0.674,647,0.881
"EGFR inhibitor","NES","sodium channel blocker",-0.61275,-1.76,0.0301,638,0.293
"EGFR inhibitor","NES","SYK inhibitor",0.43952,1.31,0.186,255,0.644
"EGFR inhibitor","NES","tubulin polymerization inhibitor",-0.3818,-1.12,0.317,540,0.603
"EGFR inhibitor","NES","tyrosine kinase inhibitor",-0.32164,-0.917,0.539,841,0.844
"EGFR inhibitor","NES","VEGFR inhibitor",0.24986,0.742,0.736,495,0.922
"EGFR inhibitor","NES","vitamin D receptor agonist",-0.26523,-0.744,0.74,641,0.78
"Abl kinase inhibitor","NES","EGFR inhibitor",-0.41568,-1.29,0.204,587,0.776
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.70123,2.07,0.00157,103,0.0193
"Abl kinase inhibitor","NES","adrenergic receptor agonist",0.58926,1.7,0.0311,290,0.119
"Abl kinase inhibitor","NES","AP inhibitor",-0.32494,-0.994,0.458,284,0.624
"Abl kinase inhibitor","NES","Aurora kinase inhibitor",-0.22785,-0.699,0.801,198,0.84
"Abl kinase inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.52403,-1.64,0.0627,458,0.569
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.70123,1.99,0.0085,103,0.0289
"Abl kinase inhibitor","NES","benzodiazepine receptor agonist",-0.21328,-0.673,0.808,544,0.826
"Abl kinase inhibitor","NES","bromodomain inhibitor",0.74679,2.16,0,135,0.0108
"Abl kinase inhibitor","NES","calcium channel blocker",0.48906,1.43,0.111,42,0.195
"Abl kinase inhibitor","NES","CDK inhibitor",0.51093,1.49,0.0683,436,0.179
"Abl kinase inhibitor","NES","CHK inhibitor",-0.373,-1.13,0.315,326,0.774
"Abl kinase inhibitor","NES","cytochrome P450 inhibitor",-0.23112,-0.722,0.75,202,0.909
"Abl kinase inhibitor","NES","DNA inhibitor",-0.31465,-1.02,0.382,275,0.629
"Abl kinase inhibitor","NES","DNA polymerase inhibitor",-0.24857,-0.768,0.665,217,0.898
"Abl kinase inhibitor","NES","estrogen receptor antagonist",0.58343,1.68,0.0309,273,0.115
"Abl kinase inhibitor","NES","FGFR inhibitor",0.48668,1.42,0.137,332,0.19
"Abl kinase inhibitor","NES","glucocorticoid receptor agonist",0.56275,1.62,0.0565,254,0.113
"Abl kinase inhibitor","NES","growth factor receptor inhibitor",0.34016,0.979,0.482,132,0.52
"Abl kinase inhibitor","NES","HCV inhibitor",-0.32571,-1.02,0.396,285,0.629
"Abl kinase inhibitor","NES","HDAC inhibitor",-0.22787,-0.705,0.79,359,0.88
"Abl kinase inhibitor","NES","histamine receptor antagonist",0.2064,0.605,0.901,204,0.89
"Abl kinase inhibitor","NES","histone lysine methyltransferase inhibitor",-0.33689,-1.04,0.38,742,0.711
"Abl kinase inhibitor","NES","HMGCR inhibitor",0.33597,1,0.461,484,0.547
"Abl kinase inhibitor","NES","HSP inhibitor",0.34741,0.995,0.481,427,0.526
"Abl kinase inhibitor","NES","KIT inhibitor",0.89931,2.56,0,94,0
"Abl kinase inhibitor","NES","MEK inhibitor",-0.84117,-2.54,0,770,0.00576
"Abl kinase inhibitor","NES","microtubule inhibitor",-0.39397,-1.24,0.24,484,0.752
"Abl kinase inhibitor","NES","mTOR inhibitor",0.57299,1.67,0.0455,342,0.0977
"Abl kinase inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.58803,1.67,0.0419,94,0.0977
"Abl kinase inhibitor","NES","phosphatase inhibitor",0.32456,0.944,0.517,456,0.537
"Abl kinase inhibitor","NES","PI3K inhibitor",0.49665,1.46,0.0936,249,0.187
"Abl kinase inhibitor","NES","potassium channel blocker",0.41317,1.21,0.273,163,0.347
"Abl kinase inhibitor","NES","proteasome inhibitor",-0.45029,-1.41,0.12,394,0.664
"Abl kinase inhibitor","NES","RAF inhibitor",0.82057,2.36,0,162,0.00269
"Abl kinase inhibitor","NES","serotonin receptor agonist",-0.3203,-0.975,0.466,772,0.612
"Abl kinase inhibitor","NES","serotonin receptor antagonist",-0.49869,-1.5,0.0911,843,0.65
"Abl kinase inhibitor","NES","sodium channel blocker",-0.34734,-1.05,0.386,879,0.761
"Abl kinase inhibitor","NES","SYK inhibitor",0.35565,1.04,0.405,433,0.522
"Abl kinase inhibitor","NES","tubulin polymerization inhibitor",-0.37625,-1.14,0.303,457,0.863
"Abl kinase inhibitor","NES","tyrosine kinase inhibitor",0.46444,1.35,0.146,236,0.229
