"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.87687,2.59,0,119,0
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.70123,2.07,0.00157,103,0.0193
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.64874,1.91,0.0137,312,0.112
"AP inhibitor","NES","AP inhibitor",0.40188,1.22,0.253,307,0.513
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.73303,2.09,0.00143,243,0.0606
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.67495,1.97,0.0109,185,0.118
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.68714,2.05,0.0151,116,0.0368
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.83162,2.38,0.00183,154,0.0044
"bromodomain inhibitor","NES","bromodomain inhibitor",0.9593,2.85,0,40,0
"calcium channel blocker","NES","calcium channel blocker",-0.27886,-0.896,0.579,244,0.626
"CDK inhibitor","NES","CDK inhibitor",0.73836,2.14,0.00145,176,0.0417
"CHK inhibitor","NES","CHK inhibitor",0.81078,2.34,0,171,0.00738
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",0.72145,2.12,0.00394,124,0.0655
"DNA inhibitor","NES","DNA inhibitor",0.65175,1.88,0.0063,227,0.336
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",0.48045,1.41,0.138,208,0.303
"FGFR inhibitor","NES","FGFR inhibitor",0.72571,2.09,0.00162,245,0.0224
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.65341,1.91,0.00666,275,0.246
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",0.57932,1.71,0.0385,245,0.324
"HDAC inhibitor","NES","HDAC inhibitor",0.85796,2.45,0,132,0.0027
"histamine receptor antagonist","NES","histamine receptor antagonist",0.78186,2.35,0,199,0.00323
"HMGCR inhibitor","NES","HMGCR inhibitor",0.61182,1.77,0.0211,214,0.163
"HSP inhibitor","NES","HSP inhibitor",0.55849,1.67,0.0401,394,0.353
"KIT inhibitor","NES","KIT inhibitor",0.747,2.16,0.00156,117,0.0192
"MEK inhibitor","NES","MEK inhibitor",0.87933,2.65,0,86,0
"microtubule inhibitor","NES","microtubule inhibitor",0.6659,1.94,0.00671,299,0.0599
"mTOR inhibitor","NES","mTOR inhibitor",0.68248,1.96,0.00729,237,0.0787
"PDGFR tyrosine kinase receptor inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.78826,2.21,0.00295,196,0.00835
"phosphatase inhibitor","NES","phosphatase inhibitor",0.28487,0.843,0.627,452,0.751
"PI3K inhibitor","NES","PI3K inhibitor",0.64028,1.8,0.0169,330,0.165
"potassium channel blocker","NES","potassium channel blocker",0.82474,2.4,0.00167,158,0.00594
"proteasome inhibitor","NES","proteasome inhibitor",0.70218,2,0.00812,265,0.128
"RAF inhibitor","NES","RAF inhibitor",0.87643,2.59,0,113,0.00107
"serotonin receptor antagonist","NES","serotonin receptor antagonist",0.67208,1.91,0.0107,180,0.0659
"sodium channel blocker","NES","sodium channel blocker",0.64822,1.97,0.00965,179,0.208
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",0.7407,2.07,0.00168,243,0.0262
"tyrosine kinase inhibitor","NES","tyrosine kinase inhibitor",0.27579,0.829,0.657,159,0.734
"VEGFR inhibitor","NES","VEGFR inhibitor",0.8163,2.35,0,170,0.000925
