"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.87687,2.59,0,0,TRUE,7.78130484599235,0.87687,2.59,0,0,TRUE,7.78130484599235,2,7.78130484599235,0,2.59,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",-0.41568,-1.29,0.204,0.776,FALSE,-0.142078379576937,-0.45146,-1.3,0.2,0.855,FALSE,-0.0884440508533756,0,-0.115261215215156,0.0379251975448186,-1.295,0.00707106781186548,0.171322186460938,FALSE,1.21951219512195,"TRUE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.19262,-0.616,0.86,0.879,FALSE,-0.0345028529545565,-0.39836,-1.17,0.29,0.699,FALSE,-0.181961704377553,0,-0.108232278666055,0.10426915378718,-0.893,0.391737156777347,0.595741093086608,FALSE,0,"TRUE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23456790123457,"FALSE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
