"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.38473,1.24,0.236,307,0.703
"EGFR inhibitor","NES","Abl kinase inhibitor",0.27918,0.887,0.557,490,0.772
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.19694,-0.667,0.818,418,0.849
"EGFR inhibitor","NES","adenosine receptor antagonist",-0.24231,-0.81,0.657,948,0.834
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.42709,-1.41,0.141,514,0.473
"EGFR inhibitor","NES","adrenergic receptor antagonist",-0.3577,-1.22,0.229,897,0.551
"EGFR inhibitor","NES","AKT inhibitor",0.15478,0.497,0.958,367,0.995
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.31368,1.01,0.419,142,0.754
"EGFR inhibitor","NES","antioxidant",0.33644,1.06,0.391,423,0.73
"EGFR inhibitor","NES","ATPase inhibitor",0.47416,1.48,0.114,153,0.447
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.13616,-0.451,0.968,765,0.974
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.4762,-1.6,0.0696,793,0.667
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.47554,-1.59,0.0676,761,0.518
"EGFR inhibitor","NES","BCL inhibitor",0.40238,1.3,0.184,357,0.637
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.25418,0.821,0.641,490,0.826
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.31178,-1.05,0.389,299,0.648
"EGFR inhibitor","NES","bromodomain inhibitor",-0.22164,-0.757,0.687,213,0.837
"EGFR inhibitor","NES","calcium channel blocker",0.20616,0.664,0.816,15,0.899
"EGFR inhibitor","NES","CDK inhibitor",0.29407,0.943,0.529,252,0.73
"EGFR inhibitor","NES","CHK inhibitor",0.57247,1.85,0.0285,417,0.352
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.33644,-1.12,0.328,645,0.62
"EGFR inhibitor","NES","DNA alkylating agent",-0.30455,-1.02,0.413,657,0.586
"EGFR inhibitor","NES","DNA inhibitor",0.25172,0.817,0.646,50,0.808
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",0.37461,1.19,0.292,606,0.634
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.403,-1.34,0.186,719,0.467
"EGFR inhibitor","NES","DNA synthesis inhibitor",0.32912,1.03,0.396,138,0.75
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.33578,-1.12,0.312,320,0.62
"EGFR inhibitor","NES","estrogen receptor agonist",-0.41562,-1.42,0.138,399,0.523
"EGFR inhibitor","NES","FGFR inhibitor",0.54824,1.77,0.0374,340,0.218
"EGFR inhibitor","NES","FLT3 inhibitor",0.3232,1.07,0.365,526,0.744
"EGFR inhibitor","NES","glucocorticoid receptor agonist",-0.33411,-1.11,0.337,560,0.595
"EGFR inhibitor","NES","glutamate receptor antagonist",-0.38092,-1.29,0.216,802,0.494
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.21549,0.703,0.78,219,0.898
"EGFR inhibitor","NES","growth factor receptor inhibitor",0.3599,1.14,0.305,393,0.655
"EGFR inhibitor","NES","HDAC inhibitor",0.47421,1.52,0.11,279,0.474
"EGFR inhibitor","NES","histamine receptor antagonist",0.16247,0.519,0.943,811,1
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",0.56982,1.86,0.0196,151,0.504
"EGFR inhibitor","NES","HSP inhibitor",0.57591,1.83,0.0239,238,0.235
"EGFR inhibitor","NES","JAK inhibitor",0.20724,0.667,0.82,414,0.918
"EGFR inhibitor","NES","KIT inhibitor",0.43578,1.36,0.157,288,0.572
"EGFR inhibitor","NES","MEK inhibitor",0.2961,0.959,0.462,394,0.782
"EGFR inhibitor","NES","MET inhibitor",0.55433,1.8,0.0346,91,0.225
"EGFR inhibitor","NES","microtubule inhibitor",-0.21679,-0.737,0.743,660,0.795
"EGFR inhibitor","NES","mTOR inhibitor",0.43337,1.39,0.144,370,0.562
"EGFR inhibitor","NES","NFkB pathway inhibitor",0.29261,0.957,0.47,332,0.732
"EGFR inhibitor","NES","p38 MAPK inhibitor",0.38009,1.2,0.281,49,0.691
"EGFR inhibitor","NES","PARP inhibitor",0.32096,0.988,0.463,188,0.762
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.38271,1.21,0.26,288,0.715
"EGFR inhibitor","NES","phosphatase inhibitor",-0.21726,-0.743,0.763,841,0.82
"EGFR inhibitor","NES","phosphodiesterase inhibitor",-0.40789,-1.36,0.169,572,0.489
"EGFR inhibitor","NES","PI3K inhibitor",0.37342,1.19,0.273,150,0.634
"EGFR inhibitor","NES","PLK inhibitor",-0.59062,-2.04,0.00964,567,0.371
"EGFR inhibitor","NES","potassium channel blocker",0.24374,0.772,0.683,538,0.851
"EGFR inhibitor","NES","PPAR receptor agonist",-0.52356,-1.76,0.0442,695,0.55
"EGFR inhibitor","NES","progesterone receptor agonist",-0.30899,-1.02,0.395,942,0.586
"EGFR inhibitor","NES","proteasome inhibitor",-0.42872,-1.48,0.106,412,0.599
"EGFR inhibitor","NES","protein synthesis inhibitor",-0.22792,-0.767,0.711,298,0.861
"EGFR inhibitor","NES","protein tyrosine kinase inhibitor",0.28978,0.908,0.52,363,0.763
"EGFR inhibitor","NES","RAF inhibitor",-0.29958,-1.02,0.398,287,0.586
"EGFR inhibitor","NES","RET tyrosine kinase inhibitor",0.57981,1.83,0.0261,288,0.235
"EGFR inhibitor","NES","ribonucleotide reductase inhibitor",-0.44018,-1.47,0.106,914,0.514
"EGFR inhibitor","NES","serotonin receptor antagonist",0.22373,0.706,0.767,439,0.918
"EGFR inhibitor","NES","sodium channel blocker",-0.25188,-0.848,0.629,904,0.813
"EGFR inhibitor","NES","src inhibitor",0.48288,1.56,0.0826,403,0.462
"EGFR inhibitor","NES","SYK inhibitor",0.68299,2.17,0.00714,187,0.184
"EGFR inhibitor","NES","TGF beta receptor inhibitor",0.2643,0.859,0.613,202,0.791
"EGFR inhibitor","NES","thymidylate synthase inhibitor",0.36842,1.17,0.284,109,0.635
"EGFR inhibitor","NES","topoisomerase inhibitor",0.15401,0.494,0.953,820,0.974
"EGFR inhibitor","NES","tubulin polymerization inhibitor",0.13242,0.423,0.977,786,0.98
"EGFR inhibitor","NES","tyrosine kinase inhibitor",0.2969,0.958,0.492,127,0.756
"EGFR inhibitor","NES","VEGFR inhibitor",0.47238,1.51,0.115,291,0.442
"Abl kinase inhibitor","NES","EGFR inhibitor",0.22058,0.718,0.761,335,0.931
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.54416,1.75,0.0405,158,0.267
"Abl kinase inhibitor","NES","acetylcholine receptor antagonist",-0.35311,-1.12,0.335,750,0.457
"Abl kinase inhibitor","NES","adenosine receptor antagonist",-0.50476,-1.61,0.0806,910,0.274
"Abl kinase inhibitor","NES","adrenergic receptor agonist",-0.61575,-1.92,0.0173,726,0.135
"Abl kinase inhibitor","NES","adrenergic receptor antagonist",-0.24043,-0.788,0.667,652,0.758
"Abl kinase inhibitor","NES","AKT inhibitor",0.20236,0.665,0.832,171,0.921
"Abl kinase inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.2423,0.791,0.637,326,0.851
"Abl kinase inhibitor","NES","antioxidant",0.37028,1.22,0.249,138,0.507
"Abl kinase inhibitor","NES","ATPase inhibitor",0.44766,1.45,0.122,328,0.339
"Abl kinase inhibitor","NES","Aurora kinase inhibitor",0.21719,0.692,0.778,87,0.939
"Abl kinase inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.39037,-1.25,0.24,567,0.428
"Abl kinase inhibitor","NES","bacterial DNA gyrase inhibitor",-0.66389,-2.09,0.0113,638,0.227
"Abl kinase inhibitor","NES","BCL inhibitor",0.25217,0.823,0.633,572,0.826
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.50033,1.65,0.0549,158,0.305
"Abl kinase inhibitor","NES","benzodiazepine receptor agonist",0.30432,0.973,0.487,111,0.687
"Abl kinase inhibitor","NES","bromodomain inhibitor",-0.60903,-1.95,0.0218,790,0.156
"Abl kinase inhibitor","NES","calcium channel blocker",0.30736,0.998,0.43,64,0.696
"Abl kinase inhibitor","NES","CDK inhibitor",-0.20677,-0.661,0.816,821,0.822
"Abl kinase inhibitor","NES","CHK inhibitor",0.56738,1.79,0.036,325,0.319
"Abl kinase inhibitor","NES","cyclooxygenase inhibitor",-0.36201,-1.16,0.304,700,0.433
"Abl kinase inhibitor","NES","DNA alkylating agent",0.31995,1.04,0.409,92,0.654
"Abl kinase inhibitor","NES","DNA inhibitor",0.16556,0.521,0.929,391,0.958
"Abl kinase inhibitor","NES","DNA methyltransferase inhibitor",0.46095,1.48,0.119,71,0.355
"Abl kinase inhibitor","NES","DNA polymerase inhibitor",-0.40062,-1.25,0.23,385,0.428
