"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.674563","Pearson.est","AKT inhibitor",-0.28173,-0.802,0.684,898,0.828,TRUE,FALSE,"AKT inhibitor"
"ABT.737","Pearson.est","BCL inhibitor",0.21565,0.522,0.974,358,0.994,TRUE,FALSE,"BCL inhibitor"
"ABT.751","Pearson.est","tubulin polymerization inhibitor",0.16333,0.481,0.965,528,0.968,TRUE,FALSE,"tubulin polymerization inhibitor"
"AEE788","Pearson.est","EGFR inhibitor",0.32028,0.784,0.735,168,0.936,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AEE788","Pearson.est","VEGFR inhibitor",-0.40371,-1.09,0.341,675,0.523,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AMG900","Pearson.est","Aurora kinase inhibitor",0.28742,0.745,0.753,171,1,TRUE,FALSE,"Aurora kinase inhibitor"
"AP26113","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.30714,-0.858,0.6,700,0.813,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"AS.703026","Pearson.est","MEK inhibitor",0.3243,0.955,0.505,354,0.743,TRUE,FALSE,"MEK inhibitor"
"AT.7519","Pearson.est","CDK inhibitor",0.21751,0.635,0.844,120,0.903,TRUE,FALSE,"CDK inhibitor"
"AZ960","Pearson.est","JAK inhibitor",-0.43224,-1.29,0.2,659,0.439,TRUE,FALSE,"JAK inhibitor"
"AZD1480","Pearson.est","JAK inhibitor",-0.43775,-1.25,0.212,713,0.453,TRUE,FALSE,"JAK inhibitor"
"AZD2461","Pearson.est","PARP inhibitor",0.2809,0.822,0.659,156,0.801,TRUE,FALSE,"PARP inhibitor"
"AZD2858","Pearson.est","glycogen synthase kinase inhibitor",-0.28357,-0.873,0.553,728,0.824,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"AZD3463","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.26501,-0.835,0.625,868,0.799,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor, insulin growth factor receptor inhibitor"
"AZD5363","Pearson.est","AKT inhibitor",-0.20123,-0.637,0.869,856,0.904,TRUE,FALSE,"AKT inhibitor"
"AZD5438","Pearson.est","CDK inhibitor",0.20989,0.601,0.898,174,0.928,TRUE,FALSE,"CDK inhibitor"
"AZD8330","Pearson.est","MEK inhibitor",0.29157,0.846,0.616,58,0.826,TRUE,FALSE,"MEK inhibitor"
"BAY.11.7085","Pearson.est","NFkB pathway inhibitor",0.2753,0.813,0.641,330,0.797,TRUE,FALSE,"NFkB pathway inhibitor"
"BI.2536","Pearson.est","PLK inhibitor",-0.49535,-1.39,0.138,943,0.431,TRUE,FALSE,"PLK inhibitor"
"BIBX.1382","Pearson.est","EGFR inhibitor",-0.28805,-0.838,0.621,649,0.726,TRUE,FALSE,"EGFR inhibitor"
"BMS.265246","Pearson.est","CDK inhibitor",-0.21461,-0.587,0.915,446,0.971,TRUE,FALSE,"CDK inhibitor"
"BMS.387032","Pearson.est","CDK inhibitor",0.16142,0.464,0.984,395,0.978,TRUE,FALSE,"CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor"
"BMS.599626","Pearson.est","EGFR inhibitor",0.27876,0.697,0.83,545,1,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"BNC105","Pearson.est","tubulin polymerization inhibitor",-0.30401,-0.841,0.622,517,0.809,TRUE,FALSE,"tubulin polymerization inhibitor"
"CB.10.277","Pearson.est","DNA synthesis inhibitor",-0.4595,-1.36,0.146,684,0.39,TRUE,FALSE,"DNA synthesis inhibitor"
"CCT128930","Pearson.est","AKT inhibitor",-0.3824,-1.02,0.389,770,0.566,TRUE,FALSE,"AKT inhibitor"
"CCT129202","Pearson.est","Aurora kinase inhibitor",-0.15284,-0.462,0.983,516,0.977,TRUE,FALSE,"Aurora kinase inhibitor"
"CCT137690","Pearson.est","Aurora kinase inhibitor",-0.21761,-0.668,0.818,376,0.856,TRUE,FALSE,"Aurora kinase inhibitor"
"CEP.37440","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.40386,0.976,0.492,99,0.963,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"CGP.37849","Pearson.est","glutamate receptor antagonist",-0.50312,-1.34,0.153,755,1,TRUE,FALSE,"glutamate receptor antagonist"
"CGP.52411","Pearson.est","EGFR inhibitor",-0.45287,-1.37,0.149,747,0.378,TRUE,FALSE,"EGFR inhibitor"
"CGS.20625","Pearson.est","benzodiazepine receptor agonist",0.25077,0.81,0.654,735,0.872,TRUE,FALSE,"benzodiazepine receptor agonist, GABA benzodiazepine site receptor partial agonist"
"CHIR.98014","Pearson.est","glycogen synthase kinase inhibitor",-0.35948,-1.05,0.396,562,0.612,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"CHIR.99021","Pearson.est","glycogen synthase kinase inhibitor",-0.30556,-0.881,0.552,297,0.803,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"CP.673451","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",-0.50582,-1.46,0.119,585,0.42,TRUE,FALSE,"PDGFR tyrosine kinase receptor inhibitor"
"CP.724714","Pearson.est","protein tyrosine kinase inhibitor",-0.16522,-0.532,0.959,418,0.973,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"CR8..R.","Pearson.est","CDK inhibitor",-0.25348,-0.745,0.713,764,0.859,TRUE,FALSE,"CDK inhibitor"
"CYC116","Pearson.est","Aurora kinase inhibitor",-0.32468,-0.913,0.516,909,0.682,TRUE,FALSE,"Aurora kinase inhibitor"
"CYT.997","Pearson.est","tubulin polymerization inhibitor",0.22615,0.567,0.93,321,1,TRUE,FALSE,"tubulin polymerization inhibitor"
"D.64131","Pearson.est","microtubule inhibitor",0.32988,0.915,0.517,165,0.654,TRUE,FALSE,"microtubule inhibitor"
"E7449","Pearson.est","PARP inhibitor",0.19048,0.55,0.933,31,0.952,TRUE,FALSE,"PARP inhibitor"
"ENMD.2076","Pearson.est","Aurora kinase inhibitor",0.25982,0.758,0.714,42,0.844,TRUE,FALSE,"Aurora kinase inhibitor, FLT3 inhibitor, VEGFR inhibitor"
"EVP4593","Pearson.est","NFkB pathway inhibitor",-0.25878,-0.675,0.842,932,1,TRUE,FALSE,"NFkB pathway inhibitor"
"FERb.033","Pearson.est","EGFR inhibitor",-0.22425,-0.608,0.904,870,1,TRUE,FALSE,"EGFR inhibitor"
"FK.3311","Pearson.est","cyclooxygenase inhibitor",-0.31784,-0.764,0.753,592,0.877,TRUE,FALSE,"cyclooxygenase inhibitor"
"GDC.0068","Pearson.est","AKT inhibitor",-0.23505,-0.736,0.765,228,0.952,TRUE,FALSE,"AKT inhibitor"
"GDC.0879","Pearson.est","RAF inhibitor",-0.26646,-0.811,0.645,540,0.793,TRUE,FALSE,"RAF inhibitor"
"GSK2110183","Pearson.est","AKT inhibitor",0.23249,0.679,0.823,117,0.953,TRUE,FALSE,"AKT inhibitor"
"GSK461364","Pearson.est","PLK inhibitor",-0.47676,-1.37,0.144,953,0.385,TRUE,FALSE,"PLK inhibitor"
"GTP.14564","Pearson.est","FLT3 inhibitor",-0.68402,-2,0.0194,662,0.202,TRUE,FALSE,"FLT3 inhibitor, tyrosine kinase inhibitor"
"GTP.14564","Pearson.est","tyrosine kinase inhibitor",-0.19091,-0.552,0.947,701,0.937,TRUE,FALSE,"FLT3 inhibitor, tyrosine kinase inhibitor"
"GW.441756","Pearson.est","growth factor receptor inhibitor",0.27926,0.794,0.705,707,0.883,TRUE,FALSE,"growth factor receptor inhibitor"
"GW.583340","Pearson.est","EGFR inhibitor",0.31806,0.816,0.679,511,1,TRUE,FALSE,"EGFR inhibitor"
"GW.788388","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.31907,-0.901,0.55,618,0.834,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"HA14.1","Pearson.est","BCL inhibitor",0.30027,0.896,0.528,467,0.788,TRUE,FALSE,"BCL inhibitor"
"HMN.214","Pearson.est","PLK inhibitor",-0.52779,-1.52,0.0843,821,0.253,TRUE,FALSE,"PLK inhibitor"
"IKK.2.inhibitor.V","Pearson.est","NFkB pathway inhibitor",-0.43036,-1.31,0.194,534,0.391,TRUE,FALSE,"IKK inhibitor, NFkB pathway inhibitor"
"JNJ.16259685","Pearson.est","glutamate receptor antagonist",0.32778,0.996,0.43,158,0.747,TRUE,FALSE,"glutamate receptor antagonist"
"KW.2449","Pearson.est","Aurora kinase inhibitor",0.24689,0.726,0.776,54,0.843,TRUE,FALSE,"Abl kinase inhibitor, Aurora kinase inhibitor, FLT3 inhibitor"
"KX2.391","Pearson.est","src inhibitor",-0.72662,-2.06,0.00654,707,0.299,TRUE,FALSE,"src inhibitor, tubulin polymerization inhibitor"
