"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.38473,1.24,0.236,307,0.703
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.54416,1.75,0.0405,158,0.267
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",-0.46465,-1.56,0.0956,884,0.554
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.49543,1.62,0.0636,386,0.367
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",-0.36187,-1.14,0.313,960,0.564
"AKT inhibitor","NES","AKT inhibitor",-0.47256,-1.58,0.0775,684,0.403
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",-0.43632,-1.43,0.138,750,0.441
"ATPase inhibitor","NES","ATPase inhibitor",0.35076,1.18,0.244,466,0.581
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",-0.23516,-0.744,0.725,814,0.953
"BCL inhibitor","NES","BCL inhibitor",0.2278,0.76,0.714,515,0.854
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.44222,1.49,0.109,185,0.329
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.32918,1.04,0.408,164,0.863
"calcium channel blocker","NES","calcium channel blocker",-0.69878,-2.35,0.0021,749,0.108
"CDK inhibitor","NES","CDK inhibitor",-0.18839,-0.622,0.875,300,0.903
"CHK inhibitor","NES","CHK inhibitor",0.62129,2.02,0.00401,277,0.15
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.37777,1.21,0.251,228,0.702
"DNA alkylating agent","NES","DNA alkylating agent",-0.50931,-1.68,0.0534,798,0.622
"DNA inhibitor","NES","DNA inhibitor",0.36572,1.12,0.323,166,0.769
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",-0.36551,-1.27,0.225,945,0.518
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.31053,0.993,0.444,346,0.698
"estrogen receptor agonist","NES","estrogen receptor agonist",0.50521,1.7,0.0539,481,0.402
"FGFR inhibitor","NES","FGFR inhibitor",0.54021,1.74,0.0521,294,0.275
"FLT3 inhibitor","NES","FLT3 inhibitor",0.55875,1.77,0.0295,316,0.206
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.62759,1.99,0.00599,168,0.0946
"glutamate receptor antagonist","NES","glutamate receptor antagonist",-0.34391,-1.09,0.371,964,0.669
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",-0.52621,-1.69,0.0449,709,0.421
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",0.41563,1.27,0.217,567,0.704
"HDAC inhibitor","NES","HDAC inhibitor",0.44844,1.42,0.141,376,0.401
"histamine receptor antagonist","NES","histamine receptor antagonist",0.45972,1.33,0.189,324,0.453
"HSP inhibitor","NES","HSP inhibitor",0.55554,1.73,0.0499,374,0.28
"JAK inhibitor","NES","JAK inhibitor",0.32314,1.1,0.342,352,0.521
"KIT inhibitor","NES","KIT inhibitor",0.47286,1.56,0.0837,298,0.282
"MEK inhibitor","NES","MEK inhibitor",-0.27129,-0.91,0.496,258,0.746
"microtubule inhibitor","NES","microtubule inhibitor",-0.35332,-1.1,0.356,610,0.854
"mTOR inhibitor","NES","mTOR inhibitor",0.46049,1.5,0.0987,399,0.249
"NFkB pathway inhibitor","NES","NFkB pathway inhibitor",-0.38841,-1.28,0.192,958,0.978
"PARP inhibitor","NES","PARP inhibitor",-0.48905,-1.69,0.0695,469,0.457
"PDGFR tyrosine kinase receptor inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.49977,1.6,0.0762,290,0.267
"phosphatase inhibitor","NES","phosphatase inhibitor",-0.62039,-2.06,0.00617,800,0.24
"phosphodiesterase inhibitor","NES","phosphodiesterase inhibitor",0.32221,1.05,0.4,443,0.724
"PI3K inhibitor","NES","PI3K inhibitor",0.38523,1.29,0.194,463,0.485
"PLK inhibitor","NES","PLK inhibitor",-0.40637,-1.29,0.205,698,0.602
"potassium channel blocker","NES","potassium channel blocker",0.43742,1.36,0.173,245,0.658
"progesterone receptor agonist","NES","progesterone receptor agonist",0.32571,1.06,0.374,266,0.765
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.37604,1.15,0.31,137,0.774
"protein tyrosine kinase inhibitor","NES","protein tyrosine kinase inhibitor",0.50712,1.53,0.0667,215,0.609
"RAF inhibitor","NES","RAF inhibitor",0.3639,1.22,0.255,411,1
"RET tyrosine kinase inhibitor","NES","RET tyrosine kinase inhibitor",0.65869,2.17,0.00592,333,0.1
"ribonucleotide reductase inhibitor","NES","ribonucleotide reductase inhibitor",-0.47133,-1.54,0.0942,912,0.535
"serotonin receptor antagonist","NES","serotonin receptor antagonist",-0.26911,-0.939,0.484,257,0.772
"sodium channel blocker","NES","sodium channel blocker",-0.31174,-1.05,0.409,936,0.646
"src inhibitor","NES","src inhibitor",0.59717,1.99,0.0113,240,0.273
"topoisomerase inhibitor","NES","topoisomerase inhibitor",0.41236,1.3,0.205,255,0.588
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",-0.3564,-1.22,0.247,558,1
"tyrosine kinase inhibitor","NES","tyrosine kinase inhibitor",-0.23207,-0.803,0.666,220,0.874
"VEGFR inhibitor","NES","VEGFR inhibitor",0.54989,1.73,0.0341,276,0.189
