pair,moa_i,moa_j,ES_ij,NES_ij,p_ij,FDR_ij,sig_ij,score_ij,ES_ji,NES_ji,p_ji,FDR_ji,sig_ji,score_ji,N_sig,score_avg,score_sd,NES_avg,NES_sd,Fisher_p,self,percent_overlap,qc1_pass,qc_pass
EGFR inhibitor & EGFR inhibitor,EGFR inhibitor,EGFR inhibitor,0.38473,1.24,0.236,0.703,FALSE,0.189775397,0.38473,1.24,0.236,0.703,FALSE,0.189775397,0,0.189775397,0,1.24,0,0.216537524,TRUE,100,FALSE,FALSE
Abl kinase inhibitor & EGFR inhibitor,Abl kinase inhibitor,EGFR inhibitor,0.22058,0.718,0.761,0.931,FALSE,0.022294129,0.27918,0.887,0.557,0.772,FALSE,0.099683455,0,0.060988792,0.054722517,0.8025,0.119501046,0.787695699,FALSE,1.219512195,FALSE,FALSE
acetylcholine receptor antagonist & EGFR inhibitor,acetylcholine receptor antagonist,EGFR inhibitor,0.16434,0.511,0.934,0.97,FALSE,0.006759644,-0.19694,-0.667,0.818,0.849,FALSE,-0.047418571,0,-0.020329463,0.038309783,-0.078,0.832971788,0.969662472,FALSE,0,FALSE,FALSE
adenosine receptor antagonist & EGFR inhibitor,adenosine receptor antagonist,EGFR inhibitor,-0.13413,-0.464,0.965,0.992,FALSE,-0.001618584,-0.24231,-0.81,0.657,0.834,FALSE,-0.063855499,0,-0.032737042,0.044008145,-0.637,0.244658946,0.922920088,FALSE,0,FALSE,FALSE
adrenergic receptor agonist & EGFR inhibitor,adrenergic receptor agonist,EGFR inhibitor,-0.31497,-1.01,0.427,0.667,FALSE,-0.177632908,-0.42709,-1.41,0.141,0.473,FALSE,-0.458445792,0,-0.31803935,0.198564694,-1.21,0.282842712,0.229386662,FALSE,0,FALSE,FALSE
adrenergic receptor antagonist & EGFR inhibitor,adrenergic receptor antagonist,EGFR inhibitor,-0.4243,-1.39,0.159,0.374,FALSE,-0.593708473,-0.3577,-1.22,0.229,0.551,FALSE,-0.315795049,0,-0.454751761,0.196514466,-1.305,0.120208153,0.157036432,FALSE,0,FALSE,FALSE
AKT inhibitor & EGFR inhibitor,AKT inhibitor,EGFR inhibitor,0.2625,0.894,0.561,0.702,FALSE,0.137374622,0.15478,0.497,0.958,0.995,FALSE,0.001081929,0,0.069228275,0.096373487,0.6955,0.280721392,0.871155759,FALSE,0,FALSE,FALSE
ALK tyrosine kinase receptor inhibitor & EGFR inhibitor,ALK tyrosine kinase receptor inhibitor,EGFR inhibitor,0.25271,0.812,0.653,0.916,FALSE,0.030940875,0.31368,1.01,0.419,0.754,FALSE,0.123854941,0,0.077397908,0.065700166,0.911,0.140007143,0.628218775,FALSE,1.234567901,FALSE,FALSE
antioxidant & EGFR inhibitor,antioxidant,EGFR inhibitor,0.2644,0.88,0.562,0.696,FALSE,0.138503869,0.33644,1.06,0.391,0.73,FALSE,0.144877768,0,0.141690819,0.004507027,0.97,0.127279221,0.552717305,FALSE,0,FALSE,FALSE
ATPase inhibitor & EGFR inhibitor,ATPase inhibitor,EGFR inhibitor,0.38653,1.27,0.197,0.53,FALSE,0.350169646,0.47416,1.48,0.114,0.447,FALSE,0.517544866,0,0.433857256,0.118352153,1.375,0.148492424,0.107711002,FALSE,0,FALSE,FALSE
Aurora kinase inhibitor & EGFR inhibitor,Aurora kinase inhibitor,EGFR inhibitor,-0.20773,-0.654,0.824,0.937,FALSE,-0.018482308,-0.13616,-0.451,0.968,0.974,FALSE,-0.00515991,0,-0.011821109,0.009420357,-0.5525,0.143542677,0.977982929,FALSE,1.075268817,FALSE,FALSE
bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor,bacterial 50S ribosomal subunit inhibitor,EGFR inhibitor,-0.42535,-1.36,0.17,0.408,FALSE,-0.529502178,-0.4762,-1.6,0.0696,0.667,FALSE,-0.281398666,0,-0.405450422,0.175435676,-1.48,0.169705627,0.064329963,FALSE,0,FALSE,FALSE
bacterial DNA gyrase inhibitor & EGFR inhibitor,bacterial DNA gyrase inhibitor,EGFR inhibitor,-0.31826,-1.04,0.401,0.62,FALSE,-0.215912643,-0.47554,-1.59,0.0676,0.518,FALSE,-0.454215682,0,-0.335064162,0.168505695,-1.315,0.38890873,0.124910225,FALSE,0,FALSE,FALSE
BCL inhibitor & EGFR inhibitor,BCL inhibitor,EGFR inhibitor,0.33814,1.1,0.348,0.691,FALSE,0.176574148,0.40238,1.3,0.184,0.637,FALSE,0.254618738,0,0.215596443,0.055185859,1.2,0.141421356,0.240015776,FALSE,0,FALSE,FALSE
Bcr.Abl kinase inhibitor & EGFR inhibitor,Bcr.Abl kinase inhibitor,EGFR inhibitor,0.18083,0.599,0.873,1,FALSE,0,0.25418,0.821,0.641,0.826,FALSE,0.068159381,0,0.034079691,0.048195961,0.71,0.156977705,0.884462223,FALSE,0,FALSE,FALSE
benzodiazepine receptor agonist & EGFR inhibitor,benzodiazepine receptor agonist,EGFR inhibitor,-0.21061,-0.687,0.79,1,FALSE,0,-0.31178,-1.05,0.389,0.648,FALSE,-0.197846244,0,-0.098923122,0.139898421,-0.8685,0.256679762,0.669904537,FALSE,0,FALSE,FALSE
bromodomain inhibitor & EGFR inhibitor,bromodomain inhibitor,EGFR inhibitor,-0.14309,-0.47,0.977,0.967,FALSE,-0.006849557,-0.22164,-0.757,0.687,0.837,FALSE,-0.058496828,0,-0.032673193,0.036520136,-0.6135,0.202939646,0.93879907,FALSE,0,FALSE,FALSE
calcium channel blocker & EGFR inhibitor,calcium channel blocker,EGFR inhibitor,-0.12645,-0.426,0.969,0.979,FALSE,-0.003926573,0.20616,0.664,0.816,0.899,FALSE,0.030703565,0,0.013388496,0.024487205,0.119,0.770746391,0.976386278,FALSE,0,FALSE,FALSE
CDK inhibitor & EGFR inhibitor,CDK inhibitor,EGFR inhibitor,0.36762,1.22,0.261,0.607,FALSE,0.264509797,0.29407,0.943,0.529,0.73,FALSE,0.128886543,0,0.19669817,0.095900123,1.0815,0.195868578,0.411445857,FALSE,0,FALSE,FALSE
CHK inhibitor & EGFR inhibitor,CHK inhibitor,EGFR inhibitor,0.31911,1.06,0.366,0.565,FALSE,0.262828645,0.57247,1.85,0.0285,0.352,FALSE,0.838896073,0,0.550862359,0.407341184,1.455,0.558614357,0.058027373,FALSE,0,FALSE,FALSE
cyclooxygenase inhibitor & EGFR inhibitor,cyclooxygenase inhibitor,EGFR inhibitor,-0.33537,-1.1,0.346,0.568,FALSE,-0.270216831,-0.33644,-1.12,0.328,0.62,FALSE,-0.232521308,0,-0.251369069,0.02665476,-1.11,0.014142136,0.36044449,FALSE,0,FALSE,FALSE
DNA alkylating agent & EGFR inhibitor,DNA alkylating agent,EGFR inhibitor,-0.23299,-0.778,0.674,0.877,FALSE,-0.044346316,-0.30455,-1.02,0.413,0.586,FALSE,-0.236744432,0,-0.140545374,0.136046012,-0.899,0.171119841,0.634340471,FALSE,0,FALSE,FALSE
DNA inhibitor & EGFR inhibitor,DNA inhibitor,EGFR inhibitor,0.10713,0.329,0.998,0.998,FALSE,0.000286052,0.25172,0.817,0.646,0.808,FALSE,0.075644918,0,0.037965485,0.053286765,0.573,0.345068109,0.927707591,FALSE,0,FALSE,FALSE
DNA methyltransferase inhibitor & EGFR inhibitor,DNA methyltransferase inhibitor,EGFR inhibitor,0.28772,0.961,0.465,0.799,FALSE,0.093652545,0.37461,1.19,0.292,0.634,FALSE,0.235513783,0,0.164583164,0.100311043,1.0755,0.161927453,0.406894553,FALSE,0,FALSE,FALSE
DNA polymerase inhibitor & EGFR inhibitor,DNA polymerase inhibitor,EGFR inhibitor,-0.36216,-1.15,0.297,0.506,FALSE,-0.340226906,-0.403,-1.34,0.186,0.467,FALSE,-0.44311538,0,-0.391671143,0.072753138,-1.245,0.134350288,0.215224586,FALSE,0,FALSE,FALSE
DNA synthesis inhibitor & EGFR inhibitor,DNA synthesis inhibitor,EGFR inhibitor,0.27383,0.933,0.494,0.72,FALSE,0.133108781,0.32912,1.03,0.396,0.75,FALSE,0.128686899,0,0.13089784,0.003126743,0.9815,0.068589358,0.514796456,FALSE,0,FALSE,FALSE
