"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.69102,2.09,0.011,217,0.0944
"EGFR inhibitor","NES","Abl kinase inhibitor",-0.42256,-1.34,0.167,281,0.218
"EGFR inhibitor","NES","adenosine receptor antagonist",-0.24498,-0.766,0.716,660,0.773
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.59276,-1.86,0.0182,393,0.0971
"EGFR inhibitor","NES","antioxidant",0.33251,1.01,0.443,297,0.504
"EGFR inhibitor","NES","ATPase inhibitor",0.5463,1.64,0.067,106,0.104
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.48193,-1.53,0.0938,554,0.189
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.48754,-1.53,0.0831,536,0.189
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.42256,-1.37,0.151,281,0.247
"EGFR inhibitor","NES","bromodomain inhibitor",-0.22299,-0.691,0.783,532,0.8
"EGFR inhibitor","NES","CHK inhibitor",0.56777,1.72,0.034,294,0.111
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.68278,-2.21,0.00456,452,0.0402
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",0.37087,1.11,0.345,424,0.44
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.46246,-1.47,0.11,308,0.198
"EGFR inhibitor","NES","FGFR inhibitor",0.64157,1.92,0.0165,245,0.0932
"EGFR inhibitor","NES","FLT3 inhibitor",0.35074,1.05,0.419,307,0.483
"EGFR inhibitor","NES","glucocorticoid receptor agonist",-0.60182,-1.9,0.024,396,0.122
"EGFR inhibitor","NES","HDAC inhibitor",0.60959,1.79,0.0223,198,0.109
"EGFR inhibitor","NES","histamine receptor antagonist",-0.34789,-1.09,0.333,231,0.413
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",0.57368,1.69,0.0472,103,0.113
"EGFR inhibitor","NES","HSP inhibitor",0.65643,1.96,0.00548,161,0.11
"EGFR inhibitor","NES","KIT inhibitor",0.54758,1.68,0.0448,109,0.106
"EGFR inhibitor","NES","MET inhibitor",0.56331,1.64,0.0508,58,0.104
"EGFR inhibitor","NES","mTOR inhibitor",0.52831,1.58,0.0722,240,0.127
"EGFR inhibitor","NES","p38 MAPK inhibitor",0.38696,1.18,0.297,30,0.387
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.52755,1.57,0.0772,206,0.122
"EGFR inhibitor","NES","phosphatase inhibitor",0.24378,0.751,0.738,123,0.769
"EGFR inhibitor","NES","PI3K inhibitor",0.48635,1.46,0.104,102,0.174
"EGFR inhibitor","NES","PPAR receptor agonist",-0.53113,-1.66,0.0452,487,0.179
"EGFR inhibitor","NES","proteasome inhibitor",-0.43544,-1.35,0.157,290,0.235
"EGFR inhibitor","NES","src inhibitor",0.58496,1.76,0.0252,282,0.107
"EGFR inhibitor","NES","TGF beta receptor inhibitor",0.2637,0.792,0.695,141,0.755
"EGFR inhibitor","NES","topoisomerase inhibitor",0.24016,0.712,0.774,447,0.779
"EGFR inhibitor","NES","tyrosine kinase inhibitor",0.39728,1.2,0.255,408,0.389
"EGFR inhibitor","NES","VEGFR inhibitor",0.60892,1.82,0.0287,205,0.119
"Abl kinase inhibitor","NES","EGFR inhibitor",0.48706,1.46,0.107,351,0.179
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.52339,1.59,0.0761,109,0.142
"Abl kinase inhibitor","NES","adenosine receptor antagonist",-0.49789,-1.52,0.0956,627,0.109
"Abl kinase inhibitor","NES","adrenergic receptor agonist",-0.78733,-2.36,0,522,0.00389
"Abl kinase inhibitor","NES","antioxidant",0.37367,1.16,0.3,94,0.333
"Abl kinase inhibitor","NES","ATPase inhibitor",0.5747,1.73,0.0397,229,0.115
"Abl kinase inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.38999,-1.14,0.287,393,0.309
"Abl kinase inhibitor","NES","bacterial DNA gyrase inhibitor",-0.65916,-1.97,0.00565,439,0.0292
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.52339,1.59,0.0721,109,0.142
"Abl kinase inhibitor","NES","bromodomain inhibitor",-0.59686,-1.81,0.0385,540,0.0515
"Abl kinase inhibitor","NES","CHK inhibitor",0.5753,1.8,0.0244,289,0.0938
"Abl kinase inhibitor","NES","cyclooxygenase inhibitor",-0.66767,-1.99,0.00734,442,0.0352
"Abl kinase inhibitor","NES","DNA methyltransferase inhibitor",0.46368,1.42,0.15,48,0.18
"Abl kinase inhibitor","NES","dopamine receptor antagonist",-0.66066,-1.93,0.0148,440,0.0303
"Abl kinase inhibitor","NES","FGFR inhibitor",0.67922,2.04,0.00409,220,0.0307
"Abl kinase inhibitor","NES","FLT3 inhibitor",0.66968,2.06,0.00211,227,0.0418
"Abl kinase inhibitor","NES","glucocorticoid receptor agonist",-0.73202,-2.15,0.00192,593,0.0165
"Abl kinase inhibitor","NES","HDAC inhibitor",0.49011,1.46,0.126,349,0.179
