pair,moa_i,moa_j,ES_ij,NES_ij,p_ij,FDR_ij,sig_ij,score_ij,ES_ji,NES_ji,p_ji,FDR_ji,sig_ji,score_ji,N_sig,score_avg,score_sd,NES_avg,NES_sd,Fisher_p,self,percent_overlap,qc1_pass,qc_pass
EGFR inhibitor & EGFR inhibitor,EGFR inhibitor,EGFR inhibitor,0.69102,2.09,0.011,0.0944,TRUE,2.142308532,0.69102,2.09,0.011,0.0944,TRUE,2.142308532,2,2.142308532,0,2.09,0,0.001212386,TRUE,100,TRUE,TRUE
Abl kinase inhibitor & EGFR inhibitor,Abl kinase inhibitor,EGFR inhibitor,0.48706,1.46,0.107,0.179,FALSE,1.090834575,-0.42256,-1.34,0.167,0.218,FALSE,-0.886468299,0,0.102183138,1.39816427,0.06,1.979898987,0.089786148,FALSE,1.219512195,FALSE,FALSE
acetylcholine receptor antagonist & EGFR inhibitor,acetylcholine receptor antagonist,EGFR inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE
adenosine receptor antagonist & EGFR inhibitor,adenosine receptor antagonist,EGFR inhibitor,-0.27043,-0.831,0.629,0.633,FALSE,-0.165033517,-0.24498,-0.766,0.716,0.773,FALSE,-0.085654508,0,-0.125344012,0.056129436,-0.7985,0.045961941,0.809618973,FALSE,0,FALSE,FALSE
adrenergic receptor agonist & EGFR inhibitor,adrenergic receptor agonist,EGFR inhibitor,-0.57534,-1.75,0.0289,0.0651,TRUE,-2.07623327,-0.59276,-1.86,0.0182,0.0971,TRUE,-1.883772232,2,-1.980002751,0.136090505,-1.805,0.077781746,0.004497259,FALSE,0,TRUE,TRUE
adrenergic receptor antagonist & EGFR inhibitor,adrenergic receptor antagonist,EGFR inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE
AKT inhibitor & EGFR inhibitor,AKT inhibitor,EGFR inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE
ALK tyrosine kinase receptor inhibitor & EGFR inhibitor,ALK tyrosine kinase receptor inhibitor,EGFR inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.234567901,FALSE,FALSE
antioxidant & EGFR inhibitor,antioxidant,EGFR inhibitor,0.46304,1.43,0.123,0.206,FALSE,0.981169875,0.33251,1.01,0.443,0.504,FALSE,0.300545158,0,0.640857517,0.481274353,1.22,0.296984848,0.213038718,FALSE,0,FALSE,FALSE
ATPase inhibitor & EGFR inhibitor,ATPase inhibitor,EGFR inhibitor,0.63059,1.95,0.011,0.0257,TRUE,3.10063041,0.5463,1.64,0.067,0.104,FALSE,1.612065324,1,2.356347867,1.052574467,1.795,0.219203102,0.006052924,FALSE,0,TRUE,FALSE
Aurora kinase inhibitor & EGFR inhibitor,Aurora kinase inhibitor,EGFR inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.075268817,FALSE,FALSE
bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor,bacterial 50S ribosomal subunit inhibitor,EGFR inhibitor,-0.67251,-2.05,0.00578,0.0343,TRUE,-3.002647054,-0.48193,-1.53,0.0938,0.189,FALSE,-1.10701344,1,-2.054830247,1.340415383,-1.79,0.367695526,0.004619206,FALSE,0,FALSE,FALSE
bacterial DNA gyrase inhibitor & EGFR inhibitor,bacterial DNA gyrase inhibitor,EGFR inhibitor,-0.55031,-1.72,0.0336,0.0765,TRUE,-1.920102332,-0.48754,-1.53,0.0831,0.189,FALSE,-1.10701344,1,-1.513557886,0.574940669,-1.625,0.134350288,0.019212685,FALSE,0,FALSE,FALSE
BCL inhibitor & EGFR inhibitor,BCL inhibitor,EGFR inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE
Bcr.Abl kinase inhibitor & EGFR inhibitor,Bcr.Abl kinase inhibitor,EGFR inhibitor,0.48402,1.48,0.11,0.171,FALSE,1.135165757,-0.42256,-1.37,0.151,0.247,FALSE,-0.832005174,0,0.151580291,1.390999905,0.055,2.015254326,0.084673633,FALSE,0,FALSE,FALSE
benzodiazepine receptor agonist & EGFR inhibitor,benzodiazepine receptor agonist,EGFR inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE
bromodomain inhibitor & EGFR inhibitor,bromodomain inhibitor,EGFR inhibitor,-0.41875,-1.32,0.175,0.255,FALSE,-0.783366962,-0.22299,-0.691,0.783,0.8,FALSE,-0.066964819,0,-0.42516589,0.506572813,-1.0055,0.444770165,0.409374778,FALSE,0,FALSE,FALSE
calcium channel blocker & EGFR inhibitor,calcium channel blocker,EGFR inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE
CDK inhibitor & EGFR inhibitor,CDK inhibitor,EGFR inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE
CHK inhibitor & EGFR inhibitor,CHK inhibitor,EGFR inhibitor,0.58143,1.75,0.0428,0.0612,TRUE,2.123185011,0.56777,1.72,0.034,0.111,TRUE,1.642044476,2,1.882614744,0.340217735,1.735,0.021213203,0.010961457,FALSE,0,TRUE,TRUE
cyclooxygenase inhibitor & EGFR inhibitor,cyclooxygenase inhibitor,EGFR inhibitor,-0.58907,-1.74,0.0281,0.06,TRUE,-2.126016824,-0.68278,-2.21,0.00456,0.0402,TRUE,-3.084660423,2,-2.605338624,0.677863389,-1.975,0.332340187,0.001276544,FALSE,0,TRUE,TRUE
DNA alkylating agent & EGFR inhibitor,DNA alkylating agent,EGFR inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE
DNA inhibitor & EGFR inhibitor,DNA inhibitor,EGFR inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE
DNA methyltransferase inhibitor & EGFR inhibitor,DNA methyltransferase inhibitor,EGFR inhibitor,0.57515,1.83,0.0305,0.592,FALSE,0.416651277,0.37087,1.11,0.345,0.44,FALSE,0.395767529,0,0.406209403,0.01476704,1.47,0.509116882,0.058444485,FALSE,0,FALSE,FALSE
DNA polymerase inhibitor & EGFR inhibitor,DNA polymerase inhibitor,EGFR inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE
