"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.72346,2.3,0.00258,249,0.0708
"EGFR inhibitor","NES","Abl kinase inhibitor",0.36231,1.21,0.261,463,0.512
"EGFR inhibitor","NES","acetylcholine receptor agonist",-0.43684,-1.38,0.18,913,0.77
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.52558,-1.62,0.0604,1001,1
"EGFR inhibitor","NES","adenosine receptor antagonist",-0.27951,-0.86,0.61,945,0.848
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.45246,-1.4,0.14,1037,0.899
"EGFR inhibitor","NES","adrenergic receptor antagonist",-0.35922,-1.08,0.342,1178,0.813
"EGFR inhibitor","NES","AKT inhibitor",0.28227,0.899,0.549,519,0.754
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.47083,1.49,0.133,170,0.488
"EGFR inhibitor","NES","androgen receptor antagonist",0.38273,1.24,0.226,421,0.577
"EGFR inhibitor","NES","antioxidant",-0.32537,-1.02,0.415,1129,0.808
"EGFR inhibitor","NES","AP inhibitor",0.53393,1.71,0.0475,631,0.394
"EGFR inhibitor","NES","ATPase inhibitor",-0.43265,-1.33,0.169,1133,0.831
"EGFR inhibitor","NES","Aurora kinase inhibitor",0.3714,1.2,0.242,458,0.496
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.43042,1.41,0.134,218,0.491
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",0.46933,1.55,0.107,191,0.473
"EGFR inhibitor","NES","BCL inhibitor",-0.31025,-0.972,0.462,1121,0.815
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.27664,0.885,0.54,463,0.747
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.4866,-1.52,0.0903,1278,0.929
"EGFR inhibitor","NES","bromodomain inhibitor",0.71061,2.26,0.00512,184,0.0447
"EGFR inhibitor","NES","calcium channel blocker",-0.49884,-1.53,0.0842,1029,1
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.36369,-1.13,0.347,1215,0.781
"EGFR inhibitor","NES","CDK inhibitor",-0.26265,-0.812,0.652,1222,0.882
"EGFR inhibitor","NES","CHK inhibitor",-0.2954,-0.901,0.526,1046,0.822
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.20951,-0.644,0.879,845,0.903
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.37711,-1.19,0.258,1172,0.819
"EGFR inhibitor","NES","DNA alkylating agent",-0.31005,-0.926,0.526,1214,0.823
"EGFR inhibitor","NES","DNA inhibitor",-0.23133,-0.71,0.785,1009,0.923
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",0.53542,1.74,0.0391,629,0.466
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.33264,-1,0.429,923,0.79
"EGFR inhibitor","NES","DNA synthesis inhibitor",-0.31506,-0.956,0.5,1173,0.818
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.15564,-0.481,0.954,207,0.986
"EGFR inhibitor","NES","estrogen receptor agonist",0.19343,0.632,0.855,1088,0.888
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.39146,-1.21,0.249,1195,0.878
"EGFR inhibitor","NES","FGFR inhibitor",-0.2214,-0.689,0.805,1323,0.909
"EGFR inhibitor","NES","FLT3 inhibitor",-0.23537,-0.724,0.787,1097,0.925
"EGFR inhibitor","NES","glucocorticoid receptor agonist",-0.3409,-1.04,0.401,830,0.828
"EGFR inhibitor","NES","glutamate receptor antagonist",-0.30984,-0.954,0.476,1074,0.796
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",-0.39105,-1.17,0.264,1006,0.735
"EGFR inhibitor","NES","growth factor receptor inhibitor",0.41355,1.32,0.177,536,0.534
"EGFR inhibitor","NES","HCV inhibitor",-0.39735,-1.23,0.243,971,0.886
"EGFR inhibitor","NES","HDAC inhibitor",-0.2496,-0.786,0.673,1010,0.901
"EGFR inhibitor","NES","histamine receptor antagonist",-0.34496,-1.06,0.379,1170,0.821
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",-0.54693,-1.69,0.0428,1272,1
"EGFR inhibitor","NES","HMGCR inhibitor",0.29157,0.954,0.475,956,0.721
"EGFR inhibitor","NES","HSP inhibitor",0.40319,1.28,0.231,386,0.555
"EGFR inhibitor","NES","JAK inhibitor",-0.27783,-0.824,0.654,916,0.886
"EGFR inhibitor","NES","KIT inhibitor",-0.1807,-0.562,0.909,1256,0.957
"EGFR inhibitor","NES","MDM inhibitor",-0.64805,-2.04,0,979,0.359
"EGFR inhibitor","NES","MEK inhibitor",0.37932,1.21,0.273,128,0.512
"EGFR inhibitor","NES","MET inhibitor",-0.38315,-1.19,0.269,1134,0.819
"EGFR inhibitor","NES","microtubule inhibitor",0.32905,1.08,0.359,389,0.613
"EGFR inhibitor","NES","mTOR inhibitor",0.10284,0.34,1,445,0.998
"EGFR inhibitor","NES","NFkB pathway inhibitor",-0.32654,-1.01,0.436,1073,0.798
"EGFR inhibitor","NES","opioid receptor agonist",-0.40865,-1.27,0.199,548,0.849
"EGFR inhibitor","NES","p38 MAPK inhibitor",-0.42306,-1.32,0.185,1021,0.786
"EGFR inhibitor","NES","PARP inhibitor",0.19294,0.638,0.849,166,0.911
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.095166,-0.299,1,126,0.999
"EGFR inhibitor","NES","phosphatase inhibitor",-0.36767,-1.12,0.342,751,0.764
"EGFR inhibitor","NES","phosphodiesterase inhibitor",-0.38241,-1.17,0.264,844,0.735
"EGFR inhibitor","NES","PI3K inhibitor",0.26844,0.858,0.605,181,0.759
"EGFR inhibitor","NES","PLK inhibitor",0.44757,1.46,0.103,483,0.472
"EGFR inhibitor","NES","potassium channel blocker",-0.45997,-1.39,0.147,1069,0.828
"EGFR inhibitor","NES","PPAR receptor agonist",-0.21475,-0.645,0.83,1067,0.92
"EGFR inhibitor","NES","progesterone receptor agonist",-0.504,-1.51,0.0998,1109,0.809
"EGFR inhibitor","NES","proteasome inhibitor",-0.24944,-0.772,0.703,334,0.901
"EGFR inhibitor","NES","protein synthesis inhibitor",0.22256,0.708,0.76,1051,0.919
"EGFR inhibitor","NES","protein tyrosine kinase inhibitor",0.28609,0.932,0.487,314,0.727
"EGFR inhibitor","NES","RAF inhibitor",0.21691,0.707,0.799,319,0.859
"EGFR inhibitor","NES","RET tyrosine kinase inhibitor",0.32692,1.05,0.395,114,0.6
"EGFR inhibitor","NES","retinoid receptor agonist",0.35207,1.15,0.298,506,0.538
"EGFR inhibitor","NES","ribonucleotide reductase inhibitor",0.21541,0.717,0.737,1059,0.941
"EGFR inhibitor","NES","serotonin receptor agonist",-0.30017,-0.918,0.545,1056,0.814
"EGFR inhibitor","NES","serotonin receptor antagonist",-0.23276,-0.707,0.793,965,0.907
"EGFR inhibitor","NES","sodium channel blocker",-0.29264,-0.891,0.556,706,0.816
"EGFR inhibitor","NES","src inhibitor",0.42856,1.4,0.141,433,0.457
"EGFR inhibitor","NES","sterol demethylase inhibitor",-0.21347,-0.66,0.839,877,0.923
"EGFR inhibitor","NES","SYK inhibitor",-0.46411,-1.4,0.131,1265,0.899
"EGFR inhibitor","NES","TGF beta receptor inhibitor",0.37999,1.23,0.246,68,0.552
"EGFR inhibitor","NES","thymidylate synthase inhibitor",-0.33855,-1.03,0.407,454,0.817
"EGFR inhibitor","NES","topoisomerase inhibitor",0.224,0.707,0.781,303,0.859
"EGFR inhibitor","NES","tubulin polymerization inhibitor",0.524,1.66,0.0571,444,0.386
"EGFR inhibitor","NES","tyrosine kinase inhibitor",-0.23475,-0.745,0.746,1097,0.917
"EGFR inhibitor","NES","VEGFR inhibitor",0.33502,1.07,0.365,153,0.598
"EGFR inhibitor","NES","vitamin D receptor agonist",-0.3893,-1.18,0.283,1343,0.796
"Abl kinase inhibitor","NES","EGFR inhibitor",0.33494,1.16,0.294,537,0.564
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.35225,1.23,0.237,231,0.555
"Abl kinase inhibitor","NES","acetylcholine receptor agonist",-0.25447,-0.872,0.582,1330,0.815
"Abl kinase inhibitor","NES","acetylcholine receptor antagonist",-0.4683,-1.63,0.0699,1004,0.231
"Abl kinase inhibitor","NES","adenosine receptor antagonist",-0.23627,-0.802,0.647,913,0.808
"Abl kinase inhibitor","NES","adrenergic receptor agonist",-0.17889,-0.62,0.865,469,0.908
"Abl kinase inhibitor","NES","adrenergic receptor antagonist",-0.20513,-0.699,0.762,977,0.898
"Abl kinase inhibitor","NES","AKT inhibitor",0.48051,1.66,0.0537,298,0.33
"Abl kinase inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.52089,1.78,0.0317,170,0.455
"Abl kinase inhibitor","NES","androgen receptor antagonist",-0.43196,-1.53,0.0967,1152,0.298
"Abl kinase inhibitor","NES","antioxidant",-0.40418,-1.37,0.173,542,0.4
"Abl kinase inhibitor","NES","AP inhibitor",0.68205,2.29,0.00424,284,0.0689
"Abl kinase inhibitor","NES","ATPase inhibitor",0.2446,0.842,0.624,830,0.814
"Abl kinase inhibitor","NES","Aurora kinase inhibitor",0.48358,1.66,0.0693,463,0.33
"Abl kinase inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.44658,1.58,0.0747,134,0.326
"Abl kinase inhibitor","NES","bacterial DNA gyrase inhibitor",-0.39447,-1.36,0.177,1135,0.387
"Abl kinase inhibitor","NES","BCL inhibitor",0.33245,1.11,0.324,407,0.556
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.32279,1.14,0.309,231,0.571
"Abl kinase inhibitor","NES","benzodiazepine receptor agonist",-0.28036,-0.993,0.445,374,0.776
"Abl kinase inhibitor","NES","bromodomain inhibitor",0.30636,1.04,0.375,672,0.597
"Abl kinase inhibitor","NES","calcium channel blocker",-0.1867,-0.637,0.838,988,0.915
"Abl kinase inhibitor","NES","CC chemokine receptor antagonist",0.33961,1.17,0.258,598,0.573
"Abl kinase inhibitor","NES","CDK inhibitor",0.46372,1.58,0.0664,488,0.326
"Abl kinase inhibitor","NES","CHK inhibitor",0.36691,1.25,0.224,89,0.551
"Abl kinase inhibitor","NES","cyclooxygenase inhibitor",-0.25787,-0.9,0.522,1029,0.833
"Abl kinase inhibitor","NES","cytochrome P450 inhibitor",0.36712,1.22,0.253,250,0.545
"Abl kinase inhibitor","NES","DNA alkylating agent",-0.24576,-0.823,0.612,1182,0.805
"Abl kinase inhibitor","NES","DNA inhibitor",-0.38224,-1.34,0.184,950,0.366
"Abl kinase inhibitor","NES","DNA methyltransferase inhibitor",0.3337,1.17,0.288,521,0.573
"Abl kinase inhibitor","NES","DNA polymerase inhibitor",0.30464,1.02,0.421,536,0.604
"Abl kinase inhibitor","NES","DNA synthesis inhibitor",-0.26434,-0.93,0.505,866,0.85
"Abl kinase inhibitor","NES","dopamine receptor antagonist",-0.50118,-1.74,0.0546,926,0.245
"Abl kinase inhibitor","NES","estrogen receptor agonist",-0.48823,-1.67,0.0506,1247,0.246
"Abl kinase inhibitor","NES","estrogen receptor antagonist",-0.58176,-1.98,0.0206,1094,0.155
"Abl kinase inhibitor","NES","FGFR inhibitor",0.1453,0.509,0.934,968,0.961
"Abl kinase inhibitor","NES","FLT3 inhibitor",0.4488,1.52,0.102,520,0.371
"Abl kinase inhibitor","NES","glucocorticoid receptor agonist",-0.16175,-0.552,0.929,214,0.916
"Abl kinase inhibitor","NES","glutamate receptor antagonist",-0.56366,-1.89,0.0247,994,0.187
"Abl kinase inhibitor","NES","glycogen synthase kinase inhibitor",-0.22812,-0.788,0.679,1224,0.802
"Abl kinase inhibitor","NES","growth factor receptor inhibitor",0.50988,1.76,0.0394,447,0.396
"Abl kinase inhibitor","NES","HCV inhibitor",-0.2923,-0.996,0.44,1016,0.808
"Abl kinase inhibitor","NES","HDAC inhibitor",0.31675,1.07,0.381,280,0.572
"Abl kinase inhibitor","NES","histamine receptor antagonist",-0.18778,-0.649,0.835,1104,0.93
"Abl kinase inhibitor","NES","histone lysine methyltransferase inhibitor",0.36375,1.28,0.228,363,0.598
"Abl kinase inhibitor","NES","HMGCR inhibitor",0.3311,1.13,0.315,903,0.566
"Abl kinase inhibitor","NES","HSP inhibitor",0.50424,1.69,0.0484,344,0.372
"Abl kinase inhibitor","NES","JAK inhibitor",0.22149,0.733,0.74,548,0.883
"Abl kinase inhibitor","NES","KIT inhibitor",0.19711,0.671,0.798,24,0.898
"Abl kinase inhibitor","NES","MDM inhibitor",-0.74049,-2.63,0,1320,0.00871
"Abl kinase inhibitor","NES","MEK inhibitor",0.1808,0.615,0.867,442,0.938
"Abl kinase inhibitor","NES","MET inhibitor",-0.24375,-0.84,0.599,1343,0.808
"Abl kinase inhibitor","NES","microtubule inhibitor",0.41444,1.37,0.166,290,0.486
"Abl kinase inhibitor","NES","mTOR inhibitor",0.13999,0.471,0.968,577,0.962
"Abl kinase inhibitor","NES","NFkB pathway inhibitor",-0.26133,-0.886,0.572,1325,0.824
"Abl kinase inhibitor","NES","opioid receptor agonist",-0.1731,-0.612,0.849,1053,0.89
"Abl kinase inhibitor","NES","p38 MAPK inhibitor",-0.39111,-1.35,0.166,1034,0.375
"Abl kinase inhibitor","NES","PARP inhibitor",0.16094,0.569,0.907,230,0.939
"Abl kinase inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.22649,0.764,0.696,453,0.861
"Abl kinase inhibitor","NES","phosphatase inhibitor",0.31264,1.07,0.36,929,0.572
"Abl kinase inhibitor","NES","phosphodiesterase inhibitor",0.21049,0.713,0.754,616,0.888
