"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.674563","Pearson.est","AKT inhibitor",-0.3423,-1.04,0.372,1312,0.723,TRUE,FALSE,"AKT inhibitor"
"A.803467","Pearson.est","sodium channel blocker",-0.33888,-0.965,0.423,1247,0.899,TRUE,FALSE,"sodium channel blocker"
"A61603","Pearson.est","adrenergic receptor agonist",0.3878,0.964,0.511,109,0.913,TRUE,FALSE,"adrenergic receptor agonist"
"ABT.737","Pearson.est","BCL inhibitor",0.26515,0.648,0.899,301,0.962,TRUE,FALSE,"BCL inhibitor"
"ACDPP","Pearson.est","glutamate receptor antagonist",0.32785,0.833,0.674,229,0.968,TRUE,FALSE,"glutamate receptor antagonist"
"ACY.1215","Pearson.est","HDAC inhibitor",-0.27071,-0.733,0.735,1065,0.839,TRUE,FALSE,"HDAC inhibitor"
"AEE788","Pearson.est","EGFR inhibitor",0.29968,0.731,0.78,477,0.961,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AEE788","Pearson.est","VEGFR inhibitor",0.38852,0.96,0.498,285,1,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AG.14361","Pearson.est","PARP inhibitor",0.25109,0.648,0.87,387,1,TRUE,FALSE,"PARP inhibitor"
"AM.404","Pearson.est","cyclooxygenase inhibitor",0.27262,0.656,0.899,462,1,TRUE,FALSE,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"
"AMG.208","Pearson.est","tyrosine kinase inhibitor",0.32832,0.801,0.701,248,0.896,TRUE,FALSE,"tyrosine kinase inhibitor"
"AMG458","Pearson.est","MET inhibitor",-0.59368,-1.72,0.0482,1065,0.343,TRUE,FALSE,"MET inhibitor"
"AT.7519","Pearson.est","CDK inhibitor",0.26399,0.657,0.876,317,0.926,TRUE,FALSE,"CDK inhibitor"
"AV.412","Pearson.est","protein tyrosine kinase inhibitor",0.31751,0.803,0.685,326,0.847,TRUE,FALSE,"protein tyrosine kinase inhibitor"
"AZ.628","Pearson.est","RAF inhibitor",0.2999,0.758,0.774,322,0.94,TRUE,FALSE,"RAF inhibitor"
"AZ960","Pearson.est","JAK inhibitor",0.16842,0.417,0.998,125,0.995,TRUE,FALSE,"JAK inhibitor"
"AZD2461","Pearson.est","PARP inhibitor",-0.35075,-0.977,0.442,470,0.98,TRUE,FALSE,"PARP inhibitor"
"AZD4547","Pearson.est","FGFR inhibitor",-0.22504,-0.577,0.948,793,1,TRUE,FALSE,"FGFR inhibitor"
"AZD6482","Pearson.est","PI3K inhibitor",0.33085,0.78,0.743,704,1,TRUE,FALSE,"PI3K inhibitor"
"BAY.11.7082","Pearson.est","NFkB pathway inhibitor",-0.24315,-0.642,0.869,1024,0.907,TRUE,FALSE,"NFkB pathway inhibitor"
"BAY.11.7085","Pearson.est","NFkB pathway inhibitor",0.36583,0.92,0.563,312,0.857,TRUE,FALSE,"NFkB pathway inhibitor"
"BF2.649","Pearson.est","histamine receptor antagonist",0.35999,0.896,0.598,300,0.863,TRUE,FALSE,"histamine receptor antagonist"
"BIBX.1382","Pearson.est","EGFR inhibitor",0.33238,0.824,0.709,448,0.928,TRUE,FALSE,"EGFR inhibitor"
"BIX.02188","Pearson.est","MEK inhibitor",0.37109,0.908,0.553,141,0.767,TRUE,FALSE,"MEK inhibitor"
"BMS.599626","Pearson.est","protein tyrosine kinase inhibitor",0.3305,0.818,0.67,285,0.843,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"BMS.690514","Pearson.est","VEGFR inhibitor",0.35777,0.898,0.556,372,1,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"CB.10.277","Pearson.est","DNA synthesis inhibitor",0.23746,0.594,0.918,482,1,TRUE,FALSE,"DNA synthesis inhibitor"
"CCT128930","Pearson.est","AKT inhibitor",-0.35499,-1.04,0.429,1272,0.688,TRUE,FALSE,"AKT inhibitor"
"CCT129202","Pearson.est","Aurora kinase inhibitor",0.22997,0.573,0.94,629,1,TRUE,FALSE,"Aurora kinase inhibitor"
"CD.437","Pearson.est","retinoid receptor agonist",0.37436,0.966,0.486,17,0.877,TRUE,FALSE,"retinoid receptor agonist"
"CEP.32496","Pearson.est","RAF inhibitor",0.36828,0.923,0.546,480,0.82,TRUE,FALSE,"RAF inhibitor"
"CGP.52411","Pearson.est","EGFR inhibitor",-0.1352,-0.331,0.999,642,1,TRUE,FALSE,"EGFR inhibitor"
"CGS.15943","Pearson.est","adenosine receptor antagonist",0.19063,0.474,0.981,445,1,TRUE,FALSE,"adenosine receptor antagonist"
"CGS.20625","Pearson.est","benzodiazepine receptor agonist",-0.40109,-1.07,0.364,1014,0.655,TRUE,FALSE,"benzodiazepine receptor agonist, GABA benzodiazepine site receptor partial agonist"
"CH5132799","Pearson.est","PI3K inhibitor",0.37163,0.93,0.558,380,0.922,TRUE,FALSE,"PI3K inhibitor"
"CP.724714","Pearson.est","EGFR inhibitor",0.34306,0.912,0.526,325,0.906,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"CP.724714","Pearson.est","protein tyrosine kinase inhibitor",0.31855,0.837,0.639,68,0.828,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"CR8..R.","Pearson.est","CDK inhibitor",-0.4413,-1.25,0.193,963,0.524,TRUE,FALSE,"CDK inhibitor"
"CUDC.101","Pearson.est","EGFR inhibitor",0.19053,0.529,0.972,292,1,TRUE,FALSE,"EGFR inhibitor"
"CYC116","Pearson.est","Aurora kinase inhibitor",-0.22084,-0.569,0.941,914,0.957,TRUE,FALSE,"Aurora kinase inhibitor"
"DMH1","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.58345,-1.53,0.084,1006,0.587,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"E7449","Pearson.est","PARP inhibitor",-0.54568,-1.52,0.0641,1209,0.445,TRUE,FALSE,"PARP inhibitor"
"EMD.53998","Pearson.est","phosphodiesterase inhibitor",0.15057,0.37,1,197,0.999,TRUE,FALSE,"phosphodiesterase inhibitor"
"ENMD.2076","Pearson.est","VEGFR inhibitor",0.29878,0.755,0.75,290,0.943,TRUE,FALSE,"Aurora kinase inhibitor, FLT3 inhibitor, VEGFR inhibitor"
"FERb.033","Pearson.est","EGFR inhibitor",-0.29022,-0.793,0.709,1007,0.871,TRUE,FALSE,"EGFR inhibitor"
"FK.3311","Pearson.est","cyclooxygenase inhibitor",0.27109,0.654,0.891,102,1,TRUE,FALSE,"cyclooxygenase inhibitor"
"FR.122047","Pearson.est","cyclooxygenase inhibitor",0.38367,0.946,0.535,579,0.797,TRUE,FALSE,"cyclooxygenase inhibitor"
"GDC.0068","Pearson.est","AKT inhibitor",0.32315,0.834,0.665,122,0.869,TRUE,FALSE,"AKT inhibitor"
"GDC.0879","Pearson.est","RAF inhibitor",0.3931,0.956,0.525,263,1,TRUE,FALSE,"RAF inhibitor"
"GDC.0941","Pearson.est","PI3K inhibitor",0.26541,0.648,0.89,175,0.988,TRUE,FALSE,"PI3K inhibitor"
"GDC.0980","Pearson.est","mTOR inhibitor",0.30171,0.805,0.677,252,0.788,TRUE,FALSE,"mTOR inhibitor, PI3K inhibitor"
"GDC.0980","Pearson.est","PI3K inhibitor",0.3263,0.864,0.585,123,0.766,TRUE,FALSE,"mTOR inhibitor, PI3K inhibitor"
"GSK.3.inhibitor.IX","Pearson.est","glycogen synthase kinase inhibitor",-0.21529,-0.619,0.894,1305,0.945,TRUE,FALSE,"glycogen synthase kinase inhibitor, lipoxygenase inhibitor"
"GSK2110183","Pearson.est","AKT inhibitor",0.28146,0.839,0.626,119,0.857,TRUE,FALSE,"AKT inhibitor"
"GSK2126458","Pearson.est","mTOR inhibitor",0.19885,0.479,0.993,552,0.986,TRUE,FALSE,"mTOR inhibitor, PI3K inhibitor"
"GSK2126458","Pearson.est","PI3K inhibitor",0.33793,0.807,0.742,696,0.988,TRUE,FALSE,"mTOR inhibitor, PI3K inhibitor"
"GTP.14564","Pearson.est","FLT3 inhibitor",-0.49104,-1.49,0.0729,1246,0.36,TRUE,FALSE,"FLT3 inhibitor, tyrosine kinase inhibitor"
"GTP.14564","Pearson.est","tyrosine kinase inhibitor",-0.46689,-1.39,0.101,1166,0.372,TRUE,FALSE,"FLT3 inhibitor, tyrosine kinase inhibitor"
"GW.441756","Pearson.est","growth factor receptor inhibitor",-0.6977,-1.84,0.0241,1140,0.43,TRUE,FALSE,"growth factor receptor inhibitor"
"GW.501516","Pearson.est","PPAR receptor agonist",0.26902,0.69,0.845,114,0.947,TRUE,FALSE,"PPAR receptor agonist"
"GW.788388","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.34176,0.916,0.527,199,0.956,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"HA14.1","Pearson.est","BCL inhibitor",-0.33652,-1.01,0.398,1178,0.747,TRUE,FALSE,"BCL inhibitor"
"ICI.162846","Pearson.est","histamine receptor antagonist",0.30375,0.757,0.755,77,0.864,TRUE,FALSE,"histamine receptor antagonist"
"IKK.2.inhibitor.V","Pearson.est","NFkB pathway inhibitor",0.27249,0.663,0.853,387,1,TRUE,FALSE,"IKK inhibitor, NFkB pathway inhibitor"
"JNJ.16259685","Pearson.est","glutamate receptor antagonist",-0.36857,-1.02,0.409,1255,0.943,TRUE,FALSE,"glutamate receptor antagonist"
"JNJ.7706621","Pearson.est","CDK inhibitor",0.26837,0.682,0.858,473,0.96,TRUE,FALSE,"CDK inhibitor"
"KI.8751","Pearson.est","KIT inhibitor",-0.34254,-0.857,0.64,1020,0.954,TRUE,FALSE,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"KI.8751","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",-0.27309,-0.672,0.858,1194,0.994,TRUE,FALSE,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"KI.8751","Pearson.est","VEGFR inhibitor",-0.22294,-0.558,0.951,967,0.948,TRUE,FALSE,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"LE.135","Pearson.est","retinoid receptor agonist",-0.61716,-1.73,0.0375,1280,0.304,TRUE,FALSE,"retinoid receptor agonist"
"LY2090314","Pearson.est","glycogen synthase kinase inhibitor",0.3562,0.911,0.55,270,0.929,TRUE,FALSE,"glycogen synthase kinase inhibitor"
