"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.72346,2.3,0.00258,249,0.0708
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.35225,1.23,0.237,231,0.555
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",0.22111,0.735,0.726,271,1
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",0.38944,1.3,0.191,662,0.865
"adenosine receptor antagonist","NES","adenosine receptor antagonist",0.33563,1.13,0.301,115,0.709
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.42738,1.44,0.128,604,0.601
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",0.27513,0.918,0.517,424,0.944
"AKT inhibitor","NES","AKT inhibitor",0.34548,1.18,0.27,649,0.597
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.2971,1.06,0.383,185,0.53
"androgen receptor antagonist","NES","androgen receptor antagonist",0.41652,1.39,0.14,139,0.648
"antioxidant","NES","antioxidant",0.61223,2.13,0.00647,526,0.321
"AP inhibitor","NES","AP inhibitor",0.57196,1.99,0.00941,580,0.251
"ATPase inhibitor","NES","ATPase inhibitor",0.44075,1.47,0.111,403,1
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.62138,1.98,0.00635,258,0.0985
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.26604,0.914,0.543,241,1
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",0.35817,1.18,0.284,115,0.666
"BCL inhibitor","NES","BCL inhibitor",0.33419,1.17,0.294,255,0.771
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.33043,1.16,0.295,214,0.618
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.41377,1.39,0.133,208,0.717
"bromodomain inhibitor","NES","bromodomain inhibitor",0.70619,2.39,0.003,400,0.041
"calcium channel blocker","NES","calcium channel blocker",0.24697,0.843,0.611,215,0.848
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",0.24465,0.819,0.648,195,1
"CDK inhibitor","NES","CDK inhibitor",0.53319,1.79,0.0315,242,0.396
"CHK inhibitor","NES","CHK inhibitor",0.57647,1.96,0.0253,306,0.198
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.11651,0.403,0.989,124,0.984
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",-0.34632,-1.19,0.272,1089,0.808
"DNA alkylating agent","NES","DNA alkylating agent",0.23973,0.81,0.652,707,1
"DNA inhibitor","NES","DNA inhibitor",0.39233,1.28,0.207,128,0.604
