"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.72346,2.3,0.00258,0.0708,TRUE,2.64492350731353,0.72346,2.3,0.00258,0.0708,TRUE,2.64492350731353,2,2.64492350731353,0,2.3,0,8.60002337679111e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.33494,1.16,0.294,0.564,FALSE,0.288516239379323,0.36231,1.21,0.261,0.512,FALSE,0.351783347219245,0,0.320149793299284,0.0447366009796693,1.185,0.0353553390593274,0.273741668352365,FALSE,1.21951219512195,"FALSE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",-0.44766,-1.65,0.0678,0.43,FALSE,-0.604777048293682,-0.43684,-1.38,0.18,0.77,FALSE,-0.156642799261975,0,-0.380709923777829,0.316878766372261,-1.515,0.190918830920368,0.0659747204140066,FALSE,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",-0.36892,-1.35,0.19,0.54,FALSE,-0.361268424238992,-0.52558,-1.62,0.0604,1,FALSE,0,0,-0.180634212119496,0.25545535260797,-1.485,0.190918830920368,0.062744999942784,FALSE,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",-0.12026,-0.408,0.983,0.984,FALSE,-0.00285799984001266,-0.27951,-0.86,0.61,0.848,FALSE,-0.0615795670592261,0,-0.0322187834496194,0.0415224183826075,-0.634,0.31961226509632,0.90630625467201,FALSE,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.59571,-2.19,0.00826,0.168,TRUE,-1.69657267302036,-0.45246,-1.4,0.14,0.899,FALSE,-0.0647364315734797,1,-0.88065455229692,1.15388247211306,-1.795,0.558614357137373,0.00897648971870146,FALSE,0,"FALSE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",-0.4336,-1.53,0.0966,0.563,FALSE,-0.38172215587744,-0.35922,-1.08,0.342,0.813,FALSE,-0.0971022107584064,0,-0.239412183317923,0.201256693254612,-1.305,0.318198051533946,0.14569805213371,FALSE,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.29598,1.01,0.429,0.805,FALSE,0.0951461608284528,0.28227,0.899,0.549,0.754,FALSE,0.110243160063073,0,0.102694660445763,0.0106751905343682,0.9545,0.0784888527117068,0.576073814076692,FALSE,0,"FALSE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",0.54783,1.91,0.0226,0.28,FALSE,1.05592816013636,0.47083,1.49,0.133,0.488,FALSE,0.464254465215961,0,0.760091312676161,0.418376481927915,1.7,0.29698484809835,0.0204611163972289,FALSE,1.23456790123457,"FALSE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",0.32811,1.1,0.353,0.788,FALSE,0.113821160761489,0.38273,1.24,0.226,0.577,FALSE,0.296141991686893,0,0.204981576224191,0.128920295898919,1.17,0.0989949493661166,0.281497271475305,FALSE,0,"FALSE",FALSE
