"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.84337,2.42,0,171,0.00103
"EGFR inhibitor","NES","Abl kinase inhibitor",0.37616,1.06,0.36,325,0.59
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.69849,-1.89,0.00882,709,0.129
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.61766,-1.67,0.0489,680,0.177
"EGFR inhibitor","NES","AKT inhibitor",0.60791,1.71,0.036,372,0.212
"EGFR inhibitor","NES","antioxidant",-0.4273,-1.18,0.294,801,0.468
"EGFR inhibitor","NES","ATPase inhibitor",-0.5463,-1.48,0.0832,804,0.263
"EGFR inhibitor","NES","Aurora kinase inhibitor",0.35522,0.984,0.444,391,0.669
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.32181,0.902,0.544,325,0.676
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.87083,-2.36,0,892,0
"EGFR inhibitor","NES","bromodomain inhibitor",0.71757,2,0.00926,123,0.0772
"EGFR inhibitor","NES","calcium channel blocker",-0.65375,-1.75,0.0163,759,0.166
"EGFR inhibitor","NES","CDK inhibitor",0.25006,0.708,0.775,86,0.871
"EGFR inhibitor","NES","CHK inhibitor",-0.39152,-1.04,0.418,739,0.55
"EGFR inhibitor","NES","DNA inhibitor",-0.46984,-1.3,0.193,714,0.4
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",0.52778,1.5,0.0991,447,0.298
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.22961,-0.635,0.871,860,0.867
"EGFR inhibitor","NES","estrogen receptor agonist",-0.44124,-1.18,0.264,413,0.468
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.39957,-1.1,0.358,842,0.554
"EGFR inhibitor","NES","FLT3 inhibitor",-0.34638,-0.944,0.496,701,0.658
"EGFR inhibitor","NES","glucocorticoid receptor agonist",-0.31934,-0.874,0.591,597,0.73
"EGFR inhibitor","NES","glutamate receptor antagonist",-0.38936,-1.07,0.389,478,0.535
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",-0.48572,-1.32,0.197,755,0.402
