"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.84337,2.42,0,171,0.00103
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.47726,1.41,0.132,157,0.283
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",0.49145,1.45,0.12,481,0.215
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.7717,2.2,0,221,0.0353
"AKT inhibitor","NES","AKT inhibitor",0.69765,2.14,0.00568,288,0.0753
"antioxidant","NES","antioxidant",0.68803,2.09,0.00839,297,0.114
"ATPase inhibitor","NES","ATPase inhibitor",0.70525,2.06,0,283,0.0555
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.76277,2.1,0.00163,193,0.0149
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.41351,1.27,0.215,135,0.345
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.71909,2.04,0.00311,149,0.0397
"bromodomain inhibitor","NES","bromodomain inhibitor",0.69696,2.06,0.00305,156,0.104
"calcium channel blocker","NES","calcium channel blocker",0.43494,1.31,0.196,269,0.416
"CDK inhibitor","NES","CDK inhibitor",0.86667,2.51,0,135,0.00137
"CHK inhibitor","NES","CHK inhibitor",0.78824,2.39,0,204,0.0152
"DNA inhibitor","NES","DNA inhibitor",0.817,2.36,0.00157,95,0.00488
"DNA methyltransferase inhibitor","NES","DNA methyltransferase inhibitor",0.76999,2.27,0,94,0.0279
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.56943,1.67,0.0352,412,0.195
"estrogen receptor agonist","NES","estrogen receptor agonist",0.54487,1.59,0.0634,431,0.26
"estrogen receptor antagonist","NES","estrogen receptor antagonist",0.51551,1.54,0.0853,459,0.191
"FLT3 inhibitor","NES","FLT3 inhibitor",0.78717,2.32,0,205,0.0078
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.75435,2.13,0.00344,247,0.0491
"glutamate receptor antagonist","NES","glutamate receptor antagonist",0.75777,2.22,0.00387,234,0.0348
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.84295,2.48,0,152,0.00277
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",0.52072,1.53,0.0859,344,0.181
"HDAC inhibitor","NES","HDAC inhibitor",0.87636,2.46,0,133,0
"HMGCR inhibitor","NES","HMGCR inhibitor",0.88449,2.66,0,114,0.000891
"HSP inhibitor","NES","HSP inhibitor",0.82166,2.36,0.00162,90,0.00171
"JAK inhibitor","NES","JAK inhibitor",0.89293,2.61,0,107,0.00101
"MDM inhibitor","NES","MDM inhibitor",0.63258,1.85,0.0185,52,0.208
"MEK inhibitor","NES","MEK inhibitor",0.65507,1.9,0.00723,276,0.293
"microtubule inhibitor","NES","microtubule inhibitor",0.58285,1.67,0.0237,296,0.13
"mTOR inhibitor","NES","mTOR inhibitor",0.86545,2.43,0,137,0.00111
"phosphatase inhibitor","NES","phosphatase inhibitor",0.30512,0.916,0.551,192,0.731
"phosphodiesterase inhibitor","NES","phosphodiesterase inhibitor",0.81624,2.38,0,177,0.005
"PI3K inhibitor","NES","PI3K inhibitor",0.87927,2.62,0,118,0
"PLK inhibitor","NES","PLK inhibitor",0.63958,1.88,0.0158,145,0.0666
"progesterone receptor agonist","NES","progesterone receptor agonist",0.70525,2.13,0.00781,283,0.106
"proteasome inhibitor","NES","proteasome inhibitor",0.85531,2.5,0,143,0.00269
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.806,2.38,0,189,0.00557
"ribonucleotide reductase inhibitor","NES","ribonucleotide reductase inhibitor",0.66774,1.93,0.00651,316,0.13
"serotonin receptor antagonist","NES","serotonin receptor antagonist",0.53904,1.6,0.0579,437,0.505
"sodium channel blocker","NES","sodium channel blocker",0.67682,2.03,0.0104,139,0.157
"TGF beta receptor inhibitor","NES","TGF beta receptor inhibitor",0.6656,1.99,0.0122,318,0.0853
"topoisomerase inhibitor","NES","topoisomerase inhibitor",0.75754,2.15,0.00171,106,0.0127
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",0.75394,2.08,0.00185,122,0.0174
"vitamin D receptor agonist","NES","vitamin D receptor agonist",0.70513,2.1,0.00372,281,0.07
