"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.84337,2.42,0,0.00103,TRUE,7.22893391621348,0.84337,2.42,0,0.00103,TRUE,7.22893391621348,2,7.22893391621348,0,2.42,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.41711,1.25,0.234,0.357,FALSE,0.559164729859759,0.37616,1.06,0.36,0.59,FALSE,0.242896867659327,0,0.401030798759543,0.223635150033298,1.155,0.134350288425444,0.292656955035817,FALSE,1.21951219512195,"FALSE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",-0.39293,-1.23,0.246,0.47,FALSE,-0.403319634739068,-0.69849,-1.89,0.00882,0.129,TRUE,-1.68098544753442,1,-1.04215254113674,0.903446160317815,-1.56,0.466690475583121,0.0154769537358661,FALSE,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.72059,-2.24,0,0.0684,TRUE,-2.60947433214694,-0.61766,-1.67,0.0489,0.177,TRUE,-1.25588464517578,2,-1.93267948866136,0.957132446601481,-1.955,0.403050865276332,0.000529412214889579,FALSE,0,"TRUE",TRUE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.27338,0.806,0.67,0.757,FALSE,0.0974487211229414,0.60791,1.71,0.036,0.212,TRUE,1.15196567781184,1,0.624707199467388,0.745656090950918,1.258,0.639224530192639,0.11396009943981,FALSE,0,"TRUE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23456790123457,"FALSE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",-0.2999,-0.913,0.514,0.866,FALSE,-0.0570461645881625,-0.4273,-1.18,0.294,0.468,FALSE,-0.389109893372534,0,-0.223078028980348,0.234804514409519,-1.0465,0.188797510576808,0.436681042373654,FALSE,0,"TRUE",FALSE
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",-0.4534,-1.41,0.119,0.759,FALSE,-0.168859095987373,-0.5463,-1.48,0.0832,0.263,FALSE,-0.858465492235158,0,-0.513662294111265,0.487625359136426,-1.445,0.0494974746830584,0.0555943753103269,FALSE,0,"TRUE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",0.36191,1.01,0.484,0.544,FALSE,0.267045111304838,0.35522,0.984,0.444,0.669,FALSE,0.171780700116462,0,0.21941290571065,0.0673621111570444,0.997,0.0183847763108503,0.545320323582078,FALSE,1.0752688172043,"TRUE",FALSE
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"Bcr.Abl kinase inhibitor & EGFR inhibitor","Bcr.Abl kinase inhibitor","EGFR inhibitor",0.29835,0.912,0.53,0.658,FALSE,0.165777985024073,0.32181,0.902,0.544,0.676,FALSE,0.153388080260644,0,0.159583032642358,0.0087609856764756,0.907,0.00707106781186548,0.646899058691363,FALSE,0,"FALSE",FALSE
"benzodiazepine receptor agonist & EGFR inhibitor","benzodiazepine receptor agonist","EGFR inhibitor",-0.66888,-2.11,0.00271,0.132,TRUE,-1.85558900515566,-0.87083,-2.36,0,0,TRUE,-7.09030094074978,2,-4.47294497295272,3.70150030721676,-2.235,0.176776695296637,3.7100783829473e-05,FALSE,0,"TRUE",TRUE
"bromodomain inhibitor & EGFR inhibitor","bromodomain inhibitor","EGFR inhibitor",0.63338,1.84,0.00455,0.11,TRUE,1.76383745930887,0.71757,2,0.00926,0.0772,TRUE,2.22476539932853,2,1.9943014293187,0.325925272026249,1.92,0.113137084989848,0.000466609461950173,FALSE,0,"TRUE",TRUE
"calcium channel blocker & EGFR inhibitor","calcium channel blocker","EGFR inhibitor",-0.56342,-1.78,0.0276,0.216,TRUE,-1.18467232295134,-0.65375,-1.75,0.0163,0.166,TRUE,-1.3648108459299,2,-1.27474158444062,0.127377171151069,-1.765,0.0212132034355964,0.00391689357128151,FALSE,0,"FALSE",FALSE
"CC chemokine receptor antagonist & EGFR inhibitor","CC chemokine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
